date,open,high,low,adjClose,value,volume,count,close
2016-07-09,500.0,1000.0,500.0,921.0,2967924950,3224050,18,699.0
2016-07-10,500.0,578.0,500.0,506.0,173980280,344010,27,520.0
2016-07-11,518.0,528.0,518.0,521.0,107855820,206990,8,525.0
2016-07-12,525.0,547.0,525.0,529.0,10729565,20295,3,547.0
2016-07-13,520.0,540.0,504.0,506.0,94693400,187000,10,530.0
2016-07-16,506.0,528.0,501.0,506.0,58481500,115500,11,501.0
2016-07-17,502.0,502.0,500.0,500.0,62692070,125335,8,500.0
2016-07-18,500.0,500.0,467.0,489.0,25650200,52500,7,467.0
2016-07-19,471.0,475.0,471.0,472.0,10382000,22000,2,475.0
2016-07-23,466.0,472.0,465.0,467.0,119202820,255270,13,472.0
2016-07-24,471.0,471.0,471.0,471.0,3720900,7900,1,471.0
2016-07-26,485.0,527.0,485.0,495.0,6589100,13300,3,527.0
2016-07-27,526.0,555.0,526.0,548.0,170910091,311738,8,540.0
2016-08-01,520.0,521.0,495.0,508.0,182821700,360100,13,502.0
2016-08-02,520.0,520.0,501.0,516.0,30977200,60010,2,501.0
2016-08-03,580.0,575.0,575.0,575.0,1725000,3000,1,575.0
2016-08-06,511.0,511.0,504.0,505.0,32822000,65000,5,504.0
2016-08-13,576.0,576.0,565.0,568.0,8522000,15000,7,565.0
2016-08-16,539.0,556.0,521.0,544.0,1533025200,2817200,8,545.0
2016-08-17,522.0,522.0,522.0,522.0,26100000,50000,1,522.0
2016-08-21,540.0,540.0,540.0,540.0,54000000,100000,2,540.0
2016-08-22,540.0,540.0,539.0,540.0,61279000,113500,3,539.0
2016-08-23,539.0,539.0,522.0,527.0,1739600,3300,2,522.0
2016-08-24,540.0,540.0,540.0,540.0,15120000,28000,1,540.0
2016-08-27,539.0,539.0,539.0,539.0,1643950,3050,4,539.0
2016-08-28,539.0,539.0,539.0,539.0,994455,1845,1,539.0
2016-08-29,522.0,522.0,522.0,522.0,5742000,11000,1,522.0
2016-08-31,539.0,539.0,539.0,539.0,4312000,8000,9,539.0
2016-09-03,539.0,539.0,522.0,523.0,45483000,87000,4,522.0
2016-09-04,523.0,539.0,522.0,522.0,24021078,46002,4,522.0
2016-09-05,522.0,522.0,522.0,522.0,18792000,36000,1,522.0
2016-09-07,522.0,522.0,522.0,522.0,15660000,30000,1,522.0
2016-09-17,539.0,539.0,539.0,539.0,1916684,3556,2,539.0
2016-09-18,522.0,522.0,516.0,519.0,24905022,48010,2,516.0
2016-09-19,539.0,539.0,539.0,539.0,2910600,5400,1,539.0
2016-09-21,539.0,539.0,538.0,539.0,11309700,21000,7,539.0
2016-09-24,539.0,539.0,528.0,536.0,11899800,22200,5,528.0
2016-09-25,528.0,528.0,528.0,528.0,5438400,10300,2,528.0
2016-09-26,528.0,528.0,528.0,528.0,4734048,8966,4,528.0
2016-09-28,528.0,528.0,528.0,528.0,10560000,20000,3,528.0
2016-10-01,539.0,539.0,539.0,539.0,2073533,3847,2,539.0
2016-10-02,540.0,540.0,523.0,526.0,6202000,11800,3,523.0
2016-10-03,540.0,540.0,540.0,540.0,32400000,60000,1,540.0
2016-10-04,520.0,549.0,517.0,521.0,70337829,134900,7,518.0
2016-10-08,521.0,521.0,521.0,521.0,56262790,107990,4,521.0
2016-10-16,525.0,525.0,518.0,520.0,31220000,60000,2,518.0
2016-10-19,548.0,548.0,548.0,548.0,10412000,19000,2,548.0
2016-10-26,521.0,521.0,521.0,521.0,3600110,6910,1,521.0
2016-10-29,518.0,518.0,518.0,518.0,25900000,50000,1,518.0
2016-10-31,518.0,518.0,518.0,518.0,37296000,72000,2,518.0
2016-11-07,500.0,507.0,500.0,501.0,32577000,65000,5,500.0
2016-11-14,500.0,500.0,500.0,500.0,25000000,50000,1,500.0
2016-11-19,548.0,548.0,548.0,548.0,55896000,102000,1,548.0
2016-11-27,510.0,510.0,510.0,510.0,5100000,10000,1,510.0
2016-11-29,511.0,511.0,501.0,507.0,179488370,353887,6,501.0
2016-12-03,490.0,490.0,490.0,490.0,27005370,55113,2,490.0
2016-12-11,492.0,492.0,491.0,492.0,59020000,120000,2,491.0
2016-12-18,491.0,491.0,490.0,491.0,41240000,84000,3,490.0
2016-12-21,490.0,490.0,490.0,490.0,4900000,10000,1,490.0
2016-12-25,490.0,490.0,490.0,490.0,14700000,30000,1,490.0
2017-01-02,490.0,490.0,490.0,490.0,434630,887,1,490.0
2017-01-09,460.0,461.0,460.0,460.0,48022520,104387,5,461.0
2017-01-23,489.0,489.0,489.0,489.0,7335000,15000,1,489.0
2017-01-24,470.0,470.0,450.0,460.0,9650000,21000,4,470.0
2017-01-25,450.0,450.0,450.0,450.0,17813250,39585,6,450.0
2017-01-28,450.0,450.0,450.0,450.0,1045350,2323,2,450.0
2017-01-31,456.0,456.0,441.0,443.0,22596000,51000,3,441.0
2017-02-04,449.0,450.0,449.0,450.0,122454950,272211,3,450.0
2017-02-13,449.0,450.0,449.0,450.0,85856450,190881,5,450.0
2017-02-19,400.0,400.0,400.0,400.0,18843200,47108,1,400.0
2017-03-06,400.0,400.0,400.0,400.0,32800000,82000,6,400.0
2017-03-07,410.0,417.0,410.0,410.0,54768674,133522,11,417.0
2017-03-14,451.0,451.0,451.0,451.0,24576794,54494,7,451.0
2017-03-15,408.0,408.0,406.0,407.0,7179161,17621,4,406.0
2017-03-18,446.0,446.0,407.0,440.0,57538483,130884,19,441.0
2017-03-25,484.0,484.0,484.0,484.0,148104000,306000,34,484.0
2017-03-26,532.0,532.0,532.0,532.0,13300000,25000,5,532.0
2017-03-27,585.0,585.0,585.0,585.0,104715000,179000,13,585.0
2017-03-28,643.0,643.0,643.0,643.0,177940605,276735,29,643.0
2017-03-29,707.0,707.0,707.0,707.0,296034333,418719,30,707.0
2017-04-03,693.0,729.0,651.0,670.0,219498053,327761,31,710.0
2017-04-04,735.0,737.0,717.0,728.0,16684986,22924,5,737.0
2017-04-05,747.0,747.0,733.0,740.0,19650825,26559,3,733.0
2017-04-08,733.0,733.0,666.0,672.0,37752790,56165,12,666.0
2017-04-09,605.0,653.0,605.0,609.0,110370405,181381,19,653.0
2017-04-10,669.0,669.0,660.0,668.0,358824627,537042,72,669.0
2017-04-12,734.0,734.0,720.0,732.0,207642692,283616,33,734.0
2017-04-15,779.0,805.0,779.0,794.0,206217916,259704,18,805.0
2017-04-16,873.0,873.0,873.0,873.0,219502755,251435,19,873.0
2017-04-17,960.0,960.0,873.0,946.0,1438562234,1521238,122,918.0
2017-04-18,852.0,900.0,852.0,853.0,560817876,657710,50,852.0
2017-04-19,899.0,938.0,899.0,934.0,506700306,542737,32,938.0
2017-04-22,1027.0,1027.0,1027.0,1027.0,202319000,197000,9,1027.0
2017-04-23,1129.0,1129.0,1100.0,1129.0,2274578856,2014884,88,1129.0
2017-04-24,1241.0,1241.0,1241.0,1241.0,268676500,216500,13,1241.0
2017-04-26,1365.0,1365.0,1365.0,1365.0,234646230,171902,12,1365.0
2017-04-29,1501.0,1501.0,1453.0,1499.0,5394031725,3599164,297,1501.0
2017-04-30,1411.0,1435.0,1350.0,1362.0,1057407531,776490,98,1350.0
2017-05-01,1226.0,1320.0,1226.0,1227.0,384196496,313099,30,1226.0
2017-05-02,1105.0,1300.0,1105.0,1196.0,1946293429,1627984,146,1230.0
2017-05-03,1250.0,1299.0,1175.0,1244.0,512692528,412269,62,1200.0
2017-05-06,1250.0,1270.0,1177.0,1224.0,762673788,623341,59,1210.0
2017-05-07,1234.0,1278.0,1102.0,1169.0,915620959,783178,73,1102.0
2017-05-08,1053.0,1053.0,1053.0,1053.0,46544706,44202,11,1053.0
2017-05-09,973.0,980.0,948.0,961.0,1908427291,1985567,97,948.0
2017-05-10,865.0,950.0,865.0,888.0,5550219441,6250556,421,920.0
2017-05-13,960.0,976.0,914.0,962.0,1394037613,1448588,123,976.0
2017-05-14,1058.0,1058.0,1058.0,1058.0,17986000,17000,7,1058.0
2017-05-15,1163.0,1163.0,1055.0,1157.0,7266993152,6282427,429,1163.0
2017-05-16,1163.0,1199.0,1065.0,1101.0,1279157003,1162226,153,1090.0
2017-05-17,1035.0,1128.0,1022.0,1054.0,1010968754,959199,144,1050.0
2017-05-20,1060.0,1151.0,1060.0,1128.0,1090722511,966815,110,1150.0
2017-05-21,1158.0,1209.0,1108.0,1150.0,789087029,685938,102,1111.0
2017-05-22,1072.0,1176.0,1072.0,1116.0,2320496396,2079786,241,1116.0
2017-07-04,1137.0,1170.0,1137.0,1154.0,354993819,307517,32,1170.0
2017-07-05,1185.0,1185.0,1039.0,1076.0,2690582293,2500248,240,1039.0
2017-07-08,1082.0,1082.0,969.0,982.0,1603154728,1631710,184,969.0
2017-07-09,1080.0,1080.0,990.0,1054.0,1235341951,1172194,123,1039.0
2017-07-10,1033.0,1033.0,949.0,955.0,1211618061,1268387,140,950.0
2017-07-11,892.0,964.0,885.0,905.0,765837101,846225,143,905.0
2017-08-06,1030.0,1030.0,1030.0,1030.0,954532930,926731,37,1030.0
2017-08-07,1133.0,1133.0,1133.0,1133.0,450726661,397817,42,1133.0
2017-08-08,1246.0,1246.0,1246.0,1246.0,732261740,587690,42,1246.0
2017-08-09,1370.0,1370.0,1370.0,1370.0,1212081470,884731,67,1370.0
2017-08-12,1409.0,1448.0,1250.0,1341.0,5153528838,3843768,410,1290.0
2017-08-13,1340.0,1400.0,1270.0,1342.0,3552792240,2647486,241,1350.0
2017-08-14,1340.0,1350.0,1208.0,1237.0,2161393494,1747587,153,1208.0
2017-08-15,1161.0,1242.0,1161.0,1197.0,855413009,714586,109,1216.0
2017-08-16,1210.0,1210.0,1170.0,1180.0,120139111,101770,19,1180.0
2017-08-19,1110.0,1170.0,1110.0,1134.0,166386760,146752,26,1136.0
2017-08-20,1160.0,1218.0,1090.0,1170.0,692567694,592009,79,1111.0
2017-08-21,1096.0,1169.0,1096.0,1121.0,467203112,416698,46,1115.0
2017-08-22,1033.0,1101.0,1021.0,1059.0,487725157,460416,57,1101.0
2017-08-23,1100.0,1142.0,1080.0,1107.0,554741281,501075,74,1129.0
2017-08-26,1134.0,1158.0,1086.0,1099.0,149795403,136256,22,1087.0
2017-08-27,1125.0,1125.0,1055.0,1068.0,214843779,201228,29,1066.0
2017-08-28,1093.0,1093.0,1041.0,1060.0,321235471,302955,36,1041.0
2017-08-29,1079.0,1113.0,1050.0,1083.0,483286958,446298,72,1059.0
2017-08-30,1088.0,1090.0,1030.0,1057.0,293802083,278017,47,1041.0
2017-09-02,1036.0,1130.0,1025.0,1092.0,721817463,661010,166,1110.0
2017-09-03,1055.0,1099.0,1055.0,1062.0,210023709,197735,32,1060.0
2017-09-04,1058.0,1119.0,1045.0,1060.0,185139890,174600,28,1079.0
2017-09-05,1050.0,1094.0,1030.0,1039.0,409338447,394064,62,1031.0
2017-09-06,1070.0,1070.0,1004.0,1016.0,101208509,99612,30,1030.0
2017-09-10,1001.0,1075.0,966.0,988.0,193511190,195911,44,973.0
2017-09-11,956.0,1000.0,956.0,980.0,134841072,137650,34,966.0
2017-09-12,952.0,1023.0,952.0,975.0,147319131,151055,25,982.0
2017-09-13,982.0,999.0,960.0,971.0,269515868,277573,33,970.0
2017-09-16,953.0,1015.0,953.0,966.0,172355817,178494,30,963.0
2017-09-17,980.0,1062.0,980.0,1050.0,823040211,783851,86,1062.0
2017-09-18,1120.0,1144.0,1050.0,1104.0,1495213455,1354270,198,1063.0
2017-09-19,1130.0,1130.0,1015.0,1028.0,337171683,327841,99,1040.0
2017-09-20,1072.0,1089.0,1015.0,1062.0,208499315,196259,42,1058.0
2017-09-23,1100.0,1128.0,1042.0,1059.0,95381920,90039,24,1060.0
2017-09-24,1060.0,1077.0,1030.0,1051.0,183520441,174609,29,1058.0
2017-09-25,1034.0,1050.0,1000.0,1012.0,328916597,325126,38,1017.0
2017-09-26,1017.0,1113.0,988.0,1085.0,1389005690,1280009,151,1113.0
2017-09-27,1111.0,1188.0,1079.0,1137.0,1145042293,1007283,145,1140.0
2017-10-02,1150.0,1250.0,1100.0,1209.0,1782676853,1475004,174,1250.0
