date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-01-08,1500.0,1500.0,1218.0,1219.0,21161295246,17356830,957,1000.0,1218.0
2012-01-09,1267.0,1267.0,1267.0,1225.0,44598400,35200,12,1219.0,1267.0
2012-01-10,1274.0,1274.0,1274.0,1228.0,22804600,17900,9,1225.0,1274.0
2012-01-11,1277.0,1277.0,1277.0,1232.0,26050800,20400,7,1228.0,1277.0
2012-01-15,1281.0,1281.0,1281.0,1235.0,20880300,16300,11,1232.0,1281.0
2012-01-16,1284.0,1284.0,1284.0,1254.0,138248280,107670,9,1235.0,1284.0
2012-01-17,1354.0,1408.0,1354.0,1403.0,131461250,93725,38,1254.0,1408.0
2012-01-18,1459.0,1459.0,1459.0,1459.0,2718846500,1863500,103,1403.0,1459.0
2012-01-21,1517.0,1517.0,1482.0,1517.0,23252357986,15331300,2896,1459.0,1517.0
2012-01-23,1520.0,1577.0,1489.0,1548.0,10093976437,6518967,1099,1517.0,1516.0
2012-01-25,1487.0,1510.0,1487.0,1489.0,1382403323,928499,96,1548.0,1487.0
2012-02-01,1190.0,1237.0,1190.0,1218.0,1688738296,1386113,225,1489.0,1237.0
2012-02-04,1266.0,1266.0,1266.0,1255.0,270012480,213280,23,1218.0,1266.0
2012-02-05,1279.0,1279.0,1205.0,1234.0,2252606086,1824826,243,1255.0,1205.0
2012-02-06,1185.0,1223.0,1185.0,1187.0,768196792,647193,56,1234.0,1185.0
2012-02-07,1145.0,1180.0,1140.0,1143.0,319267822,279317,28,1187.0,1140.0
2012-02-08,1098.0,1098.0,1098.0,1139.0,25824960,23520,6,1143.0,1098.0
2012-02-12,1094.0,1094.0,1094.0,1138.0,6912986,6319,2,1139.0,1094.0
2012-02-13,1093.0,1093.0,1093.0,1138.0,3280093,3001,4,1138.0,1093.0
2012-02-14,1093.0,1093.0,1093.0,1131.0,45809816,41912,2,1138.0,1093.0
2012-02-22,1065.0,1107.0,1064.0,1094.0,1856955098,1696730,155,1131.0,1107.0
2012-02-25,1137.0,1137.0,1137.0,1117.0,169976952,149496,10,1094.0,1137.0
2012-02-26,1161.0,1161.0,1161.0,1130.0,95045265,81865,11,1117.0,1161.0
2012-02-27,1175.0,1175.0,1175.0,1131.0,9752500,8300,6,1130.0,1175.0
2012-02-28,1176.0,1176.0,1176.0,1133.0,13043016,11091,7,1131.0,1176.0
2012-02-29,1178.0,1178.0,1178.0,1133.0,341620,290,2,1133.0,1178.0
2012-03-03,1223.0,1271.0,1223.0,1268.0,2288451692,1804252,181,1133.0,1271.0
2012-03-04,1300.0,1318.0,1299.0,1317.0,1686661803,1281023,111,1268.0,1318.0
2012-03-05,1300.0,1300.0,1265.0,1274.0,562731461,441651,48,1317.0,1265.0
2012-03-06,1228.0,1250.0,1224.0,1227.0,1629588754,1328564,167,1274.0,1224.0
2012-03-07,1191.0,1250.0,1180.0,1197.0,1300830002,1087194,156,1227.0,1180.0
2012-03-10,1240.0,1244.0,1158.0,1221.0,372747167,305310,78,1197.0,1158.0
2012-03-11,1182.0,1200.0,1173.0,1180.0,308772201,262200,43,1221.0,1173.0
2012-03-12,1134.0,1134.0,1133.0,1174.0,43699416,38552,11,1180.0,1133.0
2012-03-13,1128.0,1130.0,1128.0,1153.0,146009736,129412,25,1174.0,1128.0
2012-03-14,1113.0,1195.0,1107.0,1126.0,999458351,887315,106,1153.0,1110.0
2012-03-17,1115.0,1168.0,1115.0,1141.0,199407480,173300,35,1126.0,1138.0
2012-03-18,1121.0,1164.0,1102.0,1126.0,247672960,220721,35,1141.0,1117.0
