date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-07,3720.0,3720.0,3720.0,3720.0,20869200,5610,3,0.0,3720.0
2001-04-08,3720.0,3771.0,3720.0,3770.0,45286313,12044,15,3720.0,3770.0
2001-04-09,3751.0,3780.0,3751.0,3780.0,12377384,3284,10,3770.0,3780.0
2001-04-10,3790.0,3802.0,3790.0,3802.0,23014672,6068,14,3780.0,3802.0
2001-04-11,3802.0,3900.0,3802.0,3851.0,55183624,14358,20,3802.0,3851.0
2001-04-14,3860.0,3862.0,3851.0,3851.0,41686660,10802,19,3851.0,3851.0
2001-04-15,3860.0,3920.0,3851.0,3900.0,74706328,19247,32,3851.0,3900.0
2001-04-25,2303.0,2420.0,2303.0,2420.0,17384345,7478,21,3900.0,2420.0
2001-04-29,2541.0,2541.0,2541.0,2541.0,9223830,3630,17,2420.0,2541.0
2001-04-30,2600.0,2668.0,2600.0,2668.0,10003128,3786,15,2541.0,2668.0
2001-05-01,2801.0,2801.0,2795.0,2799.0,141652576,50574,53,2668.0,2799.0
2001-05-02,2786.0,2800.0,2700.0,2800.0,128260615,46549,81,2799.0,2800.0
2001-05-05,2800.0,2800.0,2793.0,2800.0,143294672,51210,67,2800.0,2800.0
2001-05-06,2797.0,2800.0,2790.0,2800.0,300098451,107254,77,2800.0,2800.0
2001-05-07,2799.0,2799.0,2760.0,2770.0,65929462,23626,25,2800.0,2770.0
2001-05-08,2762.0,2770.0,2701.0,2701.0,35961054,13070,38,2770.0,2701.0
2001-05-09,2701.0,2701.0,2600.0,2600.0,51902915,19632,34,2701.0,2600.0
2001-05-12,2698.0,2698.0,2590.0,2590.0,44673146,17082,26,2600.0,2590.0
2001-05-13,2590.0,2590.0,2500.0,2502.0,41718664,16319,34,2590.0,2502.0
2001-05-15,2502.0,2590.0,2500.0,2560.0,31352717,12348,23,2502.0,2560.0
2001-05-16,2566.0,2600.0,2565.0,2590.0,139211062,53686,31,2560.0,2590.0
2001-05-19,2594.0,2690.0,2585.0,2585.0,157611979,60470,62,2590.0,2585.0
2001-05-20,2587.0,2589.0,2550.0,2550.0,136977595,53349,40,2585.0,2550.0
2001-05-21,2585.0,2637.0,2550.0,2552.0,216034150,83515,70,2550.0,2552.0
2001-05-23,2601.0,2604.0,2575.0,2602.0,1369483053,528589,65,2552.0,2602.0
2001-05-26,2602.0,2670.0,2602.0,2650.0,59791942,22559,31,2602.0,2650.0
2001-05-27,2640.0,2698.0,2621.0,2690.0,55299757,20800,36,2650.0,2690.0
2001-05-28,2690.0,2758.0,2690.0,2755.0,70453748,25620,25,2690.0,2755.0
2001-05-29,2772.0,2801.0,1889.0,2778.0,156640466,56898,65,2755.0,2778.0
2001-05-30,2798.0,2800.0,2702.0,2703.0,232428019,84582,74,2778.0,2703.0
2001-06-02,2738.0,2799.0,2710.0,2750.0,99905087,36429,52,2703.0,2750.0
2001-06-03,2741.0,2760.0,2701.0,2710.0,90519725,33144,63,2750.0,2710.0
2001-06-06,2714.0,2741.0,2711.0,2731.0,71778573,26229,47,2710.0,2731.0
2001-06-09,2725.0,2740.0,2720.0,2731.0,144670273,53008,53,2731.0,2731.0
2001-06-11,2742.0,2750.0,2700.0,2700.0,78464332,28691,37,2731.0,2700.0
2001-06-12,2700.0,2700.0,2685.0,2690.0,29813642,11059,46,2700.0,2690.0
2001-06-13,2690.0,2710.0,1845.0,2690.0,318801586,153081,315,2690.0,2690.0
2001-06-16,2690.0,2691.0,2650.0,2690.0,50909357,19011,43,2690.0,2690.0
2001-06-17,2690.0,2690.0,2667.0,2677.0,87866545,32863,68,2690.0,2677.0
2001-06-18,2678.0,2678.0,1825.0,2649.0,101237951,50066,294,2677.0,2649.0
2001-06-19,2640.0,2648.0,2600.0,2639.0,151329907,57741,82,2649.0,2639.0
2001-06-20,2600.0,2633.0,2576.0,2596.0,103594545,39797,65,2639.0,2596.0
2001-06-23,2625.0,2675.0,2598.0,2670.0,108125020,40692,64,2596.0,2670.0
2001-06-24,2670.0,2750.0,2670.0,2740.0,130529798,48381,91,2670.0,2740.0
2001-06-25,2716.0,2740.0,2699.0,2700.0,100951622,37298,47,2740.0,2700.0
2001-06-26,2698.0,2701.0,2690.0,2700.0,131590360,48755,81,2700.0,2700.0
2001-06-27,2698.0,2750.0,2690.0,2750.0,551031758,203964,141,2700.0,2750.0
2001-06-30,2702.0,2758.0,2702.0,2753.0,473729116,172273,122,2750.0,2753.0
2001-07-01,2753.0,2820.0,2740.0,2820.0,297306617,106616,98,2753.0,2820.0
2001-07-02,2841.0,2880.0,2806.0,2861.0,292620443,102298,104,2820.0,2861.0
2001-07-03,2862.0,2885.0,2860.0,2885.0,169752781,59090,77,2861.0,2885.0
2001-07-04,2890.0,3000.0,2880.0,2975.0,469692674,157611,126,2885.0,2975.0
2001-07-07,2969.0,2970.0,2860.0,2863.0,82649120,28419,33,2975.0,2863.0
2001-07-08,2863.0,2929.0,2863.0,2890.0,112362542,38795,59,2863.0,2890.0
2001-07-09,2881.0,2926.0,2850.0,2870.0,303611801,105414,74,2890.0,2870.0
2001-07-10,2870.0,2870.0,2799.0,2850.0,799473868,285306,61,2870.0,2850.0
2001-07-11,2848.0,2869.0,2801.0,2869.0,78088193,27590,39,2850.0,2869.0
2001-07-14,2918.0,3010.0,2870.0,2949.0,528302287,179146,146,2869.0,2949.0
2001-08-22,2978.0,3050.0,2890.0,2899.0,822552850,276387,154,2949.0,2899.0
2001-08-25,2896.0,2896.0,2840.0,2869.0,288208895,100400,78,2899.0,2869.0
2001-08-26,2895.0,2902.0,2812.0,2839.0,414951318,145031,138,2869.0,2839.0
2001-08-27,2812.0,2820.0,2775.0,2800.0,300920973,107310,135,2839.0,2800.0
2001-08-28,2810.0,2828.0,2779.0,2828.0,579296273,207152,169,2800.0,2828.0
2001-08-29,2800.0,2800.0,2775.0,2789.0,347334020,124360,78,2828.0,2789.0
2001-09-01,2705.0,2780.0,2705.0,2770.0,402924672,146111,106,2789.0,2770.0
2001-09-02,2737.0,2740.0,2632.0,2698.0,214947447,79687,84,2770.0,2698.0
2001-09-03,2602.0,2698.0,2580.0,2698.0,1114168379,421196,186,2698.0,2698.0
2001-09-04,2688.0,2700.0,2607.0,2700.0,687754933,255927,112,2698.0,2700.0
2001-09-05,2670.0,2760.0,2670.0,2760.0,191946110,71078,84,2700.0,2760.0
2001-09-08,2759.0,2800.0,2759.0,2800.0,199845889,71609,98,2760.0,2800.0
2001-09-09,2870.0,2870.0,2800.0,2870.0,343699505,120537,89,2800.0,2870.0
2001-09-10,2871.0,2880.0,2849.0,2849.0,225919893,78754,104,2870.0,2849.0
2001-09-11,2833.0,2850.0,2810.0,2850.0,341358807,120077,91,2849.0,2850.0
2001-09-12,2760.0,2800.0,2710.0,2780.0,147428483,53012,57,2850.0,2780.0
2001-09-15,2768.0,2778.0,2730.0,2778.0,425354598,154005,84,2780.0,2778.0
2001-09-16,2650.0,2778.0,2648.0,2777.0,1357043449,491842,98,2778.0,2777.0
2001-09-17,2645.0,2765.0,2640.0,2765.0,1626783274,593854,114,2777.0,2765.0
2001-09-18,2736.0,2750.0,2720.0,2743.0,731228202,266208,81,2765.0,2743.0
2001-09-19,2720.0,2750.0,2713.0,2750.0,485446745,178077,123,2743.0,2750.0
2001-09-22,2750.0,2750.0,2745.0,2746.0,178054239,64771,43,2750.0,2746.0
2001-09-23,2726.0,2749.0,2699.0,2744.0,567888274,207713,95,2746.0,2744.0
2001-09-24,2701.0,2738.0,2697.0,2738.0,198816513,73386,65,2744.0,2738.0
2001-09-25,2650.0,2720.0,2649.0,2720.0,271653548,101015,95,2738.0,2720.0
2001-09-26,2687.0,2699.0,2660.0,2698.0,32589504,12099,23,2720.0,2698.0
2001-09-29,2650.0,2693.0,2637.0,2693.0,643667165,241603,112,2698.0,2693.0
2001-09-30,2688.0,2700.0,2640.0,2700.0,543234036,202054,102,2693.0,2700.0
