date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-23,6282.0,6282.0,6282.0,6282.0,3141000,500,1,0.0,6282.0
2001-05-01,6282.0,6282.0,6282.0,6282.0,19367406,3083,5,6282.0,6282.0
2001-05-02,6282.0,6282.0,6282.0,6282.0,25190820,4010,8,6282.0,6282.0
2001-05-05,6500.0,6500.0,6500.0,6500.0,19500000,3000,3,6282.0,6500.0
2001-05-07,6825.0,6825.0,6825.0,6825.0,23887500,3500,6,6500.0,6825.0
2001-05-08,7166.0,7166.0,7166.0,7166.0,11343778,1583,2,6825.0,7166.0
2001-05-09,7524.0,7524.0,7524.0,7524.0,74036160,9840,14,7166.0,7524.0
2001-05-12,7525.0,7525.0,7525.0,7525.0,14297500,1900,2,7524.0,7525.0
2001-05-13,7526.0,7543.0,7526.0,7543.0,14978484,1988,2,7525.0,7543.0
2001-05-20,7920.0,7920.0,7920.0,7920.0,7920000,1000,3,7543.0,7920.0
2001-05-21,8316.0,8316.0,8316.0,8316.0,9147600,1100,4,7920.0,8316.0
2001-05-29,8731.0,8731.0,8731.0,8731.0,17462000,2000,2,8316.0,8731.0
2001-05-30,9167.0,9167.0,9167.0,9167.0,50418500,5500,8,8731.0,9167.0
2001-06-02,9167.0,9397.0,9167.0,9170.0,59612020,6480,9,9167.0,9170.0
2001-06-09,9394.0,9394.0,9394.0,9394.0,10286430,1095,3,9170.0,9394.0
2001-06-12,9393.0,9394.0,9393.0,9394.0,18786900,2000,5,9394.0,9394.0
2001-06-18,9391.0,9860.0,9391.0,9860.0,31535704,3243,11,9394.0,9860.0
2001-06-23,9860.0,9860.0,9860.0,9860.0,9860000,1000,1,9860.0,9860.0
2001-06-26,10353.0,10353.0,10353.0,10353.0,18304104,1768,3,9860.0,10353.0
2001-07-03,10384.0,10384.0,10384.0,10384.0,1038400,100,2,10353.0,10384.0
2001-07-07,10384.0,10384.0,10384.0,10384.0,15056800,1450,4,10384.0,10384.0
2001-07-08,10390.0,10390.0,10390.0,10390.0,10390000,1000,1,10384.0,10390.0
2001-07-11,10403.0,10403.0,10403.0,10403.0,3276945,315,1,10390.0,10403.0
2001-12-23,12525.0,12525.0,12525.0,12525.0,6262500,500,1,10403.0,12525.0
2002-01-06,13151.0,13151.0,13151.0,13151.0,67293667,5117,45,12525.0,13151.0
2002-01-08,13808.0,13808.0,13808.0,13808.0,31468432,2279,22,13151.0,13808.0
2002-01-13,14498.0,14498.0,14498.0,14498.0,29749896,2052,22,13808.0,14498.0
2002-01-14,15222.0,15222.0,15222.0,15222.0,29637234,1947,18,14498.0,15222.0
2002-02-09,20615.0,20700.0,20615.0,20700.0,23131063,1121,5,15222.0,20700.0
2002-02-26,20700.0,20700.0,20700.0,20700.0,3761314200,181706,3,20700.0,20700.0
2002-02-27,21735.0,21735.0,21735.0,21735.0,1086750000,50000,45,20700.0,21735.0
2002-03-02,22821.0,22821.0,22821.0,22821.0,141033780,6180,7,21735.0,22821.0
2002-03-04,23391.0,23391.0,23391.0,23391.0,467820000,20000,11,22821.0,23391.0
2002-03-05,23975.0,23975.0,23200.0,23390.0,1348910725,56389,63,23391.0,23390.0
2002-03-06,23390.0,23390.0,23390.0,23390.0,75152070,3213,6,23390.0,23390.0
2002-03-09,23267.0,23267.0,22806.0,22806.0,49598197,2157,8,23390.0,22806.0
2002-03-10,22251.0,22500.0,22250.0,22250.0,352330597,15786,29,22806.0,22250.0
2002-03-11,22806.0,22806.0,22806.0,22806.0,5501559798,241233,14,22250.0,22806.0
2002-03-12,22806.0,22806.0,22805.0,22806.0,5739607997,251671,21,22806.0,22806.0
2002-03-13,22806.0,22999.0,22804.0,22806.0,5733191196,250400,25,22806.0,22806.0
2002-03-16,22890.0,22905.0,22889.0,22905.0,4556001765,198958,44,22806.0,22905.0
2002-03-17,22906.0,22906.0,22895.0,22900.0,254126640,11097,29,22905.0,22900.0
2002-03-18,22999.0,22999.0,22999.0,22999.0,28702752,1248,1,22900.0,22999.0
2002-03-19,23014.0,23573.0,23014.0,23573.0,3995762510,173476,36,22999.0,23573.0
2002-03-30,24162.0,24162.0,24162.0,24162.0,36243000,1500,1,23573.0,24162.0
2002-04-07,24766.0,24766.0,24766.0,24766.0,24766000,1000,6,24162.0,24766.0
2002-04-08,25385.0,25385.0,25385.0,25385.0,44423750,1750,8,24766.0,25385.0
2002-04-16,26019.0,26019.0,26019.0,26019.0,66348450,2550,11,25385.0,26019.0
2002-09-09,35000.0,35001.0,35000.0,35000.0,40250150,1150,3,26019.0,35000.0
2002-09-10,35000.0,35000.0,35000.0,35000.0,77665000,2219,4,35000.0,35000.0
2002-09-11,35000.0,35000.0,35000.0,35000.0,52500000,1500,1,35000.0,35000.0
2002-09-14,35000.0,35002.0,35000.0,35002.0,113751050,3250,6,35000.0,35002.0
2002-11-18,4200.0,5500.0,4002.0,5200.0,87992600,17564,27,35002.0,5200.0
2002-11-19,5200.0,5350.0,5200.0,5350.0,17757180,3340,5,5200.0,5350.0
2002-12-02,5617.0,5617.0,5617.0,5617.0,5617000,1000,1,5350.0,5617.0
2002-12-03,5897.0,5897.0,5897.0,5897.0,16216750,2750,3,5617.0,5897.0
2002-12-04,6191.0,6191.0,6191.0,6191.0,6191000,1000,1,5897.0,6191.0
2002-12-07,6500.0,6500.0,6500.0,6500.0,6500000,1000,1,6191.0,6500.0
2002-12-08,6825.0,6825.0,6825.0,6825.0,6825000,1000,1,6500.0,6825.0
2002-12-09,7166.0,7166.0,7166.0,7166.0,7166000,1000,1,6825.0,7166.0
2002-12-14,7201.0,7524.0,6808.0,6808.0,111099060,15901,19,7166.0,6808.0
