date,open,high,low,adjClose,value,volume,count,close
2015-11-29,3400.0,3400.0,3400.0,3400.0,340000000000,100000000,25187,3400.0
2015-11-30,3570.0,3570.0,3570.0,3570.0,22443183420,6286606,2706,3570.0
2015-12-01,3675.0,3675.0,3530.0,3607.0,173064123922,47975033,23313,3535.0
2015-12-05,3592.0,3606.0,3541.0,3574.0,38209131739,10690511,5998,3541.0
2015-12-06,3552.0,3577.0,3465.0,3505.0,19722222508,5626717,2851,3485.0
2015-12-07,3475.0,3548.0,3460.0,3498.0,13001329139,3717043,1770,3480.0
2015-12-08,3461.0,3533.0,3439.0,3489.0,8552746569,2451488,1316,3500.0
2015-12-09,3456.0,3598.0,3456.0,3559.0,14303861984,4019005,1956,3590.0
2015-12-13,3559.0,3620.0,3542.0,3582.0,8188276247,2286154,1060,3570.0
2015-12-14,3579.0,3655.0,3528.0,3625.0,25006428130,6897879,2563,3640.0
2015-12-15,3626.0,3680.0,3626.0,3662.0,14400814960,3932406,1459,3663.0
2015-12-16,3698.0,3725.0,3621.0,3654.0,10520877800,2879223,1230,3650.0
2015-12-19,3625.0,3625.0,3530.0,3563.0,5914928858,1659947,675,3541.0
2015-12-20,3500.0,3560.0,3500.0,3516.0,3562597456,1013312,375,3529.0
2015-12-21,3549.0,3619.0,3538.0,3566.0,3904769689,1095022,432,3573.0
2015-12-22,3560.0,3584.0,3500.0,3516.0,3372097946,958989,486,3518.0
2015-12-23,3520.0,3535.0,3495.0,3503.0,4111846234,1173771,470,3497.0
2015-12-26,3500.0,3550.0,3481.0,3496.0,3066589879,877172,352,3503.0
2015-12-27,3500.0,3610.0,3484.0,3561.0,6708424252,1883776,786,3600.0
2015-12-28,3515.0,3632.0,3515.0,3586.0,4545440887,1267403,532,3560.0
2015-12-30,3550.0,3753.0,3550.0,3677.0,12152592870,3304639,1167,3656.0
2016-01-02,3676.0,3677.0,3601.0,3628.0,3881749885,1070082,490,3636.0
2016-01-03,3610.0,3640.0,3577.0,3623.0,7790748344,2150438,748,3640.0
2016-01-04,3619.0,3710.0,3619.0,3672.0,8764130334,2386693,893,3665.0
2016-01-05,3633.0,3855.0,3633.0,3838.0,38156472279,9940905,3029,3855.0
2016-01-06,3901.0,4029.0,3900.0,4027.0,107012660224,26576840,5786,4029.0
2016-01-09,4228.0,4228.0,4121.0,4223.0,146152215633,34611606,7673,4140.0
2016-01-10,4180.0,4434.0,4133.0,4371.0,59549336291,13624117,4078,4350.0
2016-01-11,4390.0,4520.0,4370.0,4436.0,24504613116,5523999,1737,4390.0
2016-01-12,4406.0,4450.0,4285.0,4373.0,25034499075,5725316,1619,4350.0
2016-01-13,4375.0,4419.0,4309.0,4357.0,22699010540,5210320,1600,4350.0
2016-01-16,4488.0,4574.0,4411.0,4524.0,33505882683,7405490,1065,4574.0
2016-01-17,4650.0,4700.0,4334.0,4502.0,31957445726,7098341,842,4422.0
2016-01-18,4457.0,4500.0,4317.0,4420.0,7953279326,1799544,302,4467.0
2016-01-19,4501.0,4641.0,4501.0,4639.0,28544477573,6152760,625,4641.0
2016-01-20,4600.0,4845.0,4520.0,4725.0,17375940325,3677643,480,4750.0
2016-01-23,4718.0,4849.0,4569.0,4695.0,27942775236,5951954,706,4710.0
2016-01-24,4729.0,4729.0,4604.0,4681.0,10740938578,2294611,423,4664.0
2016-01-25,4640.0,4720.0,4555.0,4671.0,18059837842,3866620,511,4600.0
2016-01-26,4620.0,4904.0,4620.0,4841.0,59120451321,12212663,1177,4900.0
2016-01-27,4900.0,4900.0,4599.0,4712.0,15423271799,3272943,570,4630.0
2016-01-30,4570.0,4650.0,4477.0,4516.0,12163400494,2693233,398,4479.0
2016-01-31,4535.0,4536.0,4371.0,4441.0,3121529686,702883,160,4479.0
2016-02-01,4578.0,4663.0,4578.0,4658.0,16432326392,3527404,331,4663.0
2016-02-02,4800.0,4878.0,4590.0,4697.0,8819291047,1877609,276,4603.0
2016-02-03,4474.0,4730.0,4474.0,4572.0,9571012487,2093234,247,4571.0
2016-02-06,4749.0,4749.0,4622.0,4678.0,4801460491,1026284,163,4632.0
2016-02-07,4740.0,4911.0,4725.0,4896.0,28875898622,5897526,665,4890.0
2016-02-08,4947.0,5140.0,4947.0,5122.0,33983434246,6634338,769,5140.0
2016-02-09,5300.0,5367.0,4906.0,5206.0,17386881944,3339646,657,4950.0
2016-02-10,4946.0,5264.0,4946.0,5063.0,19858767523,3922153,626,5000.0
2016-02-13,4906.0,5020.0,4810.0,4823.0,16995522839,3524034,366,4810.0
2016-02-14,4660.0,4900.0,4660.0,4798.0,5504136528,1147179,176,4740.0
2016-02-15,4770.0,4957.0,4770.0,4852.0,5095228120,1050211,198,4790.0
2016-02-16,4783.0,4800.0,4656.0,4714.0,8012182024,1699486,250,4735.0
2016-02-17,4622.0,4899.0,4622.0,4793.0,10161332765,2120025,337,4889.0
2016-02-20,4842.0,4842.0,4554.0,4636.0,16291676820,3513909,422,4571.0
2016-02-21,4580.0,4600.0,4405.0,4484.0,9846217841,2196100,238,4500.0
2016-02-22,4510.0,4708.0,4502.0,4686.0,2278543062,486232,118,4680.0
2016-02-23,4799.0,4799.0,4452.0,4497.0,7934204739,1764320,227,4452.0
2016-02-24,4480.0,4630.0,4400.0,4543.0,8482890026,1867172,201,4630.0
2016-02-27,4649.0,4686.0,4501.0,4604.0,1100126440,238959,103,4550.0
2016-02-28,4550.0,4590.0,4466.0,4506.0,4472418718,992655,172,4500.0
2016-02-29,4590.0,4600.0,4500.0,4518.0,2496637047,552619,122,4500.0
2016-03-01,4598.0,4670.0,4518.0,4608.0,2876564037,624275,163,4550.0
2016-03-02,4550.0,4550.0,4500.0,4513.0,6176857755,1368663,154,4515.0
2016-03-05,4500.0,4738.0,4500.0,4723.0,11894493494,2518620,345,4738.0
2016-03-06,4724.0,4880.0,4723.0,4808.0,5939005391,1235299,262,4808.0
2016-03-07,4800.0,4800.0,4568.0,4609.0,10782416568,2339677,314,4600.0
2016-03-08,4514.0,4600.0,4500.0,4529.0,6445475128,1423244,203,4507.0
2016-03-09,4570.0,4620.0,4500.0,4552.0,7403386669,1626461,169,4550.0
2016-03-12,4514.0,4769.0,4514.0,4656.0,7517352846,1614440,296,4521.0
2016-03-14,4570.0,4777.0,4570.0,4703.0,12616599974,2682486,504,4668.0
2016-03-15,4680.0,4680.0,4516.0,4617.0,21215959950,4595551,449,4621.0
2016-03-16,4570.0,4630.0,4390.0,4455.0,11623168371,2608779,400,4425.0
2016-03-26,4367.0,4480.0,4367.0,4400.0,2452393296,557307,129,4410.0
2016-03-27,4390.0,4400.0,4315.0,4340.0,2002976327,461513,99,4340.0
2016-03-28,4400.0,4432.0,4123.0,4204.0,1514469235,360262,86,4300.0
2016-03-29,4390.0,4414.0,4350.0,4396.0,1482380718,337187,76,4414.0
2016-03-30,4450.0,4590.0,4200.0,4483.0,1934356640,431517,153,4448.0
2016-04-02,4410.0,4448.0,4290.0,4380.0,1523659915,347849,87,4350.0
2016-04-03,4445.0,4450.0,4287.0,4353.0,2257943811,518675,140,4390.0
2016-04-04,4410.0,4410.0,4276.0,4316.0,3959060804,917291,113,4310.0
2016-04-05,4256.0,4410.0,4256.0,4371.0,1270367376,290661,122,4380.0
2016-04-06,4400.0,4400.0,4283.0,4336.0,1198383778,276388,78,4311.0
2016-04-09,4377.0,4399.0,4295.0,4341.0,2226787933,513016,97,4304.0
2016-04-10,4300.0,4368.0,4291.0,4307.0,2705381098,628087,103,4316.0
2016-04-11,4349.0,4350.0,4301.0,4317.0,648035256,150127,41,4320.0
2016-04-12,4322.0,4322.0,4210.0,4252.0,3726661162,876506,97,4211.0
2016-04-13,4280.0,4280.0,4141.0,4154.0,2289354305,551055,91,4169.0
2016-04-16,4122.0,4122.0,3947.0,4004.0,2163184147,540241,112,3947.0
2016-04-17,3902.0,4054.0,3901.0,4009.0,1557322266,388409,65,4020.0
2016-04-18,4020.0,4189.0,4020.0,4122.0,2770777181,672120,73,4121.0
2016-04-19,4100.0,4101.0,3920.0,4012.0,2067408073,515287,79,3920.0
2016-04-20,4001.0,4090.0,4001.0,4045.0,949409872,234717,33,4056.0
2016-04-23,4000.0,4170.0,4000.0,4071.0,567825226,139488,32,4070.0
2016-04-24,4159.0,4269.0,4159.0,4214.0,1557765057,369630,85,4269.0
2016-04-25,4269.0,4270.0,4200.0,4229.0,1587712822,375464,79,4203.0
2016-04-26,4151.0,4161.0,4150.0,4154.0,396470851,95433,25,4160.0
2016-04-27,4207.0,4361.0,4159.0,4320.0,1140225968,263968,114,4361.0
2016-04-30,4322.0,4409.0,4300.0,4350.0,3494075194,803272,115,4341.0
2016-05-01,4350.0,4359.0,4270.0,4284.0,947449845,221145,57,4288.0
2016-05-02,4210.0,4349.0,4204.0,4258.0,1194602453,280573,83,4349.0
2016-05-03,4350.0,4350.0,4152.0,4193.0,1709799429,407762,64,4173.0
2016-05-04,4171.0,4199.0,4160.0,4173.0,777173484,186218,42,4181.0
2016-05-07,4150.0,4260.0,4130.0,4180.0,814606489,194877,45,4145.0
2016-05-08,4175.0,4200.0,4141.0,4185.0,590505150,141090,46,4163.0
2016-05-09,4150.0,4180.0,4119.0,4143.0,1214878500,293263,44,4140.0
2016-05-10,4106.0,4144.0,4080.0,4117.0,1320026894,320642,46,4107.0
2016-05-11,4072.0,4136.0,4011.0,4037.0,3240465678,802686,89,4136.0
2016-05-14,4238.0,4238.0,4238.0,4238.0,51546794,12163,7,4238.0
2016-05-18,4300.0,4350.0,4270.0,4301.0,4253131495,988925,134,4300.0
2016-05-25,3963.0,3998.0,3900.0,3931.0,5806565505,1477292,144,3921.0
2016-05-28,3921.0,4090.0,3900.0,4030.0,3941770418,978053,173,4050.0
2016-05-29,4030.0,4086.0,4002.0,4051.0,1084991392,267861,40,4022.0
2016-05-30,4035.0,4115.0,4035.0,4097.0,1748292281,426722,64,4100.0
2016-05-31,4079.0,4189.0,4050.0,4131.0,1269294354,307264,43,4165.0
2016-06-01,4100.0,4231.0,4002.0,4189.0,1724854914,411770,73,4200.0
