date,open,high,low,adjClose,value,volume,count,close
2019-02-05,11500.0,11999.0,11450.0,11506.0,7251298737,630208,82,11500.0
2019-02-06,11700.0,11700.0,11202.0,11459.0,1704501218,151051,82,11220.0
2019-02-10,11120.0,11400.0,11120.0,11440.0,1567900964,138016,44,11400.0
2019-02-12,11229.0,11500.0,11229.0,11433.0,2048350865,179487,48,11499.0
2019-02-13,11500.0,11500.0,11230.0,11424.0,437438140,38831,31,11449.0
2019-02-16,11231.0,11231.0,10950.0,11300.0,3151240074,283616,88,11000.0
2019-02-17,10972.0,11000.0,10900.0,11198.0,2103145184,192597,61,10998.0
2019-02-18,10998.0,10998.0,10701.0,11085.0,2379456083,219723,63,10850.0
2019-02-19,10900.0,11200.0,10900.0,11070.0,4415001476,399229,57,11155.0
2019-02-20,11230.0,11400.0,11171.0,11164.0,3604454676,319498,79,11399.0
2019-02-23,11400.0,11697.0,11300.0,11204.0,902237045,78245,46,11422.0
2019-02-24,11739.0,11739.0,11451.0,11382.0,4745828720,412217,92,11590.0
2019-02-25,11589.0,11639.0,11390.0,11431.0,2273064452,196645,72,11638.0
2019-02-26,11402.0,11600.0,11253.0,11380.0,2636878700,233884,71,11350.0
2019-02-27,11350.0,11600.0,11300.0,11407.0,2098929076,182745,62,11530.0
2019-03-02,11529.0,11529.0,11253.0,11395.0,1890702558,166531,54,11303.0
2019-03-03,11300.0,11597.0,11257.0,11390.0,674560856,59512,62,11497.0
2019-03-04,11390.0,11449.0,11303.0,11386.0,1077927484,94897,45,11340.0
2019-03-05,11300.0,11395.0,11252.0,11370.0,1456263893,128878,53,11253.0
2019-03-06,11261.0,11446.0,11261.0,11363.0,1382585870,122030,25,11446.0
2019-03-09,11480.0,11756.0,11350.0,11376.0,26344184011,2315832,216,11756.0
2019-03-10,11623.0,11879.0,11600.0,11582.0,3794301935,320594,131,11604.0
2019-03-11,11800.0,12000.0,11600.0,11671.0,3442769857,291774,93,11896.0
2019-03-12,12100.0,12100.0,11720.0,11693.0,1383877231,117253,52,11940.0
2019-03-13,11974.0,12277.0,11800.0,11794.0,1773297388,145498,89,12277.0
2019-03-16,12383.0,12383.0,12383.0,11870.0,1142913751,92297,28,12383.0
2019-03-17,12463.0,12463.0,12463.0,12463.0,8923071795,715965,33,12463.0
2019-03-18,13086.0,13086.0,12902.0,13080.0,34564574332,2642476,180,13086.0
2019-03-19,13390.0,13734.0,13170.0,13640.0,16092890645,1179827,252,13720.0
2019-03-25,13720.0,13720.0,13100.0,13451.0,5689668735,427028,103,13498.0
2019-03-26,13499.0,13650.0,13403.0,13550.0,12196862900,900129,103,13551.0
2019-03-27,13700.0,14000.0,13610.0,13626.0,3501326253,254398,73,13620.0
2019-03-30,13999.0,13999.0,13685.0,13633.0,533074326,38761,55,13750.0
2019-03-31,13701.0,13990.0,13300.0,13631.0,3299921140,242178,94,13600.0
