date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-15,7940.0,7940.0,7940.0,7940.0,9528000,1200,1,0.0,7940.0
2001-04-22,7940.0,7940.0,7940.0,7940.0,794000,100,1,7940.0,7940.0
2001-04-23,7939.0,7939.0,7936.0,7936.0,1587500,200,2,7940.0,7936.0
2001-04-24,7930.0,7940.0,7927.0,7940.0,36489557,4600,12,7936.0,7940.0
2001-04-25,7941.0,7941.0,7941.0,7941.0,3494040,440,1,7940.0,7941.0
2001-04-28,7942.0,7950.0,7942.0,7946.0,48228220,6070,4,7941.0,7946.0
2001-04-29,8000.0,8000.0,8000.0,8000.0,16000000,2000,2,7946.0,8000.0
2001-04-30,8000.0,8000.0,8000.0,8000.0,1760000,220,1,8000.0,8000.0
2001-05-01,8050.0,8050.0,8000.0,8050.0,39960000,4980,6,8000.0,8050.0
2001-05-02,8050.0,8050.0,8050.0,8050.0,6440000,800,1,8050.0,8050.0
2001-05-05,8100.0,8100.0,8100.0,8100.0,26730000,3300,5,8050.0,8100.0
2001-05-07,8150.0,8200.0,8150.0,8200.0,19620000,2400,3,8100.0,8200.0
2001-05-08,8290.0,8300.0,8290.0,8300.0,14105000,1700,3,8200.0,8300.0
2001-06-19,10000.0,10000.0,10000.0,10000.0,28000000,2800,5,8300.0,10000.0
2001-06-20,9800.0,9890.0,9800.0,9800.0,30434000,3100,4,10000.0,9800.0
2001-06-24,9699.0,9699.0,9590.0,9590.0,27441500,2850,5,9800.0,9590.0
2001-06-25,9500.0,9590.0,9500.0,9590.0,77753075,8156,13,9590.0,9590.0
2001-06-26,9590.0,9880.0,9590.0,9880.0,162482390,16751,39,9590.0,9880.0
2001-06-27,9930.0,10100.0,9930.0,10100.0,101304000,10080,30,9880.0,10100.0
2001-06-30,10153.0,10500.0,10150.0,10500.0,79987400,7800,27,10100.0,10500.0
2001-07-01,10724.0,10800.0,10600.0,10724.0,116991112,10913,16,10500.0,10724.0
2001-07-02,10800.0,10860.0,10800.0,10860.0,29283000,2700,6,10724.0,10860.0
2001-07-03,10720.0,10727.0,10699.0,10700.0,69100950,6449,11,10860.0,10700.0
2001-07-04,10770.0,10772.0,10699.0,10772.0,5615145690,521408,36,10700.0,10772.0
2001-07-07,10770.0,10870.0,10770.0,10870.0,981034990,90977,20,10772.0,10870.0
2001-07-09,10999.0,10999.0,10999.0,10999.0,13198800,1200,4,10870.0,10999.0
2001-07-10,10980.0,10980.0,10701.0,10701.0,35019000,3260,10,10999.0,10701.0
2001-07-11,10672.0,10770.0,10400.0,10770.0,151203166,14227,23,10701.0,10770.0
2001-07-14,10750.0,10850.0,10750.0,10850.0,147345188,13654,19,10770.0,10850.0
2001-07-15,10845.0,10845.0,10770.0,10800.0,184232350,17070,36,10850.0,10800.0
2001-07-16,10830.0,10980.0,10770.0,10950.0,235421000,21700,50,10800.0,10950.0
2001-08-13,11200.0,12025.0,11100.0,12025.0,33255000,2900,8,10950.0,12025.0
2001-08-15,12626.0,12626.0,12626.0,12626.0,128785200,10200,24,12025.0,12626.0
2001-08-18,13250.0,13257.0,13250.0,13257.0,826543193,62349,45,12626.0,13257.0
2001-08-19,13000.0,13200.0,13000.0,13001.0,146574457,11270,18,13257.0,13001.0
2001-08-20,12996.0,12996.0,12996.0,12996.0,7797600,600,1,13001.0,12996.0
2001-08-21,12500.0,12500.0,12500.0,12500.0,32250000,2580,4,12996.0,12500.0
2001-08-22,12501.0,12501.0,12489.0,12500.0,74951280,6000,5,12500.0,12500.0
2001-08-25,12300.0,12300.0,12300.0,12300.0,12300000,1000,1,12500.0,12300.0
2001-09-01,11875.0,11875.0,11875.0,11875.0,11875000,1000,1,12300.0,11875.0
2001-09-02,11330.0,11330.0,11330.0,11330.0,56650000,5000,6,11875.0,11330.0
2001-09-03,11330.0,11330.0,11330.0,11330.0,57783000,5100,8,11330.0,11330.0
2001-09-04,11328.0,11340.0,11250.0,11340.0,93191430,8230,13,11330.0,11340.0
2001-09-05,11340.0,11340.0,11340.0,11340.0,18144000,1600,1,11340.0,11340.0
2001-09-11,11514.0,11514.0,11514.0,11514.0,23028000,2000,2,11340.0,11514.0
2001-09-12,11518.0,11520.0,11518.0,11520.0,22577680,1960,3,11514.0,11520.0
2001-09-16,11550.0,11550.0,11520.0,11520.0,62298000,5400,5,11520.0,11520.0
2001-09-17,11520.0,11520.0,11520.0,11520.0,23040000,2000,5,11520.0,11520.0
2001-09-19,11490.0,11520.0,11490.0,11520.0,177905076,15463,10,11520.0,11520.0
2001-09-22,11530.0,11530.0,11530.0,11530.0,20165970,1749,1,11520.0,11530.0
2001-09-23,11600.0,11600.0,11530.0,11530.0,40495000,3500,2,11530.0,11530.0
2001-09-24,11530.0,11550.0,11530.0,11550.0,21917000,1900,5,11530.0,11550.0
2001-09-25,11501.0,11550.0,11500.0,11550.0,54006200,4694,4,11550.0,11550.0
2001-09-26,11500.0,11560.0,11500.0,11560.0,18482000,1604,3,11550.0,11560.0
2001-09-29,11560.0,11560.0,11560.0,11560.0,23120000,2000,3,11560.0,11560.0
2001-10-02,11600.0,11600.0,11600.0,11600.0,13920000,1200,2,11560.0,11600.0
2001-10-07,11570.0,11600.0,11570.0,11600.0,55104000,4755,5,11600.0,11600.0
2001-10-08,11599.0,11600.0,11599.0,11600.0,17399700,1500,3,11600.0,11600.0
2001-10-09,11568.0,11600.0,11568.0,11600.0,139835750,12061,16,11600.0,11600.0
2001-10-10,11599.0,11600.0,11599.0,11600.0,289991537,25000,20,11600.0,11600.0
2001-10-17,11569.0,11600.0,11569.0,11600.0,231760940,20000,11,11600.0,11600.0
2001-10-20,11594.0,11600.0,11594.0,11600.0,92191626,7950,10,11600.0,11600.0
2001-10-22,11600.0,11600.0,11600.0,11600.0,18560000,1600,2,11600.0,11600.0
2001-10-23,11600.0,11600.0,11600.0,11600.0,13200800,1138,2,11600.0,11600.0
2001-10-24,11604.0,11604.0,11600.0,11600.0,46407000,4000,5,11600.0,11600.0
2001-10-27,11600.0,11600.0,11600.0,11600.0,27840000,2400,5,11600.0,11600.0
2001-10-28,11600.0,11600.0,11600.0,11600.0,13920000,1200,1,11600.0,11600.0
2001-10-29,11600.0,11600.0,11600.0,11600.0,5800000,500,1,11600.0,11600.0
2001-10-30,11601.0,11601.0,11601.0,11601.0,11601000,1000,1,11600.0,11601.0
2001-10-31,11602.0,11602.0,11602.0,11602.0,13922400,1200,1,11601.0,11602.0
2001-11-04,11602.0,11602.0,11602.0,11602.0,18331160,1580,2,11602.0,11602.0
2001-11-06,11700.0,11701.0,11700.0,11701.0,11700600,1000,4,11602.0,11701.0
2001-11-10,11822.0,11822.0,11821.0,11821.0,5910965,500,2,11701.0,11821.0
2001-11-11,11881.0,11881.0,11881.0,11881.0,5940500,500,1,11821.0,11881.0
2001-11-12,11950.0,11967.0,11950.0,11966.0,11956650,1000,3,11881.0,11966.0
2001-11-13,11970.0,12013.0,11970.0,12013.0,6907620,576,2,11966.0,12013.0
2001-11-14,12056.0,12056.0,12056.0,12056.0,6028000,500,1,12013.0,12056.0
2001-11-17,12300.0,12320.0,12300.0,12301.0,27071200,2200,4,12056.0,12301.0
2001-11-19,12280.0,12301.0,12280.0,12301.0,60877350,4950,6,12301.0,12301.0
2001-11-24,12150.0,12150.0,12107.0,12107.0,48514000,4000,2,12301.0,12107.0
2001-11-25,11803.0,11803.0,11803.0,11803.0,7081800,600,1,12107.0,11803.0
2001-11-26,11803.0,11803.0,11802.0,11802.0,28325215,2400,4,11803.0,11802.0
2001-11-27,11802.0,11802.0,11802.0,11802.0,14162400,1200,2,11802.0,11802.0
2001-12-01,11802.0,11802.0,11802.0,11802.0,177030,15,1,11802.0,11802.0
2001-12-11,11500.0,11785.0,11500.0,11785.0,119413360,10177,14,11802.0,11785.0
2001-12-12,11785.0,11790.0,11785.0,11790.0,41256500,3500,6,11785.0,11790.0
