date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-06-02,4300.0,4300.0,4300.0,4300.0,8600000,2000,4,4300.0,4300.0
2001-06-03,4300.0,4300.0,4300.0,4300.0,8600000,2000,3,4300.0,4300.0
2001-06-12,4085.0,4085.0,4085.0,4085.0,10212500,2500,4,4300.0,4085.0
2001-06-19,4085.0,4085.0,4085.0,4085.0,7696140,1884,3,4085.0,4085.0
2001-06-20,4085.0,4085.0,4085.0,4085.0,2230410,546,1,4085.0,4085.0
2001-06-26,4077.0,4080.0,4070.0,4070.0,19673352,4827,9,4085.0,4070.0
2001-06-27,4067.0,4067.0,4067.0,4067.0,4880400,1200,2,4070.0,4067.0
2001-07-03,3867.0,3867.0,3867.0,3867.0,6225870,1610,2,4067.0,3867.0
2001-07-07,3867.0,3867.0,3867.0,3867.0,1276110,330,1,3867.0,3867.0
2001-07-08,3800.0,3800.0,3800.0,3800.0,38228000,10060,5,3867.0,3800.0
2001-07-11,3800.0,3800.0,3800.0,3800.0,190000,50,1,3800.0,3800.0
2001-07-14,3800.0,3900.0,3800.0,3900.0,3805000,1000,2,3800.0,3900.0
2001-08-05,4100.0,4100.0,4100.0,4100.0,4100000,1000,1,3900.0,4100.0
2001-08-06,3900.0,3900.0,3900.0,3900.0,19500000,5000,3,4100.0,3900.0
2001-09-11,3849.0,3849.0,3849.0,3849.0,19245000,5000,3,3900.0,3849.0
2001-09-12,3848.0,3848.0,3848.0,3848.0,2097160,545,109,3849.0,3848.0
2001-10-07,3789.0,3790.0,3789.0,3790.0,13261811,3500,4,3848.0,3790.0
2001-10-09,3786.0,3787.0,3786.0,3787.0,18930334,5000,2,3790.0,3787.0
2001-10-17,3773.0,3787.0,3773.0,3787.0,52920841,14000,13,3787.0,3787.0
2001-10-29,3598.0,3598.0,3598.0,3598.0,7196000,2000,2,3787.0,3598.0
2001-10-31,3597.0,3598.0,3597.0,3598.0,35601854,9897,8,3598.0,3598.0
2001-11-04,3701.0,3701.0,3700.0,3700.0,8511000,2300,2,3598.0,3700.0
2001-11-07,3700.0,3700.0,3700.0,3700.0,14951700,4041,6,3700.0,3700.0
2001-11-11,3700.0,3700.0,3700.0,3700.0,3700000,1000,1,3700.0,3700.0
2001-11-26,3600.0,3700.0,3590.0,3700.0,16122000,4400,6,3700.0,3700.0
2001-11-27,3700.0,3700.0,3700.0,3700.0,11100000,3000,1,3700.0,3700.0
2001-11-28,3700.0,3700.0,3700.0,3700.0,3700000,1000,1,3700.0,3700.0
2001-12-01,3700.0,3700.0,3700.0,3700.0,370000,100,6,3700.0,3700.0
2001-12-02,3700.0,3700.0,3700.0,3700.0,3700000,1000,1,3700.0,3700.0
2001-12-03,3620.0,3700.0,3592.0,3700.0,37481921,10397,18,3700.0,3700.0
2001-12-05,3697.0,3700.0,3697.0,3700.0,44516600,12033,12,3700.0,3700.0
2001-12-09,3711.0,3711.0,3710.0,3710.0,13357000,3600,2,3700.0,3710.0
2001-12-10,3800.0,3849.0,3724.0,3849.0,36792087,9730,6,3710.0,3849.0
2001-12-11,3849.0,4011.0,3849.0,4011.0,100822333,26033,18,3849.0,4011.0
2001-12-12,4097.0,4211.0,4001.0,4211.0,75512523,18459,13,4011.0,4211.0
2001-12-15,4213.0,4421.0,4211.0,4211.0,124765540,29400,14,4211.0,4211.0
2001-12-17,4210.0,4421.0,4210.0,4211.0,47847100,11000,6,4211.0,4211.0
2002-01-28,2500.0,2500.0,2500.0,2500.0,1250000,500,1,4211.0,2500.0
2002-01-29,2625.0,2625.0,2625.0,2625.0,63000000,24000,11,2500.0,2625.0
2002-01-30,2624.0,2625.0,2624.0,2624.0,24931600,9500,6,2625.0,2624.0
2002-02-03,2614.0,2614.0,2614.0,2614.0,5228000,2000,1,2624.0,2614.0
2002-02-04,2611.0,2613.0,2611.0,2613.0,13061900,5000,3,2614.0,2613.0
2002-02-05,2602.0,2602.0,2602.0,2602.0,5464200,2100,1,2613.0,2602.0
2002-02-06,2599.0,2599.0,2599.0,2599.0,2806920,1080,1,2602.0,2599.0
2002-02-09,2598.0,2599.0,2598.0,2599.0,389750,150,2,2599.0,2599.0
2002-02-10,2589.0,2589.0,2589.0,2589.0,258900,100,1,2599.0,2589.0
2002-02-12,2585.0,2585.0,2574.0,2574.0,22781000,8850,5,2589.0,2574.0
2002-02-13,2574.0,2579.0,2574.0,2579.0,15194600,5900,6,2574.0,2579.0
2002-02-16,2579.0,2580.0,2579.0,2580.0,28681099,11119,10,2579.0,2580.0
2002-02-17,2578.0,2578.0,2578.0,2578.0,257800,100,1,2580.0,2578.0
2002-02-18,2578.0,2578.0,2578.0,2578.0,25780000,10000,4,2578.0,2578.0
2002-02-19,2577.0,2577.0,2577.0,2577.0,13013850,5050,4,2578.0,2577.0
2002-02-20,2577.0,2577.0,2577.0,2577.0,128850,50,1,2577.0,2577.0
2002-02-24,2577.0,2578.0,2577.0,2578.0,13014136,5050,4,2577.0,2578.0
2002-02-25,2577.0,2577.0,2577.0,2577.0,257700,100,1,2578.0,2577.0
2002-02-26,2574.0,2574.0,2574.0,2574.0,993564,386,2,2577.0,2574.0
2002-02-27,2574.0,2574.0,2574.0,2574.0,514800,200,1,2574.0,2574.0
2002-03-02,2574.0,2574.0,2574.0,2574.0,128700,50,1,2574.0,2574.0
2002-03-04,2573.0,2573.0,2573.0,2573.0,257300,100,1,2574.0,2573.0
2002-03-05,2572.0,2572.0,2572.0,2572.0,257200,100,1,2573.0,2572.0
2002-03-06,2569.0,2569.0,2569.0,2569.0,256900,100,1,2572.0,2569.0
2002-03-09,2565.0,2565.0,2565.0,2565.0,256500,100,1,2569.0,2565.0
2002-03-10,2565.0,2570.0,2565.0,2570.0,77078379,30000,13,2565.0,2570.0
2002-03-11,2570.0,2575.0,2570.0,2575.0,51162510,19887,13,2570.0,2575.0
2002-03-12,2576.0,2578.0,2576.0,2577.0,5413500,2100,3,2575.0,2577.0
2002-03-13,2577.0,2577.0,2577.0,2577.0,257700,100,1,2577.0,2577.0
2002-03-16,2705.0,2800.0,2705.0,2800.0,11200270500,4000100,2,2577.0,2800.0
2002-03-17,2696.0,2696.0,2680.0,2680.0,7153000,2665,2,2800.0,2680.0
2002-03-18,2650.0,2650.0,2650.0,2650.0,2716250,1025,1,2680.0,2650.0
