date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-26,5798.0,5798.0,5798.0,5798.0,1182792,204,1,0.0,5798.0
2001-03-28,5797.0,5797.0,5797.0,5797.0,1159400,200,1,5798.0,5797.0
2001-04-09,5779.0,5779.0,5779.0,5779.0,1976418,342,1,5797.0,5779.0
2001-04-10,5779.0,5779.0,5779.0,5779.0,16938249,2931,5,5779.0,5779.0
2001-04-11,5796.0,5796.0,5796.0,5796.0,6711768,1158,1,5779.0,5796.0
2001-04-14,5797.0,5850.0,5797.0,5850.0,4167572,714,2,5796.0,5850.0
2001-04-16,5851.0,5855.0,5851.0,5855.0,6735221,1151,3,5850.0,5855.0
2001-04-17,5857.0,5859.0,5857.0,5859.0,5635358,962,2,5855.0,5859.0
2001-04-18,5940.0,6000.0,5866.0,6000.0,33144564,5554,8,5859.0,6000.0
2001-04-21,6100.0,6100.0,6100.0,6100.0,6039000,990,1,6000.0,6100.0
2001-04-24,6405.0,6405.0,6405.0,6405.0,4694865,733,1,6100.0,6405.0
2001-04-25,6411.0,6725.0,6411.0,6412.0,22396825,3377,7,6405.0,6412.0
2001-04-28,6501.0,6732.0,6501.0,6732.0,25165544,3767,5,6412.0,6732.0
2001-04-29,6731.0,6750.0,6730.0,6732.0,437133816,64904,29,6732.0,6732.0
2001-04-30,6734.0,7068.0,6732.0,6732.0,340649000,50500,26,6732.0,6732.0
2001-05-01,6738.0,6738.0,6737.0,6737.0,90950500,13500,17,6732.0,6737.0
2001-05-02,6737.0,6737.0,6737.0,6737.0,33685000,5000,8,6737.0,6737.0
2001-05-05,6737.0,6737.0,6736.0,6737.0,37293032,5536,7,6737.0,6737.0
2001-05-06,6737.0,6737.0,6737.0,6737.0,23599711,3503,2,6737.0,6737.0
2001-05-07,6737.0,6737.0,6730.0,6737.0,21348090,3170,5,6737.0,6737.0
2001-05-08,6690.0,6737.0,6690.0,6737.0,67305952,10000,8,6737.0,6737.0
2001-05-09,6737.0,6737.0,6737.0,6737.0,18392010,2730,2,6737.0,6737.0
2001-05-12,6500.0,6500.0,6500.0,6500.0,19500000,3000,4,6737.0,6500.0
2001-05-13,6522.0,6522.0,6500.0,6500.0,133530624,20517,18,6500.0,6500.0
2001-05-15,6502.0,6511.0,6500.0,6500.0,100769342,15491,10,6500.0,6500.0
2001-05-16,6500.0,6825.0,6500.0,6750.0,106700000,15945,16,6500.0,6750.0
2001-05-19,6900.0,6900.0,6802.0,6823.0,40697545,5918,10,6750.0,6823.0
2001-05-20,6833.0,6833.0,6832.0,6832.0,15714600,2300,6,6823.0,6832.0
2001-05-21,6835.0,6835.0,6835.0,6835.0,8202000,1200,3,6832.0,6835.0
2001-05-23,7000.0,7150.0,7000.0,7003.0,37705600,5365,6,6835.0,7003.0
2001-05-26,7350.0,7350.0,7022.0,7022.0,16103400,2200,3,7003.0,7022.0
2001-05-27,7373.0,7373.0,7045.0,7100.0,19568500,2700,4,7022.0,7100.0
2001-05-29,7350.0,7350.0,7112.0,7112.0,10624950,1465,2,7100.0,7112.0
2001-05-30,7111.0,7114.0,7111.0,7112.0,3556120,500,4,7112.0,7112.0
2001-06-02,7118.0,7122.0,7115.0,7122.0,58507125,8220,8,7112.0,7122.0
2001-06-03,7122.0,7122.0,7120.0,7120.0,31726275,4455,9,7122.0,7120.0
2001-06-06,7121.0,7350.0,7121.0,7350.0,32263285,4465,8,7120.0,7350.0
2001-06-11,7501.0,7502.0,7501.0,7502.0,13503200,1800,2,7350.0,7502.0
2001-06-12,7511.0,7521.0,7490.0,7490.0,61934201,8247,16,7502.0,7490.0
2001-06-13,7485.0,7490.0,7480.0,7485.0,50430229,6736,14,7490.0,7485.0
2001-06-17,7464.0,7464.0,7463.0,7463.0,10748020,1440,2,7485.0,7463.0
2001-06-18,7440.0,7440.0,7440.0,7440.0,13488720,1813,2,7463.0,7440.0
2001-06-19,7439.0,7460.0,7429.0,7459.0,215832030,29006,30,7440.0,7459.0
2001-06-20,7474.0,7500.0,7472.0,7500.0,204909060,27408,20,7459.0,7500.0
2001-06-23,7520.0,7525.0,7500.0,7525.0,16395000,2180,5,7500.0,7525.0
2001-06-24,7650.0,7650.0,7546.0,7650.0,62541320,8208,12,7525.0,7650.0
2001-06-25,7650.0,7697.0,7650.0,7697.0,44131250,5750,7,7650.0,7697.0
2001-06-26,7701.0,7757.0,7701.0,7757.0,26511904,3424,3,7697.0,7757.0
2001-06-27,7785.0,7950.0,7785.0,7950.0,35333464,4500,6,7757.0,7950.0
2001-06-30,8000.0,8000.0,7850.0,7850.0,83710710,10540,23,7950.0,7850.0
2001-07-01,7790.0,7850.0,7600.0,7600.0,40721057,5290,11,7850.0,7600.0
2001-07-02,7500.0,7500.0,7480.0,7500.0,75334000,10050,15,7600.0,7500.0
2001-07-03,7410.0,7570.0,7400.0,7421.0,366662292,49002,40,7500.0,7421.0
2001-07-04,7430.0,7790.0,7430.0,7705.0,109939755,14292,14,7421.0,7705.0
2001-07-29,7000.0,7000.0,6502.0,6999.0,63787093,9120,13,7705.0,6999.0
2001-07-30,6942.0,6942.0,6942.0,6942.0,3471000,500,1,6999.0,6942.0
2001-07-31,6916.0,6916.0,6650.0,6650.0,68916550,10327,18,6942.0,6650.0
2001-08-01,6796.0,6800.0,6650.0,6800.0,67476320,10010,19,6650.0,6800.0
2001-08-04,6849.0,6849.0,6800.0,6800.0,30730136,4512,9,6800.0,6800.0
2001-08-05,6800.0,6800.0,6800.0,6800.0,1360000,200,3,6800.0,6800.0
2001-08-06,6801.0,6806.0,6801.0,6801.0,45710877,6719,9,6800.0,6801.0
2001-08-07,6753.0,6753.0,6753.0,6753.0,42273780,6260,10,6801.0,6753.0
2001-08-08,6740.0,6749.0,6740.0,6747.0,13693470,2030,5,6753.0,6747.0
2001-08-11,6747.0,6754.0,6745.0,6750.0,51970564,7700,11,6747.0,6750.0
2001-08-12,6749.0,6749.0,6600.0,6600.0,11763900,1780,3,6750.0,6600.0
2001-08-13,6700.0,6700.0,6700.0,6700.0,46866500,6995,5,6600.0,6700.0
2001-08-14,6700.0,6752.0,6700.0,6752.0,63544124,9455,10,6700.0,6752.0
2001-08-15,6800.0,6800.0,6800.0,6800.0,74800000,11000,11,6752.0,6800.0
2001-08-18,6810.0,7000.0,6800.0,7000.0,120328100,17430,22,6800.0,7000.0
2001-08-19,7001.0,7088.0,7000.0,7000.0,60521364,8614,14,7000.0,7000.0
2001-08-21,7022.0,7023.0,7000.0,7000.0,55593944,7932,13,7000.0,7000.0
2001-08-22,6999.0,6999.0,6999.0,6999.0,2603628,372,1,7000.0,6999.0
2001-08-25,7000.0,7000.0,7000.0,7000.0,16898000,2414,3,6999.0,7000.0
2001-08-26,7000.0,7000.0,6998.0,6998.0,14314040,2045,6,7000.0,6998.0
2001-08-27,6993.0,6993.0,6800.0,6800.0,40561113,5941,9,6998.0,6800.0
2001-08-28,6801.0,6801.0,6799.0,6799.0,8839300,1300,3,6800.0,6799.0
2001-08-29,6793.0,6793.0,6749.0,6750.0,14450320,2140,4,6799.0,6750.0
2001-09-01,6750.0,6750.0,6749.0,6750.0,20249000,3000,4,6750.0,6750.0
2001-09-02,6750.0,6750.0,6750.0,6750.0,27789750,4117,3,6750.0,6750.0
2001-09-03,6740.0,6740.0,6740.0,6740.0,2972340,441,1,6750.0,6740.0
2001-09-04,6770.0,6770.0,6750.0,6770.0,47900890,7077,11,6740.0,6770.0
2001-09-08,6800.0,6800.0,6777.0,6800.0,8492096,1249,6,6770.0,6800.0
2001-09-10,6800.0,6802.0,6800.0,6802.0,29247160,4300,7,6800.0,6802.0
2001-09-12,6600.0,6600.0,6600.0,6600.0,33000000,5000,5,6802.0,6600.0
2001-09-15,6601.0,6601.0,6600.0,6600.0,9293208,1408,3,6600.0,6600.0
2001-09-16,6600.0,6602.0,6600.0,6602.0,13282118,2012,8,6600.0,6602.0
2001-09-17,6601.0,6601.0,6601.0,6601.0,5287401,801,1,6602.0,6601.0
2001-09-19,6588.0,6588.0,6586.0,6586.0,1132992,172,2,6601.0,6586.0
2001-09-22,6576.0,6600.0,6576.0,6599.0,55468846,8415,13,6586.0,6599.0
2001-09-23,6599.0,6603.0,6599.0,6603.0,23098500,3500,3,6599.0,6603.0
2001-09-24,6602.0,6603.0,6602.0,6603.0,70139169,10623,13,6603.0,6603.0
2001-09-26,6607.0,6609.0,6607.0,6607.0,23524190,3560,7,6603.0,6607.0
2001-09-29,6609.0,6609.0,6608.0,6608.0,6965343,1054,9,6607.0,6608.0
2001-10-02,6600.0,6607.0,6600.0,6600.0,5117303,775,4,6608.0,6600.0
2001-10-06,6600.0,6605.0,6600.0,6601.0,11698810,1772,6,6600.0,6601.0
2001-10-07,6600.0,6600.0,6500.0,6500.0,12176000,1860,7,6601.0,6500.0
2001-10-08,6400.0,6400.0,6400.0,6400.0,16000000,2500,5,6500.0,6400.0
2001-10-13,6300.0,6300.0,6297.0,6297.0,6298500,1000,5,6400.0,6297.0
2001-10-14,6293.0,6295.0,6293.0,6294.0,13576143,2157,5,6297.0,6294.0
2001-10-16,6248.0,6250.0,6100.0,6250.0,39001760,6320,3,6294.0,6250.0
2001-10-17,6250.0,6251.0,6115.0,6115.0,24729650,4010,7,6250.0,6115.0
2001-10-20,6250.0,6420.0,6250.0,6420.0,63145600,9936,8,6115.0,6420.0
2001-10-21,6550.0,6550.0,6550.0,6550.0,3445300,526,3,6420.0,6550.0
2001-10-27,6877.0,6877.0,6616.0,6877.0,12031704,1769,6,6550.0,6877.0
2001-10-28,7220.0,7220.0,7220.0,7220.0,52706000,7300,10,6877.0,7220.0
2001-10-29,6877.0,6878.0,6877.0,6877.0,18479768,2687,7,7220.0,6877.0
2001-10-31,6799.0,6799.0,6799.0,6799.0,13598000,2000,1,6877.0,6799.0
2001-11-03,6795.0,6798.0,6795.0,6798.0,21595584,3177,7,6799.0,6798.0
2001-11-05,6798.0,6799.0,6798.0,6799.0,42895690,6310,4,6798.0,6799.0
2001-11-06,6811.0,6811.0,6811.0,6811.0,6811000,1000,1,6799.0,6811.0
2001-11-07,6831.0,6832.0,6828.0,6828.0,19653794,2878,9,6811.0,6828.0
2001-11-10,6828.0,6828.0,6828.0,6828.0,18162480,2660,5,6828.0,6828.0
2001-11-11,6828.0,6828.0,6827.0,6827.0,11073816,1622,4,6828.0,6827.0
2001-11-12,6800.0,6800.0,6800.0,6800.0,51034000,7505,10,6827.0,6800.0
2001-11-13,6701.0,6800.0,6700.0,6700.0,63319153,9428,12,6800.0,6700.0
2001-11-14,6699.0,6699.0,6699.0,6699.0,1138830,170,1,6700.0,6699.0
2001-11-17,6605.0,6605.0,6600.0,6600.0,17837457,2701,6,6699.0,6600.0
2001-11-18,6600.0,6604.0,6600.0,6604.0,21840182,3308,7,6600.0,6604.0
2001-11-19,6650.0,6650.0,6650.0,6650.0,43743700,6578,5,6604.0,6650.0
2001-11-21,6657.0,6660.0,6657.0,6660.0,10329507,1551,2,6650.0,6660.0
2001-11-24,6750.0,6750.0,6664.0,6700.0,20683352,3090,8,6660.0,6700.0
2001-11-25,6800.0,6800.0,6800.0,6800.0,3400000,500,1,6700.0,6800.0
2001-11-27,6850.0,6850.0,6850.0,6850.0,9042000,1320,1,6800.0,6850.0
2001-11-28,6999.0,7000.0,6902.0,6902.0,42057426,6017,5,6850.0,6902.0
2001-12-01,7000.0,7000.0,7000.0,7000.0,10262000,1466,2,6902.0,7000.0
2001-12-02,7007.0,7007.0,7007.0,7007.0,11211200,1600,1,7000.0,7007.0
2001-12-03,7012.0,7022.0,7012.0,7022.0,10519000,1500,8,7007.0,7022.0
2001-12-05,7100.0,7100.0,7100.0,7100.0,14200000,2000,1,7022.0,7100.0
2001-12-08,7100.0,7100.0,7100.0,7100.0,5218500,735,3,7100.0,7100.0
2001-12-12,7180.0,7180.0,7180.0,7180.0,20060920,2794,2,7100.0,7180.0
2001-12-15,7299.0,7539.0,7250.0,7539.0,41381483,5617,4,7180.0,7539.0
2001-12-17,7520.0,7520.0,7520.0,7520.0,15040000,2000,1,7539.0,7520.0
2001-12-18,7520.0,7520.0,7520.0,7520.0,3760000,500,1,7520.0,7520.0
2001-12-19,7522.0,7522.0,7522.0,7522.0,16849280,2240,3,7520.0,7522.0
2001-12-22,7527.0,7527.0,7527.0,7527.0,2935530,390,1,7522.0,7527.0
2001-12-23,7546.0,7546.0,7546.0,7546.0,1509200,200,1,7527.0,7546.0
2001-12-25,7700.0,7712.0,7596.0,7712.0,19050508,2477,4,7546.0,7712.0
2001-12-26,7761.0,7761.0,7761.0,7761.0,15522000,2000,1,7712.0,7761.0
2001-12-29,7827.0,7901.0,7820.0,7900.0,12443500,1580,5,7761.0,7900.0
2001-12-30,7900.0,7903.0,7900.0,7903.0,4654207,589,2,7900.0,7903.0
2001-12-31,7903.0,7904.0,7903.0,7904.0,4157478,526,2,7903.0,7904.0
2002-01-01,8000.0,8000.0,7908.0,8000.0,8190504,1030,4,7904.0,8000.0
2002-01-02,8000.0,8000.0,7901.0,7901.0,23926501,3008,7,8000.0,7901.0
2002-01-05,7901.0,7901.0,7901.0,7901.0,5214660,660,2,7901.0,7901.0
2002-01-06,7905.0,7906.0,7901.0,7901.0,21747155,2752,7,7901.0,7901.0
2002-01-07,7827.0,7900.0,7800.0,7800.0,47693690,6105,6,7901.0,7800.0
2002-01-14,7410.0,7410.0,7410.0,7410.0,14820000,2000,4,7800.0,7410.0
2002-01-16,7300.0,7300.0,7250.0,7250.0,19650000,2700,6,7410.0,7250.0
2002-01-19,7247.0,7396.0,7247.0,7396.0,53298550,7300,9,7250.0,7396.0
2002-01-20,7420.0,7420.0,7420.0,7420.0,3932600,530,2,7396.0,7420.0
2002-01-21,7500.0,7500.0,7500.0,7500.0,15000000,2000,2,7420.0,7500.0
2002-01-22,7600.0,7600.0,7600.0,7600.0,53200000,7000,7,7500.0,7600.0
