date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-03-10,6000.0,6026.0,6000.0,6000.0,39478472400,6572654,2818,0.0,6000.0
2004-03-14,6300.0,6300.0,6030.0,6030.0,75660300,12010,4,6000.0,6030.0
2004-03-16,6015.0,6030.0,5897.0,5976.0,2672032316,447058,195,6030.0,5976.0
2004-03-17,5901.0,6199.0,5890.0,5957.0,939371180,157666,75,5976.0,5957.0
2004-03-27,5958.0,6199.0,5956.0,6010.0,360143411,59366,29,5957.0,6010.0
2004-03-28,6010.0,6197.0,5949.0,6166.0,1294483858,209923,62,6010.0,6166.0
2004-03-29,6166.0,6310.0,6100.0,6205.0,2160083786,348097,98,6166.0,6205.0
2004-03-30,6299.0,6330.0,6250.0,6292.0,868552010,138023,71,6205.0,6292.0
2004-04-03,6290.0,6300.0,6268.0,6283.0,912531719,145223,49,6292.0,6283.0
2004-04-04,6291.0,6292.0,6258.0,6283.0,142034621,22583,11,6283.0,6283.0
2004-04-05,6220.0,6263.0,6050.0,6263.0,91542891,15059,11,6283.0,6263.0
2004-04-06,6121.0,6217.0,5950.0,6217.0,152328170,25486,15,6263.0,6217.0
2004-04-07,5950.0,6022.0,5907.0,6022.0,596442299,100928,36,6217.0,6022.0
2004-04-10,5989.0,5991.0,5850.0,5991.0,253981325,42973,32,6022.0,5991.0
2004-04-12,5967.0,6150.0,5963.0,6042.0,1069639814,177013,68,5991.0,6042.0
2004-05-25,6100.0,6100.0,5988.0,6052.0,151378520,25010,6,6042.0,6052.0
2004-05-26,5895.0,6027.0,5750.0,6027.0,95786215,16466,9,6052.0,6027.0
2004-05-29,5748.0,5750.0,5726.0,5734.0,1180525566,205861,90,6027.0,5734.0
2004-05-30,5724.0,5959.0,5724.0,5888.0,2483208526,421696,140,5734.0,5888.0
2004-05-31,6182.0,6182.0,5980.0,6114.0,4723982543,772598,246,5888.0,6114.0
2004-06-01,6001.0,6006.0,5809.0,5956.0,781281582,131886,63,6114.0,5956.0
2004-06-08,6100.0,6100.0,4800.0,5517.0,262665470,47610,20,5956.0,5517.0
2004-06-09,5499.0,5510.0,5440.0,5510.0,113152000,20688,12,5517.0,5510.0
