date,open,high,low,adjClose,value,volume,count,close
2001-03-27,7700.0,7700.0,7700.0,7700.0,2887500,375,1,7700.0
2001-04-14,7700.0,7700.0,7700.0,7700.0,962500,125,1,7700.0
2001-04-17,7700.0,7700.0,7700.0,7700.0,3657500,475,1,7700.0
2001-04-23,7702.0,7702.0,7701.0,7701.0,4721099,613,4,7701.0
2001-04-29,7800.0,7800.0,7800.0,7800.0,8775000,1125,4,7800.0
2001-04-30,7824.0,7824.0,7824.0,7824.0,15648000,2000,2,7824.0
2001-05-02,7850.0,7850.0,7850.0,7850.0,2943750,375,1,7850.0
2001-05-06,7870.0,7870.0,7870.0,7870.0,4029440,512,1,7870.0
2001-05-07,7880.0,7880.0,7880.0,7880.0,2955000,375,1,7880.0
2001-05-20,8274.0,8274.0,8274.0,8274.0,62998236,7614,11,8274.0
2001-05-21,8687.0,8687.0,8687.0,8687.0,8687000,1000,2,8687.0
2001-05-23,9121.0,9121.0,9119.0,9120.0,42081066,4614,6,9120.0
2001-05-28,9130.0,9130.0,9120.0,9120.0,23596720,2586,6,9120.0
2001-05-29,9120.0,9120.0,9120.0,9120.0,6876480,754,2,9120.0
2001-05-30,9119.0,9120.0,9119.0,9120.0,24587220,2696,3,9120.0
2001-06-03,9119.0,9119.0,9119.0,9119.0,6383300,700,1,9119.0
2001-06-25,7012.0,7012.0,7012.0,7012.0,7012000,1000,1,7012.0
2001-09-01,7362.0,7362.0,7362.0,7362.0,19509300,2650,5,7362.0
2001-09-03,7730.0,7730.0,7730.0,7730.0,5797500,750,1,7730.0
2001-09-04,8116.0,8116.0,8116.0,8116.0,4058000,500,1,8116.0
2001-09-05,8521.0,8521.0,8521.0,8521.0,8521000,1000,3,8521.0
2001-09-09,8947.0,8947.0,8947.0,8947.0,8947000,1000,7,8947.0
2001-09-10,9394.0,9394.0,9394.0,9394.0,9394000,1000,1,9394.0
2001-09-11,9863.0,9863.0,9863.0,9863.0,9863000,1000,7,9863.0
2001-09-12,10109.0,10109.0,9836.0,9836.0,65275891,6557,8,9836.0
2001-09-15,9591.0,9591.0,9591.0,9591.0,9591000,1000,1,9591.0
2001-09-19,9112.0,9341.0,9112.0,9341.0,93333390,10170,15,9341.0
2001-09-23,9400.0,9400.0,9400.0,9400.0,7050000,750,1,9400.0
2001-09-24,9403.0,9403.0,9403.0,9403.0,2820900,300,1,9403.0
2001-09-29,9403.0,9403.0,9403.0,9403.0,18806000,2000,1,9403.0
2001-10-06,9379.0,9403.0,9379.0,9403.0,38527700,4100,6,9403.0
2001-10-08,9403.0,9403.0,9403.0,9403.0,10155240,1080,2,9403.0
2001-10-09,9402.0,9402.0,9402.0,9402.0,470100,50,1,9402.0
2001-10-16,9398.0,9500.0,9398.0,9500.0,46833375,4975,7,9500.0
2001-10-21,9501.0,9501.0,9500.0,9500.0,8075700,850,3,9500.0
2001-10-22,9500.0,9500.0,9500.0,9500.0,10925000,1150,4,9500.0
2001-10-23,9500.0,9500.0,9500.0,9500.0,6906500,727,2,9500.0
2001-10-24,9500.0,9500.0,9500.0,9500.0,21375000,2250,3,9500.0
