date,open,high,low,adjClose,value,volume,count,close
2001-03-25,6702.0,6703.0,6702.0,6702.0,11259840,1680,3,6702.0
2001-03-28,6703.0,6703.0,6703.0,6703.0,2460001,367,1,6703.0
2001-03-31,6703.0,6703.0,6702.0,6702.0,10991920,1640,4,6702.0
2001-04-08,6754.0,6754.0,6750.0,6753.0,6481710,960,4,6753.0
2001-04-09,6756.0,6759.0,6755.0,6759.0,22974380,3400,9,6759.0
2001-04-10,6761.0,6763.0,6760.0,6762.0,19471292,2880,8,6762.0
2001-04-11,6763.0,6766.0,6763.0,6766.0,15395620,2276,3,6766.0
2001-04-14,6768.0,6775.0,6768.0,6775.0,15166960,2240,7,6775.0
2001-04-15,6821.0,6950.0,6802.0,6820.0,34181065,4990,13,6820.0
2001-04-16,6851.0,6853.0,6850.0,6853.0,20280710,2960,8,6853.0
2001-04-17,6861.0,6920.0,6861.0,6920.0,39594800,5740,14,6920.0
2001-04-18,6932.0,6932.0,6921.0,6930.0,90611304,13080,32,6930.0
2001-04-21,6929.0,6930.0,6929.0,6930.0,49618320,7160,9,6930.0
2001-04-23,6830.0,6830.0,6830.0,6830.0,15005510,2197,7,6830.0
2001-04-24,6832.0,6846.0,6830.0,6846.0,144916128,21188,100,6846.0
2001-04-25,6847.0,7000.0,6847.0,6861.0,109085775,15865,94,6861.0
2001-04-28,6884.0,6896.0,6880.0,6890.0,183929464,26705,87,6890.0
2001-04-29,7050.0,7234.0,6901.0,7234.0,329705100,45980,47,7234.0
2001-04-30,7075.0,7077.0,7074.0,7077.0,59417172,8398,71,7077.0
2001-05-01,7120.0,7200.0,7082.0,7150.0,147058248,20641,75,7150.0
2001-05-02,7102.0,7102.0,7074.0,7074.0,27230017,3837,10,7074.0
2001-05-05,7076.0,7078.0,7076.0,7078.0,29441520,4160,9,7078.0
2001-05-06,7098.0,7150.0,7098.0,7109.0,78023724,10965,14,7109.0
2001-05-07,7110.0,7153.0,7110.0,7153.0,37850629,5309,16,7153.0
2001-05-08,7302.0,7310.0,7160.0,7310.0,44679760,6128,11,7310.0
2001-05-09,7320.0,7329.0,7320.0,7327.0,12307920,1680,5,7327.0
2001-05-12,7334.0,7334.0,7334.0,7334.0,12189108,1662,6,7334.0
2001-05-13,7340.0,7342.0,7335.0,7342.0,38324490,5222,14,7342.0
2001-05-15,7346.0,7399.0,7346.0,7399.0,25958856,3520,9,7399.0
2001-05-16,7399.0,7583.0,7399.0,7583.0,96002092,12752,27,7583.0
2001-05-20,7772.0,7772.0,7772.0,7772.0,12699448,1634,8,7772.0
2001-05-21,7966.0,7966.0,7966.0,7966.0,118510182,14877,44,7966.0
2001-05-23,8165.0,8165.0,8165.0,8165.0,33933740,4156,11,8165.0
2001-05-26,8369.0,8369.0,8369.0,8369.0,273005149,32621,43,8369.0
2001-05-27,8576.0,8578.0,8305.0,8305.0,268021360,31624,59,8305.0
2001-05-28,8304.0,8388.0,8304.0,8388.0,160879508,19209,39,8388.0
2001-05-29,8471.0,8471.0,8471.0,8471.0,164989667,19477,36,8471.0
2001-05-30,8387.0,8471.0,8387.0,8387.0,53098997,6283,11,8387.0
2001-06-02,8304.0,8304.0,8304.0,8304.0,20552400,2475,2,8304.0
2001-06-03,8221.0,8221.0,8221.0,8221.0,8221000,1000,2,8221.0
2001-06-06,8139.0,8139.0,8139.0,8139.0,16278000,2000,3,8139.0
2001-06-09,8058.0,8058.0,8058.0,8058.0,52667088,6536,13,8058.0
2001-06-11,7978.0,8055.0,7857.0,7857.0,50624208,6390,11,7857.0
2001-06-12,7800.0,7800.0,7772.0,7772.0,155199780,19960,48,7772.0
2001-06-13,7772.0,7772.0,7700.0,7702.0,185510057,24082,53,7702.0
2001-06-16,7702.0,7702.0,7700.0,7702.0,37214720,4832,19,7702.0
2001-06-17,7702.0,7702.0,7700.0,7700.0,29558266,3838,13,7700.0
2001-06-18,7698.0,7698.0,7689.0,7698.0,65204819,8474,21,7698.0
2001-06-19,7690.0,7698.0,7690.0,7698.0,14377464,1868,6,7698.0
2001-06-20,7702.0,7702.0,7697.0,7698.0,59086774,7675,11,7698.0
2001-07-29,6600.0,8250.0,6600.0,8250.0,253355135,31802,51,8250.0
2001-07-30,8248.0,8270.0,8200.0,8254.0,310967754,37698,76,8254.0
2001-07-31,8160.0,8256.0,8000.0,8000.0,105212300,12868,23,8000.0
2001-08-01,7999.0,8000.0,7800.0,7900.0,152176250,19160,46,7900.0
2001-08-04,7995.0,7998.0,7812.0,7900.0,135724376,17071,28,7900.0
2001-08-05,7901.0,7901.0,7898.0,7900.0,114470408,14491,37,7900.0
2001-08-06,7901.0,7901.0,7802.0,7802.0,62724268,7981,18,7802.0
2001-08-07,7802.0,7802.0,7751.0,7751.0,152385119,19652,31,7751.0
2001-08-08,7751.0,7751.0,7600.0,7601.0,113762985,14882,26,7601.0
2001-08-11,7600.0,7608.0,7500.0,7608.0,149136242,19670,33,7608.0
2001-08-12,7800.0,7900.0,7613.0,7900.0,175097809,22451,23,7900.0
2001-08-13,7912.0,7913.0,7901.0,7913.0,16558222,2094,5,7913.0
2001-08-14,8000.0,8006.0,8000.0,8006.0,23208400,2900,5,8006.0
2001-08-15,8025.0,8071.0,8023.0,8071.0,21670733,2691,9,8071.0
2001-08-18,8093.0,8203.0,8085.0,8203.0,14713668,1805,10,8203.0
2001-08-19,8244.0,8350.0,8230.0,8350.0,100464372,12096,24,8350.0
2001-08-20,8351.0,8500.0,8351.0,8500.0,118631255,14126,20,8500.0
