date,open,high,low,adjClose,value,volume,count,close
2001-03-25,16100.0,16100.0,16100.0,16100.0,19400500,1205,4,16100.0
2001-03-26,16100.0,16100.0,16100.0,16100.0,34212500,2125,2,16100.0
2001-03-31,16100.0,16100.0,16100.0,16100.0,2382800,148,2,16100.0
2001-04-09,16050.0,16050.0,16049.0,16049.0,6018700,375,3,16049.0
2001-04-10,16000.0,16000.0,16000.0,16000.0,5984000,374,1,16000.0
2001-04-15,15988.0,15988.0,15988.0,15988.0,4796400,300,1,15988.0
2001-04-17,15980.0,15987.0,15980.0,15987.0,39959290,2500,5,15987.0
2001-04-18,15798.0,15801.0,15797.0,15797.0,57666700,3650,5,15797.0
2001-04-23,15789.0,15789.0,15789.0,15789.0,94734000,6000,2,15789.0
2001-04-24,15787.0,15790.0,15787.0,15790.0,55262773,3500,10,15790.0
2001-04-25,15789.0,15790.0,15789.0,15790.0,29606100,1875,14,15790.0
2001-04-29,15500.0,15500.0,15500.0,15500.0,7750000,500,1,15500.0
2001-04-30,15500.0,15500.0,14990.0,15500.0,42890000,2800,5,15500.0
2001-05-01,15500.0,15500.0,15500.0,15500.0,3875000,250,1,15500.0
2001-05-05,15500.0,15500.0,15500.0,15500.0,3875000,250,3,15500.0
2001-05-06,15496.0,15496.0,15494.0,15494.0,6492586,419,3,15494.0
2001-05-07,15600.0,15600.0,15492.0,15600.0,104055737,6712,16,15600.0
2001-05-08,15600.0,15600.0,15600.0,15600.0,390000,25,1,15600.0
2001-05-09,15600.0,16000.0,15600.0,16000.0,99367900,6244,6,16000.0
2001-05-12,16001.0,16001.0,16000.0,16000.0,11200500,700,3,16000.0
2001-05-13,16006.0,16033.0,16005.0,16033.0,24020050,1500,6,16033.0
2001-05-15,16100.0,16100.0,16100.0,16100.0,16100000,1000,1,16100.0
2001-05-16,16800.0,16800.0,16800.0,16800.0,16800000,1000,2,16800.0
2001-05-19,17100.0,17220.0,17100.0,17220.0,46971400,2734,3,17220.0
2001-05-20,16790.0,17300.0,16790.0,16790.0,495664395,29296,29,16790.0
2001-05-21,16790.0,16790.0,16790.0,16790.0,88987000,5300,16,16790.0
2001-05-23,16791.0,16791.0,16790.0,16790.0,122989750,7325,13,16790.0
2001-05-26,16790.0,16790.0,16790.0,16790.0,7555500,450,3,16790.0
2001-05-27,16800.0,16850.0,16800.0,16850.0,40840400,2428,7,16850.0
2001-05-28,16800.0,16800.0,16800.0,16800.0,67569600,4022,9,16800.0
2001-05-29,16854.0,16857.0,16852.0,16857.0,76198360,4521,9,16857.0
2001-05-30,16856.0,16857.0,16856.0,16857.0,24442350,1450,9,16857.0
2001-06-02,16861.0,16861.0,16861.0,16861.0,13488800,800,5,16861.0
2001-06-03,16863.0,16863.0,16863.0,16863.0,8431500,500,1,16863.0
2001-06-06,16870.0,16870.0,16870.0,16870.0,4217500,250,1,16870.0
2001-06-09,16869.0,16880.0,16869.0,16880.0,24706852,1464,4,16880.0
2001-06-11,16878.0,16878.0,16878.0,16878.0,1957848,116,1,16878.0
2001-06-16,16859.0,16878.0,16859.0,16878.0,56512402,3350,5,16878.0
2001-06-17,16799.0,16799.0,16799.0,16799.0,5879650,350,1,16799.0
2001-06-18,16789.0,16799.0,16789.0,16799.0,88177750,5250,6,16799.0
2001-06-19,16700.0,16700.0,16700.0,16700.0,3340000,200,1,16700.0
2001-06-23,16551.0,16700.0,16550.0,16700.0,83195766,5000,8,16700.0
2001-06-26,16549.0,16700.0,16549.0,16700.0,105955877,6400,9,16700.0
2001-07-25,15000.0,15880.0,15000.0,15880.0,286584200,18942,7,15880.0
2001-08-01,16674.0,16674.0,16674.0,16674.0,18341400,1100,3,16674.0
2001-08-04,17507.0,17507.0,17507.0,17507.0,38165260,2180,7,17507.0
2001-08-06,18382.0,18382.0,18382.0,18382.0,169665860,9230,18,18382.0
2001-08-07,18829.0,18841.0,18829.0,18830.0,87206530,4630,10,18830.0
2001-08-08,18856.0,18856.0,18850.0,18850.0,32051100,1700,6,18850.0
2001-08-11,18832.0,18855.0,18832.0,18850.0,185191456,9825,25,18850.0
2001-08-12,18850.0,18850.0,18850.0,18850.0,26955500,1430,2,18850.0
2001-08-13,18851.0,18851.0,18850.0,18850.0,34872800,1850,3,18850.0
2001-08-14,18850.0,18850.0,18850.0,18850.0,22808500,1210,1,18850.0
2001-08-15,18850.0,19000.0,18850.0,19000.0,30310500,1600,3,19000.0
2001-08-19,19002.0,19002.0,19002.0,19002.0,5700600,300,1,19002.0
2001-08-21,19001.0,19002.0,19001.0,19001.0,34962540,1840,3,19001.0
2001-08-25,18995.0,18995.0,18995.0,18995.0,987740,52,1,18995.0
2001-08-29,18950.0,18950.0,18950.0,18950.0,4737500,250,1,18950.0
2001-09-01,18937.0,18937.0,18937.0,18937.0,378740,20,1,18937.0
2001-09-03,18920.0,18937.0,18920.0,18937.0,173177181,9150,8,18937.0
2001-09-10,18889.0,18968.0,18885.0,18938.0,317726839,16800,18,18938.0
2001-09-11,18938.0,18938.0,18938.0,18938.0,10415900,550,3,18938.0
2001-10-07,18749.0,18938.0,18749.0,18938.0,410302553,21877,31,18938.0
2001-10-20,18749.0,18749.0,18749.0,18749.0,9374500,500,2,18749.0
2001-10-24,18281.0,18281.0,18281.0,18281.0,109686000,6000,8,18281.0
2001-10-27,18281.0,18281.0,18281.0,18281.0,968893,53,1,18281.0
2001-10-28,18279.0,18279.0,18279.0,18279.0,73116000,4000,2,18279.0
2001-11-05,18268.0,18269.0,18268.0,18269.0,27767610,1520,2,18269.0
2001-11-06,18269.0,18272.0,18269.0,18272.0,57456976,3145,9,18272.0
2001-11-07,18283.0,18283.0,18283.0,18283.0,57500035,3145,3,18283.0
