date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-11-30,15000.0,15000.0,15000.0,15000.0,15000000,1000,1,1.0,15000.0
2015-03-10,18000.0,18000.0,18000.0,18000.0,14472000,804,1,15000.0,18000.0
2015-08-17,14900.0,14900.0,14900.0,14900.0,14900000,1000,1,14900.0,14900.0
2015-11-16,14900.0,14900.0,14900.0,14900.0,4619000,310,1,14900.0,14900.0
2016-03-09,18500.0,18500.0,18500.0,18500.0,14874000,804,1,14900.0,18500.0
2016-04-10,19000.0,19000.0,18000.0,18065.0,14524000,804,2,18500.0,18000.0
2016-05-04,18000.0,18000.0,18000.0,18000.0,33246000,1847,1,18065.0,18000.0
2017-11-04,12000.0,12000.0,12000.0,7445.0,120000000,10000,2,2890.0,12000.0
2017-11-05,13210.0,13210.0,13210.0,7992.0,25072580,1898,2,7445.0,13210.0
2017-11-06,14500.0,14500.0,14500.0,9619.0,72500000,5000,1,7992.0,14500.0
2017-11-14,40000.0,40000.0,20000.0,27530.0,5394600268,195950,161,9619.0,20000.0
2017-11-15,24777.0,27993.0,24777.0,24779.0,1161127404,46860,86,27530.0,24777.0
2017-11-18,22302.0,22302.0,22302.0,22302.0,205312212,9206,16,24779.0,22302.0
2017-11-20,20072.0,22069.0,20072.0,20387.0,460573525,22592,61,22302.0,20980.0
2017-11-21,20990.0,22425.0,20987.0,22392.0,3933783784,175679,117,20387.0,22425.0
2017-11-22,24631.0,24631.0,22501.0,24135.0,761762725,31563,57,22392.0,23700.0
2017-11-25,23989.0,23989.0,21722.0,21869.0,464697388,21249,67,24135.0,21722.0
2017-11-26,20161.0,21895.0,20153.0,20350.0,339130916,16665,56,21869.0,21680.0
2017-11-28,21799.0,21799.0,18315.0,18607.0,1128501952,60649,44,20350.0,18315.0
2017-11-29,17201.0,17999.0,16775.0,16958.0,426473382,25149,42,18607.0,16810.0
2017-12-02,15271.0,17000.0,15271.0,15633.0,410671466,26269,32,16958.0,16400.0
2017-12-03,17196.0,17196.0,15999.0,16832.0,95388356,5667,17,15633.0,16790.0
2017-12-04,16999.0,17175.0,15200.0,15778.0,87553752,5549,27,16832.0,15933.0
2017-12-05,15800.0,16499.0,15225.0,15830.0,82506671,5212,11,15778.0,15302.0
2017-12-09,15302.0,15499.0,14601.0,14873.0,51936396,3492,16,15830.0,14601.0
2017-12-10,14003.0,15600.0,14000.0,14344.0,121248259,8453,41,14873.0,14010.0
2017-12-11,14499.0,15050.0,13620.0,14160.0,109430684,7728,18,14344.0,13620.0
2017-12-12,14899.0,14899.0,13051.0,13607.0,86934655,6389,16,14160.0,13890.0
2017-12-13,13800.0,13800.0,12406.0,12544.0,134712700,10739,28,13607.0,12406.0
2017-12-16,12406.0,12406.0,12000.0,12039.0,41896828,3480,13,12544.0,12000.0
2017-12-17,11701.0,13242.0,11500.0,12291.0,211394891,17199,38,12039.0,13242.0
2017-12-18,13520.0,13520.0,13520.0,13520.0,27040000,2000,2,12291.0,13520.0
2017-12-19,14872.0,14872.0,14500.0,14841.0,354800904,23907,15,13520.0,14872.0
2017-12-20,16325.0,16325.0,15601.0,16192.0,929416071,57399,60,14841.0,16321.0
2017-12-23,17797.0,17811.0,16200.0,17724.0,1390565970,78457,91,16192.0,17811.0
2017-12-24,18100.0,18150.0,16501.0,17719.0,234124587,13213,43,17724.0,16820.0
2017-12-25,16501.0,17000.0,15948.0,16340.0,412919566,25270,54,17719.0,16100.0
2017-12-26,15948.0,16000.0,15171.0,15704.0,105250486,6702,19,16340.0,15171.0
2017-12-27,16000.0,16000.0,14134.0,14304.0,123758104,8652,28,15704.0,14500.0
2017-12-30,15473.0,15473.0,14305.0,14707.0,8206775,558,6,14304.0,14400.0
2017-12-31,15200.0,15200.0,13290.0,13618.0,23232718,1706,10,14707.0,13490.0
2018-01-01,14969.0,14969.0,12257.0,13211.0,940209760,71170,43,13618.0,13467.0
2018-01-02,14077.0,14077.0,12000.0,12738.0,330847295,25974,35,13211.0,12601.0
2018-01-03,13990.0,13990.0,12200.0,12360.0,73703061,5963,25,12738.0,12884.0
2018-01-06,12880.0,13100.0,12255.0,12609.0,84002349,6662,22,12360.0,12999.0
2018-01-07,13775.0,13775.0,12710.0,13152.0,20807242,1582,5,12609.0,13350.0
2018-01-08,13344.0,13344.0,13300.0,13336.0,23138529,1735,8,13152.0,13343.0
2018-01-09,14657.0,14657.0,13300.0,13901.0,39130000,2815,6,13336.0,13480.0
