date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-26,6193.0,6193.0,6193.0,6193.0,1931993052,311964,3,0.0,6193.0
2001-04-03,6186.0,6189.0,6186.0,6189.0,18561561,3000,4,6193.0,6189.0
2001-04-07,6194.0,6194.0,6194.0,6194.0,14035604,2266,6,6189.0,6194.0
2001-04-08,6194.0,6194.0,6194.0,6194.0,14946122,2413,5,6194.0,6194.0
2001-04-09,6194.0,6194.0,6194.0,6194.0,12388000,2000,4,6194.0,6194.0
2001-04-10,6194.0,6195.0,6194.0,6195.0,23129758,3734,6,6194.0,6195.0
2001-04-14,6205.0,6211.0,6195.0,6205.0,115784555,18667,26,6195.0,6205.0
2001-04-15,6215.0,6215.0,6213.0,6215.0,9781878,1574,3,6205.0,6215.0
2001-04-16,6230.0,6270.0,6230.0,6270.0,18924180,3030,6,6215.0,6270.0
2001-04-17,6272.0,6272.0,6271.0,6271.0,7789558,1242,3,6270.0,6271.0
2001-04-18,6305.0,6310.0,6278.0,6305.0,35011627,5553,14,6271.0,6305.0
2001-04-21,6304.0,6304.0,6304.0,6304.0,838432,133,1,6305.0,6304.0
2001-04-23,6289.0,6304.0,6289.0,6304.0,32752984,5200,4,6304.0,6304.0
2001-04-24,6300.0,6300.0,6205.0,6278.0,18655850,2972,5,6304.0,6278.0
2001-04-25,6268.0,6268.0,6239.0,6239.0,14520992,2319,3,6278.0,6239.0
2001-04-28,6205.0,6206.0,6200.0,6205.0,37231976,6001,12,6239.0,6205.0
2001-04-29,6205.0,6500.0,6204.0,6500.0,301286464,47131,31,6205.0,6500.0
2001-04-30,6498.0,6500.0,6498.0,6500.0,26647167,4100,4,6500.0,6500.0
2001-05-01,6498.0,6498.0,6498.0,6498.0,3963780,610,1,6500.0,6498.0
2001-05-02,6253.0,6253.0,6252.0,6252.0,13386032,2141,7,6498.0,6252.0
2001-05-05,6252.0,6252.0,6252.0,6252.0,2244468,359,2,6252.0,6252.0
2001-05-07,6240.0,6240.0,6230.0,6230.0,8358940,1340,4,6252.0,6230.0
2001-05-08,6197.0,6252.0,6005.0,6252.0,251271508,40912,49,6230.0,6252.0
2001-05-09,6140.0,6469.0,6010.0,6469.0,134432377,21515,13,6252.0,6469.0
2001-05-12,6470.0,6503.0,6470.0,6500.0,102849992,15838,19,6469.0,6500.0
2001-05-13,6502.0,6511.0,6502.0,6511.0,16573132,2548,7,6500.0,6511.0
2001-05-15,6590.0,6601.0,6530.0,6600.0,69776155,10600,16,6511.0,6600.0
2001-05-16,6608.0,6800.0,6608.0,6800.0,61249554,9126,17,6600.0,6800.0
2001-05-20,7140.0,7140.0,7140.0,7140.0,82110000,11500,14,6800.0,7140.0
2001-05-21,7318.0,7318.0,7318.0,7318.0,258266856,35292,32,7140.0,7318.0
2001-05-23,7318.0,7350.0,7136.0,7139.0,154762782,21309,28,7318.0,7139.0
2001-05-26,7143.0,7317.0,7143.0,7317.0,57407496,7926,13,7139.0,7317.0
2001-05-27,7300.0,7450.0,7300.0,7449.0,62770900,8472,10,7317.0,7449.0
2001-05-28,7448.0,7450.0,7440.0,7449.0,43729418,5874,8,7449.0,7449.0
2001-05-29,7452.0,7550.0,7452.0,7550.0,47145600,6300,11,7449.0,7550.0
2001-05-30,7553.0,7581.0,7550.0,7580.0,553933532,73212,26,7550.0,7580.0
2001-06-02,7580.0,7600.0,7556.0,7599.0,368938367,48746,16,7580.0,7599.0
2001-06-03,7599.0,7599.0,7540.0,7599.0,65779614,8670,10,7599.0,7599.0
2001-06-06,7598.0,7599.0,7598.0,7599.0,23799936,3132,4,7599.0,7599.0
2001-06-09,7600.0,7600.0,7599.0,7599.0,83787111,11026,13,7599.0,7599.0
2001-06-11,7598.0,7599.0,7597.0,7599.0,146338269,19259,16,7599.0,7599.0
2001-06-12,7590.0,7599.0,7590.0,7599.0,117382044,15450,11,7599.0,7599.0
2001-06-13,7598.0,7599.0,7598.0,7599.0,33434600,4400,6,7599.0,7599.0
2001-06-16,7599.0,7599.0,7599.0,7599.0,36931140,4860,6,7599.0,7599.0
2001-06-17,7590.0,7590.0,7573.0,7573.0,12373223,1631,6,7599.0,7573.0
2001-06-18,7500.0,7500.0,7498.0,7498.0,69295505,9240,9,7573.0,7498.0
2001-06-19,7424.0,7424.0,7424.0,7424.0,8686080,1170,1,7498.0,7424.0
2001-06-20,7424.0,7424.0,7406.0,7424.0,234246909,31575,31,7424.0,7424.0
2001-06-23,7424.0,7424.0,7421.0,7423.0,16500358,2223,8,7424.0,7423.0
2001-06-26,7240.0,7240.0,7240.0,7240.0,13756000,1900,3,7423.0,7240.0
2001-06-27,7240.0,7240.0,7240.0,7240.0,724000,100,2,7240.0,7240.0
2001-06-30,7240.0,7248.0,7240.0,7248.0,39246905,5420,15,7240.0,7248.0
2001-07-01,7400.0,7421.0,7400.0,7421.0,19010820,2565,4,7248.0,7421.0
2001-07-02,7422.0,7422.0,7421.0,7421.0,14368556,1936,2,7421.0,7421.0
2001-07-03,7500.0,7500.0,7500.0,7500.0,31320000,4176,2,7421.0,7500.0
2001-07-04,7500.0,7500.0,7500.0,7500.0,19965000,2662,2,7500.0,7500.0
2001-07-07,7510.0,7511.0,7501.0,7501.0,16505954,2200,8,7500.0,7501.0
2001-07-08,7501.0,7503.0,7501.0,7502.0,33757013,4500,8,7501.0,7502.0
2001-08-05,6901.0,6901.0,6901.0,6901.0,1628636,236,1,7502.0,6901.0
2001-08-06,7246.0,7246.0,7246.0,7246.0,72460000,10000,10,6901.0,7246.0
2001-08-07,7427.0,7427.0,7427.0,7427.0,14675752,1976,3,7246.0,7427.0
2001-08-08,7612.0,7612.0,7612.0,7612.0,22653312,2976,5,7427.0,7612.0
2001-08-11,7802.0,7802.0,7802.0,7802.0,51181120,6560,10,7612.0,7802.0
2001-08-12,7997.0,7997.0,7802.0,7802.0,39119326,4981,8,7802.0,7802.0
2001-08-13,7800.0,7802.0,7607.0,7800.0,70299036,9156,15,7802.0,7800.0
2001-08-14,7650.0,7650.0,7605.0,7606.0,156488584,20516,33,7800.0,7606.0
2001-08-15,7433.0,7612.0,7430.0,7611.0,49131335,6549,10,7606.0,7611.0
2001-08-18,7619.0,7690.0,7619.0,7620.0,72494776,9500,12,7611.0,7620.0
2001-08-19,7600.0,7600.0,7500.0,7500.0,48107000,6345,6,7620.0,7500.0
2001-08-20,7601.0,7650.0,7600.0,7650.0,175475205,23014,23,7500.0,7650.0
2001-08-21,7609.0,7609.0,7608.0,7608.0,15779992,2074,6,7650.0,7608.0
2001-08-22,7511.0,7516.0,7511.0,7511.0,31552000,4200,8,7608.0,7511.0
2001-08-25,7511.0,7600.0,7511.0,7600.0,109700454,14502,16,7511.0,7600.0
2001-08-26,7650.0,7650.0,7598.0,7598.0,61446289,8083,15,7600.0,7598.0
2001-08-27,7501.0,7501.0,7430.0,7430.0,70153400,9400,28,7598.0,7430.0
2001-08-28,7429.0,7501.0,7429.0,7500.0,126874816,17000,21,7430.0,7500.0
2001-08-29,7500.0,7500.0,7500.0,7500.0,12225000,1630,4,7500.0,7500.0
2001-09-01,7499.0,7500.0,7499.0,7500.0,3299726,440,2,7500.0,7500.0
2001-09-02,7400.0,7500.0,7400.0,7400.0,16760000,2250,5,7500.0,7400.0
2001-09-03,7327.0,7328.0,7327.0,7327.0,26905744,3672,5,7400.0,7327.0
2001-09-04,7246.0,7300.0,7200.0,7201.0,59416842,8218,12,7327.0,7201.0
2001-09-05,7200.0,7201.0,7200.0,7200.0,9158486,1272,7,7201.0,7200.0
2001-09-08,7298.0,7310.0,7298.0,7310.0,16199130,2219,3,7200.0,7310.0
2001-09-09,7400.0,7451.0,7400.0,7450.0,37917850,5103,7,7310.0,7450.0
2001-09-10,7500.0,7500.0,7451.0,7451.0,14022176,1876,6,7450.0,7451.0
2001-09-11,7453.0,7453.0,7450.0,7450.0,15254774,2047,5,7451.0,7450.0
2001-09-16,7376.0,7376.0,7376.0,7376.0,42043200,5700,6,7450.0,7376.0
2001-09-17,7303.0,7303.0,7303.0,7303.0,7303000,1000,2,7376.0,7303.0
2001-09-19,7230.0,7230.0,7230.0,7230.0,4236780,586,3,7303.0,7230.0
2001-09-22,7229.0,7229.0,7219.0,7219.0,46736930,6470,10,7230.0,7219.0
2001-09-23,7053.0,7100.0,7050.0,7050.0,58568500,8300,13,7219.0,7050.0
2001-09-24,7006.0,7006.0,6979.0,6979.0,54213325,7752,12,7050.0,6979.0
2001-09-25,6950.0,6950.0,6950.0,6950.0,695000,100,1,6979.0,6950.0
2001-09-26,6947.0,6947.0,6777.0,6777.0,74410013,10969,16,6950.0,6777.0
2001-09-29,6811.0,6930.0,6810.0,6810.0,106231974,15545,21,6777.0,6810.0
2001-09-30,6810.0,6810.0,6780.0,6805.0,51667170,7596,14,6810.0,6805.0
2001-10-03,6949.0,6950.0,6858.0,6950.0,19035244,2750,6,6805.0,6950.0
2001-10-06,6951.0,6952.0,6950.0,6951.0,23286530,3350,14,6950.0,6951.0
2001-10-07,6959.0,7000.0,6959.0,7000.0,23509782,3372,7,6951.0,7000.0
2001-10-08,7001.0,7001.0,7001.0,7001.0,39275610,5610,9,7000.0,7001.0
2001-10-09,6850.0,6851.0,6850.0,6850.0,10275500,1500,4,7001.0,6850.0
