date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-03,10811.0,10811.0,10811.0,10811.0,5773074,534,4,10811.0,10811.0
2001-04-07,10300.0,10300.0,10300.0,10300.0,39232700,3809,14,10811.0,10300.0
2001-04-08,10310.0,10811.0,10310.0,10811.0,17176780,1598,4,10300.0,10811.0
2001-04-10,10811.0,10811.0,10811.0,10811.0,8432580,780,3,10811.0,10811.0
2001-04-11,10811.0,10811.0,10811.0,10811.0,10627213,983,3,10811.0,10811.0
2001-04-14,10811.0,10811.0,10811.0,10811.0,23373382,2162,7,10811.0,10811.0
2001-04-15,11271.0,11271.0,11271.0,11271.0,17988516,1596,3,10811.0,11271.0
2001-04-17,11273.0,11274.0,11273.0,11273.0,6279085,557,3,11271.0,11273.0
2001-04-18,11273.0,11273.0,11273.0,11273.0,9063492,804,3,11273.0,11273.0
2001-04-21,11400.0,11421.0,11400.0,11421.0,11965883,1049,6,11273.0,11421.0
2001-04-22,11438.0,11438.0,11438.0,11438.0,4186308,366,2,11421.0,11438.0
2001-04-23,11799.0,11800.0,11470.0,11800.0,31560846,2723,5,11438.0,11800.0
2001-04-24,11945.0,11951.0,11945.0,11951.0,26335188,2204,4,11800.0,11951.0
2001-04-25,11996.0,11999.0,11960.0,11999.0,12402964,1034,3,11951.0,11999.0
2001-04-29,12004.0,12004.0,11998.0,11998.0,8124620,677,6,11999.0,11998.0
2001-04-30,11990.0,11990.0,11990.0,11990.0,12577510,1049,7,11998.0,11990.0
2001-05-01,11898.0,11899.0,11897.0,11899.0,50009947,4203,10,11990.0,11899.0
2001-05-05,11890.0,11898.0,11890.0,11898.0,35561164,2990,6,11899.0,11898.0
2001-05-06,11898.0,11899.0,11898.0,11899.0,14063508,1182,4,11898.0,11899.0
2001-05-07,11906.0,11906.0,11906.0,11906.0,4357596,366,1,11899.0,11906.0
2001-05-08,11910.0,11911.0,11909.0,11910.0,18520100,1555,8,11906.0,11910.0
2001-05-09,11912.0,11912.0,11912.0,11912.0,4359792,366,1,11910.0,11912.0
2001-05-12,11928.0,11928.0,11921.0,11922.0,49680580,4166,13,11912.0,11922.0
2001-05-13,11910.0,11925.0,11900.0,11925.0,95788076,8038,18,11922.0,11925.0
2001-05-15,11943.0,11943.0,11926.0,11943.0,36771768,3080,9,11925.0,11943.0
2001-05-16,12000.0,12105.0,11955.0,12105.0,40556595,3371,11,11943.0,12105.0
2001-05-19,12116.0,12129.0,12113.0,12129.0,24536642,2024,5,12105.0,12129.0
2001-05-20,12156.0,12185.0,12156.0,12185.0,9476682,778,3,12129.0,12185.0
2001-05-23,12794.0,12794.0,12794.0,12794.0,14175752,1108,5,12185.0,12794.0
2001-05-26,13433.0,13433.0,13433.0,13433.0,31836210,2370,4,12794.0,13433.0
2001-05-28,14104.0,14104.0,14104.0,14104.0,43003096,3049,9,13433.0,14104.0
2001-05-29,14809.0,14809.0,14809.0,14809.0,33734902,2278,4,14104.0,14809.0
2001-05-30,14820.0,15179.0,14820.0,14847.0,179234692,11888,31,14809.0,14847.0
2001-06-02,14810.0,14840.0,14809.0,14809.0,160005960,10799,21,14847.0,14809.0
2001-06-03,14810.0,14858.0,14810.0,14851.0,77723939,5234,13,14809.0,14851.0
2001-06-06,14851.0,14853.0,14851.0,14851.0,63817904,4297,13,14851.0,14851.0
2001-06-09,14851.0,14851.0,14838.0,14838.0,5609414,378,3,14851.0,14838.0
2001-06-11,14837.0,14837.0,14790.0,14790.0,10293680,695,3,14838.0,14790.0
2001-06-13,14764.0,14764.0,14760.0,14760.0,6717192,455,6,14790.0,14760.0
2001-06-16,14391.0,14391.0,14391.0,14391.0,40093326,2786,9,14760.0,14391.0
2001-06-18,13672.0,13672.0,13672.0,13672.0,144212256,10548,16,14391.0,13672.0
2001-06-19,13672.0,13685.0,13672.0,13680.0,79541826,5815,21,13672.0,13680.0
2001-06-20,13800.0,13801.0,13705.0,13800.0,29980596,2175,7,13680.0,13800.0
2001-06-23,13800.0,13800.0,13799.0,13800.0,42294482,3065,6,13800.0,13800.0
2001-06-24,13800.0,13801.0,13800.0,13801.0,14407312,1044,14,13800.0,13801.0
2001-06-25,13803.0,13803.0,13803.0,13803.0,17557416,1272,5,13801.0,13803.0
2001-06-26,13807.0,13812.0,13805.0,13811.0,31854572,2307,6,13803.0,13811.0
2001-06-27,13821.0,14000.0,13820.0,14000.0,37864060,2733,7,13811.0,14000.0
2001-06-30,14002.0,14100.0,14002.0,14100.0,36256142,2584,11,14000.0,14100.0
