date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-01-17,3664.0,3664.0,3664.0,3664.0,1678764192,458178,1317,3490.0,3664.0
2018-01-20,3847.0,3847.0,3847.0,3847.0,1497856379,389357,774,3664.0,3847.0
2018-01-21,4039.0,4039.0,4039.0,4039.0,3431376879,849561,4407,3847.0,4039.0
2018-01-22,4240.0,4240.0,4240.0,4240.0,447086800,105445,757,4039.0,4240.0
2018-01-23,4452.0,4674.0,4452.0,4623.0,27066129762,5854427,21439,4240.0,4674.0
2018-01-24,4800.0,4854.0,4700.0,4817.0,27991466215,5810511,28580,4623.0,4854.0
2018-01-27,4931.0,4984.0,4854.0,4913.0,27478125359,5592505,20887,4817.0,4888.0
2018-01-28,4855.0,5158.0,4855.0,5053.0,21151553268,4186066,10176,4913.0,5158.0
2018-01-29,5210.0,5305.0,5200.0,5291.0,7103385022,1342603,1753,5053.0,5305.0
2018-01-30,5500.0,5555.0,5400.0,5536.0,8423550687,1521721,1632,5291.0,5555.0
2018-01-31,5812.0,5812.0,5705.0,5811.0,4255385145,732319,321,5536.0,5809.0
2018-02-03,6101.0,6406.0,5796.0,5986.0,29629127883,4949729,6403,5811.0,5850.0
2018-02-04,5751.0,5840.0,5687.0,5722.0,16195399339,2830354,4910,5986.0,5687.0
2018-02-05,5510.0,5636.0,5436.0,5516.0,17314643296,3138878,5862,5722.0,5603.0
2018-02-06,5600.0,5791.0,5555.0,5784.0,13692615317,2367520,3008,5516.0,5791.0
2018-02-07,6008.0,6073.0,5900.0,6029.0,21212181533,3518329,2602,5784.0,6040.0
2018-02-10,6050.0,6050.0,5738.0,5808.0,7471592501,1286347,1255,6029.0,5910.0
2018-02-12,5970.0,5970.0,5728.0,5817.0,4939889994,849264,1094,5808.0,5770.0
2018-02-13,5890.0,5890.0,5612.0,5726.0,3763572065,657250,790,5817.0,5622.0
2018-02-14,5622.0,5787.0,5520.0,5676.0,3981108368,701399,826,5726.0,5680.0
2018-02-17,5650.0,5825.0,5540.0,5693.0,4430460770,778168,748,5676.0,5555.0
2018-02-18,5555.0,5557.0,5200.0,5445.0,4851123352,890854,1209,5693.0,5400.0
2018-02-19,5400.0,5437.0,5215.0,5324.0,2328034831,437254,920,5445.0,5330.0
2018-02-21,5450.0,5490.0,5252.0,5390.0,1793113728,332659,464,5324.0,5300.0
2018-02-24,5340.0,5379.0,5131.0,5237.0,3088699642,589785,619,5390.0,5160.0
2018-02-25,5150.0,5327.0,5125.0,5193.0,2294548255,441853,531,5237.0,5151.0
2018-02-26,5275.0,5295.0,5160.0,5237.0,2547203173,486392,374,5193.0,5220.0
2018-02-27,5246.0,5265.0,5128.0,5173.0,1917363355,370629,334,5237.0,5149.0
2018-02-28,5173.0,5250.0,5100.0,5164.0,3779548223,731842,536,5173.0,5130.0
2018-03-03,5156.0,5243.0,5000.0,5134.0,2765500326,538701,534,5164.0,5243.0
2018-03-04,5155.0,5250.0,5140.0,5174.0,1562014352,301912,291,5134.0,5151.0
2018-03-05,5188.0,5203.0,5150.0,5174.0,1464323764,282993,256,5174.0,5152.0
2018-03-06,5199.0,5247.0,5131.0,5171.0,979917112,189495,440,5174.0,5131.0
2018-03-07,5166.0,5203.0,5108.0,5143.0,2680445272,521233,791,5171.0,5120.0
2018-03-10,5144.0,5200.0,5020.0,5155.0,3142242081,609506,559,5143.0,5150.0
2018-03-11,5200.0,5200.0,5080.0,5146.0,1238879941,240758,252,5155.0,5090.0
2018-03-12,5110.0,5110.0,5000.0,5027.0,1536246329,305621,362,5146.0,5003.0
2018-03-13,5047.0,5100.0,4954.0,5009.0,2898887315,578716,354,5027.0,5050.0
2018-03-14,5010.0,5197.0,5010.0,5118.0,1238494371,241992,230,5009.0,5075.0
2018-03-17,5100.0,5210.0,5100.0,5183.0,1589612855,306695,357,5118.0,5210.0
2018-03-18,5130.0,5340.0,5130.0,5242.0,1815399879,346289,416,5183.0,5250.0
2018-03-19,5251.0,5500.0,5157.0,5263.0,3501919534,665350,623,5242.0,5300.0
2018-03-25,5141.0,5300.0,5141.0,5163.0,295970686,57327,77,5263.0,5200.0
2018-03-26,5300.0,5300.0,5168.0,5229.0,344139674,65809,116,5163.0,5300.0
2018-03-27,5215.0,5290.0,5200.0,5217.0,266459269,51074,95,5229.0,5235.0
2018-03-28,5298.0,5300.0,5217.0,5237.0,545023020,104074,126,5217.0,5279.0
2018-04-03,5280.0,5400.0,5270.0,5310.0,571594969,107639,175,5237.0,5329.0
2018-04-04,5302.0,5303.0,5211.0,5260.0,474157835,90149,157,5310.0,5275.0
2018-04-07,5206.0,5232.0,5100.0,5155.0,426306520,82690,175,5260.0,5100.0
2018-04-08,5105.0,5200.0,4916.0,4999.0,1526495966,305368,230,5155.0,4999.0
2018-04-09,4970.0,4970.0,4500.0,4556.0,2610658142,573070,407,4999.0,4500.0
2018-04-10,4500.0,4880.0,4330.0,4665.0,924284822,198124,175,4556.0,4621.0
2018-04-11,4750.0,4919.0,4400.0,4637.0,460521394,99315,163,4665.0,4650.0
2018-04-15,4640.0,4694.0,4461.0,4603.0,1106397334,240386,349,4637.0,4632.0
2018-04-16,4691.0,4699.0,4580.0,4606.0,454182661,98605,103,4603.0,4620.0
2018-04-17,4630.0,4698.0,4615.0,4632.0,91723850,19803,79,4606.0,4650.0
2018-04-18,4640.0,4660.0,4550.0,4600.0,299053100,65018,118,4632.0,4648.0
