date,open,high,low,adjClose,value,volume,count,close
2012-11-19,1950.0,1950.0,1950.0,1950.0,9437711400,4839852,841,1950.0
2012-11-20,2047.0,2047.0,2047.0,2047.0,360423478,176074,52,2047.0
2012-11-21,2149.0,2149.0,2149.0,2149.0,3354589,1561,6,2149.0
2012-11-26,2256.0,2256.0,2256.0,2256.0,229344960,101660,41,2256.0
2012-11-27,2368.0,2368.0,2368.0,2368.0,38127168,16101,30,2368.0
2012-11-28,2486.0,2486.0,2486.0,2486.0,373573706,150271,74,2486.0
2012-12-01,2610.0,2610.0,2610.0,2610.0,206260470,79027,62,2610.0
2012-12-02,2740.0,2740.0,2740.0,2740.0,207878320,75868,88,2740.0
2012-12-03,2877.0,2877.0,2877.0,2877.0,476028420,165460,126,2877.0
2012-12-04,3020.0,3020.0,3020.0,3020.0,1234751160,408858,218,3020.0
2012-12-05,3171.0,3171.0,3171.0,3171.0,3312480507,1044617,897,3171.0
2012-12-08,3329.0,3329.0,3329.0,3329.0,642829900,193100,117,3329.0
2012-12-09,3495.0,3495.0,3495.0,3495.0,460497705,131759,76,3495.0
2012-12-10,3669.0,3669.0,3669.0,3669.0,1329663945,362405,120,3669.0
2012-12-11,3852.0,3852.0,3852.0,3852.0,5695228224,1478512,763,3852.0
2012-12-12,3850.0,3987.0,3660.0,3822.0,26949021036,7051520,5092,3665.0
2012-12-15,3656.0,3750.0,3631.0,3648.0,6961476225,1908256,1130,3640.0
2012-12-16,3631.0,3830.0,3530.0,3810.0,7271843646,1908604,703,3830.0
2012-12-17,4000.0,4000.0,3906.0,3995.0,12159342321,3043517,1145,4000.0
2012-12-18,4150.0,4150.0,3901.0,4019.0,5260915347,1308949,604,3901.0
2012-12-19,3850.0,4150.0,3850.0,3997.0,5276219080,1320173,539,3978.0
2012-12-22,4035.0,4035.0,3870.0,3933.0,1950512875,495947,253,3900.0
2012-12-23,3912.0,4070.0,3851.0,3972.0,4176538823,1051578,462,3900.0
2012-12-24,3976.0,4059.0,3921.0,3968.0,3614548311,910994,738,3950.0
2012-12-25,4000.0,4000.0,3770.0,3848.0,2835200297,736825,438,3770.0
2012-12-26,3700.0,3899.0,3656.0,3696.0,3888918773,1052087,518,3670.0
2012-12-29,3749.0,3749.0,3520.0,3548.0,2472057698,696692,423,3522.0
2012-12-30,3421.0,3570.0,3380.0,3438.0,1680616918,488813,248,3512.0
2012-12-31,3580.0,3609.0,3580.0,3601.0,364339595,101165,48,3609.0
2013-01-01,3781.0,3781.0,3720.0,3775.0,4119662928,1091396,439,3780.0
2013-01-02,3849.0,3849.0,3630.0,3726.0,856855854,229962,138,3777.0
2013-01-06,3770.0,3770.0,3540.0,3546.0,1502626139,423737,202,3540.0
2013-01-07,3451.0,3644.0,3451.0,3589.0,627619430,174851,104,3600.0
2013-01-08,3603.0,3697.0,3551.0,3610.0,691807442,191616,101,3649.0
2013-01-09,3683.0,3790.0,3600.0,3751.0,1666674983,444375,202,3770.0
2013-01-13,3790.0,3879.0,3700.0,3831.0,1298758697,339027,147,3769.0
2013-01-14,3847.0,3847.0,3640.0,3685.0,1069807225,290334,164,3641.0
2013-01-15,3660.0,3698.0,3561.0,3615.0,487499471,134873,79,3562.0
2013-01-16,3649.0,3649.0,3563.0,3594.0,626981810,174457,90,3581.0
2013-01-19,3600.0,3600.0,3421.0,3467.0,803699138,231824,116,3430.0
2013-01-20,3451.0,3530.0,3450.0,3486.0,806644654,231380,174,3480.0
2013-01-21,3470.0,3470.0,3312.0,3341.0,1020921681,305552,144,3312.0
2013-01-22,3190.0,3320.0,3174.0,3186.0,550507416,172793,115,3174.0
2013-01-23,3191.0,3345.0,3191.0,3336.0,437491968,131127,52,3345.0
2013-01-26,3489.0,3489.0,3302.0,3409.0,802482693,235433,86,3390.0
2013-01-27,3250.0,3390.0,3246.0,3337.0,1325515868,397264,130,3350.0
2013-01-28,3360.0,3451.0,3264.0,3377.0,297872990,88200,59,3448.0
2013-01-30,3300.0,3375.0,3274.0,3323.0,621232120,186942,82,3321.0
2013-02-02,3390.0,3489.0,3390.0,3488.0,1100417505,315520,112,3489.0
2013-02-03,3550.0,3550.0,3315.0,3390.0,1010305795,297986,130,3485.0
2013-02-04,3400.0,3400.0,3240.0,3259.0,293262688,89982,64,3242.0
2013-02-05,3300.0,3380.0,3260.0,3321.0,279032441,84017,38,3378.0
2013-02-06,3300.0,3420.0,3300.0,3388.0,571925626,168786,71,3400.0
2013-02-09,3474.0,3520.0,3291.0,3442.0,283633086,82412,46,3449.0
2013-02-11,3350.0,3467.0,3322.0,3393.0,316604969,93313,42,3400.0
2013-02-12,3400.0,3447.0,3311.0,3364.0,704800670,209530,93,3330.0
2013-02-13,3230.0,3333.0,3230.0,3295.0,609058904,184867,93,3300.0
2013-02-16,3300.0,3400.0,3232.0,3303.0,197511406,59795,50,3293.0
2013-02-17,3300.0,3320.0,3250.0,3269.0,609463414,186465,81,3290.0
2013-02-18,3200.0,3299.0,3200.0,3266.0,91319925,27965,30,3263.0
2013-02-19,3298.0,3429.0,3298.0,3413.0,1882625034,551548,203,3381.0
2013-02-20,3250.0,3368.0,3243.0,3263.0,1583979766,485493,300,3243.0
2013-02-23,3363.0,3363.0,3150.0,3171.0,322688209,101777,71,3150.0
2013-02-24,3276.0,3276.0,3013.0,3034.0,761092214,250886,130,3013.0
2013-02-25,2910.0,3034.0,2883.0,2908.0,696023239,239329,109,2980.0
2013-02-26,3053.0,3053.0,3053.0,3053.0,477376239,156363,64,3053.0
2013-02-27,3100.0,3102.0,2910.0,3006.0,674668469,224415,106,2910.0
2013-03-02,2880.0,2900.0,2856.0,2861.0,526337084,183979,95,2856.0
2013-03-03,2775.0,2945.0,2771.0,2878.0,328242266,114052,50,2945.0
2013-03-04,2790.0,2900.0,2782.0,2859.0,162426252,56813,49,2894.0
2013-03-05,2945.0,2945.0,2767.0,2799.0,39209700,14010,12,2801.0
2013-03-06,2899.0,2899.0,2660.0,2693.0,333955313,124027,61,2705.0
2013-03-09,2777.0,2777.0,2580.0,2611.0,173438124,66424,55,2620.0
2013-03-10,2485.0,2699.0,2485.0,2629.0,327591076,124605,47,2561.0
2013-03-11,2678.0,2678.0,2522.0,2572.0,285005524,110826,42,2522.0
