date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-12,600.0,600.0,600.0,600.0,300000,500,1,1000.0,600.0
2013-12-22,1000.0,1001.0,1000.0,1001.0,1251000,1250,2,600.0,1001.0
2013-12-25,1005.0,1005.0,1005.0,1005.0,2360745,2349,1,1001.0,1005.0
2014-01-01,1900.0,1900.0,1900.0,1900.0,19000,10,1,1005.0,1900.0
2014-01-04,1900.0,1900.0,1900.0,1900.0,722000,380,1,1900.0,1900.0
2014-01-05,2000.0,2000.0,2000.0,2000.0,500000,250,1,1900.0,2000.0
2014-01-13,2104.0,2105.0,2104.0,2104.0,45137950,21450,2,2000.0,2105.0
2014-02-19,2800.0,2800.0,2800.0,2800.0,49417200,17649,1,2104.0,2800.0
2014-03-02,3200.0,3200.0,3200.0,3200.0,9600000,3000,1,2800.0,3200.0
2014-03-04,3200.0,3200.0,3200.0,3200.0,864000,270,1,3200.0,3200.0
2014-03-05,3200.0,3200.0,3200.0,3200.0,13760000,4300,1,3200.0,3200.0
2014-03-10,3200.0,3200.0,3200.0,3200.0,18240000,5700,1,3200.0,3200.0
2014-03-11,3200.0,3200.0,3200.0,3200.0,4640000,1450,1,3200.0,3200.0
2014-03-30,4000.0,4000.0,4000.0,4000.0,6800000,1700,3,3200.0,4000.0
2014-04-07,4000.0,4000.0,4000.0,4000.0,8000000,2000,1,4000.0,4000.0
2014-04-20,4500.0,4500.0,4500.0,4500.0,4500000,1000,1,4000.0,4500.0
2014-05-04,4200.0,4200.0,3201.0,3357.0,5088480,1516,3,4494.0,3201.0
2014-06-11,2200.0,2200.0,2200.0,2200.0,220000,100,1,3357.0,2200.0
2014-06-14,2200.0,2200.0,2200.0,2200.0,3520000,1600,1,2200.0,2200.0
2014-06-25,2221.0,2250.0,2221.0,2231.0,13959318,6258,3,2200.0,2250.0
2014-06-28,2310.0,2310.0,2310.0,2310.0,34650000,15000,1,2231.0,2310.0
2014-07-01,2800.0,2800.0,2800.0,2800.0,3550400,1268,1,2310.0,2800.0
2014-07-06,2800.0,2800.0,2520.0,2545.0,14000000,5500,2,2800.0,2520.0
2014-07-12,2300.0,2300.0,2300.0,2300.0,9200000,4000,1,2545.0,2300.0
2014-07-14,2300.0,2300.0,2300.0,2300.0,425500000,185000,5,2300.0,2300.0
2014-07-15,2300.0,2300.0,2300.0,2300.0,345000,150,1,2300.0,2300.0
2014-07-16,2300.0,2300.0,2300.0,2300.0,170200000,74000,3,2300.0,2300.0
2014-08-03,2382.0,2382.0,2382.0,2382.0,7196022,3021,3,2300.0,2382.0
2014-08-06,2410.0,2410.0,2410.0,2410.0,3733090,1549,1,2382.0,2410.0
2014-08-17,2413.0,2413.0,2413.0,2413.0,4826000,2000,1,2410.0,2413.0
2014-08-23,2500.0,2500.0,2500.0,2500.0,105247500,42099,1,2413.0,2500.0
2014-09-16,2521.0,2521.0,2521.0,2521.0,23949500,9500,1,2500.0,2521.0
2014-09-21,2521.0,2521.0,2521.0,2521.0,5042000,2000,1,2521.0,2521.0
2014-10-06,3000.0,3000.0,3000.0,3000.0,2643000,881,1,2521.0,3000.0
2014-10-07,3300.0,3300.0,3300.0,3300.0,2260500,685,1,3000.0,3300.0
2014-10-08,3570.0,3630.0,3570.0,3593.0,3934350,1095,2,3300.0,3630.0
2014-10-20,2600.0,2600.0,2600.0,2600.0,312000,120,1,3593.0,2600.0
2014-10-22,2600.0,2600.0,2600.0,2600.0,5200000,2000,1,2600.0,2600.0
2014-11-02,3000.0,3700.0,3000.0,3503.0,17638200,5035,3,2600.0,3700.0
2014-11-10,3920.0,4200.0,3920.0,4027.0,233472265,57977,10,3503.0,4200.0
2014-11-19,4200.0,4200.0,4200.0,4200.0,420000,100,1,4027.0,4200.0
2014-11-23,3301.0,4200.0,3301.0,3404.0,11541000,3390,2,4200.0,4200.0
2014-12-03,4500.0,4500.0,4500.0,4500.0,976500,217,1,3404.0,4500.0
2014-12-06,4500.0,4500.0,4500.0,4500.0,1260000,280,1,4500.0,4500.0
2015-01-07,3320.0,3320.0,3320.0,3320.0,83000,25,1,4500.0,3320.0
2015-01-28,5200.0,5200.0,5200.0,5200.0,5200000,1000,2,3320.0,5200.0
2015-02-01,5300.0,5300.0,5200.0,5237.0,4190000,800,2,5200.0,5200.0
2015-02-07,3331.0,3331.0,3331.0,3331.0,29979000,9000,1,5237.0,3331.0
2015-02-09,3331.0,3331.0,3331.0,3331.0,3664100,1100,1,3331.0,3331.0
2015-03-18,3359.0,3359.0,3358.0,3358.0,5708860,1700,2,3331.0,3358.0
2015-03-31,3358.0,3358.0,3358.0,3358.0,10074000,3000,1,3358.0,3358.0
2015-04-14,3600.0,3600.0,3600.0,3600.0,720000,200,1,3358.0,3600.0
2015-05-11,3300.0,3300.0,3300.0,3300.0,21578700,6539,8,3600.0,3300.0
