date,open,high,low,adjClose,value,volume,count,close
2013-10-23,2000.0,2000.0,1950.0,1989.0,9643718650,4848576,8,1950.0
2013-10-27,2000.0,2000.0,2000.0,2000.0,54000000000,27000000,2,2000.0
2013-10-30,1900.0,1900.0,1900.0,1900.0,95000000,50000,1,1900.0
2013-11-02,1950.0,1950.0,1950.0,1950.0,283906350,145593,1,1950.0
2013-11-05,2000.0,2000.0,2000.0,2000.0,2063804000,1031902,6,2000.0
2013-11-10,2000.0,2000.0,2000.0,2000.0,371268000,185634,3,2000.0
2013-11-11,2000.0,2000.0,2000.0,2000.0,8032426000,4016213,2,2000.0
2013-11-17,2000.0,2000.0,2000.0,2000.0,4986000000,2493000,4,2000.0
2013-11-20,2000.0,2000.0,2000.0,2000.0,1452550000,726275,3,2000.0
2013-11-23,2000.0,2000.0,2000.0,2000.0,1636718000,818359,3,2000.0
2013-11-26,2000.0,2000.0,2000.0,2000.0,120438000,60219,2,2000.0
2013-12-07,2000.0,2200.0,2000.0,2200.0,2965214000,1348107,5,2200.0
2013-12-09,2000.0,2000.0,2000.0,2000.0,6214000,3107,1,2000.0
2013-12-10,2200.0,2200.0,2200.0,2200.0,192742000,87610,1,2200.0
2013-12-15,2500.0,2500.0,2500.0,2500.0,125000000,50000,1,2500.0
2013-12-17,2200.0,2200.0,2200.0,2200.0,2815843800,1279929,4,2200.0
2013-12-22,2600.0,2600.0,2600.0,2600.0,28358200,10907,2,2600.0
2013-12-24,2600.0,2600.0,2600.0,2600.0,26000000,10000,1,2600.0
2013-12-25,2600.0,2600.0,2200.0,2202.0,3854541200,1750246,5,2200.0
2013-12-29,2700.0,2700.0,2700.0,2700.0,37800000,14000,2,2700.0
2013-12-30,2600.0,2630.0,2200.0,2285.0,4707883480,2059965,10,2610.0
2014-01-01,2610.0,2610.0,2610.0,2610.0,5538420,2122,1,2610.0
2014-01-04,2600.0,2600.0,2600.0,2600.0,993200,382,1,2600.0
2014-01-05,2600.0,2600.0,2600.0,2600.0,4940000,1900,1,2600.0
2014-01-07,2500.0,2500.0,2500.0,2500.0,371250000,148500,183,2500.0
2014-01-08,2500.0,2700.0,2500.0,2687.0,2867250000,1066900,89,2500.0
2014-01-12,2500.0,2500.0,2500.0,2500.0,548000000,219200,151,2500.0
2014-01-13,2500.0,2500.0,2500.0,2500.0,3000000,1200,1,2500.0
2014-01-20,2500.0,2700.0,2500.0,2637.0,417881300,158449,21,2600.0
2014-01-22,2800.0,2900.0,2600.0,2749.0,15276090000,5556403,110,2700.0
2014-01-26,2700.0,2700.0,2700.0,2700.0,297540000,110200,78,2700.0
2014-01-27,2700.0,2700.0,2700.0,2700.0,147420000,54600,39,2700.0
2014-01-28,2700.0,2900.0,2700.0,2700.0,451820000,167340,125,2700.0
2014-02-01,2700.0,2800.0,2700.0,2729.0,473990000,173700,90,2800.0
2014-02-02,2800.0,2800.0,2800.0,2800.0,10851458800,3875521,2,2800.0
2014-02-03,2800.0,2800.0,2800.0,2800.0,766514000000,273755000,2,2800.0
2014-02-04,2600.0,2900.0,2600.0,2899.0,6414366500,2212885,3,2900.0
2014-02-05,2600.0,2600.0,2600.0,2600.0,2600000,1000,1,2600.0
2014-02-10,2400.0,2800.0,2400.0,2797.0,3510943200,1255393,4,2800.0
2014-02-16,2600.0,2900.0,2600.0,2900.0,11611700000,4004500,2,2900.0
2014-02-17,2599.0,2900.0,2500.0,2741.0,570266374,208068,8,2900.0
2014-02-22,2899.0,2900.0,2700.0,2769.0,1716995000,620000,9,2800.0
2014-02-24,2700.0,2700.0,2700.0,2700.0,74250000,27500,19,2700.0
2014-02-25,2700.0,2800.0,2500.0,2664.0,569309000,213670,127,2500.0
2014-02-26,2500.0,2670.0,2450.0,2467.0,40935450,16590,5,2670.0
2014-03-01,2500.0,2500.0,2500.0,2500.0,252500000,101000,2,2500.0
2014-03-02,2400.0,2400.0,2400.0,2400.0,72000000,30000,1,2400.0
2014-03-03,2500.0,2599.0,2400.0,2500.0,5753557500,2301576,11,2480.0
2014-03-04,2500.0,2500.0,2500.0,2500.0,4550647500,1820259,6,2500.0
2014-03-16,2400.0,2600.0,2400.0,2511.0,5015207680,1997544,12,2500.0
2014-03-17,2597.0,2597.0,2500.0,2595.0,534809056416,206067898,4,2597.0
2014-03-18,2500.0,2650.0,2500.0,2502.0,1526500000,610000,3,2650.0
2014-03-19,2650.0,2650.0,2500.0,2596.0,427005810,164481,7,2500.0
2014-03-25,2900.0,2900.0,2900.0,2900.0,3536068600,1219334,1,2900.0
2014-04-05,2590.0,2590.0,2590.0,2590.0,233100000,90000,2,2590.0
2014-04-07,2600.0,2600.0,2500.0,2555.0,1405000000,550000,8,2500.0
2014-04-09,2510.0,2510.0,2502.0,2507.0,1914440708,763778,11,2502.0
2014-04-12,2502.0,2502.0,2502.0,2502.0,25020000,10000,1,2502.0
2014-04-14,2502.0,2502.0,2502.0,2502.0,401803686,160593,3,2502.0
2014-04-15,2502.0,2502.0,2502.0,2502.0,50040000,20000,2,2502.0
2014-04-16,2502.0,2503.0,2500.0,2501.0,1585470482,633886,12,2501.0
2014-04-19,2501.0,2502.0,2500.0,2501.0,873008000,349000,6,2502.0
2014-04-21,2502.0,2502.0,2502.0,2502.0,25020000,10000,1,2502.0
2014-04-22,2502.0,2502.0,2500.0,2501.0,100020814,40000,3,2500.0
2014-04-23,2500.0,2500.0,2500.0,2500.0,56477500,22591,1,2500.0
2014-04-27,2500.0,2500.0,2500.0,2500.0,25000000,10000,1,2500.0
2014-04-28,2501.0,2501.0,2501.0,2501.0,867636916,346916,6,2501.0
2014-04-29,2501.0,2501.0,2500.0,2500.0,2200152000,880000,11,2500.0
2014-04-30,2501.0,2501.0,2501.0,2501.0,585971795,234295,2,2501.0
2014-05-03,2500.0,2501.0,2500.0,2500.0,925070000,370000,4,2500.0
2014-05-06,2500.0,2500.0,2500.0,2500.0,12500000,5000,2,2500.0
2014-05-10,2500.0,2680.0,2500.0,2511.0,606344990,241490,7,2680.0
2014-05-11,2750.0,2750.0,2501.0,2503.0,573733275,229248,6,2502.0
2014-05-12,2500.0,2500.0,2500.0,2500.0,875000000,350000,1,2500.0
2014-05-14,2600.0,2600.0,2500.0,2518.0,344517500,136807,2,2500.0
2014-05-20,2600.0,2600.0,2600.0,2600.0,26000000,10000,1,2600.0
2014-05-21,2525.0,2600.0,2525.0,2525.0,2434705550,964174,7,2525.0
2014-05-24,2525.0,2525.0,2525.0,2525.0,92899800,36792,1,2525.0
2014-05-26,2500.0,2526.0,2500.0,2523.0,1283002457,508598,5,2526.0
2014-05-31,2525.0,2600.0,2525.0,2532.0,78500000,31000,2,2600.0
2014-06-01,2525.0,2525.0,2525.0,2525.0,209340175,82907,1,2525.0
2014-06-02,2520.0,2520.0,2520.0,2520.0,897508080,356154,3,2520.0
2014-06-07,2525.0,2527.0,2525.0,2525.0,578954243,229286,6,2527.0
2014-06-08,2600.0,2600.0,2600.0,2600.0,376438400,144784,3,2600.0
2014-06-11,2600.0,2600.0,2600.0,2600.0,22022000,8470,1,2600.0
2014-06-14,2700.0,2700.0,2550.0,2588.0,793327450,306599,3,2550.0
2014-06-15,2570.0,2800.0,2570.0,2721.0,1723823000,633572,6,2720.0
2014-06-16,2790.0,2900.0,2790.0,2790.0,558580000,200200,2,2900.0
2014-06-18,2700.0,2790.0,2600.0,2615.0,389158000,148790,5,2790.0
2014-06-21,2790.0,2800.0,2780.0,2796.0,859825000,307500,3,2780.0
2014-06-23,2799.0,2890.0,2799.0,2827.0,4042155,1430,2,2890.0
2014-06-24,2800.0,2800.0,2790.0,2790.0,83980000,30100,2,2790.0
2014-06-25,2800.0,2800.0,2790.0,2795.0,280649480,100412,3,2790.0
2014-06-28,2900.0,2900.0,2800.0,2890.0,578391250,200153,6,2800.0
2014-06-29,2900.0,2900.0,2900.0,2900.0,980200,338,1,2900.0
2014-06-30,2950.0,2950.0,2950.0,2950.0,147500,50,1,2950.0
2014-07-01,2800.0,2900.0,2800.0,2813.0,52211736550,18562677,1035,2890.0
2014-07-07,2700.0,2700.0,2700.0,2700.0,2175851700,805871,1,2700.0
2014-07-08,2890.0,2890.0,2890.0,2890.0,3179000,1100,2,2890.0
2014-07-13,2800.0,2800.0,2800.0,2800.0,5600000,2000,1,2800.0
2014-07-15,2750.0,2750.0,2750.0,2750.0,137500000,50000,1,2750.0
2014-07-16,2700.0,2800.0,2700.0,2740.0,411050000,150000,4,2800.0
2014-07-27,2800.0,2800.0,2800.0,2800.0,82703600,29537,3,2800.0
2014-08-19,2800.0,2800.0,2500.0,2633.0,237007160,90000,3,2501.0
2014-08-20,2500.0,2500.0,2500.0,2500.0,125000000,50000,1,2500.0
2014-08-23,2500.0,2550.0,2500.0,2505.0,179309000,71588,7,2500.0
2014-08-24,2500.0,2500.0,2500.0,2500.0,950000,380,1,2500.0
2014-08-26,2500.0,2500.0,2500.0,2500.0,325937500,130375,3,2500.0
2014-08-27,2500.0,2510.0,2500.0,2504.0,4532000000,1810000,27,2510.0
2014-09-03,2450.0,2504.0,2450.0,2502.0,401835000,160594,4,2504.0
2014-09-10,2400.0,2450.0,2400.0,2400.0,2556250000,1065000,5,2400.0
2014-09-13,2360.0,2360.0,2351.0,2352.0,282300000,120000,3,2351.0
2014-09-14,2300.0,2351.0,2300.0,2301.0,230101000,100000,5,2300.0
2014-09-16,2300.0,2300.0,2300.0,2300.0,393300000,171000,4,2300.0
2014-09-17,2500.0,2500.0,2500.0,2500.0,100000000,40000,1,2500.0
2014-09-20,2217.0,2500.0,2200.0,2464.0,449047400,182217,6,2500.0
2014-09-22,2030.0,2030.0,2030.0,2030.0,4500510,2217,1,2030.0
2014-09-27,2010.0,2015.0,2000.0,2010.0,480440000,239000,4,2015.0
2014-09-29,2000.0,2010.0,2000.0,2001.0,110050000,55000,2,2010.0
2014-10-01,1980.0,1980.0,1980.0,1980.0,9900000,5000,3,1980.0
2014-10-06,1999.0,1999.0,1999.0,1999.0,75528217,37783,1,1999.0
2014-10-08,2000.0,2000.0,1980.0,2000.0,33718800000,16860000,3,1980.0
2014-10-12,2000.0,2000.0,2000.0,2000.0,60000000,30000,1,2000.0
2014-10-14,1950.0,1950.0,1950.0,1950.0,1821087450,933891,1,1950.0
2014-10-15,1930.0,2000.0,1930.0,1932.0,995000000,515000,3,2000.0
2014-10-18,1900.0,1940.0,1900.0,1911.0,51933080,27182,2,1940.0
2014-10-19,1750.0,1750.0,1701.0,1720.0,171985000,100000,6,1702.0
2014-10-20,1900.0,1900.0,1751.0,1895.0,530510000,280000,4,1900.0
2014-10-21,1944.0,1945.0,1944.0,1944.0,29165000,15000,2,1945.0
2014-10-22,1800.0,1943.0,1800.0,1894.0,113660000,60000,3,1943.0
2014-10-25,1940.0,1940.0,1750.0,1756.0,1808200000,1030000,3,1750.0
2014-10-26,1900.0,1900.0,1900.0,1900.0,442354200,232818,2,1900.0
2014-10-27,1900.0,1938.0,1900.0,1915.0,95760000,50000,2,1938.0
2014-10-29,1900.0,1900.0,1900.0,1900.0,70645800,37182,2,1900.0
2014-11-01,1939.0,1939.0,1910.0,1911.0,19681700,10300,2,1910.0
2014-11-05,1910.0,1950.0,1910.0,1930.0,38600000,20000,2,1950.0
2014-11-09,1750.0,2000.0,1750.0,1769.0,1919610000,1085000,5,1990.0
2014-11-10,1900.0,1900.0,1800.0,1839.0,183900000,100000,6,1800.0
2014-11-15,1850.0,1850.0,1850.0,1850.0,281436705650,152127949,7,1850.0
2014-11-18,1890.0,2100.0,1850.0,1957.0,423590050,216456,14,2100.0
2014-11-19,1860.0,1890.0,1850.0,1859.0,139373050,74953,4,1851.0
2014-11-23,1700.0,1761.0,1700.0,1723.0,439285000,255000,11,1761.0
2014-11-24,1760.0,1760.0,1760.0,1760.0,61600000,35000,1,1760.0
2014-11-25,1750.0,1890.0,1750.0,1757.0,377650000,215000,6,1890.0
2014-11-29,1800.0,1800.0,1750.0,1752.0,361693000,206396,2,1750.0
2014-11-30,1700.0,1800.0,1700.0,1729.0,294000000,170000,3,1700.0
2014-12-01,1700.0,1700.0,1690.0,1699.0,677029900,398547,4,1700.0
2014-12-02,1610.0,1610.0,1610.0,1610.0,48300000,30000,3,1610.0
2014-12-03,1700.0,1700.0,1610.0,1686.0,105350000,62500,6,1610.0
2014-12-06,1610.0,1610.0,1606.0,1610.0,9708220000,6030000,4,1610.0
2014-12-07,1622.0,1622.0,1600.0,1600.0,48112540000,30070000,3,1600.0
2014-12-08,1610.0,1610.0,1605.0,1610.0,2456730000,1526000,5,1605.0
2014-12-09,1605.0,1605.0,1605.0,1605.0,22470000,14000,1,1605.0
2014-12-10,1610.0,1610.0,1610.0,1610.0,24150000000,15000000,1,1610.0
2014-12-15,1701.0,1701.0,1600.0,1602.0,2288179200,1427912,8,1701.0
2014-12-16,1620.0,1700.0,1620.0,1632.0,336252840,206082,6,1700.0
2014-12-17,1700.0,1700.0,1611.0,1651.0,99055000,60000,4,1611.0
2014-12-20,1700.0,1700.0,1700.0,1700.0,110500000,65000,4,1700.0
2014-12-24,1700.0,1740.0,1700.0,1704.0,76671800,45000,4,1700.0
2014-12-27,1740.0,1740.0,1740.0,1740.0,1426800,820,1,1740.0
2014-12-29,1610.0,1650.0,1610.0,1621.0,227000000,140000,3,1650.0
2014-12-30,1650.0,1650.0,1650.0,1650.0,107250000,65000,3,1650.0
2014-12-31,1650.0,1650.0,1650.0,1650.0,3425400,2076,1,1650.0
2015-01-03,1650.0,1650.0,1650.0,1650.0,9537000,5780,2,1650.0
2015-01-04,1650.0,1650.0,1610.0,1611.0,266663180,165522,5,1613.0
2015-01-05,1680.0,1680.0,1680.0,1680.0,14148960,8422,1,1680.0
2015-01-07,1610.0,1621.0,1610.0,1613.0,34458066,21365,5,1620.0
2015-01-10,1610.0,1610.0,1610.0,1610.0,16100000,10000,1,1610.0
2015-01-12,1610.0,1621.0,1610.0,1610.0,820468010,509601,14,1620.0
2015-01-13,1601.0,1620.0,1601.0,1604.0,72187358,45000,5,1601.0
2015-01-17,1601.0,1601.0,1600.0,1600.0,3366046252,2103773,4,1600.0
2015-01-18,1600.0,1600.0,1599.0,1599.0,38380000,24000,3,1599.0
2015-01-19,1599.0,1600.0,1599.0,1599.0,24713200,15452,2,1600.0
2015-01-20,1570.0,1570.0,1570.0,1570.0,38540360,24548,2,1570.0
2015-01-25,1499.0,1590.0,1499.0,1507.0,1189618849,789513,9,1499.0
2015-01-26,1450.0,1500.0,1450.0,1477.0,260391250,176337,4,1500.0
2015-01-28,1460.0,1460.0,1055.0,1440.0,786244040,545928,5,1440.0
2015-02-01,1450.0,1469.0,1450.0,1450.0,4120440500,2841670,3,1450.0
2015-02-03,1440.0,1440.0,1400.0,1404.0,7414227320,5281393,4,1440.0
2015-02-04,1430.0,1430.0,1430.0,1430.0,35103640,24548,2,1430.0
2015-02-07,1430.0,1430.0,1430.0,1430.0,221650000,155000,3,1430.0
2015-02-08,1430.0,1460.0,1430.0,1434.0,34421340,24000,7,1460.0
2015-02-09,1449.0,1449.0,1430.0,1431.0,442510582,309330,2,1430.0
2015-02-21,1500.0,1500.0,1500.0,1500.0,6029205000,4019470,1,1500.0
2015-02-25,1400.0,1470.0,1400.0,1400.0,812019810,580000,5,1400.0
2015-02-28,1400.0,1400.0,1400.0,1400.0,728396200,520283,2,1400.0
2015-03-04,1350.0,1350.0,1250.0,1349.0,91620350,67941,2,1250.0
2015-03-07,1400.0,1400.0,1400.0,1400.0,1400000000,1000000,1,1400.0
2015-03-08,1330.0,1400.0,1251.0,1396.0,2944970497,2109512,9,1400.0
2015-03-10,1400.0,1400.0,1400.0,1400.0,126000000,90000,1,1400.0
2015-03-14,1300.0,1400.0,1300.0,1325.0,323336500,244105,5,1400.0
2015-03-16,1400.0,1450.0,1400.0,1402.0,67300000,48000,2,1450.0
2015-03-17,1450.0,1450.0,1400.0,1445.0,964379400,667521,7,1450.0
2015-03-25,1400.0,1400.0,1400.0,1400.0,4900000000,3500000,1,1400.0
2015-03-31,1698.0,1698.0,1560.0,1629.0,162900000,100000,2,1560.0
2015-04-05,2100.0,2100.0,2100.0,2100.0,63000000,30000,2,2100.0
2015-04-07,2200.0,2200.0,2100.0,2105.0,210500000,100000,5,2100.0
2015-04-12,2096.0,2100.0,2096.0,2097.0,102744800,48988,4,2100.0
2015-04-13,1740.0,1740.0,1700.0,1736.0,191000000,110000,2,1700.0
2015-04-14,1700.0,1700.0,1700.0,1700.0,176123400,103602,38,1700.0
2015-04-15,1850.0,2089.0,1800.0,1873.0,418674600,223516,3,1800.0
2015-04-20,1800.0,1800.0,1800.0,1800.0,56086200,31159,3,1800.0
2015-04-22,1700.0,1700.0,1700.0,1700.0,6800000,4000,1,1700.0
2015-04-25,1551.0,1800.0,1550.0,1702.0,323566600,190137,4,1800.0
2015-04-26,1699.0,1699.0,1690.0,1698.0,320702508,188892,2,1690.0
2015-04-28,1567.0,1567.0,1567.0,1567.0,266390000,170000,1,1567.0
2015-05-03,1569.0,1569.0,1569.0,1569.0,1569000000,1000000,1,1569.0
2015-05-06,1550.0,1550.0,1550.0,1550.0,103761650,66943,2,1550.0
2015-05-09,1550.0,1550.0,1550.0,1550.0,186000000,120000,2,1550.0
2015-05-18,1568.0,1568.0,1568.0,1568.0,78400000,50000,1,1568.0
2015-05-23,1550.0,1550.0,1550.0,1550.0,756082250,487795,1,1550.0
2015-05-25,1580.0,1580.0,1565.0,1571.0,94272520,60008,4,1565.0
2015-05-31,1580.0,1580.0,1570.0,1573.0,236000000,150000,8,1570.0
2015-06-01,1520.0,1520.0,1520.0,1520.0,1520000,1000,1,1520.0
2015-06-02,1566.0,1566.0,1565.0,1565.0,381897480,243992,2,1565.0
2015-06-10,1580.0,1580.0,1580.0,1580.0,1580000,1000,1,1580.0
2015-06-15,1576.0,1576.0,1550.0,1550.0,776576000,501000,2,1550.0
2015-06-16,1550.0,1575.0,1550.0,1550.0,1550009450,1000006,2,1575.0
2015-06-17,1550.0,1577.0,1550.0,1552.0,853850000,550000,11,1577.0
2015-06-20,1570.0,1570.0,1570.0,1570.0,66725000,42500,4,1570.0
2015-06-21,1550.0,1550.0,1550.0,1550.0,186775000,120500,3,1550.0
2015-06-22,1550.0,1550.0,1550.0,1550.0,164157400,105908,4,1550.0
2015-06-23,1579.0,1579.0,1550.0,1552.0,16592668,10692,3,1550.0
2015-06-24,1550.0,1550.0,1550.0,1550.0,775000,500,1,1550.0
2015-06-28,1531.0,1531.0,1531.0,1531.0,21434000,14000,1,1531.0
2015-06-29,1579.0,1579.0,1521.0,1539.0,523505145,340080,10,1550.0
2015-06-30,1532.0,1532.0,1510.0,1518.0,46119238,30374,4,1532.0
2015-07-01,1545.0,1550.0,1510.0,1548.0,189502299,122425,10,1544.0
2015-08-02,1450.0,1450.0,1450.0,1450.0,41314831150,28492987,1,1450.0
2015-08-03,1380.0,1380.0,1380.0,1380.0,16560000000,12000000,1,1380.0
2015-08-08,1390.0,1390.0,1390.0,1390.0,39605251930,28492987,2,1390.0
2015-08-09,1350.0,1380.0,1350.0,1380.0,2347350000,1701000,2,1380.0
2015-08-10,1350.0,1350.0,1350.0,1350.0,1045526400,774464,2,1350.0
2015-08-17,1400.0,1400.0,1362.0,1366.0,163920000,120000,3,1362.0
2015-08-18,1350.0,1350.0,1350.0,1350.0,2199505050,1629263,4,1350.0
2015-08-19,1361.0,1361.0,1361.0,1361.0,44914361,33001,5,1361.0
2015-08-22,1360.0,1360.0,1360.0,1360.0,530400000,390000,2,1360.0
2015-08-23,1625.0,1625.0,1625.0,1625.0,10991500,6764,2,1625.0
2015-08-25,1367.0,1367.0,1367.0,1367.0,69224880,50640,2,1367.0
2015-08-26,1350.0,1350.0,1350.0,1350.0,4050000000,3000000,1,1350.0
2015-08-29,1400.0,1400.0,1400.0,1400.0,70000000,50000,1,1400.0
2015-08-30,1400.0,1400.0,1350.0,1352.0,2815606000,2083000,5,1367.0
2015-09-01,1400.0,1400.0,1400.0,1400.0,49000000,35000,2,1400.0
2015-09-09,1350.0,1350.0,1350.0,1350.0,197100000,146000,1,1350.0
2015-09-13,1450.0,1450.0,1400.0,1402.0,44405800,31672,4,1400.0
2015-09-14,1327.0,1327.0,1327.0,1327.0,66350000,50000,1,1327.0
2015-09-20,1350.0,1360.0,1325.0,1328.0,734764560,553456,7,1327.0
2015-09-22,1350.0,1400.0,1350.0,1350.0,675576800,500412,2,1400.0
2015-09-28,1350.0,1350.0,1350.0,1350.0,2221358850,1645451,1,1350.0
2015-10-04,1361.0,1361.0,1300.0,1303.0,195869758,150292,5,1300.0
2015-10-05,1350.0,1350.0,1350.0,1350.0,1080000000,800000,1,1350.0
2015-10-10,1303.0,1305.0,1300.0,1301.0,312220000,240000,3,1300.0
2015-10-12,1302.0,1302.0,1302.0,1302.0,1302000,1000,1,1302.0
2015-10-13,1300.0,1304.0,1300.0,1301.0,74855000,57550,2,1304.0
2015-10-17,1300.0,1350.0,1300.0,1317.0,790000000,600000,2,1350.0
2015-10-18,1350.0,1350.0,1350.0,1350.0,27006750,20005,2,1350.0
2015-10-19,1350.0,1350.0,1350.0,1350.0,152474400,112944,1,1350.0
2015-10-20,1350.0,1350.0,1350.0,1350.0,512993250,379995,3,1350.0
2015-10-21,1350.0,1350.0,1350.0,1350.0,6825600,5056,1,1350.0
2015-10-25,1301.0,1301.0,1300.0,1300.0,330669100,254360,2,1300.0
2015-10-26,1307.0,1309.0,1305.0,1306.0,140747020,107772,5,1305.0
2015-11-01,1300.0,1350.0,1300.0,1346.0,3088271600,2295016,3,1350.0
2015-11-02,1349.0,1349.0,1349.0,1349.0,269800,200,2,1349.0
2015-11-03,1350.0,1350.0,1350.0,1350.0,2700000000,2000000,1,1350.0
2015-11-04,1350.0,1350.0,1231.0,1325.0,3672481100,2771347,8,1231.0
2015-11-07,1230.0,1325.0,1230.0,1248.0,2023892818,1621487,7,1234.0
2015-11-08,1234.0,1234.0,1231.0,1234.0,864538600,700600,2,1231.0
2015-11-10,1300.0,1300.0,1300.0,1300.0,1950000000,1500000,1,1300.0
2015-11-14,1300.0,1300.0,1251.0,1275.0,25510000,20000,2,1251.0
2015-11-17,1200.0,1263.0,1200.0,1200.0,1389070866,1157182,2,1263.0
