date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-12,1000.0,1000.0,1000.0,1000.0,39233000,39233,2,1000.0,1000.0
2013-11-30,1000.0,1000.0,500.0,674.0,58962000,87462,5,1000.0,1000.0
2013-12-08,1200.0,1200.0,1200.0,1200.0,8400000,7000,1,674.0,1200.0
2013-12-11,1199.0,1200.0,1199.0,1200.0,40209700,33511,6,1200.0,1200.0
2013-12-22,1500.0,1600.0,1450.0,1482.0,57401436,38741,5,1200.0,1600.0
2013-12-25,1453.0,1453.0,1200.0,1358.0,36215698,26666,2,1482.0,1200.0
2013-12-29,1550.0,1550.0,1550.0,1550.0,8370000,5400,1,1358.0,1550.0
2014-01-01,1600.0,1600.0,1400.0,1582.0,28231250,17850,4,1550.0,1400.0
2014-01-04,1998.0,1998.0,1949.0,1962.0,107244706,54647,3,1582.0,1950.0
2014-01-05,1999.0,1999.0,1999.0,1999.0,39908036,19964,3,1962.0,1999.0
2014-01-07,2000.0,2200.0,1990.0,2011.0,170388000,84719,10,1999.0,2200.0
2014-01-11,2200.0,2222.0,1900.0,2118.0,251731964,118836,11,2011.0,2199.0
2014-01-12,2000.0,2000.0,2000.0,2000.0,29622000,14811,1,2118.0,2000.0
2014-01-26,2200.0,2200.0,1900.0,2182.0,136730200,62656,4,2000.0,2200.0
2014-01-29,1900.0,2300.0,1900.0,2283.0,27520700,12055,5,2182.0,2200.0
2014-02-01,2000.0,2000.0,2000.0,2000.0,100000000,50000,1,2283.0,2000.0
2014-02-03,1600.0,1900.0,1600.0,1622.0,25844447,15936,5,2000.0,1601.0
2014-02-10,1610.0,1610.0,1601.0,1603.0,17099069,10669,7,1622.0,1605.0
2014-02-12,1600.0,1600.0,1600.0,1600.0,8000000,5000,1,1603.0,1600.0
2014-02-16,1600.0,1600.0,1600.0,1600.0,16000000,10000,2,1600.0,1600.0
2014-02-17,1600.0,1650.0,1556.0,1586.0,77946844,49149,4,1600.0,1556.0
2014-02-18,1555.0,1600.0,1555.0,1567.0,2691265,1717,2,1586.0,1600.0
2014-02-23,1555.0,1600.0,1555.0,1556.0,31744115,20399,4,1567.0,1555.0
2014-02-26,1400.0,1400.0,1400.0,1400.0,28000000,20000,1,1556.0,1400.0
2014-03-04,1300.0,1300.0,1300.0,1300.0,28600000,22000,2,1400.0,1300.0
2014-03-08,1390.0,1390.0,1390.0,1390.0,13900000,10000,1,1300.0,1390.0
2014-03-09,1301.0,1301.0,1300.0,1300.0,28590291,21991,3,1390.0,1300.0
2014-03-11,1301.0,1301.0,1301.0,1301.0,329153,253,1,1300.0,1301.0
2014-03-26,1300.0,1301.0,1300.0,1300.0,12755875,9812,4,1301.0,1300.0
2014-04-07,1290.0,1300.0,1290.0,1298.0,40941970,31534,11,1300.0,1290.0
2014-04-09,1303.0,1350.0,1303.0,1307.0,14380000,11000,2,1298.0,1350.0
2014-04-12,1400.0,1400.0,1400.0,1400.0,29120000,20800,3,1307.0,1400.0
2014-04-13,1302.0,1302.0,1290.0,1297.0,49267303,38000,6,1400.0,1290.0
2014-04-26,1390.0,1390.0,1211.0,1271.0,36108428,28416,6,1297.0,1211.0
2014-04-27,1400.0,1400.0,1400.0,1400.0,18200000,13000,1,1271.0,1400.0
2014-04-28,1500.0,1500.0,1240.0,1380.0,128456560,93058,12,1400.0,1241.0
2014-04-29,1500.0,1550.0,1400.0,1446.0,84586050,58491,6,1380.0,1400.0
2014-04-30,1700.0,1700.0,1500.0,1632.0,38372053,23516,5,1446.0,1700.0
2014-05-03,1700.0,1700.0,1700.0,1700.0,11900000,7000,1,1632.0,1700.0
2014-05-04,1700.0,1700.0,1580.0,1596.0,130900000,82000,7,1700.0,1580.0
2014-05-05,1600.0,1600.0,1480.0,1564.0,79136520,50599,6,1596.0,1600.0
2014-05-21,1500.0,1500.0,1340.0,1439.0,18107960,12588,4,1564.0,1340.0
2014-05-24,1350.0,1350.0,1350.0,1350.0,675000,500,1,1439.0,1350.0
2014-05-25,1350.0,1350.0,1342.0,1345.0,2670222,1985,3,1350.0,1342.0
2014-05-26,1550.0,1550.0,1499.0,1516.0,45480000,30000,3,1345.0,1499.0
2014-05-28,1500.0,1500.0,1500.0,1500.0,8040000,5360,2,1516.0,1500.0
2014-05-31,1500.0,1500.0,1500.0,1500.0,1755000,1170,1,1500.0,1500.0
2014-06-01,1500.0,1500.0,1500.0,1500.0,12607500,8405,3,1500.0,1500.0
2014-06-02,1400.0,1400.0,1400.0,1400.0,37800000,27000,1,1500.0,1400.0
2014-06-11,1408.0,1408.0,1408.0,1408.0,9856000,7000,1,1400.0,1408.0
2014-06-14,1500.0,1500.0,1401.0,1463.0,17565156,12010,4,1408.0,1401.0
2014-06-17,1353.0,1353.0,1353.0,1353.0,66297,49,1,1463.0,1353.0
2014-06-23,1350.0,1350.0,1350.0,1350.0,14384250,10655,2,1353.0,1350.0
2014-06-28,1371.0,1371.0,1371.0,1371.0,12661185,9235,1,1350.0,1371.0
2014-06-29,1351.0,1351.0,1351.0,1351.0,21345800,15800,1,1371.0,1351.0
2014-06-30,1371.0,1371.0,1271.0,1309.0,154808815,118265,5,1351.0,1271.0
2014-07-01,1370.0,1371.0,1210.0,1305.0,189236985,145035,10,1309.0,1250.0
2014-07-02,1210.0,1250.0,1200.0,1246.0,20630390,16562,3,1305.0,1200.0
2014-07-09,1150.0,1150.0,1150.0,1150.0,13915000,12100,1,1246.0,1150.0
2014-07-15,1320.0,1320.0,1320.0,1320.0,3222120,2441,1,1150.0,1320.0
