date,open,high,low,adjClose,value,volume,count,close
2004-01-19,18000.0,18000.0,18000.0,18000.0,48599982000,2699999,1752,18000.0
2004-01-21,18900.0,18900.0,18022.0,18022.0,28349122,1500,8,18022.0
2004-01-24,18923.0,18923.0,18022.0,18022.0,9460599,500,3,18022.0
2004-01-25,18923.0,18923.0,18052.0,18052.0,37939744,2005,6,18052.0
2004-01-26,18954.0,18954.0,18128.0,18128.0,94769174,5000,6,18128.0
2004-01-27,19034.0,19034.0,19034.0,19034.0,1713060000,90000,134,19034.0
2004-01-28,19985.0,19985.0,19373.0,19373.0,419684388,21000,40,19373.0
2004-01-31,20341.0,20341.0,20341.0,20341.0,1449072499,71239,144,20341.0
2004-02-01,21358.0,21358.0,20340.0,21328.0,28371005051,1330212,1578,21328.0
2004-02-03,22394.0,22394.0,22105.0,22385.0,5082798228,227058,378,22385.0
2004-02-04,23504.0,23504.0,23400.0,23502.0,3137990204,133517,113,23502.0
2004-02-07,24677.0,24677.0,23520.0,24586.0,4633889852,188471,214,24586.0
2004-02-08,24687.0,25499.0,24450.0,24861.0,4680836505,188274,255,24861.0
2004-02-09,24500.0,24861.0,23700.0,24309.0,3570262849,146864,193,24309.0
2004-02-14,24002.0,24003.0,23750.0,23973.0,1782374386,74348,188,23973.0
2004-02-15,23921.0,23921.0,23000.0,23394.0,547439212,23400,35,23394.0
2004-02-16,23388.0,23389.0,22900.0,23166.0,1777814152,76740,154,23166.0
2004-02-17,23066.0,23350.0,23066.0,23168.0,1533801656,66201,93,23168.0
2004-02-18,23326.0,24326.0,23103.0,24252.0,2742415818,113076,147,24252.0
2004-02-21,25460.0,25460.0,24550.0,24550.0,525258923,20933,47,24550.0
2004-02-22,24676.0,25300.0,24652.0,25000.0,6978286536,279121,109,25000.0
2004-02-23,25293.0,25650.0,25293.0,25392.0,1047076762,40958,66,25392.0
2004-02-24,25650.0,26000.0,25608.0,25608.0,793540303,30748,47,25608.0
2004-02-25,25815.0,25865.0,25660.0,25660.0,328983425,12725,35,25660.0
2004-02-28,25859.0,26887.0,25859.0,26286.0,1798736710,68428,89,26286.0
2004-02-29,27000.0,27600.0,26715.0,26715.0,555400350,20167,45,26715.0
2004-03-03,27600.0,27998.0,27022.0,27587.0,2752504543,99774,93,27587.0
2004-03-06,27488.0,27488.0,26780.0,27273.0,1121336976,41315,91,27273.0
2004-03-07,26210.0,26888.0,26210.0,26888.0,53056862582,1987243,53,26888.0
2004-03-08,26745.0,26746.0,26199.0,26675.0,618133610,23454,58,26675.0
2004-03-09,26280.0,26280.0,25342.0,26160.0,670206909,26259,67,26160.0
2004-03-10,25487.0,25857.0,24852.0,25857.0,411141509,16395,39,25857.0
2004-03-13,25414.0,25757.0,24600.0,25757.0,155832071,6252,17,25757.0
2004-03-14,24847.0,25510.0,24470.0,25510.0,304625603,12389,31,25510.0
2004-03-15,24450.0,25041.0,24235.0,25041.0,561168775,23077,32,25041.0
2004-03-16,24229.0,25440.0,24227.0,24841.0,574850191,23424,38,24841.0
2004-03-17,25440.0,25503.0,25043.0,25043.0,461380600,18094,35,25043.0
2004-03-27,25503.0,25503.0,25071.0,25071.0,94198166,3694,8,25071.0
2004-03-28,25502.0,26300.0,25119.0,25119.0,107028315,4156,15,25119.0
2004-03-29,26300.0,26374.0,25232.0,25232.0,144307596,5480,10,25232.0
2004-03-30,26000.0,26493.0,25419.0,25419.0,293971152,11213,29,25419.0
2004-04-03,26201.0,26493.0,25530.0,25530.0,280260081,10680,24,25530.0
2004-04-04,26493.0,26493.0,25715.0,25715.0,436586605,16531,28,25715.0
2004-04-07,25800.0,26000.0,24430.0,25702.0,111435074,4370,15,25702.0
2004-04-10,24501.0,25450.0,24417.0,25450.0,378314139,15486,33,25450.0
2004-04-12,24179.0,25110.0,24178.0,25110.0,523918531,21633,42,25110.0
2004-04-13,24600.0,25025.0,24494.0,25025.0,485002583,19579,35,25025.0
2004-04-14,25499.0,25499.0,24611.0,25058.0,506582313,20138,28,25058.0
2004-04-17,25058.0,25058.0,24610.0,25023.0,172089487,6974,21,25023.0
2004-04-18,24600.0,25017.0,24591.0,25017.0,23639036,961,7,25017.0
2004-04-21,24439.0,25015.0,24430.0,25015.0,4037613,165,4,25015.0
2004-04-24,24401.0,24997.0,24385.0,24997.0,54561765,2237,3,24997.0
2004-04-25,24998.0,25500.0,24309.0,24828.0,2250029470,90622,99,24828.0
2004-04-26,24496.0,25501.0,24495.0,25202.0,1271084922,50010,43,25202.0
2004-04-27,24800.0,25193.0,24800.0,25193.0,39931930,1610,2,25193.0
2004-04-28,24646.0,25077.0,24000.0,25077.0,196821894,8173,17,25077.0
2004-05-01,24000.0,25052.0,23824.0,25052.0,38362920,1607,5,25052.0
2004-05-04,23800.0,25035.0,23800.0,25035.0,24407350,1025,3,25035.0
2004-05-05,24279.0,25000.0,23784.0,23822.0,2114553932,88762,97,23822.0
2004-05-08,25000.0,25013.0,23988.0,23988.0,275365263,11010,6,23988.0
2004-05-09,23988.0,23988.0,23986.0,23987.0,12881323,537,6,23987.0
2004-05-10,24200.0,24200.0,23987.0,23987.0,7290670,302,3,23987.0
2004-05-11,23870.0,24000.0,23865.0,23974.0,301584453,12614,28,23974.0
2004-05-15,22776.0,23966.0,22776.0,23966.0,11536556,506,2,23966.0
2004-05-16,22776.0,23932.0,22776.0,23932.0,51259550,2250,7,23932.0
2004-05-17,22776.0,23795.0,22776.0,23795.0,211007054,9264,5,23795.0
2004-05-18,22606.0,23414.0,22606.0,23414.0,567848194,25119,39,23414.0
2004-05-19,22244.0,23230.0,22244.0,23230.0,274144916,12324,16,23230.0
2004-05-22,22070.0,23159.0,22070.0,23159.0,105002374,4757,7,23159.0
2004-05-23,22072.0,22864.0,22071.0,22864.0,469377622,21266,23,22864.0
2004-05-24,22460.0,22864.0,22460.0,22752.0,772500796,34167,21,22752.0
2004-05-25,22753.0,22753.0,22752.0,22752.0,117291560,5155,8,22752.0
2004-05-26,22752.0,22752.0,22752.0,22752.0,111234528,4889,17,22752.0
2004-05-29,22752.0,22753.0,22752.0,22752.0,449680528,19764,15,22752.0
2004-05-30,22752.0,22752.0,22751.0,22751.0,232297760,10210,16,22751.0
2004-05-31,22750.0,22987.0,22749.0,22780.0,452231901,19774,26,22780.0
2004-06-01,22749.0,22780.0,22749.0,22777.0,396849151,17429,21,22777.0
2004-06-02,22742.0,22777.0,22742.0,22770.0,871991063,38305,20,22770.0
2004-06-05,22770.0,22773.0,22768.0,22770.0,319034200,14011,24,22770.0
2004-06-07,22689.0,22732.0,22500.0,22732.0,284219550,12610,25,22732.0
2004-06-08,22490.0,22726.0,22490.0,22726.0,45224770,2010,9,22726.0
2004-06-09,22468.0,22715.0,22002.0,22715.0,24740174,1124,6,22715.0
2004-06-12,22370.0,22713.0,22370.0,22713.0,5596290,250,3,22713.0
2004-06-13,21600.0,22556.0,21600.0,22556.0,237976760,11017,9,22556.0
2004-06-14,21429.0,22311.0,21429.0,22311.0,364516110,17010,17,22311.0
2004-06-15,21196.0,22239.0,21196.0,22239.0,106202390,5010,3,22239.0
2004-06-20,21128.0,21128.0,21128.0,21128.0,10564000,500,2,21128.0
2004-06-22,20072.0,20072.0,20072.0,20072.0,10036000,500,1,20072.0
2004-06-23,19069.0,19069.0,19069.0,19069.0,9534500,500,1,19069.0
2004-06-26,18116.0,19069.0,18116.0,18364.0,1086951742,59188,59,18364.0
2004-06-27,18389.0,19282.0,18389.0,18591.0,62115181,3341,15,18591.0
2004-06-28,19520.0,19520.0,19520.0,19520.0,119872320,6141,11,19520.0
2004-06-29,20000.0,20072.0,19597.0,19597.0,227213013,11328,26,19597.0
2004-06-30,20074.0,20074.0,19603.0,19603.0,20430073,1018,5,19603.0
2004-07-03,20000.0,20001.0,19603.0,19611.0,145951224,7410,10,19611.0
2004-07-04,19999.0,20589.0,19633.0,19633.0,85473320,4268,9,19633.0
2004-07-05,19710.0,19725.0,19653.0,19653.0,408085080,20704,7,19653.0
2004-07-06,19723.0,20000.0,19667.0,19667.0,120939575,6097,8,19667.0
2004-07-07,20000.0,20480.0,19713.0,19713.0,212079522,10596,16,19713.0
2004-07-10,19716.0,20698.0,19715.0,19803.0,300629081,14890,18,19803.0
2004-07-11,20000.0,20698.0,19815.0,19815.0,80671060,4026,10,19815.0
2004-07-12,20000.0,20003.0,19848.0,19848.0,281853103,14092,21,19848.0
2004-07-13,19806.0,20000.0,19803.0,19893.0,3778869030,190210,31,19893.0
2004-07-14,19892.0,20000.0,19500.0,19899.0,285144005,14309,19,19899.0
2004-07-17,19899.0,19900.0,19899.0,19899.0,54483757,2738,6,19899.0
2004-07-18,19899.0,19904.0,19899.0,19899.0,43843562,2203,5,19899.0
2004-07-19,19904.0,20300.0,19901.0,19901.0,172687842,8669,12,19901.0
2004-07-24,19700.0,19900.0,19700.0,19900.0,8510000,428,3,19900.0
2004-07-25,19700.0,19871.0,19678.0,19871.0,213843276,10857,13,19871.0
2004-07-26,20000.0,20000.0,19882.0,19882.0,147093635,7355,11,19882.0
2004-07-27,20000.0,20000.0,19886.0,19886.0,59738860,2987,4,19886.0
2004-07-28,19882.0,19900.0,19882.0,19886.0,21053196,1058,3,19886.0
2004-07-31,19882.0,19885.0,19880.0,19885.0,244594007,12303,12,19885.0
2004-08-01,19882.0,19884.0,19882.0,19884.0,215872424,10857,12,19884.0
2004-08-02,19884.0,19887.0,19884.0,19884.0,569105080,28620,11,19884.0
2004-08-03,19888.0,20749.0,19885.0,19885.0,229932226,11556,10,19885.0
2004-08-04,19888.0,20000.0,19888.0,19889.0,267374186,13427,12,19889.0
2004-08-07,19887.0,19888.0,19887.0,19888.0,37826582,1902,6,19888.0
2004-08-08,19889.0,19900.0,19889.0,19890.0,525005943,26389,14,19890.0
2004-08-09,19868.0,20000.0,19868.0,19892.0,199279030,10010,8,19892.0
2004-08-10,19869.0,19897.0,19869.0,19891.0,166282852,8360,12,19891.0
2004-08-11,19900.0,20005.0,19899.0,19910.0,312955485,15657,18,19910.0
2004-08-16,19693.0,19874.0,19693.0,19874.0,256251861,13010,15,19874.0
2004-08-18,19652.0,19852.0,19652.0,19852.0,155501948,7910,14,19852.0
2004-08-22,19670.0,19851.0,19670.0,19851.0,631250,32,2,19851.0
2004-08-24,18859.0,19724.0,18859.0,19724.0,188787240,10010,9,19724.0
2004-08-25,18859.0,19505.0,18859.0,19505.0,373376942,19798,17,19505.0
2004-08-28,19595.0,19595.0,19505.0,19505.0,3526200,180,3,19505.0
2004-08-29,18600.0,19502.0,18600.0,19502.0,7318020,385,3,19502.0
2004-08-31,19501.0,19502.0,19501.0,19502.0,585040,30,11,19502.0
2004-09-05,18600.0,19443.0,18600.0,19443.0,95541523,5136,9,19443.0
2004-09-06,18600.0,19389.0,18600.0,19389.0,92542890,4975,3,19389.0
2004-09-20,19368.0,19388.0,19368.0,19388.0,9122528,471,3,19388.0
2004-09-25,19000.0,19380.0,19000.0,19380.0,27895800,1468,6,19380.0
2004-10-10,18411.0,19380.0,18411.0,19195.0,321354299,17329,23,19195.0
2004-10-11,18500.0,19174.0,18500.0,19174.0,42446576,2294,6,19174.0
2004-10-31,18466.0,19173.0,18466.0,19130.0,498919146,26080,10,19130.0
2004-11-02,18500.0,19118.0,18500.0,19118.0,26185980,1415,6,19118.0
2004-11-06,18163.0,19019.0,18163.0,19019.0,151648684,8338,13,19019.0
2004-11-08,18069.0,18569.0,18069.0,18328.0,1767938330,96460,18,18328.0
2004-11-09,18328.0,18328.0,18328.0,18328.0,14882336,812,1,18328.0
2004-11-10,18927.0,18934.0,18336.0,18336.0,21008160,1110,4,18336.0
2004-11-13,18938.0,19000.0,18381.0,18381.0,106549305,5615,7,18381.0
2004-11-15,19000.0,19000.0,18397.0,18397.0,40881970,2152,6,18397.0
2004-11-16,18516.0,18516.0,18424.0,18424.0,345048892,18640,11,18424.0
2004-11-17,18424.0,19000.0,18424.0,18428.0,33511096,1801,5,18428.0
2004-11-20,19005.0,19005.0,18449.0,18449.0,56086361,2952,5,18449.0
2004-11-21,19000.0,19000.0,18458.0,18458.0,25302580,1332,3,18458.0
2004-11-22,19005.0,19005.0,18472.0,18472.0,41248329,2171,7,18472.0
2004-11-23,19393.0,19393.0,18491.0,18491.0,32046609,1653,5,18491.0
2004-11-24,19004.0,19004.0,18521.0,18521.0,90170436,4746,6,18521.0
2004-11-27,18521.0,18521.0,18521.0,18521.0,4259830,230,2,18521.0
2004-11-28,18521.0,18530.0,18521.0,18521.0,14078950,760,5,18521.0
2004-11-29,18528.0,18535.0,18521.0,18521.0,42251367,2280,5,18521.0
2004-12-12,18521.0,18521.0,18521.0,18521.0,18521000,1000,1,18521.0
2004-12-13,18897.0,18899.0,18523.0,18523.0,10106375,535,4,18523.0
2004-12-14,18523.0,18523.0,18523.0,18523.0,2963680,160,2,18523.0
2004-12-15,18516.0,18522.0,18500.0,18522.0,119553301,6456,11,18522.0
2005-01-17,17596.0,18530.0,17596.0,18297.0,36900599420,1992360,30,18297.0
2005-01-18,17400.0,18182.0,17400.0,18182.0,174669048,10038,7,18182.0
2005-01-22,17273.0,18182.0,17273.0,18182.0,8472860,490,3,18182.0
2005-01-24,17273.0,18108.0,17273.0,18108.0,109527167,6340,10,18108.0
2005-01-25,17990.0,18106.0,17980.0,18106.0,12555833,698,6,18106.0
2005-01-30,17971.0,18106.0,17971.0,18106.0,270915,15,2,18106.0
2005-04-03,17201.0,17201.0,17201.0,17201.0,8600500,500,2,17201.0
2005-04-04,16341.0,16341.0,16341.0,16341.0,8170500,500,2,16341.0
2005-04-18,16268.0,16340.0,16268.0,16340.0,814120,50,2,16340.0
2005-04-19,16259.0,16339.0,16259.0,16339.0,1155189,71,2,16339.0
2005-04-20,17149.0,17150.0,16248.0,16359.0,181510043,11010,17,16359.0
2005-07-06,17139.0,17140.0,17139.0,17139.0,8740980,510,3,17139.0
2005-07-09,17139.0,17139.0,17137.0,17138.0,1336716,78,3,17138.0
2005-07-11,17000.0,17137.0,17000.0,17137.0,2160370,127,3,17137.0
2005-07-16,16780.0,17131.0,16780.0,17131.0,21985310,1310,2,17131.0
2005-08-14,16275.0,17131.0,16275.0,17131.0,2645110,162,2,17131.0
2005-08-27,16275.0,17131.0,16275.0,17131.0,985060,60,2,17131.0
