date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-12-25,1000.0,1300.0,1000.0,1247.0,187048000,150000,28,1000.0,1300.0
2011-12-26,1309.0,1309.0,1309.0,1309.0,135088800,103200,21,1247.0,1309.0
2011-12-27,1374.0,1374.0,1374.0,1374.0,277973940,202310,45,1309.0,1374.0
2011-12-28,1442.0,1442.0,1442.0,1442.0,50454138,34989,9,1374.0,1442.0
2011-12-31,1514.0,1514.0,1514.0,1514.0,31794000,21000,5,1442.0,1514.0
2012-01-01,1589.0,1589.0,1440.0,1567.0,583739746,372581,124,1514.0,1540.0
2012-01-02,1489.0,1489.0,1489.0,1489.0,236103285,158565,47,1567.0,1489.0
2012-01-03,1415.0,1415.0,1415.0,1415.0,59739885,42219,14,1489.0,1415.0
2012-01-04,1345.0,1485.0,1345.0,1458.0,29767762515,20411119,106,1415.0,1458.0
2012-01-07,1386.0,1530.0,1386.0,1529.0,30996648204,20267600,55,1458.0,1530.0
2012-01-08,1456.0,1456.0,1453.0,1454.0,55681328,38288,18,1529.0,1453.0
2012-01-09,1382.0,1526.0,1382.0,1465.0,737475331,503400,116,1454.0,1385.0
2012-01-10,1402.0,1468.0,1392.0,1415.0,30413000,21500,10,1465.0,1392.0
2012-01-11,1392.0,1392.0,1345.0,1377.0,19972500,14500,7,1415.0,1345.0
2012-01-16,1309.0,1309.0,1309.0,1309.0,45815000,35000,10,1377.0,1309.0
2012-01-17,1244.0,1374.0,1244.0,1318.0,462282276,350664,67,1309.0,1374.0
2012-01-18,1253.0,1383.0,1253.0,1337.0,490819378,367126,67,1318.0,1383.0
2012-01-21,1330.0,1403.0,1312.0,1403.0,7174550605,5114035,617,1337.0,1403.0
2012-01-23,1333.0,1333.0,1333.0,1333.0,4132300,3100,3,1403.0,1333.0
2012-01-25,1267.0,1268.0,1267.0,1267.0,119150413,94039,18,1333.0,1268.0
2012-01-28,1206.0,1208.0,1204.0,1205.0,107407740,89100,21,1267.0,1204.0
2012-01-29,1161.0,1161.0,1161.0,1161.0,6966000,6000,2,1205.0,1161.0
2012-01-30,1121.0,1121.0,1103.0,1113.0,23791817,21377,5,1161.0,1105.0
2012-01-31,1064.0,1148.0,1064.0,1144.0,2329272680,2036575,211,1113.0,1140.0
2012-02-01,1140.0,1168.0,1120.0,1142.0,64046100,56100,19,1144.0,1150.0
2012-02-04,1148.0,1148.0,1110.0,1137.0,45497750,40000,13,1142.0,1142.0
2012-02-05,1144.0,1144.0,1144.0,1144.0,5969392,5218,2,1137.0,1144.0
2012-02-06,1087.0,1168.0,1087.0,1139.0,162881428,143000,39,1144.0,1160.0
2012-02-07,1083.0,1188.0,1083.0,1150.0,118662438,103189,37,1139.0,1140.0
2012-02-08,1184.0,1190.0,1165.0,1178.0,94512251,80227,30,1150.0,1190.0
2012-02-12,1121.0,1200.0,1120.0,1160.0,258917000,223200,43,1178.0,1190.0
2012-02-13,1129.0,1218.0,1129.0,1167.0,77926313,66759,26,1160.0,1218.0
2012-02-14,1209.0,1209.0,1109.0,1140.0,79987038,70150,16,1167.0,1109.0
2012-02-15,1090.0,1100.0,1083.0,1086.0,105302580,96939,21,1140.0,1083.0
2012-02-18,1041.0,1043.0,1041.0,1041.0,32792300,31500,10,1086.0,1041.0
2012-02-19,1080.0,1086.0,1080.0,1084.0,14094000,13000,5,1041.0,1086.0
2012-02-20,1030.0,1030.0,1030.0,1030.0,20600000,20000,6,1084.0,1030.0
2012-02-21,1000.0,1020.0,1000.0,1014.0,41740390,41169,9,1030.0,1000.0
2012-02-22,971.0,971.0,964.0,968.0,63224459,65329,14,1014.0,971.0
2012-02-25,999.0,1000.0,999.0,1000.0,22000000,22010,22,968.0,1000.0
2012-02-26,950.0,1000.0,950.0,990.0,273816310,276490,60,1000.0,1000.0
2012-02-27,1039.0,1039.0,1039.0,1039.0,12468000,12000,4,990.0,1039.0
2012-02-28,1090.0,1090.0,1090.0,1090.0,76583400,70260,12,1039.0,1090.0
2012-02-29,1144.0,1144.0,1144.0,1144.0,51480000,45000,7,1090.0,1144.0
2012-03-03,1201.0,1201.0,1190.0,1200.0,178733579,148903,41,1144.0,1201.0
2012-03-04,1240.0,1260.0,1240.0,1259.0,35744000,28400,7,1200.0,1260.0
2012-03-05,1300.0,1321.0,1274.0,1296.0,399221545,308051,84,1259.0,1321.0
2012-03-06,1359.0,1359.0,1310.0,1318.0,55571814,42148,22,1296.0,1319.0
2012-03-07,1320.0,1320.0,1320.0,1320.0,13200000,10000,3,1318.0,1320.0
2012-03-10,1350.0,1350.0,1330.0,1343.0,110514840,82304,26,1320.0,1330.0
2012-03-12,1276.0,1276.0,1276.0,1276.0,64073064,50214,39,1343.0,1276.0
2012-06-13,1188.0,1200.0,1100.0,1174.0,143040431,122934,43,1184.0,1122.0
2012-06-16,1220.0,1220.0,1215.0,1198.0,161033605,132080,37,1174.0,1215.0
2012-06-17,1249.0,1249.0,1246.0,1249.0,22982740,18407,10,1198.0,1246.0
2012-06-19,1245.0,1245.0,1239.0,1244.0,72185100,58041,31,1249.0,1239.0
2012-06-20,1239.0,1239.0,1225.0,1234.0,65710241,53233,39,1244.0,1226.0
2012-06-23,1200.0,1200.0,1200.0,1200.0,53650800,44709,27,1234.0,1200.0
2012-06-25,1140.0,1140.0,1140.0,1140.0,5969040,5236,2,1200.0,1140.0
2012-07-03,1083.0,1083.0,1083.0,1083.0,5415000,5000,1,1140.0,1083.0
2012-07-04,1029.0,1029.0,1029.0,1029.0,4116000,4000,3,1083.0,1029.0
2012-07-07,978.0,978.0,978.0,978.0,145854030,149135,102,1029.0,978.0
2012-07-08,930.0,930.0,930.0,930.0,11043750,11875,3,978.0,930.0
2012-07-09,884.0,884.0,884.0,884.0,6309992,7138,3,930.0,884.0
2012-07-10,840.0,883.0,840.0,847.0,55843790,65938,19,884.0,880.0
2012-07-11,882.0,889.0,882.0,885.0,90189106,101948,43,847.0,889.0
2012-07-14,926.0,926.0,926.0,926.0,9668366,10441,9,885.0,926.0
2012-07-15,942.0,972.0,942.0,966.0,167308516,173199,82,926.0,967.0
2012-07-16,1014.0,1014.0,1013.0,1014.0,34642249,34173,21,966.0,1013.0
2012-08-01,1110.0,1450.0,1100.0,1063.0,106087350,91398,53,1008.0,1100.0
2012-08-04,1099.0,1100.0,1099.0,1079.0,119315478,108503,69,1063.0,1100.0
2012-08-05,1150.0,1150.0,1000.0,1106.0,122336797,107100,43,1079.0,1145.0
2012-08-06,1150.0,1150.0,1120.0,1140.0,17632550,15467,7,1106.0,1148.0
2012-08-07,1149.0,1149.0,1143.0,1148.0,61751791,53791,25,1140.0,1149.0
2012-08-11,1091.0,1091.0,1091.0,1091.0,4364000,4000,2,1148.0,1091.0
2012-08-12,1037.0,1037.0,1037.0,1037.0,5185000,5000,1,1091.0,1037.0
2012-08-13,986.0,986.0,986.0,986.0,10675422,10827,3,1037.0,986.0
2012-08-14,940.0,981.0,940.0,963.0,76128820,79087,21,986.0,981.0
2012-08-15,1000.0,1000.0,980.0,994.0,50216624,50539,19,963.0,980.0
2012-08-18,980.0,990.0,980.0,983.0,37073208,37733,36,994.0,988.0
2012-08-21,990.0,1000.0,990.0,994.0,39895940,40137,41,983.0,1000.0
2012-08-22,945.0,1043.0,945.0,1010.0,44434410,44009,26,994.0,1043.0
2012-08-25,1060.0,1060.0,1060.0,1060.0,26669600,25160,6,1010.0,1060.0
2012-08-26,1100.0,1105.0,1010.0,1096.0,61346110,55961,14,1060.0,1010.0
2012-08-27,1042.0,1042.0,1042.0,1042.0,10420000,10000,1,1096.0,1042.0
2012-09-02,1030.0,1030.0,1027.0,1029.0,34575128,33602,11,1042.0,1027.0
2012-09-03,1000.0,1020.0,978.0,990.0,41777602,42199,8,1029.0,979.0
2012-09-04,1000.0,1000.0,970.0,998.0,34179945,34245,15,990.0,970.0
2012-09-05,969.0,999.0,965.0,977.0,8892499,9101,6,998.0,965.0
2012-09-08,930.0,930.0,929.0,930.0,7121640,7660,4,977.0,929.0
2012-09-10,884.0,884.0,884.0,884.0,36279360,41040,11,930.0,884.0
2012-09-11,900.0,900.0,851.0,851.0,17519576,20581,10,884.0,851.0
2012-09-15,816.0,893.0,816.0,880.0,19044240,21640,5,851.0,893.0
2012-09-16,893.0,893.0,893.0,893.0,33518755,37535,8,880.0,893.0
2012-09-17,937.0,937.0,937.0,937.0,9370000,10000,2,893.0,937.0
2012-09-18,983.0,983.0,983.0,983.0,53130167,54049,10,937.0,983.0
2012-09-19,1032.0,1032.0,1032.0,1032.0,68112000,66000,12,983.0,1032.0
2012-09-22,1075.0,1080.0,1010.0,1064.0,74354350,69896,25,1032.0,1010.0
2012-09-23,1117.0,1117.0,1035.0,1075.0,44470450,41370,13,1064.0,1035.0
2012-09-24,1035.0,1099.0,1022.0,1067.0,75401740,70673,74,1075.0,1022.0
2012-09-25,1014.0,1070.0,1014.0,1028.0,155686970,151511,32,1067.0,1022.0
2012-09-26,1070.0,1079.0,1070.0,1076.0,93546400,86900,27,1028.0,1079.0
2012-09-29,1121.0,1121.0,1023.0,1064.0,127166282,119505,25,1076.0,1023.0
2012-09-30,1115.0,1115.0,1020.0,1088.0,50349360,46264,13,1064.0,1020.0
2012-10-01,1034.0,1034.0,1034.0,1034.0,16816976,16264,4,1088.0,1034.0
2012-10-02,983.0,983.0,983.0,983.0,60946000,62000,14,1034.0,983.0
2012-10-03,983.0,1030.0,934.0,996.0,136758640,137300,30,983.0,934.0
2012-10-06,999.0,1000.0,999.0,999.0,7075220,7081,6,996.0,1000.0
2012-10-07,950.0,950.0,950.0,950.0,7535400,7932,1,999.0,950.0
2012-10-08,903.0,903.0,903.0,903.0,9030000,10000,1,950.0,903.0
2012-10-09,858.0,858.0,858.0,858.0,35864400,41800,11,903.0,858.0
2012-10-10,850.0,858.0,831.0,854.0,55167176,64622,19,858.0,831.0
2012-10-13,896.0,896.0,896.0,896.0,22781696,25426,18,854.0,896.0
2012-10-14,899.0,899.0,852.0,855.0,30882420,36110,9,896.0,852.0
2012-10-15,813.0,894.0,813.0,831.0,61313823,73771,15,855.0,894.0
2012-10-16,808.0,825.0,808.0,820.0,14759000,18000,3,831.0,820.0
2012-10-17,861.0,861.0,861.0,861.0,861000,1000,1,820.0,861.0
2012-10-20,889.0,904.0,831.0,889.0,52455450,59010,15,861.0,904.0
2012-10-21,904.0,904.0,845.0,899.0,19325255,21503,6,889.0,845.0
2012-10-22,855.0,862.0,855.0,859.0,82162200,95600,19,899.0,862.0
2012-10-23,818.0,901.0,818.0,866.0,78024293,90099,22,859.0,819.0
2012-10-24,825.0,850.0,825.0,833.0,76380900,91672,14,866.0,825.0
