date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-26,1242.0,1242.0,1242.0,1242.0,1242000,1000,1,0.0,1242.0
2001-03-28,1273.0,1273.0,1273.0,1273.0,1273000,1000,1,1242.0,1273.0
2001-04-07,1304.0,1304.0,1304.0,1304.0,1304000,1000,1,1273.0,1304.0
2001-04-09,1336.0,1336.0,1336.0,1336.0,523712,392,1,1304.0,1336.0
2001-04-10,1369.0,1369.0,1369.0,1369.0,96172250,70250,14,1336.0,1369.0
2001-04-11,1403.0,1403.0,1403.0,1403.0,1376343,981,1,1369.0,1403.0
2001-04-14,1438.0,1438.0,1438.0,1438.0,6954168,4836,3,1403.0,1438.0
2001-04-15,1473.0,1473.0,1473.0,1473.0,1473000,1000,1,1438.0,1473.0
2001-04-16,1509.0,1509.0,1509.0,1509.0,5610462,3718,2,1473.0,1509.0
2001-04-18,1546.0,1546.0,1546.0,1546.0,1624846,1051,1,1509.0,1546.0
2001-04-21,1561.0,1561.0,1561.0,1561.0,24507700,15700,7,1546.0,1561.0
2001-04-25,1576.0,1576.0,1576.0,1576.0,3375792,2142,2,1561.0,1576.0
2001-04-28,1591.0,1591.0,1591.0,1591.0,1568726,986,1,1576.0,1591.0
2001-04-29,1606.0,1606.0,1606.0,1606.0,1606000,1000,1,1591.0,1606.0
2001-04-30,1622.0,1622.0,1622.0,1622.0,3244000,2000,1,1606.0,1622.0
2001-05-01,1638.0,1638.0,1638.0,1638.0,28301364,17278,5,1622.0,1638.0
2001-05-02,1654.0,1654.0,1654.0,1654.0,6616000,4000,1,1638.0,1654.0
2001-05-05,1670.0,1670.0,1670.0,1670.0,41456080,24824,18,1654.0,1670.0
2001-05-06,1671.0,1673.0,1670.0,1673.0,65710522,39313,14,1670.0,1673.0
2001-05-07,1673.0,1673.0,1673.0,1673.0,19326496,11552,8,1673.0,1673.0
2001-05-08,1689.0,1689.0,1689.0,1689.0,3378000,2000,1,1673.0,1689.0
2001-05-13,1705.0,1705.0,1705.0,1705.0,28115450,16490,2,1689.0,1705.0
2001-05-15,1722.0,1722.0,1722.0,1722.0,5281374,3067,2,1705.0,1722.0
2001-05-16,1739.0,1739.0,1739.0,1739.0,34780000,20000,2,1722.0,1739.0
2001-05-20,1756.0,1756.0,1756.0,1756.0,17763696,10116,4,1739.0,1756.0
2001-05-21,1773.0,1773.0,1773.0,1773.0,2168379,1223,1,1756.0,1773.0
2001-05-23,1790.0,1790.0,1790.0,1790.0,6422520,3588,3,1773.0,1790.0
2001-05-26,1807.0,1807.0,1807.0,1807.0,3614000,2000,1,1790.0,1807.0
2001-05-28,1825.0,1825.0,1825.0,1825.0,3016725,1653,1,1807.0,1825.0
2001-05-30,1843.0,1843.0,1843.0,1843.0,81289201,44107,17,1825.0,1843.0
2001-06-02,1861.0,1861.0,1861.0,1861.0,94583464,50824,16,1843.0,1861.0
2001-06-06,1879.0,1879.0,1879.0,1879.0,38733706,20614,4,1861.0,1879.0
2001-06-11,1897.0,1897.0,1897.0,1897.0,11571700,6100,2,1879.0,1897.0
2001-06-12,1915.0,1915.0,1915.0,1915.0,3830000,2000,1,1897.0,1915.0
2001-06-13,1934.0,1934.0,1934.0,1934.0,100803948,52122,11,1915.0,1934.0
2001-06-16,1953.0,1953.0,1953.0,1953.0,1744029,893,2,1934.0,1953.0
2001-06-17,1972.0,1972.0,1972.0,1972.0,14350244,7277,4,1953.0,1972.0
2001-06-18,1991.0,1991.0,1991.0,1991.0,6050649,3039,1,1972.0,1991.0
2001-06-23,2010.0,2010.0,2010.0,2010.0,1155750,575,1,1991.0,2010.0
2001-06-24,2030.0,2030.0,2030.0,2030.0,2980040,1468,2,2010.0,2030.0
2001-06-25,2050.0,2050.0,2050.0,2050.0,8200000,4000,1,2030.0,2050.0
2001-06-27,2070.0,2070.0,2070.0,2070.0,47688660,23038,11,2050.0,2070.0
2001-06-30,2090.0,2090.0,2090.0,2090.0,30752260,14714,9,2070.0,2090.0
2001-09-18,2090.0,2310.0,2090.0,2296.0,273537822,120831,36,2090.0,2296.0
2001-09-19,2295.0,2315.0,2293.0,2315.0,91597768,39824,11,2296.0,2315.0
2001-09-22,2338.0,2338.0,2338.0,2338.0,12290866,5257,4,2315.0,2338.0
2001-09-23,2361.0,2361.0,2361.0,2361.0,26162241,11081,5,2338.0,2361.0
2001-09-24,2384.0,2384.0,2384.0,2384.0,7152000,3000,2,2361.0,2384.0
