date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-09-15,740.0,740.0,400.0,523.0,702061000,1342170,17,1000.0,500.0
2014-09-16,499.0,688.0,450.0,489.0,188592676,385331,26,523.0,490.0
2014-09-17,462.0,539.0,445.0,476.0,367918808,773572,29,489.0,490.0
2014-09-20,490.0,500.0,450.0,467.0,995910910,2133343,50,476.0,480.0
2014-09-21,465.0,485.0,451.0,462.0,835306000,1807100,38,467.0,451.0
2014-09-22,460.0,474.0,452.0,462.0,429541000,929500,16,462.0,470.0
2014-09-23,460.0,460.0,447.0,453.0,595841976,1315064,23,462.0,448.0
2014-09-24,450.0,465.0,445.0,451.0,661388205,1465700,27,453.0,465.0
2014-09-27,465.0,465.0,445.0,450.0,391333398,869145,20,451.0,465.0
2014-09-28,460.0,460.0,445.0,449.0,149667065,333117,7,450.0,445.0
2014-09-29,445.0,460.0,440.0,442.0,588817405,1330907,24,449.0,445.0
2014-09-30,442.0,442.0,440.0,440.0,199218346,452506,26,442.0,440.0
2014-10-01,450.0,550.0,450.0,492.0,1734719984,3529370,104,440.0,495.0
2014-10-04,509.0,740.0,509.0,632.0,2975507084,4708555,164,492.0,720.0
2014-10-06,730.0,979.0,720.0,866.0,3604583443,4162475,153,632.0,920.0
2014-10-07,925.0,1000.0,830.0,936.0,1900058494,2030910,116,866.0,869.0
2014-10-08,870.0,890.0,750.0,804.0,588242214,731310,38,936.0,870.0
2014-10-11,800.0,800.0,790.0,796.0,194415525,244095,10,804.0,790.0
2014-10-12,800.0,840.0,788.0,802.0,1433336138,1786328,51,796.0,827.0
2014-10-14,805.0,1000.0,750.0,777.0,727404300,935700,26,802.0,770.0
2014-10-15,750.0,772.0,740.0,765.0,423822270,554051,19,777.0,770.0
2014-10-18,770.0,770.0,680.0,722.0,780456660,1081518,33,765.0,680.0
2014-10-19,710.0,710.0,660.0,674.0,739458048,1097358,38,722.0,664.0
2014-10-20,679.0,789.0,679.0,733.0,1087001214,1482252,69,674.0,721.0
2014-10-21,720.0,743.0,695.0,713.0,293903689,411993,16,733.0,695.0
2014-10-22,690.0,714.0,662.0,673.0,571273384,848405,38,713.0,690.0
2014-10-25,690.0,710.0,665.0,691.0,234817800,339582,13,673.0,705.0
2014-10-26,693.0,704.0,670.0,681.0,505017950,741125,19,691.0,670.0
2014-10-27,668.0,700.0,666.0,678.0,550769911,811880,16,681.0,666.0
2014-10-28,668.0,671.0,665.0,669.0,145560304,217452,8,678.0,665.0
2014-10-29,664.0,688.0,664.0,672.0,430208972,639730,29,669.0,667.0
2014-11-01,667.0,667.0,660.0,663.0,157142626,237015,22,672.0,660.0
2014-11-02,660.0,661.0,649.0,656.0,314268940,479124,22,663.0,660.0
2014-11-05,645.0,649.0,620.0,641.0,452515861,706364,29,656.0,640.0
2014-11-08,639.0,670.0,630.0,644.0,384758268,597777,29,641.0,650.0
2014-11-09,660.0,759.0,650.0,707.0,1199155750,1695496,65,644.0,722.0
2014-11-10,758.0,759.0,700.0,721.0,1229254599,1705516,48,707.0,703.0
2014-11-11,721.0,756.0,690.0,726.0,1374127230,1893030,46,721.0,739.0
2014-11-12,700.0,742.0,700.0,710.0,816520560,1150710,34,726.0,700.0
2014-11-15,732.0,745.0,670.0,701.0,992816500,1416275,37,710.0,670.0
2014-11-16,680.0,699.0,670.0,689.0,233929410,339559,13,701.0,690.0
2014-11-17,672.0,690.0,670.0,673.0,359659840,534164,16,689.0,690.0
2014-11-18,662.0,690.0,640.0,653.0,408315200,624976,42,673.0,690.0
2014-11-19,660.0,689.0,636.0,648.0,206815264,319331,15,653.0,636.0
2014-11-22,640.0,679.0,620.0,650.0,244409946,376079,22,648.0,623.0
2014-11-23,660.0,750.0,660.0,681.0,204777290,300892,13,650.0,680.0
2014-11-24,680.0,799.0,680.0,740.0,1328200550,1794358,71,681.0,690.0
2014-11-25,690.0,700.0,661.0,675.0,248383320,368092,19,740.0,661.0
2014-11-26,661.0,760.0,644.0,698.0,611582280,876049,26,675.0,685.0
2014-11-29,720.0,740.0,650.0,683.0,637284322,933266,37,698.0,670.0
2014-11-30,699.0,699.0,650.0,658.0,394256172,599265,19,683.0,650.0
2014-12-01,660.0,680.0,641.0,670.0,135326272,202052,12,658.0,641.0
2014-12-02,678.0,678.0,678.0,678.0,6780000,10000,1,670.0,678.0
2014-12-03,649.0,651.0,630.0,640.0,200290300,313000,14,678.0,630.0
2014-12-06,626.0,650.0,600.0,622.0,572461110,920782,28,640.0,600.0
2014-12-07,600.0,600.0,600.0,600.0,8186400,13644,2,622.0,600.0
2014-12-08,600.0,633.0,600.0,601.0,54260600,90346,6,600.0,633.0
2014-12-09,632.0,640.0,618.0,629.0,244071263,388331,11,601.0,618.0
2014-12-10,612.0,620.0,612.0,619.0,137750914,222632,7,629.0,618.0
2014-12-14,619.0,619.0,600.0,609.0,267197768,438557,14,619.0,600.0
2014-12-15,600.0,600.0,550.0,564.0,253191679,448630,16,609.0,550.0
2014-12-16,599.0,600.0,580.0,600.0,104537760,174290,7,564.0,600.0
2014-12-17,600.0,610.0,586.0,601.0,29753082,49504,5,600.0,591.0
2014-12-20,600.0,615.0,580.0,592.0,809563544,1367327,22,601.0,580.0
2014-12-22,600.0,637.0,600.0,615.0,847264660,1378391,33,592.0,610.0
2014-12-24,615.0,666.0,600.0,626.0,2034218898,3249093,78,615.0,658.0
2014-12-27,630.0,674.0,601.0,615.0,3264264085,5307100,77,626.0,639.0
2014-12-28,639.0,648.0,611.0,620.0,1052695112,1699053,36,615.0,620.0
2014-12-29,645.0,649.0,620.0,638.0,590668866,925352,30,620.0,647.0
2014-12-30,647.0,650.0,622.0,630.0,198077320,314510,10,638.0,622.0
2014-12-31,630.0,630.0,607.0,613.0,210551372,343348,15,630.0,607.0
2015-01-03,622.0,630.0,606.0,612.0,393387822,642886,13,613.0,606.0
2015-01-04,606.0,608.0,600.0,603.0,433030910,718202,24,612.0,608.0
2015-01-05,608.0,608.0,590.0,599.0,404895910,676189,16,603.0,590.0
2015-01-06,590.0,605.0,580.0,587.0,439689800,748762,20,599.0,605.0
2015-01-07,597.0,606.0,577.0,588.0,187213478,318472,11,587.0,606.0
2015-01-10,590.0,599.0,570.0,582.0,416551340,715892,18,588.0,570.0
2015-01-11,570.0,570.0,520.0,535.0,297124298,555116,19,582.0,542.0
2015-01-12,545.0,600.0,545.0,580.0,443655539,765559,30,535.0,590.0
2015-01-13,599.0,600.0,550.0,574.0,252484807,440083,13,580.0,580.0
2015-01-14,580.0,590.0,561.0,573.0,200314745,349467,19,574.0,588.0
2015-01-17,569.0,575.0,569.0,573.0,68071455,118835,6,573.0,573.0
2015-01-18,579.0,588.0,564.0,578.0,312576685,541068,23,573.0,564.0
2015-01-19,563.0,586.0,541.0,567.0,425044790,750085,19,578.0,541.0
2015-01-20,564.0,564.0,532.0,540.0,120146404,222588,9,567.0,532.0
2015-01-21,533.0,533.0,500.0,514.0,166337405,323406,18,540.0,500.0
2015-01-24,505.0,539.0,494.0,512.0,233300415,456020,21,514.0,500.0
2015-01-25,540.0,540.0,490.0,508.0,57833968,113883,6,512.0,496.0
2015-01-26,525.0,525.0,525.0,525.0,52500,100,1,508.0,525.0
2015-01-27,525.0,525.0,525.0,525.0,49921200,95088,6,525.0,525.0
2015-01-28,528.0,587.0,528.0,546.0,291418056,533782,27,525.0,580.0
2015-01-31,580.0,645.0,580.0,606.0,561633501,926562,38,546.0,645.0
2015-02-01,624.0,624.0,554.0,567.0,480709975,847585,31,606.0,555.0
2015-02-02,562.0,585.0,516.0,535.0,403448085,754075,24,567.0,585.0
2015-02-03,558.0,580.0,535.0,559.0,75557925,135275,8,535.0,580.0
2015-02-04,537.0,585.0,537.0,575.0,293565480,510700,22,559.0,580.0
2015-02-07,580.0,630.0,565.0,582.0,615085560,1056137,31,575.0,588.0
2015-02-08,545.0,599.0,542.0,549.0,284934251,518631,18,582.0,542.0
2015-02-09,541.0,550.0,530.0,539.0,133699640,247888,11,549.0,530.0
2015-02-10,525.0,529.0,515.0,521.0,58217710,111714,11,539.0,520.0
2015-02-14,521.0,540.0,520.0,524.0,67956900,129730,6,521.0,540.0
2015-02-15,522.0,539.0,520.0,522.0,46452738,88929,11,524.0,539.0
2015-02-16,520.0,539.0,520.0,525.0,77425807,147500,7,522.0,523.0
2015-02-17,535.0,539.0,524.0,528.0,99504062,188309,11,525.0,524.0
2015-02-18,525.0,525.0,519.0,523.0,141951381,271478,12,528.0,519.0
2015-02-21,530.0,535.0,530.0,533.0,11725100,22000,4,523.0,535.0
2015-02-22,535.0,564.0,530.0,537.0,129034561,240243,11,533.0,564.0
2015-02-23,530.0,540.0,530.0,533.0,9436000,17700,4,537.0,540.0
2015-02-24,530.0,530.0,520.0,521.0,45531400,87420,6,533.0,520.0
2015-02-25,520.0,540.0,511.0,515.0,72052355,140013,7,521.0,520.0
2015-02-28,520.0,539.0,520.0,535.0,150219892,280955,16,515.0,529.0
2015-03-01,517.0,600.0,517.0,523.0,10564404,20200,5,535.0,529.0
2015-03-02,518.0,540.0,518.0,529.0,72543835,137070,11,523.0,530.0
2015-03-03,600.0,600.0,543.0,546.0,27390000,50200,3,529.0,546.0
2015-03-04,525.0,526.0,517.0,521.0,98235500,188500,7,546.0,519.0
2015-03-07,520.0,520.0,511.0,516.0,103272563,200149,11,521.0,511.0
2015-03-08,530.0,600.0,530.0,559.0,391000,700,3,516.0,600.0
2015-03-09,511.0,511.0,510.0,510.0,241623632,473512,7,559.0,510.0
2015-03-10,510.0,510.0,500.0,503.0,491718441,976893,33,510.0,509.0
2015-03-11,500.0,600.0,500.0,505.0,225761011,446628,20,503.0,535.0
2015-03-14,534.0,650.0,497.0,556.0,286718294,516050,32,505.0,576.0
2015-03-15,504.0,576.0,504.0,531.0,94169900,177400,11,556.0,523.0
2015-03-16,550.0,550.0,523.0,524.0,39573000,75500,8,531.0,524.0
2015-03-17,524.0,524.0,512.0,517.0,65301548,126377,5,524.0,512.0
2015-03-18,539.0,539.0,512.0,520.0,273333968,525900,14,517.0,512.0
2015-03-25,542.0,542.0,521.0,540.0,49998880,92580,4,520.0,540.0
2015-03-28,539.0,550.0,538.0,539.0,54698195,101480,7,540.0,541.0
2015-03-29,546.0,585.0,525.0,546.0,234170830,428937,17,539.0,532.0
2015-03-30,549.0,549.0,524.0,528.0,73900000,140000,5,546.0,524.0
2015-03-31,525.0,535.0,522.0,528.0,165894360,313900,15,528.0,526.0
2015-04-04,550.0,690.0,540.0,630.0,2965664102,4709350,135,528.0,690.0
2015-04-05,667.0,720.0,640.0,673.0,3497304270,5194008,92,630.0,640.0
2015-04-06,640.0,721.0,542.0,622.0,334280386,537640,18,673.0,604.0
2015-04-07,560.0,560.0,544.0,547.0,124624235,227683,9,622.0,546.0
2015-04-08,546.0,598.0,543.0,569.0,337014100,592514,21,547.0,546.0
2015-04-11,546.0,580.0,546.0,558.0,168306567,301868,16,569.0,560.0
2015-04-12,546.0,569.0,540.0,544.0,45608700,83800,5,558.0,540.0
2015-04-13,567.0,567.0,531.0,543.0,111838250,206050,8,544.0,531.0
2015-04-14,531.0,532.0,513.0,523.0,164899720,315075,18,543.0,520.0
2015-04-15,520.0,550.0,512.0,519.0,223933600,431152,27,523.0,514.0
2015-04-18,514.0,538.0,501.0,506.0,565227547,1116976,28,519.0,505.0
2015-04-19,530.0,530.0,505.0,510.0,139498385,273348,17,506.0,505.0
2015-04-20,505.0,510.0,500.0,503.0,278902868,554677,25,510.0,502.0
2015-04-21,510.0,517.0,500.0,505.0,125276718,247855,17,503.0,517.0
2015-04-22,500.0,518.0,500.0,503.0,57732000,114861,4,505.0,503.0
2015-04-25,504.0,504.0,504.0,504.0,10080000,20000,1,503.0,504.0
2015-04-26,511.0,511.0,500.0,503.0,231389677,460200,21,504.0,500.0
2015-04-27,500.0,500.0,494.0,499.0,65053836,130275,10,503.0,494.0
2015-04-28,500.0,503.0,485.0,500.0,65031182,130000,10,499.0,500.0
