date,open,high,low,adjClose,value,volume,count,close
2008-07-27,8050.0,8052.0,8000.0,8007.0,162397182007,20280000,5282,8007.0
2008-07-28,8247.0,8247.0,8231.0,8231.0,997969310,121010,85,8231.0
2008-07-29,8477.0,8477.0,8255.0,8255.0,109435850,12910,10,8255.0
2008-08-02,8502.0,8502.0,8430.0,8430.0,778867500,91610,61,8430.0
2008-08-03,8682.0,8682.0,8007.0,8632.0,64387864779,7474389,3173,8632.0
2008-08-04,8374.0,8632.0,8374.0,8474.0,25639588079,3025612,1192,8474.0
2008-08-05,8598.0,8728.0,8482.0,8646.0,13030416459,1506940,672,8646.0
2008-08-06,8510.0,8510.0,8387.0,8396.0,5984253450,712676,344,8396.0
2008-08-09,8388.0,8388.0,8160.0,8252.0,3859284005,467675,258,8252.0
2008-08-10,8470.0,8499.0,8330.0,8482.0,6641056208,782922,341,8482.0
2008-08-11,8482.0,8482.0,8260.0,8297.0,2055120477,247682,136,8297.0
2008-08-12,8220.0,8300.0,8200.0,8249.0,3206751892,388701,205,8249.0
2008-08-13,8210.0,8269.0,8080.0,8145.0,1533547579,188280,120,8145.0
2008-08-16,8100.0,8161.0,8073.0,8129.0,2741819921,337283,133,8129.0
2008-08-18,8158.0,8158.0,8040.0,8096.0,3023176419,373415,142,8096.0
2008-08-19,8070.0,8070.0,8007.0,8033.0,1949544711,242671,110,8033.0
2008-08-20,8033.0,8120.0,8030.0,8080.0,2054137830,254202,135,8080.0
2008-08-23,8100.0,8198.0,8071.0,8133.0,2835537465,348629,156,8133.0
2008-08-24,8199.0,8376.0,8199.0,8371.0,4321436666,516210,164,8371.0
2008-08-25,8622.0,8622.0,8273.0,8471.0,7917323666,934573,295,8471.0
2008-08-26,8221.0,8259.0,8217.0,8218.0,4138751555,503616,157,8218.0
2008-08-27,8218.0,8218.0,7972.0,8057.0,18594430692,2327653,144,8057.0
2008-08-30,8228.0,8295.0,8161.0,8250.0,2653982370,321680,129,8250.0
2008-08-31,8075.0,8080.0,8004.0,8050.0,5248772433,651990,183,8050.0
2008-09-01,8050.0,8111.0,8037.0,8055.0,815084243,101170,68,8055.0
2008-09-02,8111.0,8240.0,8061.0,8074.0,733562598,90764,50,8074.0
2008-09-03,8103.0,8237.0,8040.0,8075.0,2487426277,308018,132,8075.0
2008-09-06,8052.0,8060.0,7833.0,7965.0,4522391883,567763,191,7965.0
2008-09-07,7727.0,8000.0,7727.0,7741.0,6705926872,866216,232,7741.0
2008-09-08,7700.0,7700.0,7509.0,7510.0,7351998279,978885,289,7510.0
2008-09-09,7511.0,7540.0,7496.0,7511.0,4335635752,577223,158,7511.0
2008-09-10,7500.0,7500.0,7286.0,7318.0,846736411,116067,78,7318.0
2008-09-13,7278.0,7280.0,7099.0,7106.0,3285812097,462359,135,7106.0
2008-09-14,7099.0,7107.0,6893.0,7055.0,1043678919,147929,92,7055.0
2008-09-15,6910.0,7105.0,6900.0,6947.0,1056002305,151996,68,6947.0
2008-09-16,7155.0,7155.0,7000.0,7004.0,467594314,66232,49,7004.0
2008-09-17,7100.0,7122.0,7030.0,7077.0,702145626,98880,58,7077.0
2008-09-20,7077.0,7081.0,7001.0,7074.0,709560739,100312,46,7074.0
2008-09-21,7074.0,7100.0,7074.0,7077.0,1528416672,215960,86,7077.0
2008-09-23,7006.0,7006.0,6865.0,6893.0,1465478299,212588,100,6893.0
2008-09-24,6900.0,6900.0,6687.0,6756.0,1234318480,182690,83,6756.0
2008-09-27,6700.0,6700.0,6554.0,6591.0,713484610,108777,53,6591.0
2008-09-28,6553.0,6702.0,6549.0,6613.0,893637591,135132,65,6613.0
2008-09-29,6811.0,6811.0,6617.0,6617.0,17400165,2555,4,6617.0
2008-09-30,6815.0,6815.0,6622.0,6622.0,22862395,3355,5,6622.0
2008-10-04,6820.0,6820.0,6700.0,6797.0,1168215460,171872,99,6797.0
2008-10-05,6711.0,6798.0,6609.0,6764.0,255893962,38269,25,6764.0
2008-10-06,6664.0,6715.0,6631.0,6715.0,384771058,57816,33,6715.0
2008-10-07,6597.0,6700.0,6596.0,6689.0,1303788704,194905,73,6689.0
2008-10-08,6596.0,6596.0,6489.0,6491.0,918923141,141554,63,6491.0
2008-10-11,6297.0,6480.0,6297.0,6480.0,48249444,7662,5,6480.0
2008-10-12,6286.0,6478.0,6286.0,6478.0,7199390,1145,3,6478.0
2008-10-13,6284.0,6304.0,6284.0,6284.0,2926867758,465714,113,6284.0
2008-10-14,6250.0,6394.0,6220.0,6279.0,256378816,40899,30,6279.0
2008-10-15,6277.0,6277.0,6111.0,6241.0,210993054,34394,25,6241.0
2008-10-18,6098.0,6199.0,6054.0,6057.0,1399714704,231055,60,6057.0
2008-10-19,6000.0,6049.0,5876.0,5879.0,1551168458,263810,57,5879.0
2008-10-20,5704.0,5797.0,5703.0,5703.0,1175912778,206190,77,5703.0
2008-10-21,5593.0,5593.0,5532.0,5534.0,1029764036,186070,76,5534.0
2008-10-22,5387.0,5540.0,5378.0,5485.0,250965690,46484,25,5485.0
2008-10-26,5326.0,5327.0,5321.0,5321.0,917989330,172510,39,5321.0
2008-10-27,5162.0,5163.0,5162.0,5162.0,1494493754,289517,84,5162.0
2008-10-28,5008.0,5135.0,5008.0,5135.0,116023243,23158,18,5135.0
2008-10-29,5000.0,5112.0,5000.0,5112.0,120158133,23992,14,5112.0
2008-11-01,5000.0,5102.0,4959.0,5102.0,50326770,10081,11,5102.0
2008-11-02,5010.0,5081.0,5000.0,5081.0,140144535,27993,15,5081.0
2008-11-03,5002.0,5056.0,5000.0,5056.0,217064230,43355,30,5056.0
2008-11-04,5054.0,5090.0,5054.0,5057.0,79784610,15745,11,5057.0
2008-11-05,5208.0,5208.0,5057.0,5057.0,258890,50,2,5057.0
2008-11-08,5208.0,5208.0,5102.0,5102.0,202694300,38920,18,5102.0
2008-11-09,5255.0,5255.0,5100.0,5143.0,600750622,116700,37,5143.0
2008-11-10,5143.0,5161.0,5143.0,5144.0,77365320,15020,16,5144.0
2008-11-11,5110.0,5117.0,5000.0,5117.0,124752650,24924,12,5117.0
2008-11-12,5010.0,5107.0,5004.0,5107.0,142123464,28023,19,5107.0
2008-11-15,5088.0,5097.0,5006.0,5097.0,65750674,13129,12,5097.0
2008-11-16,5005.0,5091.0,5005.0,5091.0,46348660,9254,9,5091.0
2008-11-17,5009.0,5240.0,5009.0,5088.0,119338080,23513,12,5088.0
2008-11-18,5240.0,5240.0,5101.0,5119.0,200283079,38567,15,5119.0
2008-11-19,5200.0,5272.0,5164.0,5164.0,227731340,43330,16,5164.0
2008-11-22,5318.0,5318.0,5310.0,5310.0,659449268,124007,39,5310.0
2008-11-23,5460.0,5469.0,5392.0,5392.0,377761686,69140,31,5392.0
2008-11-24,5553.0,5553.0,5548.0,5548.0,702913349,126583,46,5548.0
2008-11-25,5714.0,5714.0,5383.0,5642.0,521366686,91759,50,5642.0
2008-11-26,5473.0,5631.0,5473.0,5631.0,44590111,8147,3,5631.0
2008-12-01,5463.0,5630.0,5463.0,5630.0,2787800,510,2,5630.0
2008-12-03,5462.0,5630.0,5462.0,5630.0,640734,117,2,5630.0
2008-12-06,5462.0,5462.0,5462.0,5617.0,54620000,10000,1,5462.0
2008-12-24,5449.0,5449.0,5449.0,5616.0,5470796,1004,1,5449.0
2009-01-03,5448.0,5448.0,5448.0,5448.0,5448000,1000,1,5448.0
2009-01-04,5285.0,5285.0,5285.0,5285.0,5285000,1000,1,5285.0
