date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-10-23,701.0,701.0,701.0,748.0,1276609326,1821126,153,1226.0,701.0
2018-10-24,822.0,822.0,822.0,790.0,931716450,1133475,111,748.0,822.0
2018-10-27,869.0,869.0,869.0,869.0,174676821,201009,33,790.0,869.0
2018-10-28,955.0,955.0,955.0,955.0,1057925125,1107775,95,869.0,955.0
2018-10-29,1050.0,1050.0,1050.0,1050.0,2568807150,2446483,127,955.0,1050.0
2018-10-31,1155.0,1250.0,1040.0,1170.0,9336003149,7977511,712,1050.0,1197.0
2018-11-03,1130.0,1155.0,1053.0,1071.0,8207199374,7665188,747,1170.0,1053.0
2018-11-04,1099.0,1118.0,971.0,1038.0,2462223008,2371338,345,1071.0,1027.0
2018-11-05,1021.0,1141.0,990.0,1089.0,6274586070,5759154,607,1038.0,1141.0
2018-11-06,1176.0,1176.0,1100.0,1163.0,7267688094,6250204,513,1089.0,1150.0
2018-11-10,1150.0,1173.0,1055.0,1100.0,2768833397,2517628,270,1163.0,1060.0
2018-11-11,1060.0,1060.0,1001.0,1020.0,1501868500,1472478,203,1100.0,1011.0
2018-11-12,995.0,1080.0,995.0,1041.0,1755458958,1685886,192,1020.0,1050.0
2018-11-13,1040.0,1070.0,1005.0,1021.0,2332935768,2286067,230,1041.0,1005.0
2018-11-14,953.0,969.0,940.0,952.0,4253198908,4467642,316,1021.0,951.0
2018-11-17,960.0,970.0,875.0,897.0,1017490856,1133889,188,952.0,875.0
2018-11-18,881.0,888.0,808.0,843.0,1438019946,1705313,213,897.0,812.0
2018-11-19,840.0,870.0,802.0,834.0,1246190188,1493788,236,843.0,814.0
2018-11-20,842.0,907.0,800.0,849.0,1210723724,1425394,197,834.0,885.0
2018-11-21,900.0,914.0,851.0,903.0,1160894549,1285589,201,849.0,914.0
2018-11-24,917.0,917.0,866.0,895.0,932852858,1041877,110,903.0,875.0
2018-11-26,823.0,855.0,806.0,813.0,1421188598,1747580,175,895.0,806.0
2018-11-27,876.0,876.0,800.0,813.0,1662810868,2045892,240,813.0,820.0
2018-11-28,810.0,822.0,800.0,807.0,387185238,479603,82,813.0,820.0
2018-12-01,791.0,799.0,752.0,771.0,571043777,740417,88,807.0,770.0
2018-12-02,800.0,830.0,800.0,817.0,612870556,749957,135,771.0,829.0
2018-12-03,828.0,833.0,790.0,805.0,1439260715,1788871,175,817.0,800.0
2018-12-04,814.0,819.0,782.0,790.0,512056596,648292,92,805.0,786.0
2018-12-05,800.0,815.0,773.0,789.0,773918048,980447,159,790.0,790.0
2018-12-08,781.0,782.0,750.0,766.0,946182637,1235534,144,789.0,770.0
2018-12-09,755.0,842.0,755.0,831.0,4339098420,5223667,469,766.0,842.0
2018-12-10,851.0,914.0,810.0,855.0,2684675647,3140623,344,831.0,820.0
2018-12-12,834.0,834.0,770.0,783.0,3076051623,3929709,385,855.0,781.0
2018-12-15,760.0,817.0,760.0,791.0,1305066617,1650493,237,783.0,786.0
2018-12-19,800.0,858.0,771.0,837.0,1635070517,1952981,243,791.0,850.0
2018-12-22,876.0,876.0,790.0,828.0,1786632760,2158289,204,837.0,811.0
2018-12-23,818.0,844.0,795.0,820.0,1638299021,1998275,235,828.0,800.0
2018-12-24,805.0,835.0,790.0,811.0,2721122367,3354514,319,820.0,795.0
2018-12-25,800.0,867.0,790.0,833.0,6429412170,7715456,656,811.0,842.0
2018-12-26,850.0,850.0,800.0,817.0,1912996954,2340514,236,833.0,813.0
2018-12-29,815.0,822.0,790.0,802.0,1185140222,1477649,167,817.0,805.0
2018-12-30,791.0,840.0,791.0,823.0,2473714867,3006053,281,802.0,817.0
2019-01-09,835.0,912.0,808.0,857.0,2805582351,3273221,377,823.0,862.0
2019-01-12,844.0,889.0,825.0,848.0,1998774386,2355973,283,857.0,830.0
2019-01-13,831.0,844.0,812.0,826.0,1168125994,1414464,225,848.0,822.0
2019-01-14,838.0,867.0,822.0,835.0,13670943720,16377510,844,826.0,860.0
2019-01-15,898.0,918.0,870.0,912.0,6769043973,7418824,546,835.0,918.0
2019-01-16,948.0,1003.0,921.0,977.0,8969900445,9177425,886,912.0,960.0
2019-01-19,880.0,920.0,880.0,887.0,6944524527,7832908,717,977.0,880.0
2019-01-20,880.0,897.0,803.0,842.0,1721580171,2044642,284,887.0,835.0
2019-01-21,815.0,837.0,807.0,815.0,1055377178,1295281,197,842.0,820.0
2019-01-22,830.0,870.0,830.0,855.0,1367394777,1599790,185,815.0,850.0
2019-01-23,830.0,895.0,821.0,861.0,1336742653,1552210,268,855.0,859.0
2019-01-26,840.0,848.0,825.0,835.0,683965416,818836,111,861.0,834.0
2019-01-27,845.0,896.0,845.0,865.0,1215889468,1406421,180,835.0,853.0
2019-01-28,853.0,855.0,835.0,840.0,1254259247,1492529,134,865.0,840.0
2019-01-29,840.0,840.0,807.0,823.0,1000885185,1216569,133,840.0,823.0
2019-01-30,811.0,834.0,805.0,813.0,1525379306,1876550,225,823.0,812.0
2019-02-02,810.0,817.0,787.0,803.0,1583651906,1972887,219,813.0,799.0
2019-02-03,801.0,801.0,766.0,780.0,1001599597,1284888,167,803.0,796.0
2019-02-04,768.0,810.0,768.0,785.0,924122244,1177625,111,780.0,790.0
2019-02-05,796.0,797.0,770.0,777.0,738900086,951088,111,785.0,771.0
2019-02-06,789.0,789.0,760.0,764.0,1563364653,2045295,226,777.0,764.0
2019-02-10,760.0,779.0,760.0,765.0,560861052,733630,115,764.0,777.0
2019-02-12,756.0,778.0,755.0,767.0,546727064,712575,75,765.0,770.0
2019-02-13,753.0,760.0,723.0,738.0,940569348,1274292,142,767.0,742.0
2019-02-16,720.0,750.0,703.0,720.0,303892548,421998,67,738.0,729.0
2019-02-17,745.0,745.0,712.0,718.0,532266666,741694,94,720.0,719.0
2019-02-18,703.0,764.0,703.0,740.0,986794313,1332776,168,718.0,721.0
2019-02-19,755.0,755.0,702.0,716.0,729365578,1018142,125,740.0,719.0
2019-02-20,732.0,732.0,702.0,711.0,449806834,632491,111,716.0,721.0
2019-02-23,710.0,734.0,710.0,724.0,375369560,518235,82,711.0,730.0
2019-02-24,711.0,740.0,711.0,730.0,834087752,1141904,142,724.0,734.0
2019-02-25,750.0,750.0,716.0,721.0,708032809,982040,115,730.0,730.0
2019-02-26,704.0,724.0,704.0,710.0,531888552,748861,87,721.0,710.0
2019-02-27,710.0,730.0,710.0,719.0,286605934,398732,49,710.0,725.0
2019-03-02,714.0,725.0,708.0,712.0,473292811,664934,66,719.0,711.0
2019-03-03,711.0,737.0,710.0,721.0,452866779,627775,96,712.0,716.0
2019-03-04,711.0,729.0,710.0,717.0,570860328,796631,91,721.0,720.0
2019-03-05,715.0,724.0,702.0,710.0,519378032,731164,122,717.0,704.0
2019-03-06,722.0,722.0,700.0,705.0,779226904,1106040,106,710.0,707.0
2019-03-09,710.0,720.0,701.0,711.0,602452113,847916,96,705.0,710.0
2019-03-10,706.0,719.0,703.0,709.0,501930172,707729,87,711.0,719.0
2019-03-11,709.0,730.0,703.0,723.0,667776374,924193,132,709.0,727.0
2019-03-12,714.0,730.0,705.0,712.0,252861503,355176,43,723.0,710.0
2019-03-13,730.0,730.0,706.0,715.0,326419527,456389,92,712.0,707.0
2019-03-16,730.0,768.0,709.0,739.0,965766690,1306418,157,715.0,740.0
2019-03-17,740.0,766.0,734.0,746.0,488212469,654605,88,739.0,744.0
2019-03-18,735.0,746.0,720.0,725.0,849627104,1172100,86,746.0,727.0
2019-03-19,728.0,796.0,728.0,779.0,914585934,1173445,99,725.0,760.0
2019-03-25,856.0,856.0,823.0,854.0,5465555574,6398795,443,779.0,856.0
2019-03-26,914.0,939.0,850.0,912.0,8424115478,9238965,647,854.0,939.0
2019-03-27,950.0,950.0,860.0,897.0,2447853881,2730259,320,912.0,880.0
2019-03-30,888.0,986.0,854.0,957.0,6141561252,6418803,537,897.0,986.0
2019-03-31,980.0,1009.0,930.0,974.0,2804582307,2880116,244,957.0,990.0
2019-04-06,918.0,1020.0,918.0,998.0,1222935406,1225872,175,974.0,985.0
2019-04-07,961.0,1025.0,961.0,996.0,2487246156,2497583,247,998.0,975.0
2019-04-08,1010.0,1095.0,950.0,1050.0,7787015365,7414392,526,996.0,1095.0
2019-04-09,1098.0,1155.0,1098.0,1153.0,3777075582,3274676,289,1050.0,1155.0
