date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-12-17,18550.0,18650.0,18100.0,18425.0,14886489833,807910,395,0.0,18425.0
2003-12-21,18433.0,18433.0,18425.0,18425.0,110777570,6010,12,18425.0,18425.0
2003-12-22,18500.0,18500.0,18432.0,18432.0,347091354,18810,23,18425.0,18432.0
2003-12-23,18555.0,18557.0,18441.0,18441.0,94806863,5110,14,18432.0,18441.0
2003-12-24,18550.0,18550.0,17519.0,18257.0,462005546,25725,52,18441.0,18257.0
2003-12-27,17345.0,18156.0,17345.0,18156.0,129471190,7464,21,18257.0,18156.0
2003-12-28,17249.0,18067.0,17249.0,18067.0,113713588,6592,14,18156.0,18067.0
2003-12-29,17164.0,17997.0,17164.0,17997.0,89964854,5241,11,18067.0,17997.0
2003-12-30,17098.0,17983.0,17098.0,17983.0,17038458,996,5,17997.0,17983.0
2003-12-31,17084.0,17853.0,17084.0,17853.0,166918370,9770,15,17983.0,17853.0
2004-01-03,16961.0,17838.0,16961.0,17838.0,18394494,1084,5,17853.0,17838.0
2004-01-04,16947.0,17823.0,16947.0,17823.0,19057188,1124,8,17838.0,17823.0
2004-01-05,16932.0,17797.0,16932.0,17797.0,33500146,1978,6,17823.0,17797.0
2004-01-06,16908.0,16932.0,16908.0,16908.0,1183613172,70000,57,17797.0,16908.0
2004-01-07,16100.0,16907.0,16063.0,16808.0,183874434,11273,22,16908.0,16808.0
2004-01-10,16890.0,16932.0,16814.0,16814.0,68003256,4018,9,16808.0,16814.0
2004-01-11,16814.0,16814.0,15974.0,15989.0,1119414740,70010,27,16814.0,15989.0
2004-01-12,16011.0,16049.0,15190.0,15266.0,1068820973,70010,29,15989.0,15266.0
2004-01-13,15266.0,15266.0,15266.0,15266.0,15037010,985,6,15266.0,15266.0
2004-01-14,15266.0,15994.0,15266.0,15287.0,43330937,2745,9,15266.0,15287.0
2004-01-17,15999.0,15999.0,15293.0,15293.0,10136306,634,3,15287.0,15293.0
2004-01-18,15999.0,16057.0,15439.0,15439.0,218583254,13644,23,15293.0,15439.0
2004-01-19,16210.0,16210.0,15611.0,15611.0,245089210,15120,20,15439.0,15611.0
2004-01-20,16210.0,16391.0,15646.0,15646.0,59631908,3664,13,15611.0,15646.0
2004-01-24,16428.0,16428.0,15822.0,15822.0,250898784,15273,20,15646.0,15822.0
2004-01-25,16613.0,16613.0,16613.0,16613.0,2061806204,124108,39,15822.0,16613.0
2004-01-26,16999.0,17000.0,16620.0,16620.0,25237921,1488,6,16613.0,16620.0
2004-01-27,17451.0,17451.0,17451.0,17451.0,1389623130,79630,49,16620.0,17451.0
2004-01-28,18000.0,18323.0,17502.0,17502.0,75748420,4141,11,17451.0,17502.0
2004-01-31,18377.0,18377.0,17512.0,17512.0,14876720,810,5,17502.0,17512.0
2004-02-01,18387.0,18387.0,17610.0,17610.0,140082783,7619,20,17512.0,17610.0
2004-02-03,18490.0,18490.0,17930.0,17930.0,454700480,24592,74,17610.0,17930.0
2004-02-04,18826.0,18826.0,17500.0,17731.0,1294732951,73017,43,17930.0,17731.0
2004-02-07,18500.0,18617.0,17500.0,17873.0,1151354218,64390,33,17731.0,17873.0
2004-02-08,18617.0,18766.0,18001.0,18322.0,965567598,52325,44,17873.0,18322.0
2004-02-09,19238.0,19238.0,19181.0,19181.0,1219303870,63380,40,18322.0,19181.0
2004-02-14,19280.0,19280.0,19181.0,19181.0,8382310,435,4,19181.0,19181.0
2004-02-15,19551.0,19700.0,19500.0,19507.0,1271201907,65122,33,19181.0,19507.0
2004-02-16,19507.0,19603.0,19500.0,19515.0,161602238,8256,31,19507.0,19515.0
2004-02-17,19499.0,19499.0,19001.0,19487.0,278417943,14363,38,19515.0,19487.0
2004-02-18,19517.0,19517.0,19300.0,19486.0,97667516,5015,18,19487.0,19486.0
2004-02-21,19485.0,19485.0,19000.0,19477.0,81922897,4232,14,19486.0,19477.0
2004-02-22,18997.0,19450.0,18504.0,19450.0,41695431,2231,19,19477.0,19450.0
2004-02-23,18498.0,19385.0,18478.0,19385.0,83387560,4512,16,19450.0,19385.0
2004-02-24,18416.0,19316.0,18416.0,19316.0,87595496,4756,15,19385.0,19316.0
2004-02-25,18351.0,19252.0,18351.0,19252.0,82001278,4468,18,19316.0,19252.0
2004-02-28,18290.0,19230.0,18290.0,19230.0,27919940,1526,5,19252.0,19230.0
2004-02-29,18269.0,19178.0,18269.0,19178.0,66800554,3656,17,19230.0,19178.0
2004-03-03,18220.0,19125.0,18220.0,19125.0,67696350,3715,15,19178.0,19125.0
2004-03-06,18169.0,19034.0,18169.0,19034.0,116599123,6417,27,19125.0,19034.0
2004-03-07,18169.0,18887.0,18083.0,18887.0,195905074,10810,23,19034.0,18887.0
2004-03-08,18100.0,18801.0,17943.0,18801.0,116385812,6468,24,18887.0,18801.0
2004-03-09,17943.0,18711.0,17861.0,18711.0,118463271,6624,19,18801.0,18711.0
2004-03-10,17776.0,18640.0,17776.0,18640.0,91323952,5137,14,18711.0,18640.0
2004-03-13,17776.0,18573.0,17775.0,18573.0,92015352,5176,18,18640.0,18573.0
2004-03-14,17775.0,18500.0,17645.0,18461.0,266756696,14768,26,18573.0,18461.0
2004-03-15,17993.0,18449.0,17900.0,18449.0,27366860,1526,4,18461.0,18449.0
2004-03-16,17995.0,18421.0,17994.0,18421.0,74435304,4136,10,18449.0,18421.0
2004-03-17,17994.0,18401.0,17500.0,18401.0,38090242,2140,13,18421.0,18401.0
2004-03-27,17994.0,18398.0,17993.0,18398.0,7868656,437,9,18401.0,18398.0
2004-03-28,18400.0,18400.0,18398.0,18398.0,22850574,1242,3,18398.0,18398.0
2004-03-29,18398.0,18398.0,18398.0,18398.0,24248564,1318,7,18398.0,18398.0
2004-03-30,18001.0,18388.0,18000.0,18388.0,28426573,1579,5,18398.0,18388.0
2004-04-03,18389.0,18389.0,18388.0,18388.0,21257064,1156,4,18388.0,18388.0
2004-04-04,18383.0,18385.0,18200.0,18385.0,198573850,10810,5,18388.0,18385.0
2004-04-05,18199.0,18376.0,17998.0,18376.0,36007371,1999,7,18385.0,18376.0
2004-04-06,17893.0,18357.0,17458.0,18357.0,35372958,2014,7,18376.0,18357.0
2004-04-07,17440.0,18329.0,17440.0,18329.0,47271290,2710,8,18357.0,18329.0
2004-04-10,17413.0,18326.0,17413.0,18326.0,4640988,266,3,18329.0,18326.0
2004-04-12,17410.0,18324.0,17410.0,18324.0,2655460,152,2,18326.0,18324.0
2004-04-14,17408.0,18203.0,17408.0,18203.0,206829400,11878,27,18324.0,18203.0
2004-04-17,17477.0,18202.0,17477.0,18202.0,2139444,122,2,18203.0,18202.0
2004-04-18,17292.0,18193.0,17292.0,18193.0,14084698,814,5,18202.0,18193.0
2004-04-21,17284.0,18152.0,17284.0,18152.0,69317520,4010,10,18193.0,18152.0
2004-04-24,17245.0,18149.0,17245.0,18149.0,4009880,232,3,18152.0,18149.0
2004-04-25,17242.0,18140.0,17242.0,18140.0,14061210,815,5,18149.0,18140.0
2004-04-26,17242.0,18132.0,17242.0,18132.0,13026610,755,4,18140.0,18132.0
2004-04-27,17242.0,18128.0,17242.0,18128.0,6595304,382,4,18132.0,18128.0
2004-04-28,17222.0,18107.0,17222.0,18107.0,34625070,2010,9,18128.0,18107.0
2004-05-01,17202.0,18105.0,17202.0,18105.0,2331300,135,2,18107.0,18105.0
2004-05-02,17200.0,18103.0,17200.0,18103.0,3621030,210,3,18105.0,18103.0
2004-05-03,17198.0,18082.0,17198.0,18082.0,34576820,2010,3,18103.0,18082.0
2004-05-04,17178.0,18070.0,17178.0,18070.0,19986934,1163,8,18082.0,18070.0
2004-06-02,17104.0,17104.0,17104.0,17104.0,8552000,500,1,18070.0,17104.0
2004-06-05,16999.0,17042.0,16767.0,17042.0,298900618,17800,21,17104.0,17042.0
2004-06-06,16995.0,17041.0,16995.0,17041.0,340360,20,2,17042.0,17041.0
2004-06-07,16969.0,17022.0,16900.0,17022.0,368090935,21698,30,17041.0,17022.0
2004-06-09,16171.0,16892.0,16171.0,16892.0,221679278,13708,14,17022.0,16892.0
2004-06-12,16800.0,16891.0,16800.0,16891.0,7174510,427,3,16892.0,16891.0
2004-06-13,16794.0,16890.0,16794.0,16890.0,2486472,148,2,16891.0,16890.0
2004-06-14,16769.0,16889.0,16769.0,16889.0,1158261,69,2,16890.0,16889.0
2004-06-15,16100.0,16861.0,16100.0,16861.0,52163145,3235,8,16889.0,16861.0
2004-06-16,16100.0,16724.0,16099.0,16724.0,259521258,16119,13,16861.0,16724.0
2004-06-19,15888.0,16724.0,15888.0,16724.0,659768,41,2,16724.0,16724.0
2004-06-20,15888.0,15888.0,15888.0,15888.0,7944000,500,2,16724.0,15888.0
2004-06-21,15094.0,15094.0,15094.0,15094.0,7547000,500,1,15888.0,15094.0
2004-06-22,14340.0,14340.0,14340.0,14340.0,219531060,15309,11,15094.0,14340.0
2004-06-23,13623.0,13623.0,13623.0,13623.0,6811500,500,3,14340.0,13623.0
2004-06-26,13623.0,13623.0,13600.0,13615.0,10442850,767,3,13623.0,13615.0
2004-06-27,13100.0,13587.0,13100.0,13587.0,63657770,4859,5,13615.0,13587.0
2004-06-28,13101.0,13576.0,13000.0,13576.0,23671660,1810,6,13587.0,13576.0
2004-06-29,12900.0,13539.0,12899.0,13539.0,63435547,4917,5,13576.0,13539.0
2004-06-30,13099.0,13529.0,13099.0,13529.0,26530096,2025,7,13539.0,13529.0
2004-07-03,14001.0,14001.0,13537.0,13537.0,62751790,4580,5,13529.0,13537.0
2004-07-05,14213.0,14213.0,13544.0,13544.0,14348440,1010,6,13537.0,13544.0
2004-07-06,14200.0,14200.0,13548.0,13548.0,11233480,800,4,13544.0,13548.0
2004-07-07,14225.0,14225.0,13552.0,13552.0,12018129,859,6,13548.0,13552.0
2004-07-10,14226.0,14226.0,13569.0,13569.0,34290006,2411,8,13552.0,13569.0
