date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-27,8113.0,8520.0,8113.0,8113.0,16633000,2000,5,0.0,8113.0
2001-03-28,7911.0,7911.0,7911.0,7911.0,105034347,13277,18,8113.0,7911.0
2001-03-31,7714.0,8021.0,7714.0,8021.0,585865699,75113,99,7911.0,8021.0
2001-04-03,8025.0,8155.0,8010.0,8154.0,195848340,24200,31,8021.0,8154.0
2001-04-07,8301.0,8320.0,8169.0,8320.0,168327720,20373,34,8154.0,8320.0
2001-04-08,8319.0,8320.0,8270.0,8290.0,468990964,56406,99,8320.0,8290.0
2001-04-09,8265.0,8270.0,8083.0,8083.0,144458695,17753,21,8290.0,8083.0
2001-04-10,8081.0,8081.0,7881.0,7881.0,69906278,8784,14,8083.0,7881.0
2001-04-11,7900.0,8000.0,7775.0,7777.0,788151231,100125,107,7881.0,7777.0
2001-04-14,7774.0,7791.0,7685.0,7685.0,309205449,39975,51,7777.0,7685.0
2001-04-15,7650.0,7651.0,7600.0,7600.0,409050326,53587,85,7685.0,7600.0
2001-04-16,7600.0,7790.0,7600.0,7790.0,570730858,73915,126,7600.0,7790.0
2001-04-17,7800.0,7984.0,7800.0,7984.0,619781832,77721,93,7790.0,7984.0
2001-04-18,7986.0,7986.0,7905.0,7909.0,459120812,57719,84,7984.0,7909.0
2001-04-21,7908.0,7950.0,7830.0,7833.0,583985159,74080,71,7909.0,7833.0
2001-04-22,7833.0,7833.0,7755.0,7755.0,136404065,17561,27,7833.0,7755.0
2001-04-23,7734.0,7740.0,7690.0,7730.0,458350431,59449,72,7755.0,7730.0
2001-04-24,7730.0,7900.0,7730.0,7900.0,478976617,61085,60,7730.0,7900.0
2001-04-25,7885.0,7904.0,7880.0,7900.0,609853197,77301,74,7900.0,7900.0
2001-04-28,7980.0,8000.0,7900.0,7900.0,809745854,102006,100,7900.0,7900.0
2001-04-29,7922.0,7923.0,7892.0,7903.0,3034588137,383957,114,7900.0,7903.0
2001-04-30,7907.0,7950.0,7901.0,7941.0,756705987,95610,96,7903.0,7941.0
2001-05-01,7951.0,7954.0,7925.0,7954.0,876301300,110275,82,7941.0,7954.0
2001-05-02,8005.0,8051.0,7970.0,8050.0,304179240,37940,62,7954.0,8050.0
2001-05-05,8100.0,8251.0,8051.0,8251.0,141190885,17311,28,8050.0,8251.0
2001-05-06,8263.0,8457.0,8259.0,8456.0,493069640,58415,72,8251.0,8456.0
2001-05-07,8461.0,8551.0,8456.0,8550.0,343620905,40335,43,8456.0,8550.0
2001-05-08,8600.0,8600.0,8456.0,8472.0,815508074,95619,117,8550.0,8472.0
2001-05-09,8465.0,8470.0,8400.0,8400.0,787627549,93146,114,8472.0,8400.0
2001-05-12,8411.0,8459.0,8385.0,8385.0,112728881,13398,19,8400.0,8385.0
2001-05-13,8379.0,8425.0,8302.0,8425.0,954798157,114189,110,8385.0,8425.0
2001-05-15,8401.0,8440.0,8401.0,8425.0,462355610,54866,55,8425.0,8425.0
2001-05-16,8425.0,8500.0,8425.0,8450.0,823479875,97270,54,8425.0,8450.0
2001-05-19,8450.0,8500.0,8400.0,8500.0,634574232,75110,78,8450.0,8500.0
2001-05-20,8500.0,8500.0,8415.0,8421.0,307865086,36472,39,8500.0,8421.0
2001-05-21,8422.0,8449.0,8371.0,8449.0,415276760,49397,54,8421.0,8449.0
2001-05-23,8449.0,8449.0,8400.0,8406.0,127141450,15109,24,8449.0,8406.0
2001-05-26,8450.0,8490.0,8450.0,8490.0,312919630,36919,49,8406.0,8490.0
2001-05-27,8500.0,8574.0,8500.0,8574.0,419696540,49179,65,8490.0,8574.0
2001-05-28,8659.0,8659.0,8659.0,8659.0,494801237,57143,81,8574.0,8659.0
2001-05-29,8740.0,8745.0,8573.0,8573.0,284783814,32924,49,8659.0,8573.0
2001-05-30,8488.0,8488.0,8488.0,8488.0,70951192,8359,14,8573.0,8488.0
2001-06-02,8404.0,8404.0,8404.0,8404.0,206528300,24575,20,8488.0,8404.0
2001-06-03,8320.0,8320.0,8320.0,8320.0,119541760,14368,10,8404.0,8320.0
2001-06-06,8237.0,8237.0,8237.0,8237.0,115013231,13963,15,8320.0,8237.0
2001-06-09,8155.0,8155.0,8155.0,8155.0,223871060,27452,31,8237.0,8155.0
2001-06-11,8072.0,8237.0,8072.0,8170.0,526450670,64514,114,8155.0,8170.0
2001-06-12,8140.0,8169.0,8068.0,8068.0,274789199,33814,48,8170.0,8068.0
2001-06-13,8059.0,8066.0,7900.0,7949.0,360880046,45201,60,8068.0,7949.0
2001-06-16,7930.0,7930.0,7800.0,7856.0,498227275,63381,67,7949.0,7856.0
2001-06-17,7854.0,7854.0,7782.0,7836.0,459140136,58838,86,7856.0,7836.0
2001-06-18,7835.0,8031.0,7790.0,8031.0,430451593,54326,69,7836.0,8031.0
2001-06-19,8231.0,8231.0,8110.0,8112.0,495416396,60626,103,8031.0,8112.0
2001-06-20,8115.0,8253.0,8113.0,8253.0,390615906,47629,51,8112.0,8253.0
2001-06-23,8320.0,8335.0,8270.0,8335.0,341492585,41019,54,8253.0,8335.0
2001-06-24,8357.0,8360.0,8252.0,8278.0,556688105,66747,69,8335.0,8278.0
2001-06-25,8252.0,8252.0,8196.0,8196.0,68434671,8319,24,8278.0,8196.0
2001-06-26,8140.0,8194.0,8115.0,8150.0,245102198,30127,42,8196.0,8150.0
2001-06-27,8150.0,8250.0,8130.0,8250.0,254726752,31123,49,8150.0,8250.0
2001-06-30,8200.0,8331.0,8200.0,8330.0,313091711,37687,49,8250.0,8330.0
2001-07-01,8330.0,8413.0,8330.0,8413.0,596123608,71118,71,8330.0,8413.0
2001-07-02,8497.0,8497.0,8418.0,8497.0,658834208,77544,68,8413.0,8497.0
2001-07-03,8420.0,8564.0,8413.0,8413.0,920086797,109349,88,8497.0,8413.0
2001-07-31,8042.0,8150.0,7700.0,7800.0,656266974,83367,67,8413.0,7800.0
2001-08-01,7800.0,7900.0,7790.0,7795.0,710005510,90912,77,7800.0,7795.0
2001-08-04,7780.0,7780.0,7700.0,7730.0,532220992,68784,59,7795.0,7730.0
2001-08-05,7709.0,7710.0,7581.0,7606.0,1988533280,260853,103,7730.0,7606.0
2001-08-06,7605.0,7605.0,7512.0,7512.0,418055846,55356,83,7606.0,7512.0
2001-08-07,7553.0,7680.0,7510.0,7678.0,388077729,51107,75,7512.0,7678.0
2001-08-08,7679.0,7810.0,7678.0,7810.0,151200480,19496,34,7678.0,7810.0
2001-08-11,7847.0,8000.0,7846.0,8000.0,706433599,89004,90,7810.0,8000.0
2001-08-12,8000.0,8100.0,7905.0,8100.0,1202126193,149797,137,8000.0,8100.0
2001-08-13,8100.0,8100.0,7999.0,8000.0,750812134,93832,115,8100.0,8000.0
2001-08-14,7997.0,8000.0,7950.0,7990.0,135998106,17038,21,8000.0,7990.0
2001-08-15,7990.0,8001.0,7890.0,8001.0,1337745653,168214,128,7990.0,8001.0
2001-08-18,8030.0,8030.0,8000.0,8001.0,593114603,74107,71,8001.0,8001.0
2001-08-19,8001.0,8013.0,8001.0,8009.0,356291597,44512,50,8001.0,8009.0
2001-08-20,8009.0,8011.0,7970.0,8000.0,1280182374,160014,73,8009.0,8000.0
2001-08-21,7999.0,8020.0,7999.0,8003.0,872706360,109070,75,8000.0,8003.0
2001-08-22,8003.0,8004.0,7980.0,8004.0,528847040,66109,41,8003.0,8004.0
2001-08-25,8004.0,8100.0,7961.0,7961.0,759450111,94946,73,8004.0,7961.0
2001-08-26,7961.0,7961.0,7950.0,7960.0,642208907,80705,60,7961.0,7960.0
2001-08-27,7955.0,7960.0,7900.0,7900.0,444649274,56160,40,7960.0,7900.0
2001-08-28,7850.0,7890.0,7850.0,7850.0,787488810,100241,65,7900.0,7850.0
2001-08-29,7830.0,7831.0,7830.0,7830.0,475094555,60676,41,7850.0,7830.0
2001-09-01,7801.0,7830.0,7800.0,7800.0,353454573,45232,31,7830.0,7800.0
2001-09-02,7801.0,7814.0,7780.0,7814.0,414402202,53126,36,7800.0,7814.0
2001-09-03,7795.0,7820.0,7760.0,7820.0,359090689,46076,38,7814.0,7820.0
2001-09-04,7819.0,7820.0,7750.0,7798.0,174463588,22402,21,7820.0,7798.0
2001-09-05,7780.0,7805.0,7775.0,7800.0,892181757,114447,74,7798.0,7800.0
2001-09-08,7799.0,7800.0,7796.0,7796.0,124698096,15988,18,7800.0,7796.0
2001-09-09,7784.0,7788.0,7751.0,7760.0,106220062,13673,24,7796.0,7760.0
2001-09-10,7700.0,7705.0,7700.0,7700.0,239672521,31123,33,7760.0,7700.0
2001-09-11,7700.0,7700.0,7650.0,7655.0,82083601,10712,17,7700.0,7655.0
2001-09-12,7650.0,7655.0,7600.0,7620.0,267714590,35134,33,7655.0,7620.0
2001-09-15,7609.0,7630.0,7580.0,7620.0,464981842,61041,49,7620.0,7620.0
2001-09-16,7620.0,7620.0,7480.0,7590.0,778118955,103305,62,7620.0,7590.0
2001-09-17,7450.0,7590.0,7401.0,7590.0,1556759437,207970,74,7590.0,7590.0
2001-09-18,7509.0,7600.0,7496.0,7600.0,2082107306,276600,92,7590.0,7600.0
2001-09-19,7500.0,7615.0,7500.0,7615.0,724442158,95389,54,7600.0,7615.0
2001-09-22,7600.0,7750.0,7600.0,7742.0,2131025604,277856,69,7615.0,7742.0
2001-09-23,7732.0,7738.0,7600.0,7650.0,841964816,109870,33,7742.0,7650.0
2001-09-24,7649.0,7650.0,7596.0,7650.0,820253940,107638,47,7650.0,7650.0
2001-09-25,7637.0,7652.0,7620.0,7652.0,335564034,43908,49,7650.0,7652.0
2001-09-26,7640.0,7652.0,7550.0,7600.0,568121511,74557,61,7652.0,7600.0
2001-09-29,7597.0,7600.0,7590.0,7593.0,500220174,65850,33,7600.0,7593.0
2001-09-30,7501.0,7595.0,7500.0,7593.0,496292339,65606,41,7593.0,7593.0
2001-10-02,7597.0,7600.0,7591.0,7600.0,417617756,54970,44,7593.0,7600.0
2001-10-03,7600.0,7607.0,7600.0,7601.0,629608473,82831,46,7600.0,7601.0
2001-10-06,7602.0,7603.0,7600.0,7601.0,293265804,38582,24,7601.0,7601.0
2001-10-07,7601.0,7650.0,7601.0,7650.0,1383899947,180943,51,7601.0,7650.0
2001-10-08,7650.0,7650.0,7637.0,7650.0,238817418,31221,28,7650.0,7650.0
2001-10-09,7648.0,7654.0,7648.0,7652.0,1276704145,166865,71,7650.0,7652.0
2001-10-10,7640.0,7655.0,7585.0,7655.0,1651111241,216686,92,7652.0,7655.0
2001-10-13,7640.0,7655.0,7470.0,7655.0,937038741,122735,66,7655.0,7655.0
2001-10-14,7655.0,7655.0,7649.0,7649.0,2830380,370,4,7655.0,7649.0
2001-10-16,7634.0,7638.0,7632.0,7635.0,90605587,11867,18,7649.0,7635.0
2001-10-17,7581.0,7635.0,7579.0,7635.0,284309851,37416,40,7635.0,7635.0
2001-10-20,7630.0,7650.0,7592.0,7639.0,342983392,44872,21,7635.0,7639.0
2001-10-21,7638.0,7650.0,7637.0,7650.0,226546489,29626,33,7639.0,7650.0
2001-10-22,7650.0,7700.0,7650.0,7700.0,69688076,9063,12,7650.0,7700.0
2001-10-23,7700.0,7750.0,7700.0,7702.0,148884541,19293,26,7700.0,7702.0
2001-10-24,7702.0,7728.0,7702.0,7728.0,135736403,17608,22,7702.0,7728.0
2001-10-27,7738.0,7754.0,7738.0,7753.0,35844802,4627,7,7728.0,7753.0
2001-10-28,7766.0,7782.0,7766.0,7782.0,82086960,10560,19,7753.0,7782.0
2001-10-29,7785.0,7800.0,7782.0,7799.0,67369113,8641,24,7782.0,7799.0
2001-10-30,7799.0,7802.0,7793.0,7802.0,139281468,17863,20,7799.0,7802.0
2001-10-31,7802.0,7900.0,7802.0,7833.0,162985947,20789,27,7802.0,7833.0
2001-11-03,7900.0,7914.0,7838.0,7914.0,62227044,7890,7,7833.0,7914.0
2001-11-04,7950.0,8006.0,7915.0,8006.0,216115721,27041,21,7914.0,8006.0
2001-11-05,8060.0,8073.0,8011.0,8072.0,64962944,8063,14,8006.0,8072.0
2001-11-06,8101.0,8110.0,8078.0,8080.0,416493469,51456,27,8072.0,8080.0
