date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-02-04,8858.0,8858.0,3722.0,3767.0,213768804780,56748303,3193,1000.0,3722.0
2013-02-05,3955.0,3955.0,3955.0,3955.0,1763621510,445922,109,3767.0,3955.0
2013-02-06,4152.0,4152.0,4152.0,4152.0,76172592,18346,25,3955.0,4152.0
2013-02-09,4359.0,4359.0,4359.0,4359.0,265951308,61012,55,4152.0,4359.0
2013-02-11,4576.0,4576.0,4576.0,4576.0,307671936,67236,57,4359.0,4576.0
2013-02-12,4804.0,4804.0,4804.0,4804.0,293284200,61050,56,4576.0,4804.0
2013-02-13,5044.0,5044.0,5044.0,5044.0,637334620,126355,110,4804.0,5044.0
2013-02-16,5296.0,5296.0,5296.0,5296.0,826922736,156141,119,5044.0,5296.0
2013-02-17,5560.0,5560.0,5560.0,5560.0,1159660320,208572,156,5296.0,5560.0
2013-02-18,5838.0,5838.0,5838.0,5838.0,1808589048,309796,195,5560.0,5838.0
2013-02-19,6129.0,6129.0,6129.0,6129.0,13468569435,2197515,1255,5838.0,6129.0
2013-02-20,6435.0,6435.0,6435.0,6435.0,6511692330,1011918,581,6129.0,6435.0
2013-02-23,6756.0,6756.0,6756.0,6756.0,709731312,105052,81,6435.0,6756.0
2013-02-24,7093.0,7093.0,7093.0,7093.0,16175565221,2280497,1020,6756.0,7093.0
2013-02-25,7356.0,7447.0,7100.0,7386.0,271310437603,36730841,17115,7093.0,7447.0
2013-02-26,7272.0,7755.0,7051.0,7518.0,73967175211,9838660,5920,7386.0,7755.0
2013-02-27,7893.0,7893.0,7893.0,7893.0,2781161694,352358,115,7518.0,7893.0
2013-03-02,8287.0,8287.0,8287.0,8287.0,193509737,23351,27,7893.0,8287.0
2013-03-03,8701.0,8701.0,8411.0,8696.0,80691421985,9278800,3077,8287.0,8701.0
2013-03-04,8545.0,8950.0,8262.0,8361.0,123215241158,14737511,6262,8696.0,8400.0
2013-03-05,8200.0,8779.0,7943.0,8419.0,66056252878,7846155,4026,8361.0,8700.0
2013-03-06,8839.0,8839.0,8601.0,8834.0,49694521932,5625616,1888,8419.0,8839.0
2013-03-09,8998.0,8998.0,8395.0,8661.0,34031791476,3929157,1934,8834.0,8400.0
2013-03-10,8400.0,8940.0,8241.0,8620.0,47138939922,5468425,2661,8661.0,8450.0
2013-03-11,8580.0,8800.0,8289.0,8520.0,27763075321,3258547,1347,8620.0,8310.0
2013-03-12,8299.0,8650.0,8121.0,8471.0,21894586919,2584573,1269,8520.0,8458.0
2013-03-13,8641.0,8894.0,8450.0,8703.0,53528017319,6150741,2536,8471.0,8450.0
2013-03-16,8600.0,8679.0,8268.0,8312.0,16121376864,1939474,953,8703.0,8268.0
