date,open,high,low,adjClose,value,volume,count,yesterday,close
2010-11-13,1402.0,1402.0,1402.0,1402.0,125018714988,89171694,850,1000.0,1402.0
2010-11-14,1458.0,1458.0,1458.0,1458.0,24526025478,16821691,530,1402.0,1458.0
2010-11-15,1516.0,1516.0,1516.0,1467.0,228138292,150487,22,1458.0,1516.0
2010-11-16,1525.0,1525.0,1525.0,1473.0,143374400,94016,11,1467.0,1525.0
2010-11-20,1531.0,1531.0,1531.0,1474.0,18840486,12306,3,1473.0,1531.0
2010-11-21,1532.0,1532.0,1532.0,1478.0,98397296,64228,8,1474.0,1532.0
2010-11-22,1537.0,1537.0,1537.0,1480.0,54540445,35485,1,1478.0,1537.0
2010-11-23,1539.0,1539.0,1539.0,1481.0,17390700,11300,4,1480.0,1539.0
2010-11-24,1540.0,1540.0,1540.0,1487.0,152794180,99217,7,1481.0,1540.0
2010-11-27,1546.0,1546.0,1546.0,1494.0,175316400,113400,5,1487.0,1546.0
2010-11-28,1553.0,1553.0,1553.0,1496.0,62671315,40355,5,1494.0,1553.0
2010-11-29,1555.0,1555.0,1555.0,1496.0,4665000,3000,1,1496.0,1555.0
2010-11-30,1555.0,1555.0,1555.0,1499.0,88858920,57144,7,1496.0,1555.0
2010-12-01,1558.0,1558.0,1558.0,1502.0,75541188,48486,9,1499.0,1558.0
2010-12-04,1562.0,1562.0,1562.0,1562.0,21161976,13548,2,1502.0,1562.0
2010-12-05,1624.0,1624.0,1624.0,1567.0,137830504,84871,20,1562.0,1624.0
2010-12-06,1629.0,1629.0,1629.0,1572.0,117442755,72095,12,1567.0,1629.0
2010-12-07,1634.0,1634.0,1634.0,1580.0,210277826,128689,12,1572.0,1634.0
2010-12-08,1643.0,1643.0,1643.0,1588.0,203779647,124029,6,1580.0,1643.0
2010-12-11,1651.0,1651.0,1651.0,1589.0,31441644,19044,6,1588.0,1651.0
2010-12-12,1652.0,1652.0,1652.0,1593.0,104229636,63093,15,1589.0,1652.0
2010-12-13,1656.0,1656.0,1656.0,1604.0,276252264,166819,23,1593.0,1656.0
2010-12-14,1668.0,1668.0,1668.0,1633.0,738001596,442447,29,1604.0,1668.0
2010-12-18,1698.0,1698.0,1698.0,1698.0,17493079566,10302167,457,1633.0,1698.0
2010-12-19,1691.0,1730.0,1631.0,1680.0,40288518193,23979290,1757,1698.0,1699.0
2010-12-20,1674.0,1747.0,1674.0,1739.0,12439152874,7153455,385,1680.0,1747.0
2010-12-21,1808.0,1808.0,1808.0,1808.0,3569836336,1974467,66,1739.0,1808.0
2010-12-22,1880.0,1880.0,1880.0,1855.0,1187539600,631670,12,1808.0,1880.0
2010-12-25,1929.0,1929.0,1929.0,1897.0,1065527517,552373,7,1855.0,1929.0
2010-12-26,1972.0,1972.0,1972.0,1898.0,14166848,7184,4,1897.0,1972.0
2010-12-27,1973.0,1973.0,1973.0,1898.0,1973,1,1,1898.0,1973.0
2010-12-28,1973.0,1973.0,1973.0,1898.0,2823363,1431,2,1898.0,1973.0
2010-12-29,2049.0,2130.0,2049.0,2130.0,4456745670,2092559,61,1898.0,2130.0
2011-01-01,2215.0,2215.0,2215.0,2160.0,768587280,346992,18,2130.0,2215.0
2011-01-02,2246.0,2246.0,2246.0,2170.0,263188526,117181,12,2160.0,2246.0
2011-01-03,2256.0,2256.0,2256.0,2171.0,38029392,16857,4,2170.0,2256.0
2011-01-04,2257.0,2257.0,2257.0,2173.0,59020550,26150,4,2171.0,2257.0
2011-01-05,2259.0,2259.0,2259.0,2174.0,31804461,14079,3,2173.0,2259.0
2011-01-08,2347.0,2440.0,2347.0,2439.0,58638294903,24039544,773,2174.0,2440.0
2011-01-09,2536.0,2536.0,2536.0,2453.0,343501200,135450,9,2439.0,2536.0
2011-01-10,2551.0,2551.0,2465.0,2542.0,87116083686,34264237,2523,2453.0,2509.0
2011-01-11,2540.0,2643.0,2450.0,2612.0,63367310898,24261285,2195,2542.0,2643.0
2011-01-12,2665.0,2665.0,2510.0,2558.0,20022959832,7828260,791,2612.0,2515.0
2011-01-15,2520.0,2520.0,2456.0,2457.0,27655297368,11257378,865,2558.0,2456.0
2011-01-16,2426.0,2529.0,2404.0,2452.0,19616443971,7998704,964,2457.0,2410.0
2011-01-17,2446.0,2446.0,2354.0,2367.0,4050941351,1711258,152,2452.0,2354.0
2011-01-18,2276.0,2360.0,2273.0,2293.0,31427293506,13707023,1172,2367.0,2300.0
2011-01-19,2322.0,2384.0,2322.0,2383.0,18981547878,7964954,396,2293.0,2384.0
2011-01-22,2288.0,2288.0,2288.0,2288.0,2759311984,1205993,91,2383.0,2288.0
2011-01-23,2197.0,2268.0,2197.0,2209.0,28031923969,12689666,896,2288.0,2249.0
2011-01-24,2270.0,2297.0,2270.0,2296.0,20162213511,8780144,534,2209.0,2297.0
2011-01-26,2345.0,2360.0,2220.0,2302.0,11927674992,5181832,616,2296.0,2270.0
2011-01-29,2330.0,2354.0,2210.0,2233.0,8629762732,3864189,405,2302.0,2231.0
2011-03-09,2406.0,2459.0,2312.0,2382.0,18304655748,7685249,607,2233.0,2312.0
2011-03-12,2287.0,2308.0,2287.0,2295.0,208360140680,90799237,419,2382.0,2287.0
2011-03-13,2279.0,2330.0,2261.0,2298.0,199924571553,87004557,315,2295.0,2312.0
2011-03-14,2313.0,2359.0,2313.0,2342.0,3772551518,1611080,250,2298.0,2327.0
2011-03-15,2380.0,2420.0,2301.0,2386.0,128551031512,53869176,247,2342.0,2301.0
2011-03-16,2333.0,2395.0,2306.0,2331.0,6459908777,2771090,349,2386.0,2310.0
2011-03-19,2378.0,2390.0,2320.0,2366.0,4594198163,1941661,226,2331.0,2369.0
2011-03-26,2372.0,2460.0,2372.0,2445.0,3489874806,1427326,121,2366.0,2460.0
2011-03-27,2537.0,2540.0,2361.0,2444.0,7030192344,2877032,368,2445.0,2370.0
2011-03-28,2430.0,2436.0,2362.0,2392.0,5663377158,2367557,350,2444.0,2389.0
2011-03-29,2403.0,2407.0,2332.0,2351.0,7723991144,3285103,457,2392.0,2340.0
2011-03-30,2380.0,2410.0,2356.0,2393.0,15041612137,6285237,621,2351.0,2400.0
2011-04-03,2449.0,2488.0,2449.0,2487.0,15856638329,6375405,206,2393.0,2488.0
2011-04-04,2586.0,2586.0,2586.0,2586.0,18106447920,7001720,193,2487.0,2586.0
2011-04-05,2689.0,2689.0,2689.0,2689.0,38681377938,14385042,351,2586.0,2689.0
