date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-01-05,1550.0,1550.0,1550.0,1550.0,21700000000,14000000,6681,1000.0,1550.0
2016-01-06,1627.0,1627.0,1627.0,1627.0,65815404,40452,60,1550.0,1627.0
2016-01-09,1708.0,1708.0,1708.0,1708.0,179900224,105328,139,1627.0,1708.0
2016-01-10,1793.0,1793.0,1793.0,1793.0,593379006,330942,414,1708.0,1793.0
2016-01-11,1882.0,1882.0,1882.0,1882.0,2540269022,1349771,709,1793.0,1882.0
2016-01-12,1976.0,1976.0,1951.0,1976.0,21754844934,11010976,5375,1882.0,1976.0
2016-01-13,2030.0,2074.0,2030.0,2063.0,21601898186,10471723,6960,1976.0,2074.0
2016-01-16,2100.0,2149.0,2001.0,2065.0,11430440019,5534511,2345,2063.0,2020.0
2016-01-17,2066.0,2066.0,1962.0,1977.0,14084065450,7123206,1727,2065.0,1962.0
2016-01-18,1950.0,1970.0,1889.0,1922.0,2227146323,1158668,532,1977.0,1923.0
2016-01-19,1953.0,2010.0,1950.0,1972.0,3068594269,1555917,541,1922.0,2000.0
2016-01-20,2000.0,2070.0,1990.0,2065.0,13094772443,6340836,710,1972.0,2070.0
2016-01-23,2079.0,2168.0,2021.0,2157.0,8258382912,3829029,483,2065.0,2168.0
2016-01-24,2225.0,2264.0,2225.0,2259.0,2767834207,1225073,140,2157.0,2264.0
2016-01-25,2361.0,2371.0,2270.0,2356.0,10451328895,4436059,549,2259.0,2350.0
2016-01-26,2365.0,2473.0,2313.0,2441.0,4964290446,2033420,243,2356.0,2473.0
2016-01-27,2500.0,2560.0,2326.0,2400.0,3609559168,1504216,330,2441.0,2326.0
2016-01-30,2357.0,2493.0,2300.0,2378.0,2361876229,993204,218,2400.0,2400.0
2016-01-31,2380.0,2400.0,2260.0,2330.0,4622994279,1984321,251,2378.0,2388.0
2016-02-01,2384.0,2446.0,2360.0,2438.0,4749246781,1948238,213,2330.0,2446.0
2016-02-02,2460.0,2559.0,2380.0,2466.0,2539598950,1029668,190,2438.0,2380.0
2016-02-03,2363.0,2479.0,2363.0,2413.0,2086355385,864561,145,2466.0,2400.0
2016-02-06,2321.0,2499.0,2321.0,2443.0,3744996576,1533244,257,2413.0,2440.0
2016-02-07,2411.0,2490.0,2350.0,2423.0,1963539652,810430,171,2443.0,2409.0
2016-02-08,2543.0,2544.0,2543.0,2544.0,2831178602,1113070,111,2423.0,2544.0
2016-02-09,2670.0,2671.0,2501.0,2665.0,9914539671,3719653,301,2544.0,2594.0
2016-02-10,2540.0,2798.0,2540.0,2793.0,10929147297,3912490,302,2665.0,2798.0
2016-02-13,2700.0,2930.0,2681.0,2833.0,2601813012,918409,140,2793.0,2918.0
2016-02-14,2850.0,2930.0,2796.0,2854.0,1526700236,534964,112,2833.0,2797.0
2016-02-15,2917.0,2950.0,2848.0,2884.0,2321325464,804952,99,2854.0,2860.0
2016-02-16,2804.0,3028.0,2751.0,2926.0,5389090884,1841575,217,2884.0,3028.0
2016-02-17,3072.0,3072.0,3072.0,3072.0,661420032,215306,19,2926.0,3072.0
2016-02-21,3200.0,3249.0,3011.0,3178.0,1055640608,332155,58,3072.0,3149.0
2016-02-22,3178.0,3245.0,3099.0,3193.0,4346991776,1361502,191,3178.0,3230.0
2016-02-23,3290.0,3331.0,3037.0,3210.0,2462138422,767091,137,3193.0,3180.0
2016-02-24,3070.0,3199.0,3052.0,3157.0,815757084,258415,103,3210.0,3150.0
2016-02-27,3150.0,3275.0,3050.0,3157.0,1354713875,429151,120,3157.0,3050.0
2016-02-28,3020.0,3314.0,3020.0,3236.0,1463577134,452228,116,3157.0,3150.0
2016-02-29,3270.0,3380.0,3151.0,3332.0,1538897449,461868,83,3236.0,3300.0
2016-03-01,3310.0,3455.0,3270.0,3403.0,1316604171,386866,65,3332.0,3350.0
2016-03-02,3272.0,3573.0,3272.0,3546.0,2607964802,735533,90,3403.0,3573.0
2016-03-05,3719.0,3723.0,3620.0,3722.0,6192163095,1663497,187,3546.0,3723.0
2016-03-06,3908.0,3908.0,3668.0,3765.0,1613150613,428494,114,3722.0,3700.0
2016-03-07,3700.0,3765.0,3650.0,3694.0,2515392774,680989,83,3765.0,3650.0
2016-03-08,3652.0,3860.0,3652.0,3788.0,1791410582,472967,100,3694.0,3744.0
2016-03-09,3810.0,3870.0,3602.0,3788.0,1917451391,506254,89,3788.0,3800.0
2016-03-12,3799.0,3900.0,3600.0,3804.0,2241031170,589114,94,3788.0,3671.0
2016-03-14,3936.0,3936.0,3614.0,3636.0,1283030313,352841,76,3804.0,3614.0
2016-03-15,3455.0,3455.0,3455.0,3455.0,229152875,66325,22,3636.0,3455.0
2016-03-16,3283.0,3397.0,3283.0,3283.0,7080462273,2156579,215,3455.0,3303.0
2016-03-26,3440.0,3440.0,3154.0,3344.0,112484090,33640,20,3283.0,3340.0
2016-03-27,3300.0,3449.0,3244.0,3356.0,544351050,162180,40,3344.0,3287.0
2016-03-28,3350.0,3449.0,3289.0,3390.0,815620114,240612,33,3356.0,3390.0
2016-03-29,3454.0,3454.0,3221.0,3388.0,1371931765,404906,69,3390.0,3380.0
2016-03-30,3219.0,3415.0,3219.0,3336.0,1299846921,389699,84,3388.0,3300.0
2016-04-02,3200.0,3395.0,3200.0,3295.0,423290366,128457,41,3336.0,3287.0
2016-04-03,3393.0,3393.0,3131.0,3204.0,382959316,119537,42,3295.0,3299.0
2016-04-04,3047.0,3290.0,3047.0,3158.0,222186100,70364,44,3204.0,3246.0
2016-04-05,3105.0,3190.0,3080.0,3105.0,1639916312,528202,112,3158.0,3080.0
2016-04-06,3200.0,3260.0,3190.0,3225.0,2663257521,825822,126,3105.0,3200.0
2016-04-09,3151.0,3310.0,3151.0,3255.0,327057904,100464,50,3225.0,3226.0
2016-04-10,3200.0,3220.0,3135.0,3168.0,572207583,180644,32,3255.0,3153.0
2016-04-11,3240.0,3326.0,3151.0,3313.0,2463053823,743505,85,3168.0,3326.0
2016-04-12,3280.0,3333.0,3220.0,3249.0,248203221,76391,33,3313.0,3268.0
2016-04-13,3210.0,3210.0,3171.0,3202.0,468905820,146439,31,3249.0,3182.0
2016-04-16,3180.0,3362.0,3042.0,3143.0,2967077601,943910,104,3202.0,3362.0
2016-04-17,3153.0,3300.0,3153.0,3299.0,2559089630,775642,104,3143.0,3300.0
2016-04-18,3400.0,3462.0,3285.0,3391.0,467120125,137755,47,3299.0,3285.0
2016-04-19,3290.0,3348.0,3222.0,3231.0,901632128,279062,54,3391.0,3244.0
2016-04-20,3101.0,3374.0,3085.0,3241.0,47354910,14611,14,3231.0,3373.0
2016-04-23,3373.0,3395.0,3176.0,3232.0,68280808,21124,14,3241.0,3290.0
2016-04-24,3358.0,3365.0,3220.0,3257.0,238090116,73111,21,3232.0,3220.0
2016-04-25,3200.0,3351.0,3200.0,3279.0,684117400,208649,30,3257.0,3200.0
2016-04-26,3251.0,3350.0,3201.0,3285.0,1238316291,376920,48,3279.0,3350.0
2016-04-27,3300.0,3440.0,3300.0,3422.0,3727233079,1089195,110,3285.0,3385.0
2016-04-30,3593.0,3593.0,3593.0,3593.0,1361653582,378974,31,3422.0,3593.0
2016-05-01,3772.0,3772.0,3772.0,3772.0,1567420652,415541,31,3593.0,3772.0
2016-05-02,3888.0,3960.0,3772.0,3934.0,10812642363,2748703,265,3772.0,3960.0
