date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-07-04,4000.0,4000.0,2500.0,2703.0,138540627445,51251030,1939,1000.0,2500.0
2012-07-07,2838.0,2838.0,2838.0,2838.0,388806000,137000,22,2703.0,2838.0
2012-07-08,2979.0,2979.0,2979.0,2979.0,26813979,9001,8,2838.0,2979.0
2012-07-09,3127.0,3127.0,3127.0,3127.0,40497777,12951,14,2979.0,3127.0
2012-07-10,3283.0,3283.0,3283.0,3283.0,192134292,58524,30,3127.0,3283.0
2012-07-11,3447.0,3447.0,3447.0,3447.0,1250816337,362871,157,3283.0,3447.0
2012-07-14,3619.0,3619.0,3619.0,3619.0,28819913738,7963502,2229,3447.0,3619.0
2012-07-15,3700.0,3736.0,3573.0,3662.0,116528689172,31817392,9328,3619.0,3598.0
2012-07-16,3599.0,3699.0,3530.0,3588.0,24080204566,6710684,1658,3662.0,3545.0
2012-07-17,3530.0,3540.0,3409.0,3441.0,23807348160,6918207,1236,3588.0,3440.0
2012-08-21,3497.0,3497.0,3101.0,3277.0,12102071493,3692946,618,3091.0,3350.0
2012-08-22,3400.0,3440.0,3332.0,3428.0,13295135538,3878717,490,3277.0,3440.0
2012-08-25,3500.0,3599.0,3480.0,3556.0,15493774869,4357005,484,3428.0,3599.0
2012-08-26,3733.0,3733.0,3733.0,3733.0,48831373,13081,11,3556.0,3733.0
2012-08-27,3800.0,3919.0,3710.0,3895.0,85995473036,22080234,2090,3733.0,3919.0
2012-09-02,3947.0,4030.0,3895.0,3952.0,27425364295,6939316,932,3895.0,4010.0
2012-09-03,4000.0,4149.0,3980.0,4100.0,28164588998,6869825,902,3952.0,4149.0
2012-09-04,4250.0,4305.0,4200.0,4293.0,42820445540,9974052,776,4100.0,4305.0
2012-09-05,4350.0,4459.0,4190.0,4271.0,49513000186,11593188,1615,4293.0,4210.0
2012-09-08,4231.0,4338.0,4058.0,4166.0,20463546643,4911968,903,4271.0,4058.0
2012-09-09,4008.0,4010.0,3958.0,3980.0,7125603358,1790491,189,4166.0,3958.0
2012-09-10,3958.0,4139.0,3901.0,4014.0,31653704334,7885087,1261,3980.0,4020.0
2012-09-11,3961.0,4017.0,3850.0,3906.0,10171331178,2604355,609,4014.0,3852.0
2012-09-15,3950.0,4101.0,3853.0,4067.0,13966271160,3434231,421,3906.0,4101.0
2012-09-16,4158.0,4269.0,4070.0,4179.0,40525237027,9697967,953,4067.0,4160.0
2012-09-17,4261.0,4387.0,4201.0,4356.0,21144671076,4853815,595,4179.0,4387.0
2012-09-18,4573.0,4573.0,4521.0,4571.0,40799845201,8924931,538,4356.0,4560.0
2012-09-19,4500.0,4690.0,4343.0,4489.0,59431097023,13239707,1552,4571.0,4375.0
2012-09-22,4401.0,4580.0,4340.0,4438.0,30053056286,6771508,983,4489.0,4352.0
