date,open,high,low,adjClose,value,volume,count,close
2001-04-17,25400.0,25965.0,25400.0,25965.0,103470756,4029,6,25965.0
2001-04-18,25706.0,25990.0,25706.0,25706.0,207069214,7983,17,25706.0
2001-04-21,25449.0,25449.0,25449.0,25449.0,7634700,300,1,25449.0
2001-04-22,25195.0,25195.0,25195.0,25195.0,5039000,200,1,25195.0
2001-04-23,24566.0,24566.0,24566.0,24566.0,24566000,1000,2,24566.0
2001-04-24,23952.0,23952.0,23952.0,23952.0,23952000,1000,3,23952.0
2001-04-25,23713.0,23713.0,23713.0,23713.0,26084300,1100,5,23713.0
2001-04-28,23476.0,23476.0,23476.0,23476.0,23476000,1000,6,23476.0
2001-04-29,23242.0,23242.0,23242.0,23242.0,23242000,1000,8,23242.0
2001-04-30,23010.0,23010.0,23010.0,23010.0,23010000,1000,2,23010.0
2001-05-01,22780.0,22780.0,22780.0,22780.0,22780000,1000,3,22780.0
2001-05-02,22553.0,22553.0,22553.0,22553.0,22553000,1000,4,22553.0
2001-05-05,22328.0,22328.0,22328.0,22328.0,22328000,1000,3,22328.0
2001-05-06,22105.0,22105.0,22105.0,22105.0,57627735,2607,3,22105.0
2001-05-07,21884.0,21885.0,21884.0,21884.0,214245360,9790,35,21884.0
2001-05-08,22102.0,22102.0,22102.0,22102.0,27959030,1265,6,22102.0
2001-05-09,22323.0,22323.0,22323.0,22323.0,83354082,3734,6,22323.0
2001-05-13,22546.0,22546.0,22546.0,22546.0,23831122,1057,3,22546.0
2001-05-15,22771.0,22771.0,22771.0,22771.0,25048100,1100,4,22771.0
2001-05-16,22780.0,22998.0,22780.0,22998.0,119866774,5213,8,22998.0
2001-05-21,23227.0,23227.0,23227.0,23227.0,34817273,1499,6,23227.0
2001-05-23,23459.0,23459.0,23459.0,23459.0,28127341,1199,9,23459.0
2001-05-27,23693.0,23693.0,23693.0,23693.0,43263418,1826,10,23693.0
2001-05-29,23929.0,23929.0,23693.0,23700.0,758614635,31720,44,23700.0
