date,open,high,low,adjClose,value,volume,count,close
2001-03-28,19482.0,19491.0,19482.0,19491.0,40975286,2103,5,19491.0
2001-04-07,19491.0,19491.0,19491.0,19491.0,14423340,740,1,19491.0
2001-04-08,19497.0,19497.0,19492.0,19492.0,89671500,4600,9,19492.0
2001-04-10,19512.0,19520.0,19512.0,19520.0,40981200,2100,4,19520.0
2001-04-11,19701.0,19755.0,19701.0,19755.0,203377500,10300,5,19755.0
2001-04-15,19783.0,19783.0,19783.0,19783.0,28942529,1463,3,19783.0
2001-04-16,19784.0,19789.0,19784.0,19789.0,51441400,2600,2,19789.0
2001-04-17,19789.0,19789.0,19789.0,19789.0,7915600,400,1,19789.0
2001-04-22,19851.0,19851.0,19851.0,19851.0,6947850,350,1,19851.0
2001-04-23,20000.0,20049.0,20000.0,20049.0,16029400,800,4,20049.0
2001-05-01,20249.0,20249.0,20249.0,20249.0,20249000,1000,1,20249.0
2001-05-13,20451.0,20451.0,20451.0,20451.0,19285293,943,3,20451.0
2001-05-30,20655.0,20655.0,20655.0,20655.0,22720500,1100,6,20655.0
2001-07-04,21687.0,21687.0,21655.0,21655.0,60698000,2800,3,21655.0
2001-07-07,22737.0,22737.0,22737.0,22737.0,603394506,26538,23,22737.0
2001-07-08,23873.0,23873.0,23873.0,23873.0,102940376,4312,9,23873.0
2001-08-12,23000.0,25500.0,23000.0,25500.0,177778960,7288,16,25500.0
2001-08-13,25777.0,26137.0,25777.0,26137.0,160173200,6200,3,26137.0
2001-08-14,26790.0,26790.0,26790.0,26790.0,1184118000,44200,15,26790.0
2001-08-15,27459.0,27459.0,26800.0,27459.0,319508650,11815,8,27459.0
2001-08-19,27733.0,27733.0,27733.0,27733.0,38826200,1400,5,27733.0
2001-08-20,28010.0,28010.0,28010.0,28010.0,84030000,3000,3,28010.0
2001-08-27,28011.0,28012.0,28010.0,28010.0,25770400,920,7,28010.0
2001-08-28,28290.0,28290.0,28011.0,28290.0,56528100,2010,6,28290.0
