date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-26,5105.0,5105.0,5105.0,5105.0,265460,52,1,0.0,5105.0
2001-03-27,5107.0,5107.0,5107.0,5107.0,459630,90,1,5105.0,5107.0
2001-03-28,5150.0,5150.0,5150.0,5150.0,803400,156,1,5107.0,5150.0
2001-03-31,5153.0,5154.0,5152.0,5152.0,4065394,789,5,5150.0,5152.0
2001-04-03,5152.0,5152.0,5152.0,5152.0,298816,58,2,5152.0,5152.0
2001-04-08,5153.0,5160.0,5153.0,5160.0,2974902,577,6,5152.0,5160.0
2001-04-09,5160.0,5161.0,5160.0,5161.0,1073384,208,2,5160.0,5161.0
2001-04-10,5165.0,5165.0,5165.0,5165.0,4183650,810,2,5161.0,5165.0
2001-04-11,5165.0,5166.0,5162.0,5162.0,2055366,398,5,5165.0,5162.0
2001-04-14,5162.0,5162.0,5160.0,5161.0,4779254,926,5,5162.0,5161.0
2001-04-16,5140.0,5140.0,5140.0,5140.0,488300,95,1,5161.0,5140.0
2001-04-18,5100.0,5120.0,5100.0,5120.0,18548952,3627,16,5140.0,5120.0
2001-04-21,5100.0,5110.0,5100.0,5100.0,6224870,1220,8,5120.0,5100.0
2001-04-22,5101.0,5110.0,5101.0,5110.0,9068619,1776,8,5100.0,5110.0
2001-04-23,5099.0,5100.0,5099.0,5099.0,4160991,816,4,5110.0,5099.0
2001-04-24,5090.0,5098.0,5090.0,5098.0,45776300,8989,13,5099.0,5098.0
2001-04-25,5097.0,5100.0,5097.0,5100.0,12746307,2500,7,5098.0,5100.0
2001-04-28,5121.0,5121.0,5100.0,5111.0,24985356,4886,10,5100.0,5111.0
2001-04-29,5111.0,5160.0,5111.0,5160.0,8143890,1590,7,5111.0,5160.0
2001-04-30,5161.0,5161.0,5160.0,5160.0,12375188,2398,9,5160.0,5160.0
2001-05-01,5180.0,5186.0,5180.0,5186.0,1347736,260,2,5160.0,5186.0
2001-05-02,5201.0,5201.0,5190.0,5200.0,6574990,1266,5,5186.0,5200.0
2001-05-05,5206.0,5206.0,5205.0,5206.0,7016797,1348,5,5200.0,5206.0
2001-05-06,5212.0,5223.0,5210.0,5223.0,6975372,1338,7,5206.0,5223.0
2001-05-07,5224.0,5233.0,5223.0,5224.0,21207495,4056,13,5223.0,5224.0
2001-05-08,5280.0,5280.0,5224.0,5231.0,11432090,2183,12,5224.0,5231.0
2001-05-09,5235.0,5239.0,5234.0,5239.0,5792566,1106,4,5231.0,5239.0
2001-05-12,5241.0,5242.0,5241.0,5241.0,6227028,1188,4,5239.0,5241.0
2001-05-13,5270.0,5281.0,5270.0,5281.0,29721160,5630,8,5241.0,5281.0
2001-05-15,5283.0,5293.0,5283.0,5293.0,2474004,468,3,5281.0,5293.0
2001-05-16,5295.0,5301.0,5295.0,5301.0,8330676,1572,5,5293.0,5301.0
2001-05-19,5301.0,5305.0,5296.0,5302.0,20034296,3780,18,5301.0,5302.0
2001-05-20,5400.0,5400.0,5350.0,5350.0,15223850,2836,8,5302.0,5350.0
2001-05-21,5350.0,5350.0,5339.0,5350.0,12345304,2308,11,5350.0,5350.0
2001-05-23,5351.0,5352.0,5350.0,5352.0,14703758,2748,9,5350.0,5352.0
2001-05-27,5375.0,5375.0,5360.0,5360.0,22130600,4126,11,5352.0,5360.0
2001-05-28,5400.0,5454.0,5400.0,5454.0,8621666,1590,10,5360.0,5454.0
2001-05-29,5460.0,5478.0,5456.0,5478.0,10287477,1880,8,5454.0,5478.0
2001-05-30,5480.0,5483.0,5480.0,5483.0,10304748,1880,8,5478.0,5483.0
2001-06-02,5501.0,5700.0,5500.0,5700.0,16826836,2982,7,5483.0,5700.0
2001-06-03,5700.0,5703.0,5700.0,5703.0,5392902,946,5,5700.0,5703.0
2001-06-06,5705.0,5705.0,5703.0,5705.0,5464588,958,9,5703.0,5705.0
2001-06-09,5712.0,5721.0,5711.0,5720.0,3452286,604,6,5705.0,5720.0
2001-06-11,5720.0,5741.0,5720.0,5741.0,6122986,1068,6,5720.0,5741.0
2001-06-12,5741.0,5752.0,5741.0,5752.0,5769180,1004,8,5741.0,5752.0
2001-06-13,5754.0,5801.0,5754.0,5801.0,28310321,4901,10,5752.0,5801.0
2001-06-16,5810.0,5815.0,5750.0,5750.0,87275651,15053,17,5801.0,5750.0
2001-06-17,5739.0,5740.0,5700.0,5700.0,14269900,2500,5,5750.0,5700.0
2001-06-20,5550.0,5550.0,5498.0,5499.0,12149044,2200,14,5700.0,5499.0
2001-06-23,5497.0,5497.0,5450.0,5490.0,49682922,9101,21,5499.0,5490.0
2001-06-24,5489.0,5490.0,5489.0,5490.0,19519838,3556,11,5490.0,5490.0
2001-06-25,5496.0,5520.0,5490.0,5520.0,22628040,4110,10,5490.0,5520.0
2001-06-26,5531.0,5602.0,5520.0,5602.0,12028770,2164,12,5520.0,5602.0
2001-06-27,5609.0,5620.0,5604.0,5609.0,8482934,1513,10,5602.0,5609.0
2001-06-30,5611.0,5700.0,5611.0,5669.0,32954972,5809,23,5609.0,5669.0
2001-07-01,5669.0,5700.0,5669.0,5675.0,95333782,16765,15,5669.0,5675.0
2001-07-02,5674.0,5675.0,5673.0,5675.0,12176598,2146,14,5675.0,5675.0
2001-07-03,5677.0,5701.0,5677.0,5701.0,1364496,240,2,5675.0,5701.0
2001-07-04,5751.0,5760.0,5751.0,5754.0,8553659,1487,6,5701.0,5754.0
2001-07-07,5772.0,5772.0,5753.0,5754.0,118631682,20600,30,5754.0,5754.0
2001-07-08,5754.0,5754.0,5710.0,5742.0,7839922,1365,4,5754.0,5742.0
2001-07-29,5499.0,5710.0,5499.0,5701.0,142465228,25030,29,5742.0,5701.0
2001-07-30,5600.0,5601.0,5600.0,5600.0,21400600,3821,9,5701.0,5600.0
2001-07-31,5600.0,5600.0,5555.0,5555.0,8194715,1475,10,5600.0,5555.0
2001-08-01,5555.0,5555.0,5421.0,5421.0,39301200,7170,17,5555.0,5421.0
2001-08-04,5430.0,5450.0,5421.0,5450.0,17266368,3172,11,5421.0,5450.0
2001-08-05,5501.0,5504.0,5454.0,5504.0,4551030,829,11,5450.0,5504.0
2001-08-06,5700.0,5700.0,5508.0,5700.0,25977860,4603,13,5504.0,5700.0
2001-08-07,5750.0,5753.0,5750.0,5753.0,6326500,1100,3,5700.0,5753.0
2001-08-08,5900.0,5900.0,5754.0,5754.0,43660870,7515,21,5753.0,5754.0
2001-08-11,5754.0,5754.0,5753.0,5754.0,12641382,2197,6,5754.0,5754.0
2001-08-12,5750.0,5754.0,5700.0,5700.0,8560288,1494,6,5754.0,5700.0
2001-08-13,5711.0,5754.0,5698.0,5753.0,112657879,19704,34,5700.0,5753.0
2001-08-14,5753.0,5760.0,5753.0,5760.0,20525364,3564,19,5753.0,5760.0
2001-08-15,5772.0,5776.0,5760.0,5771.0,41232036,7145,24,5760.0,5771.0
2001-08-18,5771.0,5771.0,5770.0,5770.0,13850000,2400,7,5771.0,5770.0
2001-08-19,5782.0,5799.0,5782.0,5799.0,19634338,3387,6,5770.0,5799.0
2001-08-20,5813.0,5880.0,5813.0,5880.0,10811354,1854,6,5799.0,5880.0
2001-08-21,5904.0,6000.0,5904.0,6000.0,18275136,3056,6,5880.0,6000.0
2001-08-22,6020.0,6136.0,6020.0,6135.0,20733700,3390,8,6000.0,6135.0
2001-08-25,6199.0,6300.0,6199.0,6300.0,42585640,6860,10,6135.0,6300.0
2001-08-26,6303.0,6403.0,6303.0,6403.0,36293966,5674,13,6300.0,6403.0
2001-08-27,6402.0,6500.0,6400.0,6500.0,43327010,6757,13,6403.0,6500.0
2001-08-28,6500.0,6502.0,6500.0,6501.0,24395107,3753,6,6500.0,6501.0
2001-08-29,6500.0,6501.0,6495.0,6495.0,18526738,2851,14,6501.0,6495.0
2001-09-01,6417.0,6494.0,6401.0,6402.0,31245471,4856,7,6495.0,6402.0
2001-09-02,6402.0,6402.0,6400.0,6400.0,21685976,3388,5,6402.0,6400.0
2001-09-04,6300.0,6400.0,6298.0,6400.0,86056536,13568,31,6400.0,6400.0
2001-09-08,6367.0,6368.0,6367.0,6368.0,14385286,2259,8,6400.0,6368.0
2001-09-09,6295.0,6295.0,6101.0,6108.0,13162259,2121,9,6368.0,6108.0
2001-09-10,6100.0,6125.0,6100.0,6100.0,96624298,15818,33,6108.0,6100.0
2001-09-11,6100.0,6101.0,6100.0,6100.0,16696700,2737,15,6100.0,6100.0
2001-09-12,6100.0,6100.0,6100.0,6100.0,6100000,1000,1,6100.0,6100.0
2001-09-15,6070.0,6088.0,6000.0,6088.0,26217096,4354,17,6100.0,6088.0
2001-09-19,6024.0,6024.0,6024.0,6024.0,987936,164,1,6088.0,6024.0
2001-09-22,6007.0,6008.0,6007.0,6008.0,1243500,207,2,6024.0,6008.0
2001-09-23,5997.0,6008.0,5900.0,6008.0,37800158,6360,30,6008.0,6008.0
2001-09-25,5990.0,5990.0,5990.0,5990.0,13777000,2300,9,6008.0,5990.0
2001-09-29,5900.0,5900.0,5691.0,5691.0,17988802,3156,3,5990.0,5691.0
2001-09-30,5690.0,5691.0,5618.0,5690.0,23718540,4179,16,5691.0,5690.0
2001-10-02,5691.0,5691.0,5691.0,5691.0,853650,150,2,5690.0,5691.0
2001-10-03,5668.0,5691.0,5668.0,5691.0,38043364,6707,17,5691.0,5691.0
2001-10-06,5691.0,5731.0,5690.0,5731.0,17397568,3055,16,5691.0,5731.0
2001-10-07,5733.0,5900.0,5732.0,5900.0,75974844,12941,17,5731.0,5900.0
2001-10-08,5760.0,5771.0,5760.0,5771.0,7394740,1283,4,5900.0,5771.0
2001-10-09,5770.0,5770.0,5770.0,5770.0,1050140,182,2,5771.0,5770.0
2001-10-10,5700.0,5770.0,5700.0,5770.0,46449880,8130,20,5770.0,5770.0
2001-10-13,5769.0,5770.0,5769.0,5770.0,2913694,505,4,5770.0,5770.0
2001-10-14,5770.0,5771.0,5770.0,5771.0,6231703,1080,7,5770.0,5771.0
2001-10-16,5771.0,5772.0,5771.0,5771.0,4738043,821,3,5771.0,5771.0
2001-10-17,5771.0,5778.0,5771.0,5778.0,1420452,246,4,5771.0,5778.0
2001-10-20,5781.0,5810.0,5781.0,5810.0,2560948,442,4,5778.0,5810.0
2001-10-21,5810.0,5811.0,5810.0,5811.0,6414588,1104,4,5810.0,5811.0
2001-10-22,5866.0,5906.0,5866.0,5906.0,3006806,511,4,5811.0,5906.0
2001-10-23,5955.0,5955.0,5932.0,5952.0,1854369,312,3,5906.0,5952.0
2001-10-24,5966.0,6000.0,5966.0,6000.0,4892008,818,5,5952.0,6000.0
2001-10-27,6050.0,6095.0,6050.0,6095.0,22125768,3656,7,6000.0,6095.0
2001-10-28,6150.0,6150.0,6123.0,6150.0,23026338,3747,10,6095.0,6150.0
2001-10-29,6149.0,6150.0,6149.0,6150.0,2982280,485,2,6150.0,6150.0
2001-10-30,6140.0,6150.0,6140.0,6150.0,16135230,2624,15,6150.0,6150.0
2001-10-31,6199.0,6200.0,6150.0,6150.0,14717994,2381,10,6150.0,6150.0
2001-11-03,6150.0,6150.0,6150.0,6150.0,2970450,483,7,6150.0,6150.0
2001-11-04,6150.0,6151.0,6150.0,6151.0,3665556,596,7,6150.0,6151.0
2001-11-05,6153.0,6200.0,6153.0,6200.0,11391385,1840,13,6151.0,6200.0
2001-11-06,6249.0,6253.0,6240.0,6253.0,11866189,1900,6,6200.0,6253.0
2001-11-07,6267.0,6400.0,6267.0,6400.0,40067416,6295,17,6253.0,6400.0
2001-11-10,6400.0,6500.0,6400.0,6500.0,315364958,48583,20,6400.0,6500.0
2001-11-11,6500.0,6500.0,6500.0,6500.0,51714000,7956,9,6500.0,6500.0
2001-11-12,6500.0,6500.0,6400.0,6400.0,30448164,4715,14,6500.0,6400.0
2001-11-13,6350.0,6350.0,6300.0,6349.0,12424198,1958,6,6400.0,6349.0
2001-11-14,6300.0,6302.0,6300.0,6302.0,11265620,1788,16,6349.0,6302.0
2001-11-17,6254.0,6301.0,6254.0,6255.0,20397665,3250,6,6302.0,6255.0
2001-11-18,6255.0,6255.0,6255.0,6255.0,4597425,735,2,6255.0,6255.0
2001-11-19,6255.0,6340.0,6255.0,6340.0,109427050,17303,10,6255.0,6340.0
2001-11-21,6339.0,6339.0,6280.0,6280.0,6291092,1000,2,6340.0,6280.0
2001-11-25,6260.0,6350.0,6260.0,6275.0,379598017,59896,27,6280.0,6275.0
2001-11-26,6275.0,6275.0,6200.0,6200.0,30090416,4804,10,6275.0,6200.0
2001-12-01,6001.0,6001.0,6000.0,6000.0,24480111,4080,10,6200.0,6000.0
2001-12-02,5995.0,6200.0,5995.0,6200.0,1881964648,303647,13,6000.0,6200.0
2001-12-03,6199.0,6200.0,6199.0,6200.0,7619488,1229,6,6200.0,6200.0
2001-12-04,6230.0,6230.0,6230.0,6230.0,15176280,2436,3,6200.0,6230.0
2001-12-05,6230.0,6230.0,6200.0,6200.0,7064400,1137,3,6230.0,6200.0
2001-12-08,6228.0,6228.0,6200.0,6200.0,24875900,4011,10,6200.0,6200.0
2001-12-09,6200.0,6200.0,6200.0,6200.0,1171800,189,2,6200.0,6200.0
