date,open,high,low,adjClose,value,volume,count,close
2015-06-06,10000.0,10000.0,10000.0,10000.0,8196700000,819670,88,10000.0
2015-06-07,10000.0,10000.0,10000.0,10000.0,7562200000,756220,79,10000.0
2015-06-08,10000.0,10000.0,10000.0,10000.0,4802700000,480270,46,10000.0
2015-06-13,10000.0,10000.0,10000.0,10000.0,31400000,3140,2,10000.0
2015-06-14,10000.0,10000.0,10000.0,10000.0,8196100000,819610,84,10000.0
2015-06-15,10000.0,10000.0,10000.0,10000.0,43848300000,4384830,286,10000.0
2015-07-20,10140.0,10199.0,10093.0,10153.0,1319304700,129940,22,10119.0
2015-07-21,10177.0,10230.0,10177.0,10206.0,8743828800,856760,29,10230.0
2015-07-22,10200.0,10240.0,10185.0,10191.0,661400500,64900,5,10240.0
2015-07-25,10219.0,10219.0,10219.0,10219.0,132847000,13000,5,10219.0
2015-07-26,10263.0,10263.0,10210.0,10236.0,3524175310,344300,28,10240.0
2015-07-27,10247.0,10247.0,10200.0,10245.0,35571438700,3472100,79,10247.0
2015-07-29,10308.0,10308.0,10308.0,10308.0,11957280,1160,1,10308.0
2015-08-01,10307.0,10307.0,10307.0,10307.0,333534520,32360,3,10307.0
2015-08-02,10315.0,10315.0,10315.0,10315.0,56732500,5500,1,10315.0
2015-08-03,10323.0,10323.0,10323.0,10323.0,940425300,91100,14,10323.0
2015-08-04,10330.0,10330.0,10329.0,10329.0,49579600,4800,3,10330.0
2015-08-05,10335.0,10336.0,10335.0,10335.0,463732820,44870,4,10336.0
2015-08-08,10357.0,10357.0,10357.0,10357.0,139819500,13500,2,10357.0
2015-08-09,10364.0,10365.0,10363.0,10364.0,533639300,51490,11,10364.0
2015-08-10,10370.0,10372.0,10370.0,10371.0,1253885900,120900,9,10371.0
2015-08-12,10384.0,10386.0,10384.0,10384.0,522315800,50300,3,10384.0
2015-08-15,10404.0,10404.0,10404.0,10404.0,83232000,8000,2,10404.0
2015-08-16,10412.0,10413.0,10412.0,10412.0,928750800,89200,14,10412.0
2015-08-17,10419.0,10419.0,10418.0,10419.0,7600548610,729490,28,10419.0
2015-08-18,10426.0,10426.0,10425.0,10426.0,665277060,63810,6,10426.0
2015-08-19,10432.0,10433.0,10432.0,10433.0,651528400,62450,5,10432.0
2015-08-22,10448.0,10450.0,10448.0,10448.0,649255090,62140,10,10449.0
2015-08-23,10453.0,10455.0,10453.0,10454.0,281117530,26890,4,10455.0
2015-08-24,10457.0,10459.0,10457.0,10458.0,10326950590,987510,21,10459.0
2015-08-25,10466.0,10466.0,10464.0,10465.0,5668402700,541650,10,10464.0
