date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-10-19,7500.0,7581.0,7000.0,7415.0,3264542895,440220,537,0.0,7415.0
2004-10-20,7785.0,7785.0,7785.0,7785.0,465465150,59790,40,7415.0,7785.0
2004-10-25,8174.0,8174.0,7700.0,8129.0,1507786004,185474,208,7785.0,8129.0
2004-10-26,7950.0,8100.0,7723.0,8018.0,582637465,72659,98,8129.0,8018.0
2004-10-27,8074.0,8100.0,7901.0,8040.0,393440810,48932,87,8018.0,8040.0
2004-10-30,8200.0,8200.0,8100.0,8170.0,398046650,48715,64,8040.0,8170.0
2004-10-31,8001.0,8160.0,8000.0,8055.0,326020303,40474,46,8170.0,8055.0
2004-11-01,8007.0,8200.0,8007.0,8093.0,95880350,11807,22,8055.0,8093.0
2004-11-02,8199.0,8200.0,8189.0,8199.0,1312067551,160010,82,8093.0,8199.0
2004-11-03,8200.0,8200.0,8032.0,8190.0,153179700,18703,14,8199.0,8190.0
2004-11-06,8035.0,8199.0,8035.0,8180.0,14668995,1815,7,8190.0,8180.0
2004-11-07,8170.0,8179.0,8170.0,8179.0,4983845,610,3,8180.0,8179.0
2004-11-08,8159.0,8178.0,8159.0,8178.0,3019020,370,2,8179.0,8178.0
2004-11-09,8020.0,8166.0,7900.0,8166.0,7433860,938,4,8178.0,8166.0
2004-11-10,7800.0,8029.0,7800.0,8029.0,58293690,7473,8,8166.0,8029.0
2004-11-13,7730.0,7994.0,7628.0,7994.0,15437940,2010,3,8029.0,7994.0
2004-12-06,7595.0,7974.0,7595.0,7974.0,7674740,1010,2,7994.0,7974.0
2004-12-07,7576.0,7576.0,7576.0,7576.0,2543952616,335791,1,7974.0,7576.0
2004-12-12,7198.0,7387.0,7198.0,7387.0,72053870,10010,6,7576.0,7387.0
2004-12-13,7100.0,7262.0,7018.0,7262.0,48818906,6945,14,7387.0,7262.0
2004-12-15,7096.0,7256.0,7096.0,7256.0,5025568,708,2,7262.0,7256.0
2004-12-19,7000.0,7237.0,7000.0,7237.0,10292370,1470,5,7256.0,7237.0
2004-12-20,6999.0,7214.0,6999.0,7214.0,13370240,1910,3,7237.0,7214.0
2004-12-21,6854.0,7187.0,6854.0,7187.0,10352870,1510,2,7214.0,7187.0
2004-12-22,6828.0,7184.0,6828.0,7184.0,1061900,155,2,7187.0,7184.0
2004-12-25,6825.0,6825.0,6825.0,6825.0,136500000,20000,8,7184.0,6825.0
2004-12-26,6600.0,6700.0,6484.0,6507.0,414919170,63763,16,6825.0,6507.0
2004-12-27,6202.0,6832.0,6182.0,6664.0,16949356569,2671523,144,6507.0,6664.0
2004-12-28,6997.0,6997.0,6997.0,6997.0,542988191,77603,17,6664.0,6997.0
2004-12-29,7346.0,7346.0,7346.0,7346.0,359961346,49001,36,6997.0,7346.0
2005-01-01,7346.0,7346.0,7346.0,7346.0,80806000,11000,6,7346.0,7346.0
2005-01-02,6979.0,7299.0,6979.0,7299.0,26921896,3791,5,7346.0,7299.0
2005-01-03,6935.0,7117.0,6935.0,7117.0,69421170,10010,5,7299.0,7117.0
2005-01-04,6762.0,7106.0,6762.0,7106.0,4060640,600,2,7117.0,7106.0
2005-01-08,6751.0,7087.0,6751.0,7087.0,7213428,1068,2,7106.0,7087.0
2005-01-09,6733.0,6773.0,6733.0,6773.0,119342825,17725,11,7087.0,6773.0
2005-01-10,6435.0,6435.0,6435.0,6435.0,523982745,81427,39,6773.0,6435.0
2005-01-11,6437.0,6437.0,6251.0,6335.0,100480184,15922,15,6435.0,6335.0
2005-01-12,6430.0,6430.0,6082.0,6134.0,172758476,28160,18,6335.0,6134.0
2005-01-15,6243.0,6243.0,6134.0,6137.0,16921638,2746,4,6134.0,6137.0
2005-01-16,5996.0,6016.0,5831.0,6016.0,77742572,13058,14,6137.0,6016.0
2005-01-17,5990.0,5990.0,5830.0,5979.0,29745766,5067,8,6016.0,5979.0
2005-01-18,5925.0,5976.0,5900.0,5976.0,3944435,667,3,5979.0,5976.0
2005-01-19,5930.0,5968.0,5930.0,5968.0,26179447,4407,8,5976.0,5968.0
