date,open,high,low,adjClose,value,volume,count,close
2001-03-28,1365.0,1365.0,1365.0,1365.0,5683860,4164,1,1365.0
2001-04-17,1420.0,1420.0,1420.0,1420.0,2840000,2000,2,1420.0
2001-04-22,1455.0,1455.0,1455.0,1455.0,446685,307,1,1455.0
2001-04-28,1491.0,1491.0,1491.0,1491.0,670950,450,2,1491.0
2001-05-07,1528.0,1528.0,1528.0,1528.0,343800,225,1,1528.0
2001-05-09,1543.0,1543.0,1543.0,1543.0,347175,225,1,1543.0
2001-05-12,1543.0,1558.0,1543.0,1543.0,10807425,6975,6,1543.0
2001-05-15,1558.0,1558.0,1558.0,1558.0,85690000,55000,10,1558.0
2001-05-16,1558.0,1558.0,1558.0,1558.0,350550,225,1,1558.0
2001-05-19,1573.0,1573.0,1573.0,1573.0,1887600,1200,3,1573.0
2001-05-20,1588.0,1588.0,1588.0,1588.0,14668356,9237,8,1588.0
2001-05-23,1603.0,1603.0,1603.0,1603.0,8859781,5527,3,1603.0
2001-05-26,1619.0,1619.0,1619.0,1619.0,3966550,2450,4,1619.0
2001-05-27,1635.0,1635.0,1635.0,1635.0,817500,500,1,1635.0
2001-05-28,1651.0,1651.0,1651.0,1651.0,825500,500,1,1651.0
2001-05-29,1651.0,1651.0,1651.0,1651.0,1021969,619,6,1651.0
2001-06-02,1651.0,1651.0,1651.0,1651.0,371475,225,1,1651.0
2001-06-03,1667.0,1667.0,1651.0,1651.0,4054822,2450,4,1651.0
2001-06-12,1637.0,1637.0,1637.0,1637.0,8185000,5000,1,1637.0
2001-06-13,1621.0,1621.0,1621.0,1621.0,486300,300,1,1621.0
2001-10-24,1350.0,1350.0,1350.0,1350.0,1350000,1000,1,1350.0
2001-10-27,1350.0,1350.0,1350.0,1350.0,1080000,800,3,1350.0
2001-10-28,1351.0,1351.0,1350.0,1350.0,303896,225,2,1350.0
2001-10-29,1350.0,1350.0,1350.0,1350.0,5062500,3750,20,1350.0
2001-10-30,1360.0,1361.0,1360.0,1360.0,2070920,1522,8,1360.0
2001-10-31,1360.0,1361.0,1360.0,1360.0,6661920,4897,5,1360.0
2001-11-05,1361.0,1361.0,1361.0,1361.0,2722000,2000,2,1361.0
2001-11-06,1360.0,1361.0,1360.0,1361.0,1492920,1097,2,1361.0
2001-11-07,1362.0,1362.0,1361.0,1361.0,2800216,2056,4,1361.0
2001-11-10,1360.0,1361.0,1360.0,1361.0,4455162,3275,6,1361.0
2001-11-11,1293.0,1293.0,1293.0,1293.0,1293000,1000,1,1293.0
2001-11-12,1299.0,1299.0,1299.0,1299.0,292275,225,1,1299.0
2001-11-14,1299.0,1299.0,1299.0,1299.0,292275,225,1,1299.0
2001-11-18,1304.0,1306.0,1304.0,1306.0,620150,475,4,1306.0
2001-11-20,1330.0,1350.0,1330.0,1350.0,56199250,42225,7,1350.0
2001-11-21,1350.0,1360.0,1350.0,1360.0,3023750,2225,2,1360.0
2001-11-25,1360.0,1360.0,1360.0,1360.0,10336000,7600,7,1360.0
2001-11-26,1360.0,1360.0,1360.0,1360.0,68000,50,1,1360.0
2001-11-28,1315.0,1315.0,1315.0,1315.0,1315000,1000,1,1315.0
2001-12-01,1315.0,1315.0,1315.0,1315.0,295875,225,1,1315.0
2001-12-04,1360.0,1360.0,1360.0,1360.0,6732000,4950,1,1360.0
2001-12-10,1359.0,1359.0,1359.0,1359.0,8459775,6225,2,1359.0
2001-12-11,1360.0,1360.0,1360.0,1360.0,13600000,10000,3,1360.0
2001-12-12,1317.0,1360.0,1317.0,1360.0,2677000,2000,2,1360.0
2001-12-15,1360.0,1375.0,1360.0,1375.0,12323500,9000,5,1375.0
2001-12-17,1385.0,1385.0,1385.0,1385.0,1385000,1000,1,1385.0
2001-12-18,1371.0,1371.0,1371.0,1371.0,822600,600,2,1371.0
2001-12-19,1373.0,1373.0,1373.0,1373.0,1237622200,901400,2,1373.0
2001-12-25,1363.0,1363.0,1363.0,1363.0,817800,600,2,1363.0
2001-12-26,1366.0,1366.0,1366.0,1366.0,614700,450,2,1366.0
2001-12-29,1367.0,1367.0,1366.0,1366.0,615000,450,2,1366.0
2001-12-31,1367.0,1367.0,1367.0,1367.0,2153025,1575,3,1367.0
2002-01-02,1366.0,1366.0,1366.0,1366.0,5464000,4000,2,1366.0
2002-01-05,1367.0,1367.0,1367.0,1367.0,307575,225,1,1367.0
2002-01-16,1200.0,1200.0,1200.0,1200.0,601200,501,2,1200.0
2002-01-19,1201.0,1201.0,1201.0,1201.0,330275,275,1,1201.0
2002-01-22,1227.0,1227.0,1227.0,1227.0,276075,225,1,1227.0
2002-01-23,1257.0,1257.0,1257.0,1257.0,1257000,1000,1,1257.0
2002-01-26,1288.0,1288.0,1288.0,1288.0,1481200,1150,2,1288.0
2002-01-28,1320.0,1320.0,1320.0,1320.0,1320000,1000,1,1320.0
2002-01-29,1320.0,1353.0,1289.0,1289.0,77435850,58500,21,1289.0
2002-01-30,1320.0,1320.0,1320.0,1320.0,4257000,3225,3,1320.0
2002-02-02,1320.0,1321.0,1320.0,1321.0,8716921,6601,4,1321.0
2002-02-03,1321.0,1330.0,1321.0,1330.0,35105000,26500,7,1330.0
2002-02-04,1340.0,1350.0,1340.0,1341.0,7380500,5500,3,1341.0
2002-02-05,1342.0,1342.0,1341.0,1341.0,14757000,11000,5,1341.0
