date,open,high,low,adjClose,value,volume,count,close
2002-02-16,7020.0,7020.0,7000.0,7000.0,2240550000,320000,248,7000.0
2002-02-17,7346.0,7350.0,7100.0,7100.0,245729670,33735,30,7100.0
2002-02-18,7101.0,7203.0,7100.0,7203.0,156506270,22000,162,7203.0
2002-02-19,7250.0,7300.0,7206.0,7300.0,143563835,19757,21,7300.0
2002-02-20,7200.0,7250.0,7200.0,7200.0,83045250,11510,15,7200.0
2002-02-24,7200.0,7200.0,7198.0,7199.0,178238390,24760,196,7199.0
2002-02-25,7169.0,7192.0,7160.0,7160.0,157932250,22000,189,7160.0
2002-02-26,7135.0,7136.0,7100.0,7100.0,93016750,13050,103,7100.0
2002-03-02,7098.0,7098.0,7070.0,7070.0,17731000,2500,2,7070.0
2002-03-04,7080.0,7080.0,7000.0,7074.0,187196310,26500,232,7074.0
2002-03-17,6992.0,7050.0,6721.0,7050.0,111922466,16000,20,7050.0
2002-03-18,7048.0,7049.0,7045.0,7045.0,88019258,12488,21,7045.0
2002-04-06,7000.0,7000.0,7000.0,7000.0,5250000,750,6,7000.0
2002-04-07,7000.0,7050.0,7000.0,7050.0,129946078,18500,23,7050.0
2002-04-09,7000.0,7000.0,7000.0,7000.0,12845000,1835,3,7000.0
2002-04-10,6999.0,7000.0,6999.0,7000.0,32198850,4600,5,7000.0
2002-04-13,6999.0,6999.0,6999.0,6999.0,699900,100,1,6999.0
2002-04-21,6965.0,7000.0,6965.0,7000.0,230740620,33000,31,7000.0
2002-04-22,6999.0,7050.0,6999.0,7050.0,132935896,18922,21,7050.0
2002-04-23,7058.0,7058.0,7052.0,7056.0,128380835,18197,16,7056.0
2002-04-24,7100.0,7100.0,7100.0,7100.0,8520000,1200,3,7100.0
2002-04-27,7200.0,7200.0,7200.0,7200.0,7200000,1000,1,7200.0
2002-04-29,7560.0,7560.0,7560.0,7560.0,15120000,2000,3,7560.0
2002-04-30,7938.0,7938.0,7938.0,7938.0,37387980,4710,5,7938.0
2002-05-01,8000.0,8000.0,7939.0,8000.0,131007763,16413,20,8000.0
2002-05-04,8001.0,8001.0,7950.0,8000.0,94655125,11852,12,8000.0
2002-05-05,8000.0,8002.0,8000.0,8000.0,142413400,17800,17,8000.0
2002-05-20,9000.0,9004.0,9000.0,9004.0,54012000,6000,4,9004.0
2002-05-21,9009.0,9200.0,9009.0,9200.0,23291300,2550,6,9200.0
2002-05-22,9250.0,9250.0,9100.0,9100.0,16977500,1850,2,9100.0
2002-05-25,9104.0,9107.0,9100.0,9103.0,182519000,20050,11,9103.0
2002-05-26,9200.0,9558.0,9200.0,9558.0,151638000,16000,13,9558.0
2002-05-27,10035.0,10035.0,10035.0,10035.0,10035000,1000,1,10035.0
2002-05-28,10536.0,10536.0,10035.0,10100.0,118939162,11843,13,10100.0
2002-05-29,10100.0,10101.0,10099.0,10099.0,94132500,9320,8,10099.0
2002-06-01,10100.0,10252.0,10100.0,10252.0,33987000,3350,8,10252.0
2002-06-25,10252.0,10252.0,9001.0,9001.0,5650800,600,4,9001.0
2002-06-26,9451.0,9451.0,9451.0,9451.0,13231400,1400,2,9451.0
2002-07-01,9923.0,9923.0,9923.0,9923.0,15876800,1600,6,9923.0
2002-07-02,10419.0,10419.0,10419.0,10419.0,15628500,1500,3,10419.0
2002-07-03,10939.0,10939.0,10939.0,10939.0,10939000,1000,1,10939.0
2002-07-06,11485.0,11485.0,11485.0,11485.0,22970000,2000,6,11485.0
2002-07-07,11485.0,11485.0,11485.0,11485.0,2297000,200,1,11485.0
2002-07-08,11479.0,11480.0,11478.0,11480.0,264544755,23045,17,11480.0
2002-07-09,11473.0,11473.0,11473.0,11473.0,9924145,865,1,11473.0
2002-07-10,11400.0,11400.0,11200.0,11200.0,13631799,1207,3,11200.0
2002-07-13,11200.0,11200.0,11200.0,11200.0,11200000,1000,1,11200.0
2002-07-14,11098.0,11200.0,11098.0,11200.0,120136222,10739,13,11200.0
2002-07-15,11200.0,11200.0,11200.0,11200.0,7280000,650,2,11200.0
2002-07-16,11198.0,11200.0,11198.0,11200.0,20987500,1874,4,11200.0
2002-07-17,11200.0,11250.0,11200.0,11202.0,38937950,3475,10,11202.0
2002-07-21,11201.0,11201.0,11201.0,11201.0,1120100,100,1,11201.0
2002-07-23,11110.0,11457.0,11110.0,11457.0,59407980,5290,29,11457.0
2002-07-27,11300.0,11300.0,11300.0,11300.0,11300000,1000,1,11300.0
2002-07-28,11300.0,11300.0,11300.0,11300.0,1130000,100,1,11300.0
2002-07-29,11294.0,11294.0,11294.0,11294.0,4517600,400,4,11294.0
2002-09-18,11100.0,11100.0,11100.0,11100.0,13320000,1200,2,11100.0
2002-09-23,11065.0,11065.0,11065.0,11065.0,3319500,300,2,11065.0
2002-10-20,10512.0,10512.0,10512.0,10512.0,5256000,500,4,10512.0
2002-10-21,9987.0,9987.0,9987.0,9987.0,8988300,900,5,9987.0
2002-10-29,9931.0,9931.0,9931.0,9931.0,993100,100,1,9931.0
2002-10-30,9899.0,9899.0,9899.0,9899.0,9899000,1000,1,9899.0
2002-11-03,9405.0,9405.0,9405.0,9405.0,47025000,5000,8,9405.0
2002-11-06,8950.0,8950.0,8950.0,8950.0,13425000,1500,7,8950.0
2002-11-10,8510.0,8510.0,8510.0,8510.0,23232300,2730,3,8510.0
2002-11-11,8510.0,8510.0,8510.0,8510.0,29427580,3458,3,8510.0
2002-11-12,8510.0,8510.0,8510.0,8510.0,1702000,200,2,8510.0
2002-11-16,8510.0,8510.0,8510.0,8510.0,1702000,200,3,8510.0
2002-11-18,8510.0,8510.0,8510.0,8510.0,15871150,1865,3,8510.0
2002-11-19,8510.0,8510.0,8510.0,8510.0,851000,100,1,8510.0
2002-11-23,8510.0,8510.0,8510.0,8510.0,8816360,1036,2,8510.0
2002-11-24,8510.0,8510.0,8510.0,8510.0,851000,100,1,8510.0
2002-11-26,8512.0,8512.0,8512.0,8512.0,11610368,1364,4,8512.0
2002-11-30,8450.0,8450.0,8450.0,8450.0,8450000,1000,1,8450.0
2002-12-09,8396.0,8396.0,8396.0,8396.0,1679200,200,1,8396.0
2002-12-22,8000.0,8000.0,8000.0,8000.0,16000000,2000,1,8000.0
2002-12-23,8000.0,8000.0,8000.0,8000.0,1600000,200,1,8000.0
2003-01-04,7900.0,7900.0,7850.0,7850.0,15705000,2000,7,7850.0
2003-01-05,7600.0,7600.0,7600.0,7600.0,7600000,1000,1,7600.0
2003-01-11,7500.0,7500.0,7499.0,7499.0,7499500,1000,2,7499.0
2003-01-13,7350.0,7350.0,7350.0,7350.0,44761500,6090,4,7350.0
2003-02-05,7350.0,7350.0,7350.0,7350.0,22050000,3000,1,7350.0
2003-02-10,7350.0,7350.0,7350.0,7350.0,25725000,3500,3,7350.0
2003-02-17,7350.0,7350.0,7350.0,7350.0,8349600,1136,1,7350.0
2003-02-18,7350.0,7350.0,7350.0,7350.0,78461250,10675,2,7350.0
2003-02-22,7350.0,7350.0,7350.0,7350.0,1470000,200,1,7350.0
2003-04-08,7649.0,11000.0,7649.0,11000.0,37158300,3500,6,11000.0
2003-04-12,10450.0,11000.0,10450.0,11000.0,70950000,6700,6,11000.0
2003-04-13,11000.0,11000.0,11000.0,11000.0,11000000,1000,1,11000.0
2003-04-14,11000.0,11000.0,11000.0,11000.0,49225000,4475,3,11000.0
2003-04-26,10983.0,10983.0,10983.0,10983.0,19769400,1800,8,10983.0
2003-04-27,10981.0,10982.0,10981.0,10982.0,99216776,9035,10,10982.0
2003-04-28,10975.0,10976.0,10975.0,10976.0,98779000,9000,8,10976.0
2003-04-29,10936.0,10978.0,10898.0,10978.0,494620800,45300,32,10978.0
2003-04-30,10978.0,10978.0,10978.0,10978.0,29640600,2700,4,10978.0
2003-05-03,10980.0,11150.0,10980.0,11150.0,49949400,4520,6,11150.0
2003-05-04,11200.0,11200.0,11200.0,11200.0,11200000,1000,1,11200.0
2003-05-07,11250.0,11250.0,11250.0,11250.0,5625000,500,2,11250.0
2003-05-11,11812.0,11812.0,11812.0,11812.0,14174400,1200,2,11812.0
2003-05-12,12402.0,12402.0,12402.0,12402.0,92556126,7463,1,12402.0
2003-05-18,12402.0,25000.0,12402.0,12402.0,70456075893,2818874,40,12402.0
2003-05-20,12402.0,12402.0,12402.0,12402.0,2480400,200,2,12402.0
2003-05-25,12402.0,12402.0,12402.0,12402.0,3720600,300,2,12402.0
2003-05-27,12402.0,12402.0,12402.0,12402.0,105417000,8500,1,12402.0
2003-05-28,12402.0,12402.0,12402.0,12402.0,12277980,990,1,12402.0
2003-05-31,13021.0,13022.0,13021.0,13022.0,27188848,2088,3,13022.0
2004-02-23,1300.0,1300.0,1300.0,1300.0,130000,100,1,1300.0
2004-03-10,1365.0,1365.0,1365.0,1365.0,27300000,20000,8,1365.0
2004-03-13,1433.0,1433.0,1433.0,1433.0,28660000,20000,6,1433.0
2004-03-14,1504.0,1504.0,1504.0,1504.0,30080000,20000,5,1504.0
2004-03-16,1579.0,1579.0,1579.0,1579.0,31895800,20200,4,1579.0
2004-03-17,1657.0,1657.0,1587.0,1587.0,3313930,2000,2,1587.0
2004-04-03,1666.0,1666.0,1666.0,1666.0,333200000,200000,53,1666.0
2004-04-04,1749.0,1749.0,1749.0,1749.0,710407071,406179,60,1749.0
2004-04-10,1836.0,1836.0,1750.0,1750.0,944680,515,2,1750.0
2004-04-14,1837.0,1837.0,1786.0,1786.0,18387860,10010,3,1786.0
2004-04-18,1875.0,1875.0,1803.0,1803.0,8643030,4610,3,1803.0
2004-04-24,1893.0,1893.0,1805.0,1805.0,1299611,687,2,1805.0
2004-04-26,1895.0,1895.0,1813.0,1813.0,4424005,2335,4,1813.0
2004-04-27,1903.0,1903.0,1850.0,1850.0,19048500,10010,6,1850.0
2004-05-10,2000.0,2650.0,1903.0,2342.0,52744270,22518,8,2342.0
2004-05-11,2340.0,2459.0,2301.0,2377.0,136484403,57397,21,2377.0
2004-05-12,2495.0,2495.0,2384.0,2384.0,3766340,1510,3,2384.0
2004-05-15,2503.0,2503.0,2432.0,2432.0,24553720,9810,10,2432.0
2004-05-16,2553.0,2553.0,2450.0,2532.0,76727478,30296,18,2532.0
2004-05-17,2658.0,2658.0,2578.0,2578.0,23341756,8782,9,2578.0
2004-05-18,2661.0,2661.0,2579.0,2579.0,1356290,510,2,2579.0
2004-05-19,2707.0,2707.0,2600.0,2600.0,10854000,4010,5,2600.0
2004-05-22,2730.0,2730.0,2604.0,2604.0,2223690,815,3,2604.0
2004-05-23,2734.0,2734.0,2628.0,2628.0,12465980,4560,7,2628.0
2004-05-24,2759.0,2759.0,2707.0,2746.0,61770544,22418,15,2746.0
2004-05-25,2746.0,2746.0,2746.0,2746.0,6980332,2542,5,2746.0
2004-05-26,2883.0,2883.0,2750.0,2750.0,2307953,801,4,2750.0
2004-05-29,2754.0,2757.0,2750.0,2750.0,30718654,11164,10,2750.0
2004-05-30,2752.0,2757.0,2650.0,2744.0,98728224,35970,12,2744.0
2004-05-31,2607.0,2739.0,2607.0,2739.0,1914858,734,2,2739.0
2004-06-01,2650.0,2701.0,2650.0,2701.0,26527010,10010,4,2701.0
2004-06-08,2566.0,2740.0,2566.0,2585.0,106969375,41377,15,2585.0
2004-06-12,2456.0,2578.0,2456.0,2578.0,3002452,1222,2,2578.0
2004-06-14,2450.0,2583.0,2450.0,2533.0,24078130,9750,7,2533.0
2004-06-15,2570.0,2583.0,2555.0,2555.0,30575907,11856,9,2555.0
2004-06-16,2554.0,2555.0,2554.0,2554.0,73582740,28810,5,2554.0
2004-06-19,2550.0,2600.0,2550.0,2563.0,18657380,7216,3,2563.0
2004-06-20,2435.0,2552.0,2435.0,2552.0,4988050,2048,2,2552.0
2004-06-22,2500.0,2552.0,2500.0,2540.0,20136200,7994,4,2540.0
2004-06-23,2540.0,2550.0,2540.0,2543.0,20647830,8098,3,2543.0
2004-06-27,2543.0,2543.0,2543.0,2543.0,13198170,5190,3,2543.0
2004-07-04,2500.0,2500.0,2500.0,2500.0,14372500,5749,2,2500.0
2004-07-06,2500.0,2500.0,2500.0,2500.0,17375000,6950,2,2500.0
2004-07-07,2501.0,2501.0,2500.0,2500.0,16008891,6401,6,2500.0
2004-07-10,2500.0,2500.0,2500.0,2500.0,2545000,1018,1,2500.0
2004-07-11,2500.0,2500.0,2500.0,2500.0,2535000,1014,1,2500.0
2004-07-12,2500.0,2500.0,2500.0,2500.0,12785000,5114,6,2500.0
2004-07-13,2500.0,2500.0,2500.0,2500.0,10925000,4370,2,2500.0
2004-07-14,2500.0,2500.0,2500.0,2500.0,250000,100,1,2500.0
2004-07-18,2499.0,2500.0,2499.0,2499.0,6469665,2588,6,2499.0
2004-07-20,2499.0,2500.0,2499.0,2499.0,12819369,5128,3,2499.0
2004-07-25,2495.0,2500.0,2495.0,2498.0,30615980,12255,5,2498.0
2004-07-26,2500.0,2500.0,2498.0,2498.0,1654980,662,2,2498.0
2004-07-28,2502.0,2502.0,2502.0,2502.0,78062400,31200,5,2502.0
2004-08-01,2503.0,2505.0,2502.0,2502.0,22455631,8967,6,2502.0
