date,open,high,low,adjClose,value,volume,count,close
2017-01-04,1301.0,1301.0,1301.0,1301.0,17186818868,13210468,1370,1301.0
2017-01-07,1366.0,1366.0,1366.0,1366.0,24796284948,18152478,3637,1366.0
2017-01-08,1400.0,1434.0,1382.0,1426.0,35668169732,25015799,5404,1434.0
2017-01-09,1426.0,1497.0,1426.0,1487.0,23851502033,16040851,3947,1497.0
2017-01-11,1527.0,1561.0,1517.0,1559.0,37171490165,23839595,4979,1561.0
2017-01-14,1613.0,1636.0,1601.0,1633.0,37243676267,22800231,5081,1636.0
2017-01-15,1680.0,1689.0,1560.0,1632.0,22530901923,13805996,3713,1640.0
2017-01-16,1637.0,1690.0,1599.0,1637.0,16020816357,9787173,2828,1638.0
2017-01-17,1650.0,1700.0,1639.0,1672.0,21204124083,12681031,3559,1700.0
2017-01-18,1755.0,1755.0,1731.0,1755.0,8780367360,5003072,986,1755.0
2017-01-21,1842.0,1842.0,1780.0,1835.0,74532340164,40612143,9044,1800.0
2017-01-22,1795.0,1869.0,1775.0,1813.0,21897987295,12077181,3052,1777.0
2017-01-23,1783.0,1829.0,1723.0,1739.0,27565263469,15849581,4397,1723.0
2017-01-24,1713.0,1790.0,1662.0,1714.0,20165297717,11768407,3545,1746.0
2017-01-25,1771.0,1799.0,1750.0,1785.0,14447276461,8092503,2175,1750.0
2017-01-28,1765.0,1810.0,1721.0,1752.0,10452866874,5965075,1817,1726.0
2017-01-29,1754.0,1754.0,1665.0,1681.0,19032850166,11323600,2842,1710.0
2017-01-30,1700.0,1765.0,1691.0,1760.0,9860462924,5601261,1400,1765.0
2017-01-31,1800.0,1800.0,1696.0,1738.0,11035703571,6348908,1655,1717.0
2017-02-01,1747.0,1811.0,1690.0,1745.0,25544626273,14636298,4250,1716.0
2017-02-04,1671.0,1700.0,1658.0,1662.0,5334524404,3210235,745,1658.0
2017-02-05,1621.0,1648.0,1579.0,1591.0,11098187879,6977027,1870,1629.0
2017-02-06,1645.0,1645.0,1550.0,1573.0,5787052580,3678789,1150,1600.0
2017-02-07,1600.0,1619.0,1500.0,1534.0,14584394639,9507843,2969,1520.0
2017-02-08,1537.0,1595.0,1523.0,1561.0,6761246967,4332607,758,1523.0
2017-02-11,1531.0,1560.0,1497.0,1517.0,7911542530,5214520,705,1509.0
2017-02-12,1510.0,1569.0,1487.0,1544.0,5207280982,3372838,506,1560.0
2017-02-13,1570.0,1570.0,1515.0,1530.0,2249681429,1469957,262,1530.0
2017-02-14,1554.0,1569.0,1500.0,1533.0,6025104966,3931197,434,1520.0
2017-02-15,1542.0,1548.0,1492.0,1506.0,10284082279,6828129,745,1494.0
2017-02-18,1501.0,1552.0,1493.0,1515.0,9238079153,6098196,742,1503.0
2017-02-19,1538.0,1540.0,1500.0,1527.0,4352965505,2850700,511,1537.0
2017-02-20,1539.0,1603.0,1532.0,1595.0,12486815645,7828841,944,1603.0
2017-02-21,1674.0,1674.0,1660.0,1674.0,14602196246,8724424,586,1674.0
2017-02-22,1690.0,1730.0,1623.0,1665.0,15627627059,9385596,1381,1628.0
2017-02-25,1630.0,1646.0,1582.0,1592.0,11091908220,6965774,832,1582.0
2017-02-26,1556.0,1618.0,1547.0,1565.0,8821373003,5637077,628,1550.0
2017-02-27,1588.0,1629.0,1550.0,1578.0,6194256350,3924713,504,1552.0
2017-02-28,1589.0,1589.0,1522.0,1540.0,5501098547,3571307,511,1524.0
2017-03-01,1530.0,1580.0,1520.0,1545.0,3582348518,2318472,275,1545.0
2017-03-04,1549.0,1622.0,1527.0,1590.0,11075319281,6963458,736,1580.0
2017-03-05,1553.0,1590.0,1530.0,1554.0,4405923441,2835237,352,1535.0
2017-03-06,1556.0,1580.0,1525.0,1540.0,5451448262,3539199,359,1525.0
2017-03-07,1537.0,1570.0,1512.0,1527.0,3788558104,2481413,301,1521.0
2017-03-08,1521.0,1549.0,1505.0,1520.0,2926802400,1926074,214,1525.0
2017-03-11,1511.0,1539.0,1505.0,1517.0,3495190280,2304212,271,1515.0
2017-03-12,1514.0,1558.0,1502.0,1521.0,4108525373,2700473,349,1515.0
2017-03-13,1515.0,1542.0,1501.0,1515.0,5249748337,3464202,394,1509.0
2017-03-14,1510.0,1548.0,1508.0,1517.0,4266223670,2812796,327,1520.0
2017-03-15,1530.0,1546.0,1505.0,1521.0,3059798285,2011342,267,1510.0
2017-03-18,1540.0,1540.0,1503.0,1515.0,4372960541,2886550,360,1519.0
2017-03-25,1520.0,1559.0,1511.0,1542.0,1636354287,1061058,172,1550.0
2017-03-26,1555.0,1581.0,1540.0,1567.0,3376267767,2154581,339,1570.0
2017-03-27,1575.0,1593.0,1556.0,1575.0,3180720442,2019867,369,1556.0
2017-03-28,1570.0,1594.0,1552.0,1571.0,3941872832,2508443,428,1572.0
2017-03-29,1573.0,1588.0,1537.0,1553.0,3001382305,1932233,306,1544.0
2017-04-03,1569.0,1569.0,1540.0,1554.0,2571772647,1655093,254,1549.0
2017-04-04,1552.0,1580.0,1535.0,1552.0,4387790117,2827643,392,1547.0
2017-04-05,1547.0,1563.0,1530.0,1543.0,7637348544,4950809,557,1558.0
2017-04-08,1551.0,1620.0,1550.0,1600.0,4800736074,3001191,313,1620.0
2017-04-09,1680.0,1680.0,1680.0,1680.0,517673520,308139,47,1680.0
2017-04-10,1764.0,1764.0,1709.0,1759.0,27869396455,15844470,1006,1749.0
2017-04-12,1747.0,1837.0,1700.0,1783.0,34811128866,19523269,2020,1810.0
2017-04-15,1857.0,1872.0,1842.0,1870.0,36067084164,19287121,1383,1859.0
2017-04-16,1889.0,1959.0,1815.0,1871.0,15990993347,8546097,992,1824.0
2017-04-17,1814.0,1820.0,1778.0,1785.0,7997782661,4479753,473,1778.0
2017-04-18,1759.0,1770.0,1700.0,1734.0,13004364171,7500761,903,1732.0
2017-04-19,1755.0,1819.0,1740.0,1782.0,10783355980,6050888,728,1753.0
2017-04-22,1803.0,1843.0,1760.0,1797.0,10685324741,5947427,634,1780.0
2017-04-23,1762.0,1820.0,1716.0,1742.0,10737666325,6162928,740,1726.0
2017-04-24,1713.0,1760.0,1681.0,1723.0,6728396627,3904855,481,1720.0
2017-04-26,1749.0,1809.0,1720.0,1795.0,13669841643,7614953,811,1783.0
2017-04-29,1819.0,1837.0,1740.0,1781.0,5591515806,3139599,384,1742.0
2017-04-30,1786.0,1805.0,1720.0,1750.0,5926402536,3387270,391,1770.0
2017-05-01,1766.0,1822.0,1730.0,1794.0,7490493795,4174886,583,1800.0
2017-05-02,1815.0,1825.0,1790.0,1808.0,4798511149,2654430,346,1790.0
2017-05-03,1811.0,1812.0,1754.0,1778.0,5379735689,3025079,441,1780.0
2017-05-06,1789.0,1789.0,1730.0,1747.0,8863975370,5073720,578,1730.0
2017-05-07,1794.0,1834.0,1790.0,1830.0,41832620255,22853720,1555,1834.0
2017-05-08,1900.0,1921.0,1850.0,1910.0,39342738481,20600706,1721,1862.0
2017-05-09,1874.0,1880.0,1815.0,1822.0,19185352333,10531797,1001,1815.0
2017-05-10,1826.0,1860.0,1802.0,1820.0,5131689724,2819079,343,1827.0
2017-05-13,1858.0,1858.0,1803.0,1825.0,11725156974,6423488,509,1803.0
2017-05-14,1810.0,1835.0,1777.0,1796.0,9395796978,5230360,495,1800.0
2017-05-15,1801.0,1820.0,1797.0,1804.0,3601007949,1996363,277,1820.0
2017-05-16,1849.0,1894.0,1815.0,1873.0,8750780029,4672915,538,1894.0
2017-05-17,1966.0,1966.0,1966.0,1966.0,3487786232,1774052,143,1966.0
2017-05-22,2064.0,2064.0,2064.0,2064.0,110428128,53502,21,2064.0
2017-05-23,2167.0,2167.0,2167.0,2167.0,12358550523,5703069,322,2167.0
2017-05-24,2191.0,2275.0,2168.0,2242.0,115597419753,51568407,3494,2275.0
