date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-30,5000.0,5000.0,5000.0,5000.0,2500000,500,1,1000.0,5000.0
2013-12-22,8000.0,8000.0,8000.0,8000.0,3200000,400,2,5000.0,8000.0
2013-12-25,9200.0,9200.0,9200.0,9200.0,4158400,452,1,8000.0,9200.0
2014-01-01,9500.0,9500.0,9500.0,9500.0,68599500,7221,4,9200.0,9500.0
2014-01-18,21000.0,24000.0,21000.0,22770.0,204812100,8995,5,9500.0,24000.0
2014-01-29,21500.0,30000.0,21500.0,22759.0,15362500,675,2,22770.0,30000.0
2014-02-03,23000.0,23000.0,23000.0,23000.0,23000000,1000,1,22759.0,23000.0
2014-02-12,20210.0,23000.0,20210.0,22996.0,46060630,2003,2,23000.0,23000.0
2014-02-17,23000.0,23000.0,23000.0,23000.0,989000,43,1,22996.0,23000.0
2014-02-23,20500.0,22500.0,20500.0,20874.0,15509500,743,3,23000.0,22500.0
2014-02-24,20001.0,20001.0,20001.0,20001.0,10900545,545,2,20874.0,20001.0
2014-03-02,20000.0,21000.0,20000.0,20543.0,13476000,656,2,20001.0,21000.0
2014-03-04,20000.0,20003.0,20000.0,20001.0,26000901,1300,4,20543.0,20001.0
2014-03-10,18110.0,20001.0,18100.0,19518.0,42314537,2168,4,20001.0,20001.0
2014-03-12,20000.0,20000.0,20000.0,20000.0,12000000,600,2,19518.0,20000.0
2014-03-17,19000.0,22480.0,19000.0,20282.0,66078000,3258,3,20000.0,22480.0
2014-03-30,18110.0,18110.0,18110.0,18110.0,10884110,601,1,20282.0,18110.0
2014-03-31,22000.0,22000.0,22000.0,22000.0,36322000,1651,2,18110.0,22000.0
2014-04-08,20000.0,20000.0,20000.0,20000.0,30480000,1524,2,22000.0,20000.0
2014-04-09,20000.0,20000.0,19001.0,19500.0,19500500,1000,2,20000.0,19001.0
2014-04-16,18000.0,18000.0,18000.0,18000.0,2898000,161,1,19500.0,18000.0
2014-04-19,19500.0,19500.0,19000.0,19200.0,30374600,1582,3,18000.0,19000.0
2014-04-20,19500.0,19500.0,19500.0,19500.0,16594500,851,4,19200.0,19500.0
2014-04-21,20000.0,20000.0,19120.0,19393.0,43828960,2260,4,19500.0,19120.0
2014-04-27,20000.0,20000.0,20000.0,20000.0,6000000,300,1,19393.0,20000.0
2014-04-28,22300.0,23000.0,22300.0,22885.0,84216102,3680,5,20000.0,23000.0
2014-04-30,22300.0,22300.0,22300.0,22300.0,92968700,4169,5,22885.0,22300.0
2014-05-03,22300.0,22300.0,22300.0,22300.0,49439100,2217,1,22300.0,22300.0
2014-05-04,20001.0,22300.0,20001.0,21604.0,15490217,717,2,22300.0,22300.0
2014-05-05,22300.0,22300.0,22000.0,22190.0,89513000,4034,3,21604.0,22000.0
2014-05-06,22800.0,22800.0,22000.0,22379.0,425200,19,2,22190.0,22000.0
2014-05-12,23000.0,23000.0,22000.0,22609.0,150848000,6672,3,22379.0,22000.0
2014-05-18,21000.0,21000.0,21000.0,21000.0,3633000,173,6,22609.0,21000.0
2014-05-19,21000.0,21000.0,20110.0,20983.0,107011200,5100,3,21000.0,20120.0
