date,open,high,low,adjClose,value,volume,count,close
2014-03-15,4200.0,4200.0,4200.0,4200.0,29396976000,6999280,16767,4200.0
2014-03-16,4410.0,4410.0,4410.0,4410.0,39729690,9009,39,4410.0
2014-03-17,4630.0,4630.0,4630.0,4630.0,40429160,8732,40,4630.0
2014-03-18,4861.0,4861.0,4861.0,4861.0,87084815,17915,74,4861.0
2014-03-19,5104.0,5104.0,5104.0,5104.0,468986144,91886,409,5104.0
2014-03-25,5359.0,5359.0,5359.0,5359.0,418629003,78117,200,5359.0
2014-03-26,5626.0,5626.0,5626.0,5626.0,487346624,86624,307,5626.0
2014-03-29,5907.0,5907.0,5907.0,5907.0,325965981,55183,251,5907.0
2014-03-30,6202.0,6202.0,6202.0,6202.0,175442176,28288,134,6202.0
2014-03-31,6512.0,6512.0,6512.0,6512.0,102642144,15762,74,6512.0
2014-04-05,6837.0,6837.0,6837.0,6837.0,188270469,27537,126,6837.0
2014-04-06,7178.0,7178.0,7178.0,7178.0,603052492,84014,356,7178.0
2014-04-07,7536.0,7536.0,7536.0,7536.0,1298098608,172253,575,7536.0
2014-04-08,7912.0,7912.0,7912.0,7912.0,1139185584,143982,389,7912.0
2014-04-09,8307.0,8307.0,8307.0,8307.0,6425597412,773516,1707,8307.0
2014-04-12,8577.0,8722.0,8100.0,8595.0,59831859402,6961055,15341,8722.0
2014-04-13,8690.0,8690.0,8166.0,8372.0,3179795313,379824,613,8166.0
2014-04-14,7954.0,7954.0,7954.0,7954.0,142090256,17864,15,7954.0
2014-04-15,7557.0,8070.0,7557.0,7635.0,20896001240,2736874,2684,7557.0
2014-04-16,7635.0,7950.0,7350.0,7704.0,9196850261,1193836,1093,7565.0
2014-04-19,7500.0,7500.0,7319.0,7345.0,1753703711,238754,165,7319.0
2014-06-18,7214.0,7600.0,7021.0,7262.0,4377733028,602790,598,7110.0
2014-06-21,6932.0,6990.0,6899.0,6919.0,661693312,95635,107,6899.0
2014-06-22,6574.0,6574.0,6574.0,6574.0,87789196,13354,9,6574.0
2014-06-23,6246.0,6902.0,6246.0,6727.0,8719930946,1296316,930,6902.0
2014-06-24,6908.0,7063.0,6800.0,7038.0,1339369203,190300,161,7063.0
2014-06-25,7170.0,7379.0,6687.0,6917.0,5723534626,827409,566,6687.0
2014-06-28,6604.0,6899.0,6572.0,6634.0,186183441,28065,40,6572.0
2014-06-29,6303.0,6400.0,6303.0,6305.0,1841156462,292033,232,6303.0
2014-06-30,5990.0,6379.0,5990.0,6029.0,4561369548,756600,310,5990.0
2014-07-01,5989.0,6330.0,5900.0,6266.0,1863359378,297368,216,6330.0
2014-07-02,6350.0,6578.0,6301.0,6484.0,2425814669,374140,250,6500.0
