date,open,high,low,adjClose,value,volume,count,close
2001-03-28,3100.0,3100.0,3100.0,3100.0,52396200,16902,15,3100.0
2001-04-10,3100.0,3100.0,3100.0,3100.0,62310000,20100,10,3100.0
2001-05-07,3101.0,3102.0,3101.0,3102.0,46520000,15000,6,3102.0
2001-05-30,3200.0,3200.0,3200.0,3200.0,64000000,20000,3,3200.0
2001-06-02,3200.0,3200.0,3200.0,3200.0,3200000,1000,1,3200.0
2001-06-06,3250.0,3250.0,3250.0,3250.0,6500000,2000,1,3250.0
2001-06-17,3255.0,3260.0,3255.0,3260.0,9116060,2800,2,3260.0
2001-06-18,3250.0,3250.0,3250.0,3250.0,1137500,350,1,3250.0
2001-06-30,3251.0,3401.0,3251.0,3251.0,5476680,1680,9,3251.0
2001-08-12,3000.0,3000.0,3000.0,3000.0,3072000,1024,2,3000.0
2001-08-26,3150.0,3150.0,3150.0,3150.0,982800,312,1,3150.0
2001-09-03,3307.0,3307.0,3307.0,3307.0,1802315,545,2,3307.0
2001-09-10,3310.0,3310.0,3310.0,3310.0,6391610,1931,4,3310.0
2001-09-30,3308.0,3309.0,3308.0,3309.0,4963000,1500,2,3309.0
2001-10-02,3310.0,3310.0,3310.0,3310.0,662000,200,1,3310.0
2001-10-20,3310.0,3310.0,3310.0,3310.0,2614900,790,1,3310.0
2001-10-22,3310.0,3310.0,3310.0,3310.0,2614900,790,1,3310.0
2001-11-12,3350.0,3402.0,3350.0,3402.0,13827718,4119,3,3402.0
2001-11-17,3406.0,3406.0,3406.0,3406.0,1703000,500,1,3406.0
2001-11-20,3407.0,3407.0,3407.0,3407.0,722284,212,1,3407.0
2001-11-21,3500.0,3500.0,3500.0,3500.0,2100000,600,1,3500.0
2001-11-24,3500.0,3500.0,3500.0,3500.0,1750000,500,1,3500.0
2001-11-27,3500.0,3500.0,3500.0,3500.0,6720000,1920,2,3500.0
2001-12-01,3506.0,3506.0,3506.0,3506.0,701200,200,1,3506.0
2001-12-18,3522.0,3522.0,3522.0,3522.0,2993700,850,1,3522.0
2001-12-26,3524.0,3524.0,3524.0,3524.0,1409600,400,1,3524.0
2002-01-07,3700.0,3700.0,3700.0,3700.0,185000000,50000,7,3700.0
2002-01-08,3700.0,3800.0,3700.0,3800.0,80440000,21200,4,3800.0
2002-01-12,3800.0,3808.0,3800.0,3808.0,115150000,30250,4,3808.0
2002-01-14,3811.0,3811.0,3811.0,3811.0,4573200,1200,1,3811.0
2002-01-20,3813.0,3813.0,3813.0,3813.0,4575600,1200,1,3813.0
2002-02-04,3840.0,3840.0,3840.0,3840.0,11520000,3000,2,3840.0
2002-02-06,3840.0,3840.0,3840.0,3840.0,3840000,1000,1,3840.0
2002-02-09,3840.0,3840.0,3840.0,3840.0,1843200,480,1,3840.0
2002-02-10,3840.0,3840.0,3840.0,3840.0,4485120,1168,1,3840.0
2002-02-13,3839.0,3840.0,3839.0,3840.0,14760572,3844,6,3840.0
2002-02-24,3000.0,3000.0,3000.0,3000.0,14400000,4800,1,3000.0
2002-02-27,3000.0,3000.0,3000.0,3000.0,900000,300,2,3000.0
2002-03-02,3000.0,3000.0,3000.0,3000.0,2232000,744,2,3000.0
2002-03-09,3000.0,3000.0,3000.0,3000.0,3600000,1200,2,3000.0
2002-03-12,3000.0,3000.0,3000.0,3000.0,20400000,6800,3,3000.0
2002-03-13,3000.0,3000.0,3000.0,3000.0,6636000,2212,4,3000.0
2002-03-16,3000.0,3000.0,3000.0,3000.0,15000000,5000,1,3000.0
2002-04-07,3000.0,3000.0,3000.0,3000.0,750000,250,1,3000.0
2002-04-15,3000.0,3000.0,3000.0,3000.0,11700000,3900,2,3000.0
2002-04-17,3000.0,3000.0,3000.0,3000.0,46500000,15500,8,3000.0
2002-04-20,3000.0,3000.0,3000.0,3000.0,6114000,2038,2,3000.0
2002-04-22,3000.0,3000.0,3000.0,3000.0,45000000,15000,7,3000.0
2002-04-24,3000.0,3000.0,3000.0,3000.0,5406000,1802,3,3000.0
2002-04-30,3000.0,3000.0,3000.0,3000.0,7140000,2380,2,3000.0
2002-05-06,3000.0,3000.0,3000.0,3000.0,5760000,1920,2,3000.0
2002-06-17,3100.0,3100.0,3100.0,3100.0,5310300,1713,5,3100.0
2002-07-03,3101.0,3101.0,3101.0,3101.0,155050,50,1,3101.0
2002-07-08,3101.0,3101.0,3101.0,3101.0,372120,120,1,3101.0
2002-07-22,2800.0,2800.0,2800.0,2800.0,2800000,1000,1,2800.0
2002-08-25,2850.0,2850.0,2850.0,2850.0,1402200,492,1,2850.0
2002-09-01,3400.0,3400.0,3400.0,3400.0,3400000,1000,1,3400.0
2002-09-10,3399.0,3399.0,3399.0,3399.0,1699500,500,1,3399.0
2002-09-11,3400.0,3400.0,3400.0,3400.0,510000,150,1,3400.0
2002-09-15,3400.0,3400.0,3400.0,3400.0,1713600,504,1,3400.0
2002-09-23,3420.0,3420.0,3420.0,3420.0,3420000,1000,1,3420.0
2002-09-29,3420.0,3420.0,3420.0,3420.0,1710000,500,1,3420.0
2002-09-30,3430.0,3430.0,3430.0,3430.0,1715000,500,1,3430.0
2002-10-01,3430.0,3430.0,3430.0,3430.0,1715000,500,1,3430.0
2002-10-02,3500.0,3600.0,3500.0,3600.0,29100000,8200,6,3600.0
2002-10-07,3620.0,3620.0,3620.0,3620.0,615400,170,1,3620.0
2002-10-08,3640.0,3640.0,3640.0,3640.0,1820000,500,1,3640.0
2002-10-13,3680.0,3680.0,3680.0,3680.0,17664000,4800,1,3680.0
2002-10-14,3750.0,3750.0,3750.0,3750.0,18000000,4800,3,3750.0
2002-10-15,3761.0,3761.0,3761.0,3761.0,752200,200,1,3761.0
2002-10-20,3771.0,3771.0,3771.0,3771.0,1810080,480,1,3771.0
2002-10-21,3773.0,3773.0,3773.0,3773.0,1886500,500,1,3773.0
2002-10-23,3780.0,3780.0,3780.0,3780.0,1890000,500,1,3780.0
2002-10-26,3788.0,3788.0,3788.0,3788.0,1894000,500,1,3788.0
2002-10-27,3810.0,3810.0,3810.0,3810.0,1905000,500,1,3810.0
2002-10-30,3812.0,3812.0,3812.0,3812.0,1906000,500,1,3812.0
2002-11-02,3820.0,3820.0,3820.0,3820.0,1910000,500,1,3820.0
2002-11-04,3825.0,3825.0,3825.0,3825.0,1912500,500,1,3825.0
2002-11-09,3830.0,3830.0,3830.0,3830.0,1915000,500,1,3830.0
2002-11-11,3831.0,3831.0,3831.0,3831.0,651270,170,1,3831.0
2002-11-16,4022.0,4022.0,4022.0,4022.0,4022000,1000,1,4022.0
2002-11-17,4223.0,4223.0,4223.0,4223.0,4223000,1000,1,4223.0
2002-11-19,4434.0,4434.0,4434.0,4434.0,4434000,1000,1,4434.0
2002-11-20,4655.0,4655.0,4655.0,4655.0,4655000,1000,1,4655.0
2002-11-24,4887.0,4887.0,4887.0,4887.0,4887000,1000,1,4887.0
2002-11-25,5131.0,5131.0,5131.0,5131.0,5131000,1000,1,5131.0
2002-11-26,5387.0,5387.0,5387.0,5387.0,5387000,1000,1,5387.0
2002-11-30,5656.0,5656.0,5656.0,5656.0,48353144,8549,5,5656.0
2002-12-01,5656.0,5938.0,5656.0,5938.0,12174588,2085,6,5938.0
2002-12-02,5938.0,6234.0,5933.0,5933.0,63433558,10681,12,5933.0
2002-12-08,5930.0,5930.0,5930.0,5930.0,2965000,500,1,5930.0
2002-12-09,5929.0,5929.0,5929.0,5929.0,2964500,500,1,5929.0
2002-12-14,5890.0,5890.0,5890.0,5890.0,2356000,400,1,5890.0
2002-12-15,5889.0,5889.0,5889.0,5889.0,2944500,500,1,5889.0
2002-12-16,5885.0,5885.0,5879.0,5879.0,5178320,880,5,5879.0
2002-12-17,5877.0,5877.0,5877.0,5877.0,3526200,600,5,5877.0
2002-12-18,5872.0,5872.0,5872.0,5872.0,3523200,600,4,5872.0
2002-12-21,5860.0,5860.0,5848.0,5848.0,17303240,2954,5,5848.0
2002-12-22,5815.0,5815.0,5815.0,5815.0,3489000,600,3,5815.0
2002-12-23,5800.0,5800.0,5800.0,5800.0,3480000,600,5,5800.0
2002-12-24,5790.0,5790.0,5790.0,5790.0,2316000,400,6,5790.0
2002-12-25,5693.0,5693.0,5693.0,5693.0,2846500,500,5,5693.0
2002-12-28,5693.0,5693.0,5693.0,5693.0,3415800,600,3,5693.0
2002-12-29,5689.0,5689.0,5689.0,5689.0,3413400,600,3,5689.0
2002-12-31,5688.0,5688.0,5688.0,5688.0,3412800,600,4,5688.0
