date,open,high,low,adjClose,value,volume,count,close
2001-03-26,4320.0,4320.0,4320.0,4320.0,28762560,6658,2,4320.0
2001-03-27,4320.0,4322.0,4320.0,4322.0,6326480,1464,2,4322.0
2001-03-31,4330.0,4330.0,4330.0,4330.0,450320,104,1,4330.0
2001-04-07,4351.0,4351.0,4351.0,4351.0,4803504,1104,4,4351.0
2001-04-09,4361.0,4410.0,4361.0,4410.0,7336425,1675,6,4410.0
2001-04-10,4441.0,4451.0,4441.0,4451.0,13874429,3122,6,4451.0
2001-04-11,4500.0,4600.0,4500.0,4600.0,34874250,7615,6,4600.0
2001-04-14,4600.0,4670.0,4600.0,4670.0,59378420,12747,8,4670.0
2001-04-15,4670.0,4701.0,4670.0,4701.0,64175162,13658,14,4701.0
2001-04-16,4689.0,4701.0,4689.0,4700.0,144319843,30713,21,4700.0
2001-04-17,4700.0,4700.0,4700.0,4700.0,145380400,30932,13,4700.0
2001-04-18,4650.0,4650.0,4650.0,4650.0,13159500,2830,3,4650.0
2001-04-21,4600.0,4630.0,4600.0,4600.0,119476000,25960,7,4600.0
2001-04-22,4601.0,4601.0,4560.0,4560.0,138603843,30193,23,4560.0
2001-04-23,4560.0,4602.0,4560.0,4600.0,69006120,15061,11,4600.0
2001-04-24,4601.0,4601.0,4600.0,4601.0,95536500,20768,13,4601.0
2001-04-25,4650.0,4650.0,4606.0,4650.0,41923470,9057,11,4650.0
2001-04-28,4700.0,4701.0,4650.0,4700.0,27564210,5870,10,4700.0
2001-04-29,4707.0,4708.0,4701.0,4705.0,85210005,18113,16,4705.0
2001-04-30,4700.0,4703.0,4650.0,4703.0,146754532,31249,19,4703.0
2001-05-01,4704.0,4704.0,4700.0,4700.0,83187088,17697,13,4700.0
2001-05-02,4700.0,4702.0,4700.0,4702.0,62490250,13295,11,4702.0
2001-05-05,4701.0,4704.0,4701.0,4702.0,209299190,44511,18,4702.0
2001-05-06,4702.0,4702.0,4702.0,4702.0,954506,203,2,4702.0
2001-05-07,4700.0,4700.0,4696.0,4700.0,28686698,6105,12,4700.0
2001-05-09,4644.0,4644.0,4500.0,4500.0,11582804,2541,3,4500.0
2001-05-12,4500.0,4502.0,4411.0,4502.0,68021711,15156,19,4502.0
2001-05-13,4501.0,4650.0,4501.0,4650.0,32438698,7070,11,4650.0
2001-05-15,4650.0,4650.0,4650.0,4650.0,9997500,2150,3,4650.0
2001-05-16,4620.0,4620.0,4620.0,4620.0,4620000,1000,1,4620.0
2001-05-19,4553.0,4553.0,4520.0,4520.0,55881876,12292,15,4520.0
2001-05-20,4519.0,4519.0,4500.0,4500.0,54051220,12001,10,4500.0
2001-05-21,4500.0,4700.0,4500.0,4700.0,195501150,41942,21,4700.0
2001-05-26,4700.0,4700.0,4700.0,4700.0,28486700,6061,10,4700.0
2001-05-27,4697.0,4697.0,4697.0,4697.0,953491,203,2,4697.0
2001-05-28,4694.0,4700.0,4694.0,4700.0,36542680,7779,8,4700.0
2001-05-29,4701.0,4701.0,4700.0,4700.0,7991000,1700,2,4700.0
2001-05-30,4700.0,4700.0,4700.0,4700.0,25436400,5412,11,4700.0
2001-06-02,4697.0,4697.0,2844.0,4688.0,117816500,40825,117,4688.0
2001-06-03,4552.0,4600.0,4520.0,4594.0,97839020,21550,18,4594.0
2001-06-06,4590.0,4590.0,4580.0,4586.0,29829740,6500,4,4586.0
2001-06-09,4520.0,4550.0,4500.0,4500.0,59641060,13227,17,4500.0
2001-06-11,4500.0,4550.0,4480.0,4550.0,42311300,9395,17,4550.0
2001-06-20,4540.0,4540.0,4540.0,4540.0,13937800,3070,5,4540.0
2001-06-23,4540.0,4540.0,4540.0,4540.0,454000,100,1,4540.0
2001-06-24,4500.0,4500.0,4400.0,4401.0,69099040,15610,6,4401.0
2001-06-25,4401.0,4401.0,4398.0,4401.0,44440520,10100,23,4401.0
2001-06-26,4403.0,4450.0,4402.0,4450.0,73987410,16724,12,4450.0
2001-06-27,4452.0,4500.0,4452.0,4500.0,96905594,21621,20,4500.0
2001-06-30,4500.0,4500.0,4400.0,4401.0,84317159,19044,19,4401.0
2001-07-01,4400.0,4500.0,4400.0,4500.0,53266352,12065,15,4500.0
2001-07-02,4503.0,4503.0,4502.0,4502.0,7654280,1700,3,4502.0
2001-07-03,4502.0,4502.0,4502.0,4502.0,36016000,8000,12,4502.0
2001-07-04,4503.0,4550.0,4502.0,4550.0,58728350,13000,15,4550.0
2001-07-07,4520.0,4650.0,4520.0,4650.0,92213960,20200,16,4650.0
2001-07-08,4640.0,4640.0,4550.0,4550.0,71473200,15684,10,4550.0
2001-07-09,4550.0,4550.0,4500.0,4500.0,14203960,3148,6,4500.0
2001-07-10,4501.0,4501.0,4500.0,4500.0,114673980,25483,16,4500.0
2001-07-11,4501.0,4551.0,4500.0,4550.0,707467860,155539,15,4550.0
2001-07-14,4550.0,4550.0,4500.0,4500.0,29838350,6574,9,4500.0
2001-07-15,4500.0,4502.0,4500.0,4502.0,19126549,4249,6,4502.0
2001-07-16,4500.0,4502.0,4500.0,4500.0,134999564,29998,28,4500.0
2001-08-05,4501.0,4606.0,4500.0,4606.0,84990000,18729,9,4606.0
2001-08-06,4670.0,4748.0,4609.0,4732.0,132651046,28096,27,4732.0
2001-08-07,4742.0,4756.0,4732.0,4756.0,60502309,12757,8,4756.0
2001-08-08,4764.0,4900.0,4764.0,4900.0,535493157,109881,25,4900.0
2001-08-11,4898.0,4900.0,4890.0,4896.0,572262652,117000,18,4896.0
2001-08-12,4869.0,4895.0,4869.0,4895.0,114127611,23393,12,4895.0
2001-08-13,4884.0,4900.0,4884.0,4900.0,135672272,27705,24,4900.0
2001-08-14,4896.0,4897.0,4896.0,4897.0,4896500,1000,2,4897.0
2001-08-15,4900.0,4900.0,4850.0,4860.0,197775324,40430,25,4860.0
2001-08-18,4801.0,4802.0,4800.0,4800.0,29530500,6150,7,4800.0
2001-08-19,4795.0,4800.0,4650.0,4700.0,66299200,14161,13,4700.0
2001-08-20,4700.0,4700.0,4650.0,4700.0,38801662,8284,18,4700.0
2001-08-21,4660.0,4680.0,4650.0,4650.0,52233650,11223,9,4650.0
2001-08-22,4650.0,4650.0,4650.0,4650.0,21190050,4557,7,4650.0
2001-08-25,4677.0,4690.0,4677.0,4690.0,77401109,16523,24,4690.0
2001-08-26,4690.0,4924.0,4690.0,4924.0,177496345,36821,27,4924.0
2001-08-27,4890.0,4896.0,4870.0,4896.0,75742600,15500,10,4896.0
