date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-08-01,2500.0,2500.0,2500.0,2500.0,35092895000,14037158,349,1000.0,2500.0
2018-08-04,2700.0,2700.0,2700.0,2700.0,21176502300,7843149,394,2500.0,2700.0
2018-08-06,3300.0,3300.0,3300.0,3300.0,14610763200,4427504,405,2700.0,3300.0
2018-08-08,3500.0,3500.0,3350.0,3491.0,9999063150,2864541,289,3300.0,3350.0
2018-08-11,3350.0,3350.0,3210.0,3315.0,3534363690,1066213,126,3491.0,3210.0
2018-08-13,3190.0,3280.0,3190.0,3200.0,3729020850,1165365,123,3315.0,3280.0
2018-08-15,3366.0,3501.0,3366.0,3384.0,8801984646,2600741,231,3200.0,3501.0
2018-08-18,3700.0,3801.0,3700.0,3719.0,6240221096,1677975,185,3384.0,3801.0
2018-08-20,3809.0,3809.0,3590.0,3764.0,1831447619,486520,102,3719.0,3590.0
2018-08-25,3700.0,4001.0,3700.0,3888.0,2084171614,536109,65,3764.0,4001.0
2018-08-27,4300.0,4350.0,4300.0,4301.0,8954619600,2081772,229,3888.0,4350.0
2018-08-29,4731.0,4731.0,4731.0,4492.0,2102744991,444461,57,4301.0,4731.0
2018-09-01,4580.0,4941.0,4580.0,4760.0,21153266532,4444364,468,4492.0,4941.0
2018-09-02,5235.0,5236.0,4760.0,5151.0,14725870588,2858647,422,4760.0,5100.0
2018-09-03,5151.0,5151.0,4636.0,4805.0,9332325285,1942386,367,5151.0,4822.0
2018-09-04,5285.0,5285.0,4899.0,5143.0,21311153596,4144068,1042,4805.0,4899.0
2018-09-05,4937.0,5170.0,4702.0,4952.0,17870310903,3608752,760,5143.0,5040.0
2018-09-08,5255.0,5255.0,5030.0,5093.0,13341157876,2619739,587,4952.0,5098.0
2018-09-09,5150.0,5498.0,5060.0,5294.0,10845465669,2048731,482,5093.0,5301.0
2018-09-10,5330.0,5823.0,5330.0,5766.0,10569876573,1833215,334,5294.0,5823.0
2018-09-11,6340.0,6342.0,6012.0,6260.0,11657498530,1862318,366,5766.0,6341.0
2018-09-12,6790.0,6790.0,6260.0,6533.0,17086626253,2615325,551,6260.0,6401.0
2018-09-15,6800.0,6800.0,6200.0,6598.0,13150825231,1993106,501,6533.0,6400.0
2018-09-16,6400.0,6699.0,5939.0,6378.0,8953284690,1403803,423,6598.0,6490.0
2018-09-17,7000.0,7000.0,6400.0,6582.0,13071844246,1985892,419,6378.0,6600.0
2018-09-18,6641.0,6641.0,6100.0,6305.0,6585553935,1044441,360,6582.0,6180.0
2018-09-22,6559.0,6935.0,6485.0,6803.0,9228284819,1356571,394,6305.0,6750.0
2018-09-23,7220.0,7240.0,6750.0,7027.0,7655083298,1089406,380,6803.0,7180.0
2018-09-24,7400.0,7729.0,7250.0,7603.0,4812882607,633062,147,7027.0,7729.0
2018-09-25,8363.0,8363.0,8363.0,8363.0,455131186,54422,6,7603.0,8363.0
2018-09-30,9199.0,10118.0,8280.0,9216.0,17884286217,1940467,461,8363.0,9590.0
2018-10-01,10130.0,10130.0,8365.0,9478.0,23790386252,2509969,606,9216.0,9900.0
2018-10-02,9890.0,9890.0,8531.0,8748.0,3485072951,398375,157,9478.0,8531.0
2018-10-03,7874.0,8999.0,7874.0,8088.0,13517662271,1671349,466,8748.0,7877.0
2018-10-06,8000.0,8500.0,7280.0,7741.0,4142095992,535052,220,8088.0,7280.0
2018-10-07,6967.0,7280.0,6967.0,6998.0,4357073711,622633,136,7741.0,6967.0
2018-10-08,6299.0,6299.0,6299.0,6299.0,1700963063,270037,131,6998.0,6299.0
2018-10-09,5670.0,6920.0,5670.0,6266.0,12742371485,2033718,517,6299.0,6500.0
2018-10-10,6300.0,6320.0,5640.0,5776.0,7547347954,1306589,335,6266.0,5640.0
2018-10-13,5420.0,6353.0,5420.0,6026.0,14907370365,2473873,626,5776.0,6353.0
2018-10-14,6628.0,6628.0,6628.0,6628.0,2805731820,423315,103,6026.0,6628.0
2018-10-15,7290.0,7290.0,7290.0,7290.0,2288957940,313986,61,6628.0,7290.0
2018-10-16,8019.0,8019.0,8019.0,8019.0,814433697,101563,40,7290.0,8019.0
2018-10-17,8819.0,8819.0,8019.0,8818.0,3438799841,389997,52,8019.0,8019.0
2018-10-28,9000.0,9000.0,8100.0,8312.0,2619998600,315204,55,8818.0,8100.0
2018-10-29,7481.0,7481.0,7481.0,7481.0,1145573011,153131,34,8312.0,7481.0
2018-10-31,7000.0,8115.0,7000.0,7665.0,14213984614,1854294,546,7481.0,7849.0
2018-11-03,8097.0,8143.0,7665.0,7931.0,11834688464,1492285,429,7665.0,7984.0
2018-11-04,8000.0,8064.0,7138.0,7454.0,4380578046,587700,246,7931.0,7333.0
2018-11-05,7999.0,7999.0,7431.0,7663.0,3098476696,404356,144,7454.0,7560.0
2018-11-06,7750.0,8140.0,7350.0,7971.0,6736507929,845086,423,7663.0,7900.0
2018-11-10,7600.0,8084.0,7257.0,7529.0,2569114738,341212,207,7971.0,7421.0
2018-11-11,7250.0,7480.0,6777.0,7096.0,6569562923,925839,305,7529.0,7450.0
2018-11-12,7399.0,7400.0,6888.0,7281.0,3386379095,465092,161,7096.0,7399.0
2018-11-13,7122.0,7637.0,7122.0,7384.0,3002507114,406624,175,7281.0,7200.0
2018-11-14,7588.0,7800.0,7300.0,7627.0,4644490469,608982,261,7384.0,7670.0
2018-11-17,7670.0,7670.0,6865.0,7101.0,4393018250,618619,236,7627.0,7000.0
2018-11-18,7300.0,7300.0,6391.0,6672.0,3209737869,481089,179,7101.0,6625.0
2018-11-19,6800.0,7170.0,6799.0,6948.0,1350573605,194378,110,6672.0,6899.0
2018-11-20,6950.0,7600.0,6753.0,7275.0,4713559608,647923,217,6948.0,7388.0
2018-11-21,7590.0,7590.0,7001.0,7210.0,1177893867,163379,85,7275.0,7011.0
2018-11-24,7430.0,7438.0,6851.0,6915.0,902047486,130456,82,7210.0,7000.0
2018-11-26,6710.0,7180.0,6224.0,6413.0,1959019970,305494,122,6915.0,6321.0
2018-11-27,6600.0,7054.0,6001.0,6858.0,3083364705,449574,243,6413.0,7054.0
2018-11-28,7150.0,7496.0,7061.0,7335.0,4522856751,616577,340,6858.0,7380.0
2018-12-01,7699.0,7699.0,6803.0,7121.0,1679293088,235825,150,7335.0,7277.0
2018-12-02,7324.0,7324.0,7004.0,7166.0,2745284391,383119,107,7121.0,7248.0
2018-12-03,7248.0,7687.0,7248.0,7467.0,4080424218,546425,232,7166.0,7520.0
2018-12-04,7270.0,7650.0,7011.0,7359.0,2680771932,364277,142,7467.0,7104.0
2018-12-05,7200.0,7399.0,6954.0,7038.0,3806026161,540795,168,7359.0,7097.0
2018-12-08,7113.0,7205.0,7025.0,7138.0,608664072,85265,39,7038.0,7178.0
2018-12-09,7200.0,7249.0,7061.0,7135.0,741382106,103902,70,7138.0,7173.0
2018-12-10,7100.0,7178.0,6700.0,6854.0,1802813928,263034,113,7135.0,6839.0
2018-12-12,7098.0,7098.0,6710.0,6932.0,1710155398,246689,105,6854.0,7040.0
2018-12-15,6700.0,7104.0,6610.0,6869.0,1741483043,253527,147,6932.0,6800.0
