date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-31,2489.0,2489.0,2489.0,2489.0,1928975,775,1,2489.0,2489.0
2001-04-03,2450.0,2450.0,2450.0,2450.0,5360600,2188,4,2489.0,2450.0
2001-04-08,2451.0,2451.0,2451.0,2451.0,17291805,7055,2,2450.0,2451.0
2001-04-10,2450.0,2450.0,2450.0,2450.0,1396500,570,2,2451.0,2450.0
2001-04-11,2499.0,2500.0,2499.0,2500.0,18585138,7436,7,2450.0,2500.0
2001-04-14,2499.0,2500.0,2499.0,2499.0,6513958,2606,7,2500.0,2499.0
2001-04-17,2497.0,2500.0,2497.0,2500.0,10079122,4036,3,2499.0,2500.0
2001-04-18,2504.0,2504.0,2504.0,2504.0,1973152,788,1,2500.0,2504.0
2001-04-21,2505.0,2508.0,2505.0,2508.0,14886180,5936,4,2504.0,2508.0
2001-04-22,2511.0,2511.0,2511.0,2511.0,680481,271,1,2508.0,2511.0
2001-04-23,2513.0,2513.0,2513.0,2513.0,5026000,2000,4,2511.0,2513.0
2001-04-25,2531.0,2533.0,2531.0,2533.0,4795698,1894,3,2513.0,2533.0
2001-04-28,2534.0,2570.0,2534.0,2570.0,5094000,2000,4,2533.0,2570.0
2001-04-30,2590.0,2590.0,2590.0,2590.0,20574960,7944,3,2570.0,2590.0
2001-05-01,2600.0,2650.0,2600.0,2650.0,10354800,3940,7,2590.0,2650.0
2001-05-02,2650.0,2650.0,2650.0,2650.0,1632400,616,1,2650.0,2650.0
2001-05-05,2700.0,2700.0,2700.0,2700.0,5000400,1852,4,2650.0,2700.0
2001-05-07,2800.0,2800.0,2800.0,2800.0,14000000,5000,4,2700.0,2800.0
2001-05-08,2800.0,2800.0,2800.0,2800.0,20109600,7182,6,2800.0,2800.0
2001-05-09,2800.0,2800.0,2800.0,2800.0,10690400,3818,3,2800.0,2800.0
2001-05-12,2800.0,2800.0,2800.0,2800.0,2576000,920,1,2800.0,2800.0
2001-05-15,2700.0,2700.0,2700.0,2700.0,10800000,4000,2,2800.0,2700.0
2001-06-17,2600.0,2688.0,2600.0,2688.0,17638000,6750,10,2700.0,2688.0
2001-06-18,2600.0,2600.0,2600.0,2600.0,18200000,7000,9,2688.0,2600.0
2001-06-19,2550.0,2600.0,2470.0,2600.0,66561910,26241,21,2600.0,2600.0
2001-06-23,2599.0,2600.0,2599.0,2600.0,25999726,10000,4,2600.0,2600.0
2001-06-24,2598.0,2598.0,2598.0,2598.0,3967146,1527,1,2600.0,2598.0
2001-06-27,2596.0,2596.0,2530.0,2530.0,5480552,2162,4,2598.0,2530.0
2001-07-08,2487.0,2595.0,2487.0,2594.0,51548668,20000,10,2530.0,2594.0
2001-07-14,2559.0,2559.0,2548.0,2548.0,3569078,1400,6,2594.0,2548.0
2001-08-19,2340.0,2340.0,2340.0,2340.0,1914120,818,1,2548.0,2340.0
2001-08-21,2340.0,2340.0,2340.0,2340.0,936000,400,1,2340.0,2340.0
2001-08-29,2334.0,2334.0,2334.0,2334.0,1633800,700,3,2340.0,2334.0
2001-09-02,2300.0,2300.0,2300.0,2300.0,2300000,1000,2,2334.0,2300.0
2001-09-10,2289.0,2290.0,2289.0,2290.0,1188116,519,3,2300.0,2290.0
2001-09-11,2290.0,2290.0,2290.0,2290.0,2111380,922,2,2290.0,2290.0
2001-10-02,2238.0,2238.0,2230.0,2230.0,608576,272,3,2290.0,2230.0
2001-10-08,2209.0,2210.0,2209.0,2210.0,1431780,648,3,2230.0,2210.0
2001-10-22,2166.0,2166.0,2166.0,2166.0,4232364,1954,2,2210.0,2166.0
2001-10-23,2100.0,2100.0,2100.0,2100.0,4296600,2046,1,2166.0,2100.0
2001-10-28,2087.0,2087.0,2087.0,2087.0,208700,100,2,2100.0,2087.0
2001-10-30,2087.0,2087.0,2087.0,2087.0,31305,15,1,2087.0,2087.0
2001-12-09,1983.0,1983.0,1983.0,1983.0,2974500,1500,2,2087.0,1983.0
2001-12-11,1884.0,1884.0,1884.0,1884.0,14955192,7938,5,1983.0,1884.0
2001-12-12,1790.0,1884.0,1790.0,1884.0,107963670,60035,20,1884.0,1884.0
2001-12-19,1978.0,1978.0,1978.0,1978.0,538016,272,1,1884.0,1978.0
2001-12-22,1983.0,2063.0,1983.0,2063.0,87510575,44022,18,1978.0,2063.0
2001-12-23,2082.0,2082.0,2082.0,2082.0,1827996,878,1,2063.0,2082.0
2001-12-24,2087.0,2087.0,2086.0,2086.0,776114,372,2,2082.0,2086.0
2001-12-25,2190.0,2190.0,2190.0,2190.0,2448420,1118,5,2086.0,2190.0
2001-12-29,2299.0,2299.0,2299.0,2299.0,3563450,1550,2,2190.0,2299.0
2001-12-30,2413.0,2413.0,2413.0,2413.0,73685781,30537,19,2299.0,2413.0
2001-12-31,2414.0,2415.0,2413.0,2413.0,32251760,13364,13,2413.0,2413.0
2002-01-01,2413.0,2414.0,2413.0,2413.0,23638748,9796,8,2413.0,2413.0
2002-01-02,2350.0,2350.0,2295.0,2295.0,3286700,1422,2,2413.0,2295.0
2002-01-05,2181.0,2190.0,2181.0,2181.0,3580632,1638,3,2295.0,2181.0
2002-01-06,2181.0,2181.0,2181.0,2181.0,22529730,10330,6,2181.0,2181.0
2002-01-07,2181.0,2181.0,2180.0,2180.0,3314913,1520,4,2181.0,2180.0
2002-01-08,2200.0,2202.0,2200.0,2200.0,46756000,21250,11,2180.0,2200.0
2002-01-12,2200.0,2200.0,2200.0,2200.0,6600000,3000,1,2200.0,2200.0
2002-01-13,2200.0,2200.0,2181.0,2181.0,7670664,3506,5,2200.0,2181.0
2002-01-14,2181.0,2181.0,2170.0,2170.0,12389795,5688,10,2181.0,2170.0
2002-01-15,2171.0,2202.0,2171.0,2201.0,21908250,10000,8,2170.0,2201.0
2002-01-16,2210.0,2210.0,2210.0,2210.0,3315000,1500,3,2201.0,2210.0
2002-01-19,2230.0,2230.0,2230.0,2230.0,14495000,6500,4,2210.0,2230.0
2002-01-20,2231.0,2232.0,2231.0,2231.0,11157721,5000,7,2230.0,2231.0
2002-01-21,2232.0,2232.0,2231.0,2231.0,5873624,2632,2,2231.0,2231.0
2002-01-22,2231.0,2231.0,2231.0,2231.0,1608551,721,1,2231.0,2231.0
2002-01-23,2240.0,2240.0,2238.0,2240.0,19038806,8500,9,2231.0,2240.0
2002-01-26,2229.0,2231.0,2229.0,2230.0,18056894,8098,5,2240.0,2230.0
2002-01-27,2210.0,2210.0,2210.0,2210.0,227630,103,1,2230.0,2210.0
2002-01-28,2197.0,2197.0,2197.0,2197.0,5492500,2500,2,2210.0,2197.0
2002-01-29,2186.0,2187.0,2180.0,2180.0,14795357,6780,9,2197.0,2180.0
2002-02-10,2071.0,2071.0,2071.0,2071.0,5177500,2500,3,2180.0,2071.0
2002-02-12,2068.0,2068.0,2068.0,2068.0,9785776,4732,3,2071.0,2068.0
2002-02-13,1970.0,2050.0,1967.0,2050.0,54630828,27133,25,2068.0,2050.0
2002-02-16,2048.0,2050.0,2048.0,2050.0,45088000,22000,7,2050.0,2050.0
2002-02-18,2050.0,2050.0,2049.0,2049.0,17066072,8328,5,2050.0,2049.0
2002-02-19,2052.0,2054.0,2050.0,2054.0,49350056,24063,11,2049.0,2054.0
2002-02-20,2052.0,2054.0,2052.0,2054.0,4456692,2171,2,2054.0,2054.0
2002-02-24,2059.0,2059.0,2059.0,2059.0,2059000,1000,1,2054.0,2059.0
2002-02-25,2100.0,2161.0,2100.0,2161.0,21422000,10000,9,2059.0,2161.0
2002-02-26,2149.0,2161.0,2149.0,2161.0,4396382,2040,3,2161.0,2161.0
2002-02-27,2185.0,2185.0,2185.0,2185.0,1748000,800,1,2161.0,2185.0
2002-03-02,2171.0,2185.0,2165.0,2166.0,19569234,9000,7,2185.0,2166.0
2002-03-04,2165.0,2166.0,2165.0,2165.0,49797598,23000,9,2166.0,2165.0
2002-03-05,2165.0,2165.0,2165.0,2165.0,2078400,960,1,2165.0,2165.0
