date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-09-28,4760.0,4760.0,4760.0,4760.0,69539349320,14609107,34780,1000.0,4760.0
2016-10-01,4998.0,4998.0,4998.0,4998.0,78823458,15771,71,4760.0,4998.0
2016-10-02,5247.0,5247.0,5247.0,5247.0,87635394,16702,75,4998.0,5247.0
2016-10-03,5509.0,5509.0,5509.0,5509.0,292235923,53047,246,5247.0,5509.0
2016-10-04,5784.0,5784.0,5784.0,5784.0,1528468272,264258,318,5509.0,5784.0
2016-10-05,6073.0,6073.0,5980.0,6066.0,67867706605,11187385,27289,5784.0,6073.0
2016-10-08,6118.0,6279.0,6071.0,6156.0,25539447491,4148574,8302,6066.0,6180.0
2016-10-09,6229.0,6463.0,6185.0,6440.0,33458336711,5195417,3656,6156.0,6463.0
2016-10-10,6502.0,6660.0,6341.0,6492.0,11756876789,1811031,1743,6440.0,6380.0
2016-10-15,6400.0,6460.0,6183.0,6273.0,10397876450,1657518,2135,6492.0,6331.0
2016-10-16,6281.0,6586.0,6224.0,6539.0,15137704330,2314891,1950,6273.0,6511.0
2016-10-17,6599.0,6762.0,6502.0,6609.0,6637497494,1004364,1028,6539.0,6502.0
2016-10-18,6501.0,6600.0,6340.0,6448.0,4740770063,735178,805,6609.0,6406.0
2016-10-19,6330.0,6770.0,6200.0,6710.0,29316632555,4369306,1904,6448.0,6770.0
2016-10-22,7045.0,7045.0,7045.0,7045.0,5367881390,761942,207,6710.0,7045.0
2016-10-23,7390.0,7397.0,7121.0,7359.0,43434296988,5901836,1997,7045.0,7397.0
2016-10-24,7500.0,7726.0,7500.0,7711.0,22519974868,2920385,918,7359.0,7726.0
2016-10-25,7940.0,8096.0,7800.0,8072.0,48282041081,5981345,2200,7711.0,8060.0
2016-10-26,8001.0,8475.0,8001.0,8322.0,21362647960,2566878,1124,8072.0,8475.0
2016-10-29,8690.0,8738.0,8384.0,8685.0,16802819200,1934630,1054,8322.0,8409.0
2016-10-30,8500.0,8800.0,8350.0,8605.0,10259976599,1192316,745,8685.0,8685.0
2016-10-31,8794.0,8889.0,8605.0,8760.0,11601514547,1324315,665,8605.0,8620.0
2016-11-01,8780.0,8797.0,8322.0,8580.0,10599986184,1235365,734,8760.0,8322.0
2016-11-02,8500.0,8700.0,8151.0,8491.0,18468252503,2175066,955,8580.0,8400.0
2016-11-05,8350.0,8700.0,8150.0,8449.0,6237537161,738263,418,8491.0,8199.0
2016-11-06,8200.0,8334.0,8140.0,8220.0,2685292902,326662,286,8449.0,8172.0
2016-11-07,8278.0,8400.0,8101.0,8291.0,3039436272,366593,306,8220.0,8222.0
2016-11-08,8104.0,8299.0,7963.0,8049.0,6279895914,780236,453,8291.0,7970.0
2016-11-09,7647.0,7947.0,7647.0,7755.0,10838876957,1397711,656,8049.0,7750.0
2016-11-12,7756.0,7870.0,7379.0,7480.0,4807062782,642658,311,7755.0,7381.0
2016-11-13,7372.0,7854.0,7372.0,7809.0,9750265362,1248542,431,7480.0,7854.0
2016-11-14,8000.0,8199.0,7970.0,8163.0,15575623984,1907989,667,7809.0,8175.0
2016-11-15,8425.0,8448.0,8180.0,8309.0,14335227319,1725184,609,8163.0,8225.0
2016-11-16,8559.0,8559.0,8335.0,8454.0,6421283615,759557,367,8309.0,8378.0
2016-11-19,8549.0,8549.0,8080.0,8224.0,4062654346,493981,214,8454.0,8090.0
2016-11-21,8266.0,8266.0,7902.0,8153.0,1963629146,240856,111,8224.0,7923.0
2016-11-22,8250.0,8250.0,7800.0,8034.0,3016129381,375408,230,8153.0,7880.0
2016-11-23,7852.0,7901.0,7643.0,7727.0,2549154523,329884,216,8034.0,7797.0
2016-11-26,7790.0,8113.0,7600.0,8096.0,4259037332,526089,341,7727.0,8042.0
2016-11-27,8150.0,8150.0,7800.0,7907.0,973757885,123149,115,8096.0,7879.0
2016-11-29,7999.0,8020.0,7820.0,7915.0,240644463,30403,72,7907.0,7834.0
2016-12-03,7755.0,7755.0,7520.0,7523.0,3403316295,452361,237,7915.0,7520.0
2016-12-04,7740.0,7740.0,7520.0,7558.0,871965806,115376,101,7523.0,7550.0
2016-12-05,7694.0,7698.0,7375.0,7454.0,1469508679,197139,207,7558.0,7500.0
2016-12-06,7400.0,7650.0,7215.0,7371.0,1990536699,270057,188,7454.0,7380.0
2016-12-07,7380.0,7500.0,7200.0,7351.0,1049627273,142784,145,7371.0,7350.0
2016-12-10,7155.0,7199.0,7011.0,7104.0,2174606962,306123,238,7351.0,7178.0
