date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-25,3700.0,3700.0,3700.0,3700.0,370000,100,1,3700.0,3700.0
2001-05-01,3700.0,3700.0,3700.0,3700.0,1665000,450,1,3700.0,3700.0
2001-05-05,3702.0,3702.0,3702.0,3702.0,1851000,500,1,3700.0,3702.0
2001-05-07,3702.0,3702.0,3702.0,3702.0,2776500,750,1,3702.0,3702.0
2001-05-08,3702.0,3702.0,3702.0,3702.0,1851000,500,1,3702.0,3702.0
2001-05-26,3850.0,3885.0,3850.0,3885.0,6970600,1806,2,3702.0,3885.0
2001-08-20,3501.0,3501.0,3501.0,3501.0,350100,100,1,3885.0,3501.0
2001-08-27,3676.0,3676.0,3676.0,3676.0,4043600,1100,4,3501.0,3676.0
2001-08-28,3681.0,3681.0,3681.0,3681.0,1012275,275,1,3676.0,3681.0
2001-09-03,3683.0,3683.0,3682.0,3682.0,2025375,550,2,3681.0,3682.0
2001-09-10,3800.0,3800.0,3702.0,3800.0,25908050,6825,3,3682.0,3800.0
2001-09-15,3803.0,3803.0,3803.0,3803.0,1045825,275,1,3800.0,3803.0
2001-09-16,3804.0,3804.0,3804.0,3804.0,1046100,275,1,3803.0,3804.0
2001-09-23,3804.0,3805.0,3804.0,3805.0,4813050,1265,2,3804.0,3805.0
2001-09-24,3809.0,3809.0,3809.0,3809.0,1047475,275,1,3805.0,3809.0
2001-09-29,3818.0,3818.0,3817.0,3818.0,4199550,1100,5,3809.0,3818.0
2001-10-08,3822.0,3822.0,3822.0,3822.0,1051050,275,1,3818.0,3822.0
2001-10-22,3834.0,3834.0,3834.0,3834.0,1054350,275,1,3822.0,3834.0
2001-10-23,3835.0,3835.0,3835.0,3835.0,1054625,275,1,3834.0,3835.0
2001-10-29,3861.0,3861.0,3861.0,3861.0,579150,150,1,3835.0,3861.0
2001-10-31,3881.0,3888.0,3881.0,3888.0,1456075,375,2,3861.0,3888.0
2001-11-03,3900.0,3900.0,3900.0,3900.0,1072500,275,1,3888.0,3900.0
2001-11-13,4095.0,4095.0,4095.0,4095.0,2252250,550,2,3900.0,4095.0
2001-12-01,4097.0,4097.0,4097.0,4097.0,1126675,275,1,4095.0,4097.0
2002-01-19,4301.0,4301.0,4301.0,4301.0,3548325,825,3,4097.0,4301.0
2002-01-30,4516.0,4516.0,4516.0,4516.0,2483800,550,1,4301.0,4516.0
2002-02-10,4741.0,4741.0,4741.0,4741.0,2607550,550,2,4516.0,4741.0
2002-02-24,4978.0,4978.0,4978.0,4978.0,2737900,550,2,4741.0,4978.0
2002-03-10,5226.0,5226.0,5226.0,5226.0,2874300,550,2,4978.0,5226.0
2002-03-27,5533.0,5830.0,5533.0,5821.0,2898833300,500000,138,5226.0,5821.0
