date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-05-13,1500.0,1500.0,1500.0,1500.0,600000,400,1,0.0,1500.0
2001-06-03,1500.0,1500.0,1500.0,1500.0,600000,400,1,1500.0,1500.0
2001-07-15,1460.0,1500.0,1460.0,1500.0,368000,250,5,1500.0,1500.0
2002-01-14,2500.0,2500.0,2500.0,2500.0,2500000,1000,1,1500.0,2500.0
2002-06-15,2625.0,2625.0,2625.0,2625.0,3675000,1400,1,2500.0,2625.0
2002-08-05,3776.0,4236.0,3255.0,4223.0,3838300000,1000000,332,2625.0,4223.0
2002-08-06,4434.0,4434.0,4434.0,4434.0,4434000000,1000000,282,4223.0,4434.0
2002-08-07,4544.0,4544.0,4544.0,4544.0,6816000000,1500000,412,4434.0,4544.0
2002-08-10,4657.0,4657.0,4657.0,4657.0,2794200000,600000,189,4544.0,4657.0
2002-08-11,4773.0,4773.0,4698.0,4773.0,2532429350,530865,308,4657.0,4773.0
2002-08-13,4773.0,4773.0,4654.0,4654.0,472616960,101305,56,4773.0,4654.0
2002-08-14,4538.0,4598.0,4538.0,4538.0,120000220,26380,27,4654.0,4538.0
2002-08-17,4425.0,4425.0,4425.0,4425.0,28417350,6422,8,4538.0,4425.0
2002-08-18,4315.0,4315.0,4315.0,4315.0,29018375,6725,2,4425.0,4315.0
2002-08-19,4351.0,4390.0,4100.0,4305.0,1332977792,312046,122,4315.0,4305.0
2002-08-20,4270.0,4292.0,4200.0,4292.0,604082631,141382,49,4305.0,4292.0
2002-08-21,4270.0,4370.0,4270.0,4318.0,3083393840,715697,128,4292.0,4318.0
2002-08-27,4318.0,4318.0,4317.0,4318.0,171638500,39750,15,4318.0,4318.0
2002-08-28,4318.0,4400.0,4318.0,4319.0,330747778,75940,36,4318.0,4319.0
2002-08-31,4399.0,4400.0,4320.0,4400.0,273195963,62213,21,4319.0,4400.0
2002-09-01,4401.0,4550.0,2775.0,4550.0,16388382800,5884094,3160,4400.0,4550.0
2002-09-02,4550.0,4700.0,4420.0,4420.0,7884450778,1778552,88,4550.0,4420.0
2002-09-03,4449.0,4571.0,4428.0,4450.0,903234807,199762,75,4420.0,4450.0
2002-09-04,4422.0,4600.0,4420.0,4420.0,8241954040,1863429,150,4450.0,4420.0
