date,open,high,low,adjClose,value,volume,count,close
2015-02-24,4577.0,4577.0,4577.0,4577.0,1212905000,265000,4,4577.0
2015-02-25,4577.0,4577.0,4577.0,4577.0,4165070000,910000,33,4577.0
2015-02-28,5010.0,5010.0,5010.0,5010.0,250500000,50000,2,5010.0
2015-03-01,5200.0,5200.0,5100.0,5174.0,201800000,39000,9,5200.0
2015-03-02,5200.0,5200.0,5200.0,5200.0,5200000,1000,1,5200.0
2015-03-03,5350.0,5400.0,5350.0,5375.0,107500000,20000,3,5400.0
2015-03-04,5511.0,5980.0,5511.0,5616.0,174090000,31000,4,5700.0
2015-03-08,5708.0,5708.0,5708.0,5708.0,68496000,12000,2,5708.0
2015-03-09,5705.0,6000.0,5705.0,5785.0,271892000,47000,4,5970.0
2015-03-10,5701.0,5701.0,5701.0,5701.0,74113000,13000,1,5701.0
2015-03-14,5700.0,5700.0,5700.0,5700.0,228000000,40000,1,5700.0
2015-03-18,5700.0,5700.0,5700.0,5700.0,655500000,115000,3,5700.0
2015-04-06,5980.0,5980.0,5980.0,5980.0,14902160,2492,2,5980.0
2015-04-11,5970.0,5970.0,5970.0,5970.0,11940000,2000,1,5970.0
2015-04-12,5969.0,5969.0,5969.0,5969.0,17907000,3000,1,5969.0
2015-04-15,5948.0,5948.0,5948.0,5948.0,11896000,2000,1,5948.0
2015-04-22,5930.0,5930.0,5930.0,5930.0,17790000,3000,1,5930.0
2015-04-26,5600.0,5600.0,5500.0,5540.0,2595519080,468508,23,5550.0
2015-04-27,5890.0,5900.0,5890.0,5900.0,247790000,42000,3,5900.0
2015-04-28,6000.0,6200.0,6000.0,6148.0,166000000,27000,2,6200.0
2015-04-29,6300.0,6350.0,6300.0,6341.0,234600000,37000,2,6350.0
2015-05-03,6800.0,7000.0,6800.0,6995.0,1434000000,205000,3,7000.0
2015-05-04,7300.0,7500.0,7300.0,7484.0,3805810000,508508,9,7500.0
2015-05-11,6700.0,6700.0,6700.0,6700.0,143996400,21492,2,6700.0
2016-08-27,2710.0,2710.0,2710.0,2710.0,81300000,30000,1,2710.0
2016-09-24,2711.0,2711.0,2701.0,2706.0,76693200,28345,5,2701.0
2016-09-25,2705.0,2705.0,2705.0,2705.0,34908025,12905,3,2705.0
2016-10-05,2706.0,2706.0,2706.0,2706.0,18942000,7000,1,2706.0
2016-10-24,2501.0,2501.0,2300.0,2350.0,94010000,40000,2,2300.0
2017-03-13,2090.0,2090.0,2090.0,2090.0,2090000,1000,1,2090.0
2017-03-15,2299.0,2299.0,2299.0,2299.0,6273971,2729,3,2299.0
2017-03-18,2299.0,2528.0,2299.0,2324.0,19081429,8211,4,2528.0
2017-03-28,2555.0,2556.0,2550.0,2556.0,145194160,56810,13,2550.0
2017-03-29,2599.0,2797.0,2597.0,2648.0,315026532,118990,20,2700.0
2017-04-03,2888.0,2890.0,2860.0,2872.0,286890520,99894,16,2890.0
2017-04-08,3050.0,3159.0,3050.0,3153.0,375844594,119193,23,3159.0
2017-04-09,3468.0,3468.0,2900.0,3074.0,83159930,27056,10,3100.0
2017-04-10,3200.0,3381.0,3100.0,3249.0,112565312,34649,16,3381.0
2017-04-12,3573.0,3573.0,3570.0,3573.0,517996449,144976,43,3573.0
2017-04-15,3930.0,3930.0,3477.0,3795.0,758148169,199794,36,3930.0
2017-04-16,4174.0,4174.0,3700.0,3950.0,659492474,166970,49,3999.0
2017-04-17,4298.0,4298.0,3620.0,3911.0,24661820,6306,5,3990.0
2017-04-18,4289.0,4289.0,3900.0,4152.0,40987408,9871,6,3900.0
2017-04-19,3901.0,3990.0,3740.0,3829.0,405298436,105837,25,3745.0
2017-04-22,3780.0,4039.0,3500.0,3567.0,132202344,37061,13,3500.0
2017-04-23,3270.0,3520.0,3211.0,3235.0,468974583,144951,16,3520.0
