date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-30,400.0,400.0,400.0,400.0,265600,664,5,1000.0,400.0
2014-01-05,200.0,200.0,200.0,200.0,600000,3000,1,400.0,200.0
2014-01-29,400.0,400.0,400.0,400.0,20000000,50000,1,200.0,400.0
2014-02-05,503.0,503.0,503.0,503.0,5030000,10000,1,400.0,503.0
2014-02-17,501.0,501.0,500.0,500.0,36463200,72900,2,503.0,500.0
2014-02-23,502.0,502.0,502.0,502.0,5020000,10000,1,500.0,502.0
2014-02-26,502.0,502.0,502.0,502.0,5020000,10000,1,502.0,502.0
2014-03-02,500.0,500.0,500.0,500.0,11500000,23000,1,502.0,500.0
2014-03-09,600.0,600.0,600.0,600.0,7920000,13200,1,500.0,600.0
2014-04-06,502.0,502.0,501.0,502.0,5539036,11036,3,600.0,501.0
2014-04-13,504.0,504.0,504.0,504.0,839160,1665,1,502.0,504.0
2014-04-16,504.0,504.0,504.0,504.0,12297600,24400,1,504.0,504.0
2014-05-25,630.0,630.0,630.0,630.0,13044780,20706,1,504.0,630.0
2014-05-26,630.0,630.0,630.0,630.0,4347000,6900,1,630.0,630.0
2014-06-01,635.0,635.0,635.0,635.0,657860,1036,1,630.0,635.0
2014-07-16,600.0,640.0,600.0,624.0,80984260,129738,11,635.0,637.0
2014-07-20,601.0,601.0,601.0,601.0,66110,110,1,624.0,601.0
2014-08-02,690.0,690.0,690.0,690.0,977730,1417,1,601.0,690.0
2014-08-09,604.0,604.0,604.0,604.0,2174400,3600,5,690.0,604.0
2014-08-10,607.0,607.0,607.0,607.0,121400,200,1,604.0,607.0
2014-08-11,700.0,700.0,690.0,700.0,6996040,10000,2,607.0,690.0
2014-08-17,690.0,690.0,689.0,689.0,3485520,5058,6,700.0,690.0
2014-08-31,689.0,689.0,689.0,689.0,6694324,9716,1,689.0,689.0
2014-09-10,608.0,700.0,608.0,683.0,1421040,2080,2,689.0,700.0
2014-09-13,609.0,609.0,609.0,609.0,1029210,1690,1,683.0,609.0
2014-09-16,609.0,609.0,609.0,609.0,294147,483,2,609.0,609.0
2014-09-17,609.0,609.0,609.0,609.0,392196,644,3,609.0,609.0
2014-10-07,700.0,750.0,700.0,701.0,30840200,43986,4,609.0,750.0
2014-10-08,780.0,900.0,780.0,781.0,19086540,24449,2,701.0,900.0
2014-10-11,1000.0,1000.0,1000.0,1000.0,43986000,43986,4,781.0,1000.0
2014-10-12,1300.0,1300.0,1100.0,1241.0,92990770,74913,9,1000.0,1190.0
2014-10-15,1111.0,1111.0,1111.0,1111.0,22220000,20000,2,1241.0,1111.0
2014-10-20,1100.0,1100.0,1100.0,1100.0,550000,500,1,1111.0,1100.0
2014-10-25,1100.0,1100.0,1100.0,1100.0,15637600,14216,1,1100.0,1100.0
