date,open,high,low,adjClose,value,volume,count,yesterday,close
2007-08-07,3350.0,3350.0,3350.0,3350.0,322940000000,96400000,9051,3350.0,3350.0
2007-08-08,3417.0,3417.0,3417.0,3417.0,12301200000,3600000,2082,3350.0,3417.0
2007-08-12,3485.0,3485.0,3485.0,3485.0,10524316650,3019890,2158,3417.0,3485.0
2007-08-13,3554.0,3554.0,3554.0,3554.0,10722702320,3017080,2061,3485.0,3554.0
2007-08-14,3625.0,3625.0,3625.0,3625.0,13211743875,3644619,2207,3554.0,3625.0
2007-08-15,3697.0,3697.0,3662.0,3662.0,2062459828,557874,626,3625.0,3662.0
2007-08-18,3735.0,3735.0,3735.0,3735.0,68615658855,18370993,6209,3662.0,3735.0
2007-08-19,3809.0,3809.0,3739.0,3739.0,209315277,54953,46,3735.0,3739.0
2007-08-20,3813.0,3813.0,3744.0,3744.0,267759609,70223,74,3739.0,3744.0
2007-08-21,3818.0,3818.0,3768.0,3768.0,1329461462,348209,346,3744.0,3768.0
2007-08-22,3843.0,3843.0,3776.0,3776.0,477553568,124266,159,3768.0,3776.0
2007-08-25,3851.0,3851.0,3780.0,3780.0,248943334,64644,98,3776.0,3780.0
2007-08-26,3855.0,3855.0,3797.0,3797.0,969404705,251467,192,3780.0,3797.0
2007-08-27,3872.0,3872.0,3814.0,3814.0,961080156,248213,205,3797.0,3814.0
2007-08-28,3890.0,3890.0,3828.0,3828.0,785153090,201839,135,3814.0,3828.0
2007-09-01,3904.0,3904.0,3840.0,3840.0,670632384,171781,168,3828.0,3840.0
2007-09-02,3916.0,3916.0,3846.0,3846.0,363255292,92762,85,3840.0,3846.0
2007-09-03,3922.0,3922.0,3865.0,3865.0,1062328038,270864,181,3846.0,3865.0
2007-09-04,3942.0,3942.0,3871.0,3871.0,321800518,81634,99,3865.0,3871.0
2007-09-05,3947.0,3948.0,3875.0,3875.0,235089826,59547,54,3871.0,3875.0
2007-09-08,3952.0,3952.0,3880.0,3880.0,302872656,76638,65,3875.0,3880.0
2007-09-09,3957.0,3957.0,3882.0,3882.0,136139835,34405,25,3880.0,3882.0
2007-09-10,3959.0,3959.0,3887.0,3887.0,306311069,77371,68,3882.0,3887.0
2007-09-11,3964.0,3964.0,3890.0,3890.0,163415160,41225,33,3887.0,3890.0
2007-09-12,3967.0,3967.0,2175.0,3893.0,247576413595,98687886,45,3890.0,3893.0
2007-09-15,3970.0,3970.0,3907.0,3907.0,800426800,201619,137,3893.0,3907.0
2007-09-16,3985.0,3985.0,3933.0,3933.0,1475565280,370280,278,3907.0,3933.0
2007-09-17,4011.0,4011.0,3995.0,3995.0,3485041421,868871,448,3933.0,3995.0
2007-09-18,4074.0,4074.0,4002.0,4002.0,418806480,102800,96,3995.0,4002.0
2007-09-19,4082.0,4082.0,4004.0,4004.0,120667222,29561,28,4002.0,4004.0
2007-09-22,4084.0,4084.0,4007.0,4007.0,152520294,37346,19,4004.0,4007.0
2007-09-23,4087.0,4087.0,4014.0,4014.0,376743017,92181,86,4007.0,4014.0
2007-09-24,4094.0,4094.0,4016.0,4016.0,94853106,23169,14,4014.0,4016.0
2007-09-25,4096.0,4096.0,4019.0,4019.0,172965118,42228,33,4016.0,4019.0
