date,open,high,low,adjClose,value,volume,count,close
2019-08-11,13000.0,13000.0,13000.0,13000.0,35653475000,2742575,292,13000.0
2019-08-13,13100.0,13650.0,12900.0,13490.0,78619695039,5827941,1081,13650.0
2019-08-14,14164.0,14164.0,14164.0,14164.0,14933232676,1054309,173,14164.0
2019-08-17,14872.0,14872.0,13750.0,14481.0,247706964509,17105684,5132,14070.0
2019-08-18,13801.0,14433.0,13757.0,13846.0,81715649215,5901683,1609,13757.0
2019-08-19,13154.0,14300.0,13154.0,13574.0,167296030647,12324556,3763,13990.0
2019-08-21,14252.0,14252.0,13910.0,14226.0,45706136809,3212755,794,14252.0
2019-08-24,14700.0,14700.0,13515.0,14052.0,134252092486,9553853,3411,13967.0
2019-08-25,13950.0,13950.0,13350.0,13499.0,90897508447,6733844,2367,13570.0
2019-08-26,13570.0,14000.0,13570.0,13834.0,45107573426,3260722,1431,13981.0
2019-08-27,14100.0,14100.0,13231.0,13630.0,46760621720,3430802,1626,13300.0
2019-08-28,13002.0,13450.0,12949.0,13099.0,47909040058,3657570,1695,13378.0
2019-08-31,13400.0,13753.0,13140.0,13569.0,71203558449,5247672,1732,13400.0
2019-09-01,13540.0,13949.0,13302.0,13539.0,35229050590,2601953,1026,13450.0
2019-09-02,13679.0,13679.0,12863.0,13025.0,53537075725,4110182,1484,12948.0
2019-09-03,12825.0,13500.0,12420.0,12991.0,45976193265,3539146,1227,13500.0
2019-09-04,13640.0,13640.0,13501.0,13639.0,62537443681,4585307,1041,13640.0
2019-09-07,14150.0,14250.0,13766.0,14029.0,57356551827,4088471,1882,13850.0
2019-09-08,13999.0,13999.0,13330.0,13585.0,51874302970,3818586,2050,13596.0
2019-09-11,13599.0,13600.0,13100.0,13343.0,35208477158,2638786,1433,13360.0
2019-09-14,13590.0,13590.0,12900.0,13105.0,64346313820,4909933,2174,13025.0
2019-09-15,13020.0,13299.0,12725.0,12966.0,59001893296,4550572,1801,13020.0
2019-09-16,13150.0,13600.0,13100.0,13354.0,43188675329,3234165,1354,13130.0
2019-09-17,13300.0,13399.0,12687.0,12898.0,46633895488,3615714,1754,12790.0
2019-09-18,12940.0,12940.0,12254.0,12346.0,48517671784,3929688,1599,12330.0
2019-09-21,12000.0,12930.0,12000.0,12502.0,42962822488,3436459,1239,12420.0
2019-09-22,12840.0,13643.0,12690.0,13173.0,42651798092,3237824,821,13291.0
2019-09-23,13588.0,13831.0,13500.0,13771.0,87156249537,6328914,1805,13570.0
2019-09-24,13699.0,13783.0,13083.0,13196.0,65875831855,4992091,1593,13083.0
2019-09-25,12854.0,13298.0,12854.0,13042.0,31254624252,2396400,1214,13030.0
2019-09-28,13031.0,13221.0,12809.0,12940.0,45080113756,3483875,2066,12870.0
2019-09-29,12998.0,12998.0,12357.0,12544.0,56822106429,4529779,1792,12525.0
2019-10-23,10500.0,11025.0,10500.0,10912.0,99225403283,9092924,935,11025.0
2019-10-26,10780.0,10912.0,10367.0,10430.0,98603777254,9453837,2596,10367.0
2019-10-28,10100.0,10695.0,10052.0,10286.0,53021942060,5154998,2031,10288.0
2019-10-30,10598.0,10800.0,10502.0,10723.0,16692299055,1556659,539,10800.0
2019-11-02,11241.0,11241.0,10498.0,10983.0,54171737296,4932119,1702,10900.0
2019-11-03,11140.0,11452.0,10800.0,11196.0,27911220034,2493009,1016,11260.0
2019-11-04,11300.0,11500.0,10706.0,11059.0,28801457085,2604314,1138,10910.0
2019-11-05,11598.0,11611.0,11150.0,11595.0,31939042656,2754615,427,11611.0
2019-11-11,12174.0,12782.0,12174.0,12770.0,16374962788,1282254,187,12782.0
2019-11-12,13408.0,13408.0,13408.0,13408.0,4888623840,364605,153,13408.0
2019-11-13,14078.0,14078.0,14078.0,14078.0,37302152806,2649677,433,14078.0
2019-11-16,14781.0,14781.0,14781.0,14781.0,67709662098,4580858,550,14781.0
2019-11-17,14042.0,15520.0,14042.0,15039.0,553510770964,36805303,6426,15520.0
2019-11-18,15589.0,15790.0,15330.0,15646.0,33700000252,2153913,682,15790.0
2019-11-19,16428.0,16428.0,16428.0,16428.0,19824012588,1206721,225,16428.0
2019-11-20,17249.0,17249.0,17249.0,17249.0,13295925927,770823,241,17249.0
2019-11-23,18111.0,18111.0,16810.0,17932.0,1022426653854,57018089,12324,17900.0
2019-11-24,17777.0,17896.0,17101.0,17415.0,133547021267,7668501,2523,17316.0
2019-12-10,18285.0,19199.0,17700.0,18721.0,555836614904,29690139,6666,17911.0
2019-12-11,18222.0,18444.0,17785.0,17915.0,322852231693,18020921,5036,17793.0
2019-12-14,17701.0,18810.0,17701.0,18627.0,87415434087,4693000,994,18810.0
2019-12-15,19390.0,19558.0,19000.0,19487.0,249926471994,12825071,2844,19558.0
2019-12-16,20300.0,20461.0,20100.0,20395.0,76083561128,3730436,797,20461.0
2019-12-17,21414.0,21414.0,21414.0,21414.0,8882912652,414818,173,21414.0
2019-12-18,22484.0,22484.0,22484.0,22484.0,12766437684,567801,206,22484.0
2019-12-21,23608.0,23608.0,23608.0,23608.0,115710645856,4901332,410,23608.0
2019-12-22,24788.0,24788.0,23800.0,24647.0,874689505115,35488828,9938,24300.0
2019-12-23,24300.0,25879.0,23415.0,24590.0,569396409889,23155762,7840,24349.0
2019-12-24,24349.0,25100.0,23361.0,23829.0,284392638672,11934861,5145,23361.0
2019-12-25,23950.0,23950.0,22638.0,22827.0,276005441595,12091390,5267,23000.0
2019-12-28,23300.0,23968.0,23150.0,23857.0,71295360487,2988473,979,23968.0
2019-12-29,25049.0,25049.0,24500.0,25015.0,315256532127,12602671,3035,25049.0
2019-12-30,25900.0,26000.0,24501.0,25317.0,269689044105,10652632,5558,25080.0
2019-12-31,25399.0,25399.0,24052.0,24139.0,273073970288,11312662,4530,24052.0
