date,open,high,low,adjClose,value,volume,count,close
2001-04-15,1500.0,1500.0,1500.0,1500.0,208500,139,1,1500.0
2001-04-22,1500.0,1500.0,1500.0,1500.0,23788500,15859,4,1500.0
2001-04-23,1500.0,1500.0,1500.0,1500.0,4500000,3000,2,1500.0
2001-04-24,1501.0,1501.0,1501.0,1501.0,6704967,4467,1,1501.0
2001-04-28,1501.0,1501.0,1501.0,1501.0,12008000,8000,4,1501.0
2001-04-29,1505.0,1520.0,1505.0,1520.0,10593690,7008,7,1520.0
2001-04-30,1500.0,1500.0,1500.0,1500.0,11904000,7936,4,1500.0
2001-05-01,1500.0,1502.0,1500.0,1502.0,12757000,8500,2,1502.0
2001-05-07,1550.0,1550.0,1550.0,1550.0,7750000,5000,2,1550.0
2001-05-09,1627.0,1627.0,1627.0,1627.0,3254000,2000,1,1627.0
2001-05-12,1627.0,1627.0,1627.0,1627.0,20337500,12500,3,1627.0
2001-05-21,1709.0,1850.0,1650.0,1850.0,27033907,15665,14,1850.0
2001-05-23,1850.0,1853.0,1850.0,1850.0,33947000,18340,11,1850.0
2001-05-26,1850.0,1850.0,1850.0,1850.0,18241000,9860,8,1850.0
2001-05-27,1942.0,1942.0,1942.0,1942.0,17747938,9139,3,1942.0
2001-05-28,2039.0,2039.0,2039.0,2039.0,42819000,21000,10,2039.0
2001-05-29,2038.0,2039.0,2038.0,2039.0,15982920,7840,4,2039.0
2001-05-30,2041.0,2060.0,2041.0,2060.0,128020982,62360,11,2060.0
2001-06-02,2042.0,2042.0,2042.0,2042.0,40304996,19738,11,2042.0
2001-06-03,2036.0,2039.0,2000.0,2000.0,38127740,18784,8,2000.0
2001-06-09,1989.0,1998.0,1954.0,1960.0,82972505,42215,24,1960.0
2001-07-10,1600.0,1600.0,1600.0,1600.0,800000,500,1,1600.0
2001-07-14,1601.0,1601.0,1601.0,1601.0,246554,154,1,1601.0
2001-07-16,1610.0,1610.0,1606.0,1610.0,22238980,13818,7,1610.0
2001-07-17,1610.0,1610.0,1610.0,1610.0,1903020,1182,1,1610.0
