date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-25,9849.0,9849.0,9849.0,9849.0,896259,91,1,0.0,9849.0
2001-03-26,9840.0,9840.0,9840.0,9840.0,1977840,201,1,9849.0,9840.0
2001-03-27,9794.0,9794.0,9794.0,9794.0,1488688,152,1,9840.0,9794.0
2001-03-28,9794.0,9990.0,9793.0,9990.0,75629962,7658,20,9794.0,9990.0
2001-04-07,9985.0,10000.0,9985.0,9990.0,37469010,3748,12,9990.0,9990.0
2001-04-09,9990.0,9990.0,9990.0,9990.0,5184810,519,3,9990.0,9990.0
2001-04-11,10000.0,10000.0,10000.0,10000.0,10000000,1000,2,9990.0,10000.0
2001-04-14,10000.0,10000.0,10000.0,10000.0,250000,25,1,10000.0,10000.0
2001-04-15,10000.0,10001.0,10000.0,10001.0,15450075,1545,8,10000.0,10001.0
2001-04-16,10020.0,10021.0,10020.0,10021.0,24750310,2470,11,10001.0,10021.0
2001-04-17,10027.0,10027.0,10027.0,10027.0,501350,50,2,10021.0,10027.0
2001-04-21,10041.0,10050.0,10041.0,10050.0,7812996,778,5,10027.0,10050.0
2001-04-22,10064.0,10065.0,10051.0,10051.0,27169383,2701,12,10050.0,10051.0
2001-04-23,10061.0,10065.0,10061.0,10061.0,6863602,682,6,10051.0,10061.0
2001-04-24,10062.0,10062.0,10062.0,10062.0,18343026,1823,11,10061.0,10062.0
2001-04-28,10200.0,10200.0,10200.0,10200.0,5100000,500,3,10062.0,10200.0
2001-04-29,10200.0,10206.0,10200.0,10206.0,3060275,300,4,10200.0,10206.0
2001-04-30,10295.0,10301.0,10212.0,10301.0,12022853,1169,6,10206.0,10301.0
2001-05-01,10500.0,10506.0,10313.0,10506.0,32451796,3092,9,10301.0,10506.0
2001-05-05,10547.0,10547.0,10547.0,10547.0,3543792,336,1,10506.0,10547.0
2001-05-06,10602.0,10944.0,10601.0,10650.0,87007818,8118,23,10547.0,10650.0
2001-05-07,10750.0,10750.0,10750.0,10750.0,10750000,1000,1,10650.0,10750.0
2001-05-08,11000.0,11111.0,11000.0,11111.0,45856548,4155,14,10750.0,11111.0
2001-05-09,11121.0,11125.0,11120.0,11125.0,11667550,1049,5,11111.0,11125.0
2001-05-13,11681.0,11681.0,11681.0,11681.0,42051600,3600,2,11125.0,11681.0
2001-05-15,11682.0,11682.0,11682.0,11682.0,292050,25,1,11681.0,11682.0
2001-05-16,11682.0,11717.0,11682.0,11717.0,6426800,550,4,11682.0,11717.0
2001-05-19,11738.0,11801.0,11736.0,11736.0,54034406,4590,18,11717.0,11736.0
2001-05-20,11738.0,12000.0,11738.0,11990.0,29391450,2450,5,11736.0,11990.0
2001-05-21,11900.0,11900.0,11800.0,11800.0,56460183,4747,11,11990.0,11800.0
2001-05-23,11990.0,12000.0,11990.0,12000.0,27638140,2304,7,11800.0,12000.0
2001-05-26,12000.0,12000.0,12000.0,12000.0,12936000,1078,4,12000.0,12000.0
2001-05-27,12002.0,12002.0,12002.0,12002.0,2172362,181,1,12000.0,12002.0
2001-05-28,12001.0,12001.0,12000.0,12000.0,19440060,1620,11,12002.0,12000.0
2001-05-29,12001.0,12001.0,12000.0,12000.0,14064085,1172,7,12000.0,12000.0
2001-05-30,12001.0,12001.0,11990.0,12000.0,19894247,1658,8,12000.0,12000.0
2001-06-02,12001.0,12001.0,12000.0,12000.0,39360566,3280,11,12000.0,12000.0
2001-06-03,12003.0,12003.0,12003.0,12003.0,3900975,325,3,12000.0,12003.0
2001-06-06,12006.0,12009.0,12006.0,12006.0,18767047,1563,10,12003.0,12006.0
2001-06-09,12007.0,12009.0,12007.0,12009.0,6183865,515,2,12006.0,12009.0
2001-06-11,12100.0,12105.0,12041.0,12100.0,174341259,14409,23,12009.0,12100.0
2001-06-12,12102.0,12130.0,11998.0,11998.0,76103636,6295,17,12100.0,11998.0
2001-06-13,11995.0,11995.0,11995.0,11995.0,1379425,115,1,11998.0,11995.0
2001-06-16,11989.0,11989.0,11989.0,11989.0,12948120,1080,1,11995.0,11989.0
2001-06-17,11600.0,11948.0,11600.0,11600.0,42893900,3625,4,11989.0,11600.0
2001-06-18,11575.0,11578.0,11575.0,11578.0,11577100,1000,2,11600.0,11578.0
2001-06-19,11500.0,11500.0,11000.0,11000.0,49750000,4500,9,11578.0,11000.0
2001-06-25,10451.0,10520.0,10450.0,10520.0,37164486,3551,8,11000.0,10520.0
2001-06-26,10573.0,10622.0,10573.0,10622.0,29485649,2784,11,10520.0,10622.0
2001-06-27,10622.0,10632.0,10622.0,10632.0,13430148,1264,4,10622.0,10632.0
2001-06-30,10899.0,10900.0,10710.0,10900.0,38145512,3505,8,10632.0,10900.0
2001-07-01,10905.0,10905.0,10905.0,10905.0,15299715,1403,4,10900.0,10905.0
2001-07-02,10911.0,10930.0,10911.0,10930.0,19879011,1820,7,10905.0,10930.0
2001-07-03,10930.0,10930.0,10913.0,10913.0,1780043,163,5,10930.0,10913.0
2001-07-04,10916.0,10930.0,10913.0,10913.0,40046126,3668,13,10913.0,10913.0
2001-07-07,10913.0,10914.0,10913.0,10914.0,5413121,496,3,10913.0,10914.0
2001-07-08,10919.0,10919.0,10918.0,10919.0,9106231,834,4,10914.0,10919.0
2001-07-09,10930.0,11000.0,10930.0,11000.0,44692790,4067,12,10919.0,11000.0
2001-07-10,11010.0,11020.0,11010.0,11020.0,33585750,3050,6,11000.0,11020.0
2001-07-14,11000.0,11000.0,11000.0,11000.0,11561000,1051,5,11020.0,11000.0
2001-07-15,10999.0,10999.0,10900.0,10900.0,19847400,1815,5,11000.0,10900.0
2001-07-16,10800.0,10800.0,10800.0,10800.0,7279200,674,3,10900.0,10800.0
2001-07-17,10700.0,10700.0,10698.0,10698.0,7767400,726,3,10800.0,10698.0
2001-07-18,10500.0,10695.0,10450.0,10450.0,40370750,3835,13,10698.0,10450.0
2001-07-21,10600.0,10600.0,10450.0,10456.0,14680030,1402,9,10450.0,10456.0
