date,open,high,low,adjClose,value,volume,count,yesterday,close
2007-02-04,4000.0,4000.0,3600.0,3704.0,640374172370,172898994,2489,4000.0,3704.0
2007-02-05,3778.0,3778.0,3778.0,3778.0,40902501888,10826496,1709,3704.0,3778.0
2007-02-06,3853.0,3853.0,3853.0,3853.0,103453562449,26850133,4118,3778.0,3853.0
2007-02-07,3930.0,3930.0,3930.0,3930.0,122171316570,31086849,4247,3853.0,3930.0
2007-02-10,4008.0,4008.0,4008.0,4008.0,162907276224,40645528,4984,3930.0,4008.0
2007-02-12,4088.0,4088.0,4012.0,4012.0,881016384,215513,93,4008.0,4012.0
2007-02-13,4092.0,4092.0,4092.0,4092.0,20912264208,5110524,1123,4012.0,4092.0
2007-02-14,4173.0,4173.0,4173.0,4173.0,21297439644,5103628,1152,4092.0,4173.0
2007-02-17,4256.0,4256.0,4141.0,4235.0,149512486901,35308907,7352,4173.0,4235.0
2007-02-18,4240.0,4257.0,4151.0,4227.0,62631121478,14815582,2667,4235.0,4227.0
2007-02-19,4143.0,4216.0,4143.0,4216.0,2337584905,564225,160,4227.0,4216.0
2007-02-20,4132.0,4191.0,4132.0,4191.0,5596881362,1354521,335,4216.0,4191.0
2007-03-13,4189.0,4197.0,4040.0,4111.0,7936965855,1930522,473,4191.0,4111.0
2007-03-14,4088.0,4120.0,1852.0,4093.0,2155002873707,1160513315,606,4111.0,4093.0
2007-03-17,4159.0,4165.0,4072.0,4100.0,15089656174,3663321,506,4093.0,4100.0
2007-03-19,4112.0,4182.0,4112.0,4120.0,6002665724,1436849,262,4100.0,4120.0
2007-03-25,4202.0,4202.0,4149.0,4149.0,6845517612,1629327,415,4120.0,4149.0
2007-03-26,4231.0,4231.0,4149.0,4149.0,118039849,27899,14,4149.0,4149.0
2007-03-27,4231.0,4231.0,4149.0,4149.0,112264534,26534,21,4149.0,4149.0
2007-03-28,4231.0,4231.0,4151.0,4151.0,555148710,131210,52,4149.0,4151.0
2007-03-31,4234.0,4234.0,4156.0,4156.0,1245637786,294199,113,4151.0,4156.0
2007-04-03,4239.0,4239.0,4158.0,4158.0,498976119,117711,57,4156.0,4158.0
2007-04-04,4241.0,4241.0,4163.0,4163.0,1106268311,260851,116,4158.0,4163.0
2007-04-07,4246.0,4246.0,4169.0,4169.0,1387256596,326721,172,4163.0,4169.0
2007-04-08,4252.0,4252.0,4177.0,4177.0,1860444842,437546,212,4169.0,4177.0
2007-04-09,4260.0,4260.0,4183.0,4183.0,1365474070,320534,150,4177.0,4183.0
2007-04-10,4266.0,4266.0,4188.0,4188.0,1219469448,285858,173,4183.0,4188.0
2007-04-11,4271.0,4271.0,4192.0,4192.0,921616945,215785,159,4188.0,4192.0
2007-04-14,4275.0,4275.0,4197.0,4197.0,1107750045,259123,151,4192.0,4197.0
2007-04-15,4280.0,4280.0,4200.0,4200.0,642149000,150035,87,4197.0,4200.0
2007-04-16,4284.0,4284.0,4202.0,4202.0,439953128,102697,83,4200.0,4202.0
2007-04-17,4286.0,4286.0,4204.0,4204.0,516505040,120510,113,4202.0,4204.0
2007-04-18,4288.0,4288.0,4211.0,4211.0,1685226110,393010,289,4204.0,4211.0
2007-04-21,4295.0,4295.0,4217.0,4217.0,1479540820,344480,264,4211.0,4217.0
2007-04-22,4301.0,4301.0,4223.0,4223.0,1470455207,341887,320,4217.0,4223.0
2007-04-23,4307.0,4307.0,4229.0,4229.0,1319797537,306431,249,4223.0,4229.0
2007-04-24,4313.0,4313.0,4233.0,4233.0,892242449,206873,150,4229.0,4233.0
2007-04-25,4317.0,4317.0,4317.0,4317.0,43213170000,10010000,3181,4233.0,4317.0
2007-04-28,4403.0,4403.0,4403.0,4403.0,88143863941,20019047,4410,4317.0,4403.0
2007-04-29,4491.0,4491.0,4491.0,4491.0,91675582398,20413178,3788,4403.0,4491.0
2007-04-30,4580.0,4580.0,4502.0,4576.0,141254128146,30863520,6470,4491.0,4576.0
2007-05-01,4576.0,4667.0,4512.0,4614.0,27488246887,5956891,1602,4576.0,4614.0
2007-05-02,4639.0,4706.0,4614.0,4700.0,42143571253,8963844,1410,4614.0,4700.0
2007-05-05,4794.0,4794.0,4760.0,4793.0,98140059315,20471440,1590,4700.0,4793.0
2007-05-06,4850.0,4888.0,4830.0,4887.0,84060638460,17198866,1351,4793.0,4887.0
2007-05-07,4984.0,4984.0,4984.0,4984.0,75702130504,15189031,995,4887.0,4984.0
2007-05-08,5083.0,5083.0,5059.0,5059.0,17918057645,3525095,443,4984.0,5059.0
2007-05-09,5160.0,5160.0,5153.0,5159.0,60429566136,11711229,1579,5059.0,5159.0
2007-05-12,5262.0,5262.0,5082.0,5221.0,55343813731,10598792,1928,5159.0,5221.0
2007-05-13,5279.0,5325.0,5250.0,5324.0,41441458190,7783711,996,5221.0,5324.0
2007-05-14,5410.0,5430.0,5327.0,5414.0,126137123952,23316685,1682,5324.0,5414.0
2007-05-15,5321.0,5399.0,5306.0,5310.0,48757077414,9180877,895,5414.0,5310.0
2007-05-16,5204.0,5310.0,5204.0,5213.0,70929247814,13605148,1784,5310.0,5213.0
2007-05-19,5109.0,5179.0,5109.0,5109.0,24696276783,4833707,462,5213.0,5109.0
2007-05-20,5007.0,5100.0,5007.0,5013.0,40635572486,8104843,966,5109.0,5013.0
2007-05-21,5100.0,5113.0,5000.0,5063.0,19922887606,3927632,671,5013.0,5063.0
2007-05-22,5157.0,5164.0,5100.0,5118.0,13235755253,2563487,315,5063.0,5118.0
2007-05-23,5118.0,5118.0,5016.0,5021.0,29753090299,5925264,698,5118.0,5021.0
2007-05-26,5015.0,5015.0,4921.0,4933.0,20110412964,4086050,367,5021.0,4933.0
2007-05-27,4841.0,5031.0,4841.0,4931.0,17267182013,3502315,834,4933.0,4931.0
2007-05-28,5004.0,5029.0,4901.0,4945.0,6295387858,1263561,373,4931.0,4945.0
2007-05-29,4990.0,5043.0,4985.0,4985.0,11592663019,2302219,538,4945.0,4985.0
2007-05-30,5078.0,5084.0,2352.0,5081.0,803546423644,260336069,977,4985.0,5081.0
2007-06-02,5182.0,5182.0,5132.0,5132.0,12023130804,2320172,496,5081.0,5132.0
2007-06-24,4901.0,4990.0,4801.0,4862.0,63144425114,12985678,2996,5132.0,4862.0
2007-06-25,4900.0,4959.0,4877.0,4913.0,25341672066,5160953,1055,4862.0,4913.0
2007-06-26,4943.0,4947.0,4815.0,4818.0,35029182036,7269805,1178,4913.0,4818.0
2007-06-27,4751.0,4753.0,4722.0,4722.0,29925812213,6336469,1018,4818.0,4722.0
2007-06-30,4816.0,4816.0,4784.0,4784.0,7374764560,1531305,415,4722.0,4784.0
2007-07-01,4879.0,4879.0,4842.0,4842.0,6910937244,1416466,454,4784.0,4842.0
2007-07-02,4938.0,4938.0,4896.0,4896.0,6458938146,1308007,540,4842.0,4896.0
2007-07-03,4993.0,4993.0,4958.0,4958.0,7441017620,1490290,750,4896.0,4958.0
2007-07-04,5057.0,5057.0,5017.0,5017.0,7004399730,1385090,835,4958.0,5017.0
2007-07-07,5117.0,5117.0,5074.0,5074.0,6757745152,1320646,740,5017.0,5074.0
2007-07-08,5175.0,5175.0,5154.0,5154.0,9532106565,1841953,914,5074.0,5154.0
2007-07-09,5257.0,5257.0,5254.0,5254.0,11849141288,2253974,671,5154.0,5254.0
2007-07-10,5359.0,5359.0,5345.0,5345.0,10786128827,2012713,631,5254.0,5345.0
2007-07-11,5451.0,5451.0,5451.0,5451.0,16716401817,3066667,850,5345.0,5451.0
2007-07-14,5560.0,5560.0,5560.0,5560.0,33118473600,5956560,1071,5451.0,5560.0
2007-07-15,5671.0,5671.0,5449.0,5550.0,104052758169,18748194,2447,5560.0,5550.0
2007-07-16,5639.0,5661.0,5507.0,5645.0,93232757927,16515576,2115,5550.0,5645.0
2007-07-17,5644.0,5757.0,5637.0,5700.0,38788637651,6804080,1122,5645.0,5700.0
2007-07-18,5720.0,5777.0,5638.0,5692.0,15772986129,2769881,679,5700.0,5692.0
2007-07-21,5805.0,5805.0,5753.0,5804.0,72490738038,12489496,1679,5692.0,5804.0
2007-07-22,5887.0,5920.0,5869.0,5919.0,81084935564,13698633,1392,5804.0,5919.0
2007-07-23,6037.0,6037.0,6037.0,6037.0,34522173984,5718432,587,5919.0,6037.0
2007-07-24,6157.0,6157.0,6081.0,6149.0,99692413075,16211810,2170,6037.0,6149.0
2007-07-25,6210.0,6271.0,6152.0,6227.0,27435186640,4405659,945,6149.0,6227.0
2007-07-29,6318.0,6351.0,6261.0,6337.0,32072912370,5060601,814,6227.0,6337.0
2007-07-30,6463.0,6463.0,6442.0,6442.0,12520911876,1937322,261,6337.0,6442.0
2007-07-31,6570.0,6570.0,6447.0,6447.0,601390290,91536,69,6442.0,6447.0
2007-08-01,6575.0,6575.0,6451.0,6451.0,477968385,72695,64,6447.0,6451.0
2007-08-04,6580.0,6580.0,6580.0,6580.0,32902474080,5000376,764,6451.0,6580.0
2007-08-05,6711.0,6711.0,6594.0,6594.0,1714719729,255509,87,6580.0,6594.0
2007-08-06,6725.0,6725.0,6609.0,6609.0,1775035690,263946,94,6594.0,6609.0
2007-08-07,6741.0,6741.0,6618.0,6618.0,1085306511,161001,93,6609.0,6618.0
2007-08-08,6750.0,6750.0,6623.0,6623.0,624812480,92565,51,6618.0,6623.0
2007-08-12,6755.0,6755.0,6662.0,6662.0,4665049355,690607,261,6623.0,6662.0
2007-08-13,6795.0,6795.0,6674.0,6674.0,1381694090,203340,90,6662.0,6674.0
