date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-07-09,1300.0,1305.0,1231.0,1299.0,3137838900,2416253,291,1000.0,1231.0
2011-07-13,1235.0,1235.0,1235.0,1235.0,1235000,1000,2,1299.0,1235.0
2011-07-16,1174.0,1174.0,1174.0,1174.0,1174000,1000,1,1235.0,1174.0
2011-07-24,1116.0,1116.0,1116.0,1116.0,1116000,1000,1,1174.0,1116.0
2011-07-25,1061.0,1061.0,1061.0,1061.0,25739860,24260,3,1116.0,1061.0
2011-07-26,1008.0,1008.0,1008.0,1008.0,10080000,10000,1,1061.0,1008.0
2011-07-30,958.0,958.0,958.0,958.0,958000,1000,1,1008.0,958.0
2011-07-31,911.0,911.0,911.0,911.0,27330000,30000,5,958.0,911.0
2011-08-01,867.0,926.0,866.0,876.0,639310500,730030,99,911.0,866.0
2011-08-02,836.0,919.0,836.0,905.0,177420201,196000,36,876.0,919.0
2011-08-03,949.0,949.0,860.0,867.0,467188660,538581,80,905.0,860.0
2011-08-06,904.0,904.0,824.0,828.0,261423360,315740,53,867.0,824.0
2011-08-07,800.0,859.0,800.0,810.0,48604000,60000,10,828.0,810.0
2011-08-08,850.0,850.0,850.0,850.0,34000000,40000,4,810.0,850.0
2011-08-09,892.0,892.0,892.0,892.0,38356,43,2,850.0,892.0
2011-08-10,936.0,936.0,936.0,936.0,936000,1000,1,892.0,936.0
2011-08-13,982.0,982.0,982.0,982.0,4910000,5000,1,936.0,982.0
2011-08-14,1031.0,1031.0,1031.0,1031.0,5155000,5000,2,982.0,1031.0
2011-08-15,1082.0,1082.0,1082.0,1082.0,5410000,5000,1,1031.0,1082.0
2011-08-16,1136.0,1136.0,1136.0,1136.0,5680000,5000,1,1082.0,1136.0
2011-08-17,1192.0,1192.0,1192.0,1192.0,1192000,1000,1,1136.0,1192.0
2011-08-20,1251.0,1251.0,1251.0,1251.0,170136000,136000,15,1192.0,1251.0
2011-08-21,1313.0,1313.0,1313.0,1313.0,4332900,3300,1,1251.0,1313.0
2011-08-23,1378.0,1378.0,1378.0,1378.0,1102400000,800000,98,1313.0,1378.0
2011-08-24,1446.0,1446.0,1440.0,1446.0,12106611770,8372495,1189,1378.0,1446.0
2011-08-27,1518.0,1518.0,1518.0,1518.0,15180000,10000,2,1446.0,1518.0
2011-08-28,1593.0,1593.0,1518.0,1591.0,19452249893,12226161,2558,1518.0,1520.0
2011-08-29,1512.0,1567.0,1512.0,1515.0,8545515799,5640733,1251,1591.0,1512.0
2011-08-30,1550.0,1590.0,1500.0,1581.0,15964225574,10095198,2129,1515.0,1590.0
2011-09-03,1645.0,1660.0,1615.0,1647.0,2409786460,1462853,257,1581.0,1660.0
2011-09-04,1729.0,1729.0,1720.0,1729.0,22606525089,13075101,2596,1647.0,1729.0
2011-09-05,1815.0,1815.0,1815.0,1815.0,59895000,33000,7,1729.0,1815.0
2011-09-06,1905.0,1905.0,1905.0,1905.0,150948390,79238,25,1815.0,1905.0
2011-10-04,1910.0,2180.0,1840.0,2028.0,21579786244,10639808,2705,1905.0,2132.0
2011-10-05,2129.0,2129.0,2101.0,2128.0,12851911547,6038283,1512,2028.0,2129.0
2011-10-08,2120.0,2175.0,2022.0,2049.0,13407810423,6543535,1725,2128.0,2022.0
2011-10-09,2010.0,2130.0,1955.0,2044.0,9177766540,4489129,1292,2049.0,2050.0
2011-10-10,2101.0,2146.0,2101.0,2145.0,11313828378,5273818,713,2044.0,2123.0
2011-10-11,2150.0,2251.0,2150.0,2206.0,15888146416,7201319,1478,2145.0,2165.0
2011-10-12,2197.0,2197.0,2130.0,2157.0,4850891653,2248647,596,2206.0,2177.0
2011-10-15,2231.0,2237.0,2080.0,2143.0,5496252558,2564670,643,2157.0,2087.0
2011-10-16,2089.0,2139.0,2036.0,2039.0,2863599645,1404092,382,2143.0,2036.0
2011-10-17,2030.0,2078.0,1981.0,2017.0,4660091615,2310193,527,2039.0,2030.0
2011-10-18,2077.0,2100.0,2000.0,2046.0,4247123613,2075779,474,2017.0,2010.0
2011-10-19,2069.0,2069.0,1974.0,1997.0,2157894862,1080720,325,2046.0,1990.0
2011-10-22,2017.0,2017.0,1901.0,1928.0,3183359936,1650706,411,1997.0,1932.0
2011-10-23,1901.0,1949.0,1850.0,1900.0,2745988852,1445548,411,1928.0,1925.0
2011-10-24,1940.0,1940.0,1805.0,1825.0,4148897421,2273428,365,1900.0,1840.0
2011-10-25,1811.0,1888.0,1804.0,1849.0,3054973085,1652021,196,1825.0,1860.0
2011-10-26,1872.0,1920.0,1811.0,1864.0,1327256592,711931,102,1849.0,1840.0
2011-10-29,1894.0,1894.0,1821.0,1847.0,635988980,344389,83,1864.0,1867.0
