date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-02-13,2500.0,2500.0,2000.0,2280.0,1073443600,470788,13,1000.0,2000.0
2016-02-14,2000.0,2100.0,1200.0,1659.0,904470105,545347,20,2280.0,2000.0
2016-02-15,2000.0,2210.0,1830.0,2044.0,1446291520,707704,27,1659.0,2200.0
2016-02-16,2350.0,2900.0,2200.0,2548.0,1703014040,668402,30,2044.0,2500.0
2016-02-17,2910.0,3200.0,2910.0,3034.0,1145706950,377645,15,2548.0,3200.0
2016-02-20,3505.0,3800.0,3300.0,3645.0,1736945000,476500,29,3034.0,3700.0
2016-02-21,3800.0,4200.0,3300.0,3803.0,3018248871,793688,51,3645.0,3300.0
2016-02-22,3350.0,4700.0,3310.0,4097.0,692851708,169114,25,3803.0,3800.0
2016-02-23,3800.0,3800.0,2801.0,3217.0,3334352312,1036333,42,4097.0,3000.0
2016-02-24,3000.0,3000.0,3000.0,3000.0,36300000,12100,2,3217.0,3000.0
2016-02-28,2750.0,2997.0,2690.0,2786.0,116220480,41721,10,3000.0,2690.0
2016-03-01,2540.0,2650.0,2410.0,2559.0,887495650,346777,17,2786.0,2410.0
2016-03-02,2500.0,2650.0,2500.0,2567.0,1765053716,687656,24,2559.0,2640.0
2016-03-05,2650.0,2652.0,2550.0,2606.0,1257726040,482679,23,2567.0,2649.0
2016-03-06,2650.0,2996.0,2350.0,2449.0,1349140000,551000,20,2606.0,2412.0
2016-03-07,2334.0,2549.0,2330.0,2344.0,1392511000,594000,16,2449.0,2350.0
2016-03-08,2400.0,2450.0,2400.0,2420.0,800704300,330885,21,2344.0,2400.0
2016-03-09,2395.0,2400.0,2226.0,2280.0,355844875,156044,10,2420.0,2400.0
2016-03-12,2250.0,2400.0,2250.0,2318.0,239817800,103442,16,2280.0,2350.0
2016-03-15,2222.0,2253.0,2220.0,2229.0,404351591,181397,18,2318.0,2220.0
2016-03-16,2250.0,2250.0,2065.0,2182.0,639338630,292980,15,2229.0,2065.0
2016-03-26,2390.0,2490.0,2120.0,2355.0,309251100,131317,10,2182.0,2489.0
2016-03-28,2485.0,2500.0,2485.0,2487.0,591131088,237736,9,2355.0,2500.0
2016-03-29,2600.0,2600.0,2590.0,2598.0,43120000,16600,6,2487.0,2600.0
2016-04-02,2595.0,2600.0,2450.0,2576.0,34992070,13584,4,2598.0,2450.0
2016-04-03,2550.0,2590.0,2470.0,2503.0,556775880,222416,12,2576.0,2470.0
2016-04-04,2580.0,2600.0,2580.0,2589.0,207100000,80000,4,2503.0,2580.0
2016-04-05,2595.0,2595.0,2425.0,2436.0,129730775,53245,6,2589.0,2440.0
2016-04-06,2500.0,3000.0,2500.0,2736.0,756389917,276496,18,2436.0,2990.0
2016-04-09,2850.0,3300.0,2850.0,2984.0,820413362,274918,18,2736.0,2950.0
2016-04-10,3050.0,3240.0,3050.0,3148.0,158076660,50214,5,2984.0,3240.0
2016-04-11,2950.0,3200.0,2810.0,2945.0,454003500,154159,20,3148.0,2810.0
2016-04-12,3000.0,3000.0,2550.0,2701.0,781425440,289311,33,2945.0,2600.0
2016-04-18,2620.0,2940.0,2620.0,2855.0,776640,272,2,2701.0,2940.0
2016-04-19,2600.0,2600.0,2500.0,2537.0,478890000,188788,13,2855.0,2500.0
2016-04-20,2700.0,2700.0,2700.0,2700.0,2700000,1000,1,2537.0,2700.0
2016-04-23,2500.0,2700.0,2500.0,2506.0,84447500,33699,4,2700.0,2700.0
2016-04-25,2650.0,2799.0,2600.0,2740.0,16828458,6142,5,2506.0,2799.0
2016-04-26,2600.0,2650.0,2270.0,2371.0,635480560,268024,12,2740.0,2295.0
2016-04-27,2500.0,2850.0,2403.0,2757.0,1031497783,374120,14,2371.0,2850.0
2016-04-30,2950.0,2950.0,2775.0,2851.0,505722150,177414,14,2757.0,2806.0
2016-05-01,2808.0,3000.0,2800.0,2901.0,433801504,149546,8,2851.0,2970.0
2016-05-02,3100.0,3100.0,3000.0,3021.0,162124000,53658,7,2901.0,3000.0
2016-05-03,3000.0,3000.0,3000.0,3000.0,127560000,42520,12,3021.0,3000.0
2016-05-04,2721.0,2725.0,2721.0,2722.0,129637200,47632,2,3000.0,2725.0
2016-05-07,2998.0,2998.0,2721.0,2724.0,144021750,52875,5,2722.0,2725.0
2016-05-08,2701.0,2701.0,2700.0,2700.0,90145743,33383,2,2724.0,2700.0
2016-05-09,2705.0,2705.0,2550.0,2615.0,279852550,107001,7,2700.0,2555.0
2016-05-10,2560.0,2560.0,2550.0,2553.0,67040490,26258,2,2615.0,2550.0
2016-05-11,2500.0,2546.0,2400.0,2458.0,779967830,317335,10,2553.0,2420.0
2016-05-15,2450.0,2452.0,2400.0,2423.0,88988900,36722,3,2458.0,2400.0
2016-05-16,2350.0,2366.0,2327.0,2351.0,399625442,170000,8,2423.0,2327.0
2016-05-17,2400.0,2669.0,2400.0,2527.0,22807300,9026,3,2351.0,2669.0
2016-05-21,2670.0,2670.0,2550.0,2664.0,93235922,35000,5,2527.0,2550.0
2016-06-05,2370.0,2370.0,2370.0,2370.0,10480140,4422,1,2664.0,2370.0
2016-06-06,2450.0,2470.0,2360.0,2441.0,73129675,29962,7,2370.0,2375.0
