date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-12-25,10000.0,10000.0,10000.0,10000.0,235628870000,23562887,863,10000.0,10000.0
2017-12-26,10000.0,10000.0,10000.0,10000.0,66024020000,6602402,260,10000.0,10000.0
2017-12-27,10000.0,10000.0,10000.0,10000.0,121314220000,12131422,630,10000.0,10000.0
2018-01-13,10107.0,10125.0,10107.0,10123.0,347809760,34360,29,10000.0,10114.0
2018-01-14,10123.0,10141.0,10123.0,10140.0,101809633663,10040509,120,10123.0,10141.0
2018-01-15,10140.0,10200.0,10140.0,10152.0,3080799587,303471,118,10140.0,10148.0
2018-01-16,10145.0,10145.0,10119.0,10134.0,3675774899,362705,28,10152.0,10119.0
2018-01-17,10125.0,10158.0,10125.0,10150.0,2885219382,284270,76,10134.0,10158.0
2018-01-20,10139.0,10160.0,10139.0,10157.0,25138644152,2475127,89,10150.0,10147.0
2018-01-21,10144.0,10170.0,10144.0,10159.0,1226057246,120692,40,10157.0,10162.0
2018-01-22,10165.0,10170.0,10162.0,10162.0,1082631258,106534,7,10159.0,10170.0
2018-01-23,10177.0,10194.0,10177.0,10180.0,15456987914,1518350,77,10162.0,10193.0
2018-01-24,10200.0,10219.0,10200.0,10205.0,14581564495,1428887,38,10180.0,10218.0
2018-01-27,10222.0,10229.0,10207.0,10218.0,1352439420,132354,33,10205.0,10209.0
2018-01-28,10223.0,10229.0,10219.0,10222.0,39816485,3895,9,10218.0,10219.0
2018-01-29,10245.0,10245.0,10217.0,10238.0,14750508797,1440722,39,10222.0,10245.0
2018-01-30,10240.0,10248.0,10225.0,10240.0,3227392902,315186,16,10238.0,10241.0
2018-01-31,10226.0,10244.0,10226.0,10236.0,39000040,3810,8,10240.0,10244.0
2018-02-03,10250.0,10250.0,10193.0,10235.0,20467180245,1999779,59,10236.0,10193.0
2018-02-04,10202.0,10203.0,10180.0,10187.0,973034049,95519,14,10235.0,10183.0
2018-02-05,10187.0,10229.0,10180.0,10208.0,1679015511,164484,49,10187.0,10229.0
2018-02-06,10191.0,10200.0,10181.0,10195.0,20833078839,2043402,136,10208.0,10198.0
2018-02-07,10200.0,10210.0,10195.0,10205.0,633764438,62102,37,10195.0,10205.0
2018-02-10,10213.0,10240.0,10212.0,10230.0,8206546800,802200,32,10205.0,10240.0
2018-02-12,10225.0,10235.0,10221.0,10222.0,6324881568,618768,17,10230.0,10235.0
2018-02-13,10222.0,10229.0,10217.0,10219.0,2995926047,293170,16,10222.0,10218.0
2018-02-14,10219.0,10223.0,10200.0,10219.0,23001903465,2250858,37,10219.0,10203.0
2018-02-17,10236.0,10236.0,10188.0,10233.0,110515300,10800,4,10219.0,10189.0
2018-02-18,10180.0,10200.0,10180.0,10200.0,9689513440,949963,35,10233.0,10199.0
2018-02-19,10220.0,10238.0,10199.0,10216.0,27052516307,2647937,81,10200.0,10235.0
2018-02-21,10239.0,10248.0,10000.0,10150.0,8779524900,865004,64,10216.0,10240.0
2018-02-24,10250.0,10265.0,10250.0,10261.0,43023272982,4192693,60,10150.0,10258.0
2018-02-25,10262.0,10275.0,10262.0,10273.0,5749229675,559659,20,10261.0,10275.0
2018-02-26,10284.0,10284.0,10268.0,10273.0,628208200,61150,4,10273.0,10268.0
2018-02-27,10270.0,10270.0,10255.0,10262.0,3752391310,365662,9,10273.0,10265.0
2018-02-28,10268.0,10268.0,10248.0,10262.0,15626552576,1522812,26,10262.0,10248.0
2018-03-03,10270.0,10270.0,10265.0,10265.0,38120604000,3713600,69,10262.0,10265.0
2018-03-04,10256.0,10261.0,10250.0,10261.0,102866874442,10025069,147,10265.0,10250.0
2018-03-05,10272.0,10281.0,10268.0,10272.0,126685547164,12333640,233,10261.0,10270.0
2018-03-06,10281.0,10299.0,10251.0,10277.0,1372484153,133547,8,10272.0,10251.0
2018-03-07,10269.0,10277.0,10252.0,10272.0,1374762240,133830,17,10277.0,10262.0
2018-03-10,10267.0,10267.0,10235.0,10267.0,2404034058,234152,18,10272.0,10248.0
2018-03-11,10270.0,10273.0,10267.0,10269.0,13596444530,1324011,54,10267.0,10272.0
2018-03-12,10284.0,10284.0,10227.0,10253.0,7472967157,728832,36,10269.0,10260.0
2018-03-13,10241.0,10243.0,10241.0,10243.0,22063164,2154,4,10253.0,10243.0
2018-03-14,10247.0,10264.0,10239.0,10244.0,5687070216,555169,32,10243.0,10264.0
2018-03-17,10263.0,10274.0,10263.0,10268.0,4632776450,451185,17,10244.0,10270.0
2018-03-18,10276.0,10310.0,10002.0,10259.0,2072852050,202050,11,10268.0,10261.0
2018-03-19,10300.0,10390.0,10280.0,10297.0,10058182003,976768,40,10259.0,10320.0
2018-03-25,10321.0,10345.0,10321.0,10321.0,207454500,20100,2,10297.0,10345.0
2018-03-26,10323.0,10330.0,10320.0,10328.0,1576503500,152650,17,10321.0,10330.0
2018-03-27,10331.0,10350.0,10320.0,10348.0,13135982337,1269427,47,10328.0,10320.0
2018-04-03,10365.0,10365.0,10332.0,10332.0,2184238000,211400,7,10348.0,10333.0
2018-04-04,10324.0,10360.0,10314.0,10326.0,258801780,25063,8,10332.0,10360.0
2018-04-07,10330.0,10365.0,10290.0,10314.0,2524171645,244741,16,10326.0,10310.0
2018-04-08,10305.0,10320.0,10288.0,10316.0,1352468800,131100,6,10314.0,10288.0
2018-04-09,10268.0,10297.0,10268.0,10293.0,2909241410,282632,19,10316.0,10277.0
2018-04-10,10310.0,10317.0,10269.0,10314.0,628646360,60951,10,10293.0,10269.0
2018-04-11,10354.0,10354.0,10277.0,10290.0,10398974700,1010600,49,10314.0,10277.0
2018-04-15,10258.0,10290.0,10258.0,10289.0,21609354080,2100210,39,10290.0,10272.0
2018-04-16,10254.0,10267.0,10240.0,10258.0,153543664,14968,6,10289.0,10240.0
2018-04-17,10281.0,10281.0,10271.0,10281.0,995339734,96814,14,10258.0,10281.0
2018-04-18,10308.0,10308.0,10308.0,10308.0,1102956000,107000,4,10281.0,10308.0
2018-04-21,10337.0,10360.0,10337.0,10354.0,2381480000,230000,6,10308.0,10340.0
2018-04-22,10334.0,10334.0,10290.0,10309.0,733432031,71144,8,10354.0,10290.0
2018-04-23,10326.0,10354.0,10290.0,10345.0,2877139722,278123,12,10309.0,10290.0
2018-04-24,10315.0,10370.0,10284.0,10350.0,8959664950,865633,39,10345.0,10370.0
2018-04-25,10345.0,10349.0,10321.0,10343.0,755009000,73000,5,10350.0,10321.0
2018-04-28,10345.0,10345.0,10317.0,10344.0,1828471290,176770,10,10343.0,10317.0
2018-04-29,10317.0,10318.0,10317.0,10317.0,3409069527,330431,18,10344.0,10318.0
2018-04-30,10320.0,10320.0,10313.0,10318.0,2302975203,223200,6,10317.0,10318.0
2018-05-01,10316.0,10316.0,10316.0,10316.0,784016000,76000,3,10318.0,10316.0
2018-05-05,10301.0,10326.0,10301.0,10326.0,9396763010,910010,12,10316.0,10326.0
