date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-07,3071.0,3071.0,3070.0,3070.0,25177246,8200,6,3071.0,3070.0
2001-04-08,3070.0,3070.0,3070.0,3070.0,4298000,1400,1,3070.0,3070.0
2001-04-09,3070.0,3070.0,3070.0,3070.0,2106020,686,3,3070.0,3070.0
2001-04-10,3070.0,3070.0,3070.0,3070.0,33770000,11000,11,3070.0,3070.0
2001-04-11,3070.0,3070.0,3070.0,3070.0,129247000,42100,4,3070.0,3070.0
2001-04-14,3050.0,3050.0,3050.0,3050.0,24000450,7869,15,3070.0,3050.0
2001-04-16,3051.0,3051.0,3051.0,3051.0,2288250,750,1,3050.0,3051.0
2001-04-17,3100.0,3100.0,3000.0,3000.0,39923100,13201,5,3051.0,3000.0
2001-04-22,3000.0,3000.0,3000.0,3000.0,124074000,41358,9,3000.0,3000.0
2001-04-23,3000.0,3000.0,3000.0,3000.0,18000000,6000,2,3000.0,3000.0
2001-04-24,3000.0,3002.0,3000.0,3002.0,120712506,40237,35,3000.0,3002.0
2001-04-28,3000.0,3001.0,3000.0,3001.0,154768589,51589,2,3002.0,3001.0
2001-04-29,3000.0,3000.0,3000.0,3000.0,88980000,29660,12,3001.0,3000.0
2001-04-30,3000.0,3000.0,3000.0,3000.0,1131000,377,1,3000.0,3000.0
2001-05-01,3002.0,3002.0,3002.0,3002.0,6766508,2254,3,3000.0,3002.0
2001-05-02,3006.0,3007.0,3005.0,3005.0,27049000,9000,7,3002.0,3005.0
2001-05-05,3005.0,3005.0,3005.0,3005.0,60100000,20000,2,3005.0,3005.0
2001-05-06,3005.0,3005.0,3005.0,3005.0,28878050,9610,9,3005.0,3005.0
2001-05-07,3005.0,3005.0,3005.0,3005.0,41258650,13730,10,3005.0,3005.0
2001-05-08,3005.0,3005.0,3005.0,3005.0,468780,156,1,3005.0,3005.0
2001-05-09,3005.0,3005.0,3005.0,3005.0,37550480,12496,19,3005.0,3005.0
2001-05-12,3010.0,3050.0,3010.0,3050.0,99010410,32465,13,3005.0,3050.0
2001-05-13,3050.0,3050.0,3050.0,3050.0,2000800,656,2,3050.0,3050.0
2001-05-15,3050.0,3050.0,3050.0,3050.0,3693550,1211,1,3050.0,3050.0
2001-05-16,3050.0,3050.0,3050.0,3050.0,210291400,68948,37,3050.0,3050.0
2001-05-19,3050.0,3050.0,3050.0,3050.0,81062900,26578,3,3050.0,3050.0
2001-05-20,3051.0,3051.0,3050.0,3050.0,12334786,4044,7,3050.0,3050.0
2001-05-27,3078.0,3078.0,3078.0,3078.0,8310600,2700,7,3050.0,3078.0
2001-05-28,3085.0,3085.0,3085.0,3085.0,694125,225,2,3078.0,3085.0
2001-05-30,3090.0,3090.0,3090.0,3090.0,23246070,7523,5,3085.0,3090.0
2001-06-02,3102.0,3103.0,3092.0,3103.0,1910202,617,3,3090.0,3103.0
2001-06-03,3129.0,3141.0,3126.0,3141.0,39378972,12572,25,3103.0,3141.0
2001-06-06,3172.0,3172.0,3172.0,3172.0,628056,198,2,3141.0,3172.0
2001-06-09,3177.0,3220.0,3177.0,3220.0,98061065,30502,7,3172.0,3220.0
2001-06-13,3301.0,3301.0,3300.0,3300.0,3300631,1000,4,3220.0,3300.0
2001-06-16,3304.0,3304.0,3304.0,3304.0,1856848,562,1,3300.0,3304.0
