date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-19,3000.0,3000.0,3000.0,3000.0,9000000,3000,2,1000.0,3000.0
2013-11-30,3400.0,3400.0,2500.0,3367.0,104812500,31125,2,3000.0,2500.0
2013-12-11,2400.0,2600.0,2400.0,2502.0,30519600,12196,3,3367.0,2501.0
2013-12-22,2400.0,2500.0,2400.0,2496.0,120486942,48276,9,2502.0,2498.0
2013-12-25,2480.0,2610.0,2480.0,2495.0,18221830,7303,3,2496.0,2610.0
2014-01-01,2490.0,2600.0,2490.0,2511.0,270851610,107870,8,2495.0,2500.0
2014-01-05,2630.0,2650.0,2630.0,2649.0,52980000,20000,2,2511.0,2650.0
2014-01-07,3000.0,3000.0,2999.0,3000.0,248855000,82952,10,2649.0,2999.0
2014-01-13,3000.0,3000.0,3000.0,3000.0,61434000,20478,3,3000.0,3000.0
2014-01-14,3200.0,3600.0,3200.0,3493.0,145058000,41530,5,3000.0,3600.0
2014-01-25,2500.0,3600.0,2500.0,3051.0,177359500,58138,11,3493.0,2700.0
2014-01-29,2630.0,3010.0,2610.0,2752.0,115116660,41831,8,3051.0,2750.0
2014-02-01,3500.0,3500.0,3500.0,3500.0,2940000,840,4,2752.0,3500.0
2014-02-02,3500.0,3500.0,3500.0,3500.0,137060000,39160,1,3500.0,3500.0
2014-02-03,3493.0,3493.0,2750.0,3430.0,209805060,61159,8,3500.0,3490.0
2014-02-08,3499.0,3499.0,3499.0,3499.0,3499000,1000,1,3430.0,3499.0
2014-02-17,2851.0,2851.0,2850.0,2850.0,225229539,79027,7,3499.0,2850.0
2014-02-18,2850.0,2850.0,2850.0,2850.0,42750000,15000,1,2850.0,2850.0
2014-02-23,3200.0,3200.0,3200.0,3200.0,44249600,13828,3,2850.0,3200.0
2014-02-26,2852.0,3000.0,2850.0,2853.0,99115596,34738,4,3200.0,2853.0
2014-03-02,2852.0,3100.0,2852.0,2887.0,269695937,93413,5,2853.0,2853.0
2014-03-04,2850.0,2850.0,2850.0,2850.0,165300000,58000,1,2887.0,2850.0
2014-03-05,3300.0,3397.0,2853.0,3284.0,41609684,12669,3,2850.0,2853.0
2014-03-09,2853.0,2860.0,2853.0,2856.0,33885845,11865,3,3284.0,2853.0
2014-03-11,2853.0,2854.0,2853.0,2853.0,24254000,8500,2,2856.0,2854.0
2014-03-18,2853.0,2860.0,2853.0,2856.0,28561621,10000,3,2853.0,2860.0
2014-03-26,2860.0,2860.0,2850.0,2854.0,79917852,27998,4,2856.0,2850.0
2014-03-31,3000.0,3000.0,2860.0,2975.0,21248900,7142,2,2854.0,2860.0
2014-04-05,2860.0,2860.0,2860.0,2860.0,14300000,5000,2,2975.0,2860.0
2014-04-07,2721.0,2721.0,2720.0,2721.0,8915440,3277,2,2860.0,2720.0
2014-04-08,2850.0,2850.0,2850.0,2850.0,5127150,1799,1,2721.0,2850.0
2014-04-12,2850.0,3000.0,2850.0,2876.0,138772700,48260,5,2850.0,2850.0
2014-04-13,2850.0,2850.0,2700.0,2741.0,43709950,15945,5,2876.0,2700.0
2014-04-15,2850.0,2900.0,2850.0,2893.0,135950000,47000,2,2741.0,2900.0
2014-04-16,2850.0,2850.0,2850.0,2850.0,3990000,1400,1,2893.0,2850.0
2014-04-19,2850.0,2850.0,2840.0,2843.0,153882650,54132,2,2850.0,2840.0
2014-04-21,2850.0,2850.0,2850.0,2850.0,28500000,10000,1,2843.0,2850.0
2014-04-26,2850.0,2850.0,2850.0,2850.0,57000000,20000,1,2850.0,2850.0
2014-04-27,3000.0,3000.0,2850.0,2876.0,69786000,24262,3,2850.0,2850.0
2014-04-28,2999.0,2999.0,2999.0,2999.0,59980000,20000,1,2876.0,2999.0
2014-04-30,2860.0,2861.0,2860.0,2861.0,25110497,8777,3,2999.0,2861.0
2014-05-03,2861.0,2863.0,2700.0,2811.0,138502849,49280,5,2861.0,2700.0
2014-05-04,2501.0,2501.0,2501.0,2501.0,10004000,4000,1,2811.0,2501.0
2014-05-05,2800.0,2800.0,2800.0,2800.0,1825600,652,1,2501.0,2800.0
2014-05-07,2600.0,3000.0,2600.0,2920.0,148544960,50871,6,2800.0,3000.0
2014-05-10,2800.0,2800.0,2800.0,2800.0,9105600,3252,1,2920.0,2800.0
