date,open,high,low,adjClose,value,volume,count,close
2001-04-07,9420.0,9420.0,9420.0,9420.0,48889800,5190,6,9420.0
2001-04-11,9800.0,9800.0,9800.0,9800.0,15386000,1570,2,9800.0
2001-04-15,9813.0,9813.0,9813.0,9813.0,14719500,1500,1,9813.0
2001-04-16,9994.0,10200.0,9994.0,10200.0,58598108,5757,4,10200.0
2001-04-17,10203.0,10214.0,10203.0,10214.0,7347500,720,3,10214.0
2001-04-29,10724.0,10724.0,10724.0,10724.0,19742884,1841,4,10724.0
2001-05-01,11260.0,11260.0,11260.0,11260.0,5630000,500,1,11260.0
2001-05-02,11271.0,11271.0,11271.0,11271.0,22542000,2000,3,11271.0
2001-05-05,11271.0,11271.0,11271.0,11271.0,11710569,1039,4,11271.0
2001-05-06,11271.0,11271.0,11271.0,11271.0,21505068,1908,2,11271.0
2001-05-08,11272.0,11274.0,11272.0,11274.0,21914056,1944,9,11274.0
2001-05-09,11274.0,11274.0,11274.0,11274.0,27655122,2453,5,11274.0
2001-05-12,11274.0,11274.0,11274.0,11274.0,17801646,1579,3,11274.0
2001-05-13,11274.0,11274.0,11273.0,11274.0,34948400,3100,8,11274.0
2001-05-15,11274.0,11274.0,11274.0,11274.0,676440,60,1,11274.0
2001-05-19,11274.0,11274.0,11274.0,11274.0,2593020,230,1,11274.0
2001-05-20,11275.0,11275.0,11275.0,11275.0,3382500,300,1,11275.0
2001-05-21,11276.0,11277.0,11276.0,11277.0,6427490,570,3,11277.0
2001-05-23,11277.0,11278.0,11276.0,11276.0,19813762,1757,4,11276.0
2001-05-26,11277.0,11277.0,11276.0,11276.0,16835568,1493,4,11276.0
2001-05-30,11270.0,11270.0,11270.0,11270.0,47334000,4200,4,11270.0
2001-06-02,11269.0,11270.0,11269.0,11270.0,16904000,1500,2,11270.0
2001-06-03,11270.0,11270.0,11270.0,11270.0,5635000,500,1,11270.0
2001-06-06,11270.0,11300.0,11270.0,11300.0,19833110,1756,2,11300.0
2001-06-09,11300.0,11300.0,11300.0,11300.0,23357100,2067,3,11300.0
2001-06-12,11300.0,11300.0,11300.0,11300.0,11300000,1000,1,11300.0
2001-06-20,11300.0,11300.0,11300.0,11300.0,565000,50,1,11300.0
2001-06-23,11300.0,11300.0,11300.0,11300.0,18599800,1646,3,11300.0
2001-06-24,11300.0,11300.0,11299.0,11300.0,96046850,8500,5,11300.0
2001-06-25,11300.0,11300.0,11300.0,11300.0,11300000,1000,1,11300.0
2001-06-30,11299.0,11300.0,11299.0,11300.0,25987712,2300,8,11300.0
2001-07-02,11299.0,11300.0,11299.0,11300.0,3389750,300,2,11300.0
2001-07-03,11300.0,11300.0,11300.0,11300.0,82354400,7288,9,11300.0
2001-07-04,11300.0,11300.0,11300.0,11300.0,6780000,600,1,11300.0
2001-07-07,11300.0,11300.0,11300.0,11300.0,5627400,498,3,11300.0
2001-07-10,11300.0,11300.0,11300.0,11300.0,7910000,700,1,11300.0
2001-07-11,11300.0,11300.0,11300.0,11300.0,4181000,370,1,11300.0
2001-07-14,11303.0,11303.0,11303.0,11303.0,9833610,870,1,11303.0
2001-07-17,11303.0,11303.0,11303.0,11303.0,3390900,300,2,11303.0
2001-07-24,11317.0,11317.0,11316.0,11316.0,10184429,900,7,11316.0
2001-07-25,11316.0,11316.0,11315.0,11315.0,14710629,1300,3,11315.0
2001-07-31,11315.0,11315.0,11315.0,11315.0,678900,60,1,11315.0
2001-08-05,11316.0,11316.0,11316.0,11316.0,2704524,239,2,11316.0
2001-08-08,11316.0,11316.0,11316.0,11316.0,678960,60,1,11316.0
2001-08-12,11316.0,11316.0,11316.0,11316.0,16974000,1500,2,11316.0
2001-08-13,11880.0,11880.0,11880.0,11880.0,11880000,1000,1,11880.0
2001-08-15,12474.0,12474.0,12474.0,12474.0,18711000,1500,6,12474.0
2001-08-18,12474.0,12474.0,12474.0,12474.0,17301438,1387,2,12474.0
2001-08-19,12476.0,12476.0,12476.0,12476.0,6238000,500,2,12476.0
2001-08-20,12475.0,12475.0,12475.0,12475.0,12475000,1000,1,12475.0
2001-08-21,12474.0,12475.0,12474.0,12475.0,64865800,5200,7,12475.0
2001-08-22,12475.0,12475.0,12475.0,12475.0,64495750,5170,6,12475.0
2001-08-29,12800.0,12800.0,12800.0,12800.0,13145600,1027,6,12800.0
2001-09-01,12800.0,12801.0,12800.0,12800.0,112005000,8750,6,12800.0
2001-09-02,12804.0,12804.0,12804.0,12804.0,16299492,1273,3,12804.0
2001-09-03,12805.0,12805.0,12805.0,12805.0,51552930,4026,5,12805.0
2001-09-05,12805.0,12805.0,12805.0,12805.0,51220000,4000,3,12805.0
2001-09-08,12805.0,12805.0,12805.0,12805.0,6402500,500,1,12805.0
2001-09-10,12807.0,13000.0,12807.0,13000.0,43975430,3390,3,13000.0
2001-09-11,13000.0,13000.0,13000.0,13000.0,49400000,3800,3,13000.0
2001-09-16,12998.0,13000.0,12900.0,13000.0,329613674,25503,17,13000.0
2001-09-17,12950.0,13000.0,12900.0,13000.0,71150000,5500,5,13000.0
2001-09-18,12999.0,13000.0,12999.0,13000.0,77413045,5955,4,13000.0
2001-09-19,13000.0,13000.0,13000.0,13000.0,17056000,1312,2,13000.0
2001-09-22,13001.0,13001.0,13000.0,13000.0,78001000,6000,6,13000.0
2001-09-24,13002.0,13002.0,13000.0,13000.0,80226050,6171,7,13000.0
2001-10-03,13001.0,13001.0,13001.0,13001.0,260020,20,1,13001.0
2001-10-06,13001.0,13001.0,13000.0,13000.0,13000132,1000,2,13000.0
2001-10-07,13000.0,13002.0,13000.0,13001.0,19645022,1511,4,13001.0
2001-10-08,13001.0,13001.0,13001.0,13001.0,26002000,2000,2,13001.0
2001-10-10,12996.0,13000.0,12996.0,13000.0,121394360,9340,5,13000.0
2001-10-13,13000.0,13070.0,13000.0,13070.0,15221900,1170,2,13070.0
2001-10-14,13070.0,13070.0,13070.0,13070.0,5567820,426,1,13070.0
2001-10-17,13153.0,13153.0,13153.0,13153.0,13153000,1000,1,13153.0
2001-10-21,13301.0,13500.0,13301.0,13500.0,155118500,11505,15,13500.0
2001-10-23,13630.0,13630.0,13630.0,13630.0,8995800,660,2,13630.0
2001-10-30,13850.0,13850.0,13850.0,13850.0,13850000,1000,1,13850.0
2001-11-03,13901.0,13901.0,13901.0,13901.0,13901000,1000,1,13901.0
2001-11-04,14003.0,14003.0,14003.0,14003.0,14003000,1000,4,14003.0
2001-11-05,14100.0,14201.0,14100.0,14201.0,30466500,2150,3,14201.0
2001-11-07,14301.0,14301.0,14301.0,14301.0,21451500,1500,3,14301.0
2001-11-11,14700.0,15000.0,14551.0,14601.0,384170200,26009,12,14601.0
2001-11-13,14601.0,14601.0,14600.0,14601.0,76858400,5264,9,14601.0
2001-12-31,13782.0,13783.0,12500.0,13781.0,315920896,23028,24,13781.0
2002-01-01,13850.0,14100.0,13850.0,14100.0,77175000,5500,6,14100.0
2002-01-02,14250.0,14276.0,14200.0,14276.0,53425500,3750,13,14276.0
2002-01-05,14300.0,14300.0,14300.0,14300.0,85800000,6000,7,14300.0
2002-01-06,15015.0,15015.0,14500.0,15015.0,93553975,6265,10,15015.0
2002-01-07,15015.0,15015.0,15015.0,15015.0,86111025,5735,5,15015.0
2002-01-08,15021.0,15022.0,15015.0,15015.0,112645700,7500,10,15015.0
2002-01-12,14858.0,15017.0,14858.0,15000.0,85454000,5708,8,15000.0
2002-01-13,14990.0,15000.0,14990.0,14999.0,143868486,9594,15,14999.0
2002-01-15,14975.0,14975.0,14975.0,14975.0,3024950,202,1,14975.0
2002-01-19,14959.0,14959.0,14959.0,14959.0,4861675,325,1,14959.0
2002-01-20,14945.0,14945.0,14945.0,14945.0,597800,40,1,14945.0
2002-01-22,14995.0,15000.0,14925.0,15000.0,114249369,7631,10,15000.0
2002-01-23,15002.0,15002.0,15001.0,15001.0,3240388,216,2,15001.0
2002-01-26,15010.0,15010.0,15004.0,15004.0,465140620,31000,19,15004.0
2002-01-27,15004.0,15004.0,15003.0,15004.0,240963240,16060,8,15004.0
2002-01-28,15004.0,15004.0,15004.0,15004.0,150040000,10000,8,15004.0
2002-01-30,14999.0,15000.0,14999.0,15000.0,130499300,8700,3,15000.0
2002-02-02,14900.0,14900.0,14900.0,14900.0,22350000,1500,1,14900.0
2002-02-03,14800.0,14800.0,14800.0,14800.0,16635200,1124,1,14800.0
2002-02-04,14800.0,14800.0,14800.0,14800.0,27764800,1876,2,14800.0
2002-02-05,14800.0,14900.0,14800.0,14900.0,101118200,6794,6,14900.0
2002-02-13,14900.0,14900.0,14899.0,14899.0,22929937,1539,3,14899.0
2002-02-16,14900.0,14900.0,14900.0,14900.0,74500000,5000,2,14900.0
2002-02-24,15301.0,15301.0,15301.0,15301.0,16831100,1100,2,15301.0
2002-02-26,15501.0,15501.0,15501.0,15501.0,15501000,1000,2,15501.0
2002-02-27,15502.0,15502.0,15501.0,15501.0,46505000,3000,2,15501.0
2002-03-02,15564.0,15564.0,15564.0,15564.0,7782000,500,1,15564.0
2002-03-04,15603.0,15603.0,15602.0,15602.0,6241100,400,2,15602.0
2002-03-05,16382.0,16382.0,16382.0,16382.0,16382000,1000,1,16382.0
2002-03-09,16500.0,16608.0,16500.0,16607.0,71189150,4308,3,16607.0
2002-03-12,16647.0,16647.0,16647.0,16647.0,14982300,900,2,16647.0
2002-03-13,16902.0,16902.0,16902.0,16902.0,16902000,1000,1,16902.0
2002-03-17,17008.0,17008.0,17007.0,17007.0,62826858,3694,2,17007.0
2002-03-18,17105.0,17105.0,17105.0,17105.0,8552500,500,1,17105.0
2002-04-06,17200.0,17200.0,17200.0,17200.0,17200000,1000,1,17200.0
2002-04-07,17206.0,17206.0,17205.0,17206.0,20647061,1200,3,17206.0
2002-04-10,17366.0,17378.0,17366.0,17378.0,29621753,1705,9,17378.0
2002-04-14,17414.0,17414.0,17414.0,17414.0,6965600,400,1,17414.0
2002-04-28,18284.0,18284.0,18284.0,18284.0,36568000,2000,3,18284.0
2002-05-04,18741.0,18741.0,18741.0,18741.0,18741000,1000,2,18741.0
2002-05-05,19209.0,19209.0,19209.0,19209.0,2198393214,114446,16,19209.0
2002-05-06,19689.0,19689.0,19689.0,19689.0,24414360,1240,6,19689.0
2002-05-07,20181.0,20181.0,20181.0,20181.0,20181000,1000,2,20181.0
2002-05-08,20685.0,20685.0,20685.0,20685.0,41370000,2000,1,20685.0
2002-05-18,21202.0,21202.0,21202.0,21202.0,44587806,2103,3,21202.0
2002-05-21,21732.0,21732.0,21202.0,21732.0,1177300936,54198,54,21732.0
2002-06-02,22275.0,22275.0,22275.0,22275.0,44550000,2000,4,22275.0
2002-06-09,22831.0,22831.0,22831.0,22831.0,36529600,1600,3,22831.0
2002-06-10,23401.0,23401.0,23401.0,23401.0,30421300,1300,3,23401.0
2002-06-12,23986.0,23986.0,23986.0,23986.0,47972000,2000,3,23986.0
2002-06-16,24585.0,24585.0,24585.0,24585.0,46711500,1900,5,24585.0
2002-06-17,24830.0,24830.0,24830.0,24830.0,26071500,1050,3,24830.0
2002-06-18,25078.0,25078.0,25078.0,25078.0,173038200,6900,10,25078.0
2002-06-19,25328.0,25328.0,25328.0,25328.0,75984000,3000,4,25328.0
2002-06-23,25581.0,25581.0,25581.0,25581.0,25581000,1000,5,25581.0
2002-06-29,25836.0,25836.0,25836.0,25836.0,38754000,1500,6,25836.0
2002-07-01,26481.0,26481.0,26481.0,26481.0,74146800,2800,8,26481.0
2002-07-02,27143.0,27143.0,27143.0,27143.0,27143000,1000,4,27143.0
2002-07-03,27821.0,27821.0,27821.0,27821.0,31493372,1132,7,27821.0
2002-07-10,28516.0,28516.0,28516.0,28516.0,65871960,2310,7,28516.0
2002-07-13,29228.0,29228.0,29228.0,29228.0,65616860,2245,7,29228.0
2002-07-14,29958.0,29958.0,29199.0,29199.0,641197240,21645,35,29199.0
2002-07-15,28900.0,28900.0,28516.0,28516.0,125867050,4380,13,28516.0
2002-07-16,28499.0,28499.0,27804.0,27804.0,33247309,1191,3,27804.0
2002-07-17,27109.0,27109.0,27109.0,27109.0,28654213,1057,3,27109.0
2002-07-20,26432.0,26432.0,26432.0,26432.0,26432000,1000,1,26432.0
2002-07-21,25772.0,25772.0,25772.0,25772.0,51544000,2000,4,25772.0
2002-07-22,25128.0,25129.0,25128.0,25128.0,397374692,15814,33,25128.0
2002-07-23,25143.0,25700.0,25128.0,25700.0,76902545,3037,10,25700.0
2002-07-27,26342.0,26342.0,26342.0,26342.0,105394342,4001,10,26342.0
2002-07-28,27000.0,27000.0,26342.0,26342.0,159873456,6035,9,26342.0
2002-07-29,26078.0,26078.0,26078.0,26078.0,15646800,600,2,26078.0
2002-07-30,26000.0,26000.0,25684.0,25685.0,98609325,3808,10,25685.0
2002-07-31,25684.0,25684.0,25684.0,25684.0,5213852,203,1,25684.0
2002-08-03,25050.0,25050.0,25049.0,25049.0,31312250,1250,7,25049.0
2002-08-04,25047.0,25047.0,25047.0,25047.0,5009400,200,1,25047.0
2002-08-05,24421.0,24421.0,24421.0,24421.0,949219849,38869,11,24421.0
2002-08-10,24371.0,24377.0,23999.0,24000.0,272021070,11330,24,24000.0
2002-08-11,24000.0,24000.0,24000.0,24000.0,131736000,5489,12,24000.0
2002-08-13,24000.0,24001.0,24000.0,24001.0,149568400,6232,10,24001.0
2002-08-14,24001.0,24001.0,24001.0,24001.0,4080170,170,2,24001.0
2002-08-17,24002.0,24002.0,24002.0,24002.0,14401200,600,1,24002.0
2002-08-18,24000.0,24000.0,24000.0,24000.0,29160000,1215,3,24000.0
2002-09-01,23998.0,23998.0,23998.0,23998.0,1967836,82,1,23998.0
2002-09-04,23990.0,24000.0,23990.0,24000.0,230747469,9616,10,24000.0
2002-09-07,24000.0,24000.0,24000.0,24000.0,100800000,4200,6,24000.0
2002-09-08,24000.0,24000.0,24000.0,24000.0,55200000,2300,2,24000.0
2002-10-28,22800.0,22800.0,22800.0,22800.0,22800000,1000,2,22800.0
2002-10-29,21660.0,21660.0,21660.0,21660.0,129960000,6000,4,21660.0
2002-11-02,21200.0,21200.0,21200.0,21200.0,10600000,500,1,21200.0
2002-11-06,20797.0,21200.0,20750.0,21200.0,77380187,3700,14,21200.0
2002-12-17,17000.0,17000.0,17000.0,17000.0,17000000,1000,1,17000.0
2003-01-06,16150.0,16150.0,16150.0,16150.0,16150000,1000,2,16150.0
2003-01-07,16137.0,16137.0,16125.0,16125.0,80638000,5000,6,16125.0
2003-01-08,16124.0,16150.0,16124.0,16150.0,295322700,18300,8,16150.0
2003-01-11,16150.0,16150.0,15501.0,15501.0,72350500,4500,4,15501.0
2003-01-12,15999.0,16150.0,15999.0,16150.0,207639170,12860,8,16150.0
2003-01-13,16150.0,16180.0,16150.0,16180.0,253615000,15700,11,16180.0
