date,open,high,low,adjClose,value,volume,count,close
2001-04-07,8492.0,8492.0,8490.0,8490.0,36766660,4330,11,8490.0
2001-04-08,8490.0,8490.0,8490.0,8490.0,21225000,2500,6,8490.0
2001-04-10,8551.0,8551.0,8551.0,8551.0,4651744,544,1,8551.0
2001-04-14,8702.0,8800.0,8702.0,8800.0,16692714,1907,3,8800.0
2001-04-15,8850.0,8900.0,8850.0,8900.0,84182300,9507,3,8900.0
2001-04-16,9000.0,9000.0,9000.0,9000.0,16200000,1800,1,9000.0
2001-04-17,9050.0,9050.0,9050.0,9050.0,18100000,2000,1,9050.0
2001-04-21,9050.0,9050.0,9050.0,9050.0,1267000,140,1,9050.0
2001-04-22,9051.0,9051.0,9049.0,9050.0,58625258,6478,13,9050.0
2001-04-24,9050.0,9050.0,9050.0,9050.0,8208350,907,1,9050.0
2001-04-28,9101.0,9101.0,9100.0,9100.0,33399000,3670,11,9100.0
2001-04-29,9100.0,9100.0,9100.0,9100.0,36400000,4000,7,9100.0
2001-04-30,9099.0,9099.0,9097.0,9097.0,58619423,6443,11,9097.0
2001-05-01,9098.0,9099.0,9098.0,9098.0,27476310,3020,3,9098.0
2001-05-02,9095.0,9095.0,9095.0,9095.0,18190000,2000,3,9095.0
2001-05-06,9089.0,9089.0,9089.0,9089.0,3708312,408,1,9089.0
2001-05-07,9080.0,9080.0,9080.0,9080.0,31035440,3418,7,9080.0
2001-05-09,9074.0,9074.0,9074.0,9074.0,4537000,500,1,9074.0
2001-05-13,9050.0,9050.0,9050.0,9050.0,5040850,557,2,9050.0
2001-05-15,8950.0,9050.0,8800.0,9049.0,187037658,20991,32,9049.0
2001-05-16,9049.0,9050.0,9049.0,9050.0,28759993,3178,10,9050.0
2001-05-19,9050.0,9059.0,9049.0,9059.0,88224950,9749,23,9059.0
2001-05-20,9059.0,9059.0,9059.0,9059.0,5009627,553,4,9059.0
2001-05-21,9051.0,9051.0,9051.0,9051.0,7675248,848,1,9051.0
2001-05-27,9043.0,9076.0,9043.0,9076.0,46252538,5110,9,9076.0
2001-05-28,9073.0,9073.0,9073.0,9073.0,63511000,7000,7,9073.0
2001-05-29,9070.0,9070.0,9069.0,9069.0,6167200,680,2,9069.0
2001-06-03,9048.0,9048.0,9048.0,9048.0,4524000,500,1,9048.0
2001-06-12,8596.0,8597.0,8596.0,8597.0,544403779,63332,90,8597.0
2001-06-13,8598.0,8598.0,8598.0,8598.0,39602388,4606,11,8598.0
2001-06-17,8995.0,8995.0,8995.0,8995.0,26985000,3000,1,8995.0
2001-06-19,8990.0,8992.0,8989.0,8989.0,28318300,3150,3,8989.0
2001-06-25,8900.0,8900.0,8900.0,8900.0,35600000,4000,7,8900.0
2001-06-27,8800.0,8800.0,8800.0,8800.0,8800000,1000,1,8800.0
2001-07-09,8785.0,8785.0,8785.0,8785.0,7967995,907,1,8785.0
2001-07-17,8680.0,8680.0,8680.0,8680.0,3784480,436,2,8680.0
2001-07-18,8677.0,8677.0,8677.0,8677.0,1908940,220,1,8677.0
2001-07-22,8673.0,8673.0,8673.0,8673.0,780570,90,1,8673.0
2001-07-31,8300.0,8300.0,8240.0,8240.0,47997280,5789,11,8240.0
2001-08-01,8241.0,8596.0,8241.0,8589.0,43435100,5100,9,8589.0
2001-08-05,8589.0,8689.0,8589.0,8689.0,48199925,5565,12,8689.0
2001-08-06,8686.0,8686.0,8685.0,8686.0,90631410,10435,11,8686.0
2001-08-07,8686.0,8686.0,8686.0,8686.0,46895714,5399,7,8686.0
2001-08-08,8697.0,8697.0,8697.0,8697.0,7888179,907,1,8697.0
2001-08-11,8697.0,8697.0,8697.0,8697.0,18907278,2174,5,8697.0
2001-08-12,8697.0,8750.0,8697.0,8697.0,11793950,1350,3,8697.0
2001-08-14,8990.0,9073.0,8800.0,9000.0,60063825,6675,10,9000.0
2001-08-15,9000.0,9000.0,9000.0,9000.0,8163000,907,1,9000.0
2001-08-18,9000.0,9000.0,9000.0,9000.0,25650000,2850,3,9000.0
2001-08-19,9000.0,9000.0,9000.0,9000.0,450000,50,1,9000.0
2001-08-21,9250.0,9250.0,9012.0,9012.0,52944400,5800,14,9012.0
2001-08-22,9013.0,9014.0,9013.0,9014.0,29690822,3294,8,9014.0
2001-08-27,9017.0,9017.0,9017.0,9017.0,10820400,1200,3,9017.0
2001-08-29,9021.0,9021.0,9021.0,9021.0,8840580,980,1,9021.0
2001-09-01,9025.0,9025.0,9021.0,9021.0,11280250,1250,10,9021.0
2001-09-02,9025.0,9025.0,9021.0,9021.0,21275518,2358,8,9021.0
2001-09-04,9022.0,9023.0,9022.0,9022.0,10294607,1141,3,9022.0
2001-09-05,9022.0,9025.0,9021.0,9025.0,37360236,4140,7,9025.0
2001-09-08,9030.0,9030.0,9021.0,9025.0,97041771,10755,25,9025.0
2001-09-11,8999.0,8999.0,8999.0,8999.0,1331852,148,1,8999.0
